,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-10-28,19.299999,19.76,18.92,19.200001,19.007032,6342600.0
1,2016-10-31,19.190001,19.200001,17.51,18.059999,17.878487,2523300.0
2,2016-11-01,18.059999,18.379999,17.16,17.9,17.720097,996200.0
3,2016-11-03,18.0,18.24,17.309999,17.99,17.809193,621000.0
4,2016-11-04,17.950001,18.120001,17.709999,17.75,17.571604,389800.0
5,2016-11-07,17.98,18.0,17.41,17.65,17.47261,513700.0
6,2016-11-08,17.379999,17.790001,17.110001,17.49,17.314219,535700.0
7,2016-11-09,17.0,17.0,15.7,16.549999,16.383665,1694400.0
8,2016-11-10,16.940001,16.940001,15.18,15.98,15.819393,601900.0
9,2016-11-11,15.81,15.81,14.53,15.25,15.09673,817300.0
10,2016-11-14,15.19,15.52,15.0,15.52,15.364017,200700.0
11,2016-11-16,15.95,15.95,14.88,15.95,15.789696,343900.0
12,2016-11-17,15.88,16.99,15.88,16.549999,16.383665,214400.0
13,2016-11-18,16.790001,17.450001,16.51,17.18,17.007334,57900.0
14,2016-11-21,17.4,17.4,16.75,17.190001,17.017233,131200.0
15,2016-11-22,17.370001,17.370001,16.610001,16.98,16.809341,437400.0
16,2016-11-23,17.209999,17.389999,16.5,16.75,16.581656,350300.0
17,2016-11-24,16.75,16.85,16.67,16.799999,16.631153,57600.0
18,2016-11-25,16.51,16.879999,16.4,16.700001,16.532158,96200.0
19,2016-11-28,16.77,16.77,15.95,16.0,15.839192,420500.0
20,2016-11-29,15.9,16.299999,15.31,15.84,15.680801,404300.0
21,2016-11-30,15.8,15.85,15.39,15.85,15.690701,766100.0
22,2016-12-01,15.4,15.75,14.78,14.92,14.770047,541600.0
23,2016-12-02,15.0,15.08,14.59,14.76,14.611655,266600.0
24,2016-12-05,15.05,15.05,14.53,14.63,14.482962,154400.0
25,2016-12-06,14.54,14.85,14.21,14.48,14.334469,772500.0
26,2016-12-07,14.59,15.0,14.17,14.4,14.255273,553700.0
27,2016-12-08,14.58,14.67,14.18,14.4,14.255273,224800.0
28,2016-12-09,14.45,14.79,14.31,14.75,14.601756,651300.0
29,2016-12-12,14.74,15.5,14.7,15.0,14.849243,409700.0
30,2016-12-13,15.02,15.5,15.0,15.1,14.948238,299100.0
31,2016-12-14,15.29,15.32,14.85,15.0,14.849243,236200.0
32,2016-12-15,14.98,15.0,14.51,14.8,14.651253,243600.0
33,2016-12-16,14.79,15.0,14.58,14.78,14.631454,267000.0
34,2016-12-19,14.63,14.88,14.3,14.5,14.354268,527400.0
35,2016-12-20,14.49,14.64,14.1,14.42,14.275073,513400.0
36,2016-12-21,14.24,14.24,14.24,14.24,14.096882,345100.0
37,2016-12-22,14.27,14.39,14.06,14.2,14.057283,130800.0
38,2016-12-23,14.1,14.34,13.86,13.95,13.809796,265300.0
39,2016-12-26,14.18,14.23,13.95,14.15,14.007786,54000.0
40,2016-12-27,14.18,14.18,13.76,14.0,13.859293,168000.0
41,2016-12-28,14.07,14.26,13.87,14.2,14.057283,248800.0
42,2016-12-29,14.15,14.8,14.0,14.65,14.50276,372300.0
43,2017-01-02,14.62,14.88,14.4,14.6,14.453264,35900.0
44,2017-01-03,14.74,15.06,14.57,14.9,14.750248,357200.0
45,2017-01-04,14.9,15.04,14.81,14.9,14.750248,117100.0
46,2017-01-05,14.9,15.35,14.9,15.35,15.195725,124300.0
47,2017-01-06,15.28,15.45,14.94,15.45,15.29472,151000.0
48,2017-01-09,15.45,15.45,15.06,15.21,15.057133,174100.0
49,2017-01-10,15.11,15.12,14.71,14.89,14.740349,251400.0
50,2017-01-11,14.97,14.97,14.51,14.9,14.750248,134500.0
51,2017-01-12,14.89,15.13,14.8,15.0,14.849243,338100.0
52,2017-01-13,15.13,15.2,14.8,15.0,14.849243,213900.0
53,2017-01-16,15.0,15.0,14.72,14.8,14.651253,105800.0
54,2017-01-17,14.72,14.95,14.72,14.8,14.651253,232700.0
55,2017-01-18,14.9,15.02,14.65,15.02,14.869042,165600.0
56,2017-01-19,14.91,14.91,14.55,14.75,14.601756,171900.0
57,2017-01-20,14.62,14.7,14.38,14.45,14.30477,348100.0
58,2017-01-23,14.36,14.59,14.36,14.48,14.334469,161400.0
59,2017-01-24,14.39,14.5,14.31,14.39,14.245374,163700.0
60,2017-01-26,14.36,14.4,14.21,14.29,14.146379,171700.0
61,2017-01-27,14.27,14.3,14.13,14.25,14.106781,132300.0
62,2017-01-30,14.25,14.25,13.96,14.03,13.888991,146800.0
63,2017-01-31,14.0,14.06,13.9,13.94,13.799896,223400.0
64,2017-02-01,13.99,14.0,13.71,13.8,13.661304,165100.0
65,2017-02-02,13.72,13.76,13.58,13.67,13.53261,93800.0
66,2017-02-03,13.67,13.83,12.78,12.95,12.819846,565300.0
67,2017-02-06,13.15,13.15,12.42,12.85,12.720852,362000.0
68,2017-02-07,13.09,13.9,12.78,13.45,13.314821,497600.0
69,2017-02-08,13.6,13.89,13.25,13.4,13.265324,154400.0
70,2017-02-09,13.4,13.49,13.18,13.25,13.116832,231700.0
71,2017-02-10,13.25,13.64,13.06,13.47,13.33462,148700.0
72,2017-02-13,13.55,13.72,13.45,13.5,13.364319,524000.0
73,2017-02-14,13.62,14.24,13.34,13.61,13.473213,115900.0
74,2017-02-15,13.6,13.7,13.45,13.48,13.344519,156900.0
75,2017-02-16,13.4,13.55,13.01,13.27,13.136631,275200.0
76,2017-02-17,13.16,13.24,13.02,13.05,12.918841,159200.0
77,2017-02-20,13.1,13.2,12.98,13.12,12.988137,148400.0
78,2017-02-21,13.21,13.21,12.8,12.99,12.859445,117400.0
79,2017-02-22,12.94,12.96,12.82,12.91,12.780249,35700.0
80,2017-02-23,13.12,13.12,12.66,13.07,12.938641,158400.0
81,2017-02-24,12.95,13.15,12.66,12.74,12.611958,238700.0
82,2017-03-01,12.87,12.92,12.74,12.89,12.76045,61600.0
83,2017-03-02,12.89,12.98,12.63,12.7,12.572359,321700.0
84,2017-03-03,12.82,12.82,12.51,12.51,12.384269,244600.0
85,2017-03-06,12.6,12.6,12.09,12.09,11.968491,647400.0
86,2017-03-07,12.11,12.8,11.81,12.67,12.542661,753600.0
87,2017-03-08,12.59,13.02,12.42,12.99,12.859445,221400.0
88,2017-03-09,13.0,13.14,12.96,13.0,12.869345,67900.0
89,2017-03-10,13.1,13.1,12.67,12.98,12.849545,252500.0
90,2017-03-13,12.99,13.24,12.77,13.02,12.889144,69700.0
91,2017-03-14,13.05,13.34,13.05,13.21,13.077233,407300.0
92,2017-03-15,13.29,13.39,13.18,13.3,13.166328,223700.0
93,2017-03-16,13.37,13.39,13.16,13.25,13.116832,23700.0
94,2017-03-17,13.25,13.26,12.96,12.99,12.859445,98600.0
95,2017-03-20,12.99,13.2,12.7,12.98,12.849545,37700.0
96,2017-03-21,13.19,13.33,12.8,13.01,12.879244,182000.0
97,2017-03-22,12.83,13.27,12.81,13.0,12.869345,133300.0
98,2017-03-23,13.3,14.24,13.3,13.99,13.849394,421300.0
99,2017-03-24,14.05,14.75,14.04,14.65,14.50276,476100.0
100,2017-03-27,14.5,15.21,14.2,14.88,14.73045,374100.0
101,2017-03-28,14.85,15.12,14.79,14.99,14.839343,62400.0
102,2017-03-29,14.95,14.95,14.5,14.84,14.690851,372400.0
103,2017-03-30,14.84,14.95,14.68,14.8,14.651253,354100.0
104,2017-03-31,14.88,15.63,14.87,15.63,15.472911,203400.0
105,2017-04-03,15.7,15.7,15.18,15.45,15.29472,462800.0
106,2017-04-04,15.49,15.75,15.34,15.57,15.413514,555900.0
107,2017-04-05,15.61,15.79,15.37,15.6,15.443213,203800.0
108,2017-04-06,15.58,15.62,15.05,15.3,15.146229,273500.0
109,2017-04-07,15.26,15.39,15.15,15.39,15.235324,113100.0
110,2017-04-10,15.3,15.79,15.11,15.58,15.423414,62700.0
111,2017-04-11,15.58,15.58,15.18,15.43,15.274921,258300.0
112,2017-04-12,15.45,15.65,15.29,15.65,15.49271,404400.0
113,2017-04-13,15.58,16.58,15.47,16.370001,16.205475,90400.0
114,2017-04-17,16.25,16.43,15.97,16.43,16.264872,84200.0
115,2017-04-18,16.33,16.52,16.25,16.52,16.353968,78200.0
116,2017-04-19,16.469999,16.469999,16.25,16.459999,16.294567,115700.0
117,2017-04-20,16.6,17.15,16.35,16.389999,16.225273,153200.0
118,2017-04-24,16.41,16.540001,16.15,16.540001,16.373766,120400.0
119,2017-04-25,16.469999,16.5,16.309999,16.49,16.324266,263300.0
120,2017-04-26,16.51,16.57,16.24,16.25,16.086681,211500.0
121,2017-04-27,16.200001,16.85,16.15,16.85,16.680651,225700.0
122,2017-04-28,16.75,18.58,16.5,18.58,18.393261,362000.0
123,2017-05-02,18.209999,18.5,17.370001,17.889999,17.710196,460300.0
124,2017-05-03,17.75,18.16,17.32,18.0,17.819092,116100.0
125,2017-05-04,17.549999,18.040001,17.549999,17.98,17.799294,49600.0
126,2017-05-05,17.799999,18.200001,17.5,18.0,17.819092,296900.0
127,2017-05-08,17.860001,18.0,17.85,18.0,17.819092,105800.0
128,2017-05-09,18.0,18.01,17.93,17.99,17.809193,170600.0
129,2017-05-10,18.1,18.280001,17.93,18.0,17.819092,281300.0
130,2017-05-11,18.0,18.4,17.559999,17.940001,17.759695,565600.0
131,2017-05-12,17.940001,18.450001,17.940001,18.450001,18.26457,175000.0
132,2017-05-15,18.5,18.959999,18.360001,18.5,18.314066,248100.0
133,2017-05-16,18.610001,18.700001,17.9,18.15,17.967585,677600.0
134,2017-05-17,18.0,18.08,17.719999,18.040001,17.858692,384400.0
135,2017-05-18,16.17,16.780001,15.61,16.59,16.423264,354600.0
136,2017-05-19,16.959999,17.25,16.790001,17.120001,16.947937,342400.0
137,2017-05-22,17.040001,17.07,16.49,17.0,16.829142,224300.0
138,2017-05-23,16.860001,17.389999,16.860001,17.0,16.829142,884400.0
139,2017-05-24,17.15,17.309999,16.9,17.18,17.007334,294400.0
140,2017-05-25,17.120001,17.35,16.950001,17.299999,17.126127,396800.0
141,2017-05-26,17.4,17.74,17.299999,17.549999,17.373613,228100.0
142,2017-05-29,17.549999,18.0,17.549999,17.9,17.720097,687700.0
143,2017-05-30,17.92,18.27,17.77,18.0,17.819092,247800.0
144,2017-05-31,18.0,18.07,17.700001,17.73,17.551804,839400.0
145,2017-06-01,17.83,17.950001,17.440001,17.950001,17.769594,140500.0
146,2017-06-02,17.92,18.27,17.82,18.200001,18.017084,238000.0
147,2017-06-05,18.18,18.18,17.940001,18.0,17.819092,204300.0
148,2017-06-06,17.940001,17.940001,17.620001,17.879999,17.700296,388000.0
149,2017-06-07,17.940001,17.98,17.66,17.969999,17.789392,652600.0
150,2017-06-08,17.82,18.07,17.76,17.889999,17.710196,427400.0
151,2017-06-09,17.870001,18.18,17.65,18.0,17.819092,224200.0
152,2017-06-12,17.940001,18.200001,17.799999,18.200001,18.017084,441400.0
153,2017-06-13,18.120001,18.25,17.950001,18.0,17.819092,309800.0
