,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-11-12,6.72,7.09,6.05,6.1,6.1,10719500.0
1,2020-11-13,6.09,6.48,6.07,6.42,6.42,2830900.0
2,2020-11-16,6.53,6.98,6.53,6.8,6.8,5568700.0
3,2020-11-17,6.9,7.05,6.72,6.73,6.73,3922900.0
4,2020-11-18,6.84,6.86,6.54,6.73,6.73,1352500.0
5,2020-11-19,6.73,6.8,6.63,6.8,6.8,2059000.0
6,2020-11-23,6.82,6.89,6.75,6.81,6.81,1813900.0
7,2020-11-24,6.81,6.92,6.7,6.8,6.8,1432500.0
8,2020-11-25,6.8,6.81,6.68,6.73,6.73,1917200.0
9,2020-11-26,6.71,6.72,6.61,6.67,6.67,1194800.0
10,2020-11-27,6.67,6.77,6.6,6.74,6.74,507300.0
11,2020-11-30,6.78,6.8,6.65,6.65,6.65,1456400.0
12,2020-12-01,6.7,6.88,6.67,6.8,6.8,1095100.0
13,2020-12-02,6.8,6.9,6.72,6.9,6.9,737800.0
14,2020-12-03,7.0,7.0,6.9,6.9,6.9,769100.0
15,2020-12-04,6.92,6.98,6.84,6.97,6.97,302600.0
16,2020-12-07,7.0,7.3,6.98,7.24,7.24,2056700.0
17,2020-12-08,7.29,7.6,7.27,7.45,7.45,1153500.0
18,2020-12-09,7.59,7.59,7.31,7.39,7.39,958700.0
19,2020-12-10,7.49,7.49,7.19,7.33,7.33,1360700.0
20,2020-12-11,7.25,7.31,7.16,7.24,7.24,892500.0
21,2020-12-14,7.34,7.56,7.22,7.35,7.35,2181400.0
22,2020-12-15,7.35,7.44,7.2,7.32,7.32,3563000.0
23,2020-12-16,7.31,7.45,7.25,7.38,7.38,3449500.0
24,2020-12-17,7.37,7.48,7.37,7.48,7.48,1239200.0
25,2020-12-18,7.5,7.6,7.43,7.54,7.54,2275600.0
26,2020-12-21,7.54,8.04,7.42,7.94,7.94,3576100.0
27,2020-12-22,8.1,9.25,8.06,9.09,9.09,5929300.0
28,2020-12-23,9.39,10.37,9.36,9.66,9.66,10695300.0
29,2020-12-28,9.79,10.1,9.79,9.91,9.91,5044200.0
30,2020-12-29,9.96,10.72,9.93,10.34,10.34,5365200.0
31,2020-12-30,10.4,10.8,10.0,10.0,10.0,5575800.0
32,2021-01-04,10.39,10.76,10.03,10.53,10.53,5003800.0
33,2021-01-05,10.56,10.85,10.18,10.31,10.31,5088800.0
34,2021-01-06,10.4,10.5,10.1,10.13,10.13,2569000.0
35,2021-01-07,10.17,10.49,10.17,10.37,10.37,3661200.0
36,2021-01-08,10.39,10.69,10.22,10.66,10.66,3022600.0
37,2021-01-11,10.5,11.58,10.41,11.5,11.5,6549300.0
38,2021-01-12,11.66,12.12,11.57,11.92,11.92,6202600.0
39,2021-01-13,11.94,12.78,11.94,12.33,12.33,5075000.0
40,2021-01-14,12.56,13.06,12.35,12.89,12.89,6825500.0
41,2021-01-15,12.89,13.79,12.81,13.05,13.05,11450700.0
42,2021-01-18,13.32,13.52,12.91,13.13,13.13,5244800.0
43,2021-01-19,13.25,13.38,11.96,11.96,11.96,9051700.0
44,2021-01-20,12.18,13.1,11.52,13.0,13.0,14854400.0
45,2021-01-21,13.55,13.9,12.45,12.82,12.82,18842500.0
46,2021-01-22,12.64,13.18,12.21,12.36,12.36,10922900.0
47,2021-01-26,12.65,12.82,11.79,12.22,12.22,9108200.0
48,2021-01-27,12.09,12.16,11.62,11.74,11.74,7635700.0
49,2021-01-28,11.7,12.3,11.05,12.22,12.22,7492300.0
50,2021-01-29,12.0,12.19,11.52,11.84,11.84,5445300.0
51,2021-02-01,12.18,12.48,11.97,12.45,12.45,4156600.0
52,2021-02-02,12.65,12.75,12.31,12.43,12.43,5177700.0
53,2021-02-03,12.46,12.53,12.11,12.11,12.11,3479900.0
54,2021-02-04,12.11,12.29,11.95,11.97,11.97,3466700.0
55,2021-02-05,12.1,12.12,11.62,11.72,11.72,4058100.0
56,2021-02-08,11.85,12.09,11.45,11.9,11.9,9070700.0
57,2021-02-09,12.06,12.09,11.76,11.85,11.85,4039500.0
58,2021-02-10,11.29,11.58,10.8,11.0,11.0,15897900.0
59,2021-02-11,11.0,11.0,10.33,10.41,10.41,6367600.0
60,2021-02-12,10.19,11.14,9.9,11.1,11.1,11423600.0
61,2021-02-17,,,,,,
62,2021-02-18,10.98,11.07,10.15,10.36,10.36,8750500.0
63,2021-02-19,10.36,10.68,10.05,10.17,10.17,6520400.0
64,2021-02-22,9.85,10.31,9.58,10.1,10.1,5103600.0
65,2021-02-23,10.2,10.67,10.12,10.61,10.61,4190000.0
66,2021-02-24,11.54,11.88,10.86,11.11,11.11,11202600.0
