,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-03-29,17.43,17.540001,16.620001,16.92,16.65188,696800
1,2021-03-30,16.91,17.690001,16.91,17.690001,17.409679,802200
2,2021-03-31,17.639999,17.65,17.4,17.4,17.124273,662000
3,2021-04-01,17.290001,17.290001,16.969999,17.0,16.730614,959700
4,2021-04-05,17.0,17.0,16.75,16.75,16.484575,807500
5,2021-04-06,16.85,16.860001,16.370001,16.530001,16.268061,1374700
6,2021-04-07,16.459999,16.52,16.200001,16.200001,15.943292,892900
7,2021-04-08,16.200001,16.299999,15.75,15.94,15.687409,897700
8,2021-04-09,15.94,16.02,15.61,15.62,15.37248,1016500
9,2021-04-12,15.6,15.98,15.6,15.77,15.520104,558400
10,2021-04-13,15.84,15.93,15.51,15.51,15.264223,1107600
11,2021-04-14,15.52,15.65,15.49,15.49,15.24454,638700
12,2021-04-15,15.58,15.63,15.35,15.35,15.106759,1125200
13,2021-04-16,15.35,15.85,15.33,15.85,15.598836,1178600
14,2021-04-19,15.9,16.0,15.67,15.96,15.707093,784900
15,2021-04-20,15.98,15.99,15.72,15.72,15.470896,1088600
16,2021-04-22,15.83,15.83,15.32,15.32,15.077234,1295600
17,2021-04-23,15.36,15.66,15.27,15.6,15.352798,754200
18,2021-04-26,15.7,15.72,15.36,15.39,15.146126,809000
19,2021-04-27,15.48,15.48,15.12,15.13,14.890245,1110400
20,2021-04-28,15.13,15.29,15.06,15.12,14.880404,842500
21,2021-04-29,15.1,15.17,14.85,14.9,14.66389,1315500
22,2021-04-30,14.9,14.93,13.73,13.73,13.512429,5443800
23,2021-05-03,14.35,15.04,14.16,15.04,14.801671,2669300
24,2021-05-04,15.18,15.27,14.41,14.41,14.181655,1311900
25,2021-05-05,14.49,14.61,14.41,14.61,14.378485,506600
26,2021-05-06,14.62,14.84,14.46,14.7,14.467059,1366700
27,2021-05-07,14.93,14.94,14.62,14.65,14.417851,1710500
28,2021-05-10,14.7,14.83,14.3,14.4,14.171812,1627000
29,2021-05-11,14.13,14.29,13.98,14.2,14.138532,2446300
30,2021-05-12,14.2,14.24,14.07,14.1,14.038965,875000
