,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,11.03,11.03,10.94,10.95,8.044152,46700.0
1,2016-01-05,10.97,11.0,10.96,10.99,8.073536,49500.0
2,2016-01-06,11.0,11.0,10.87,10.9,8.007421,50800.0
3,2016-01-07,10.93,10.93,10.55,10.8,7.933958,44600.0
4,2016-01-08,10.8,10.96,10.64,10.92,8.022113,43400.0
5,2016-01-11,10.85,10.86,10.65,10.69,7.853149,44100.0
6,2016-01-12,10.65,10.74,10.6,10.65,7.823764,61600.0
7,2016-01-13,10.55,10.66,10.45,10.45,7.676839,57600.0
8,2016-01-14,10.45,10.45,10.4,10.45,7.676839,21200.0
9,2016-01-15,10.4,10.64,10.35,10.4,7.640108,33900.0
10,2016-01-18,10.5,10.5,10.39,10.4,7.640108,23600.0
11,2016-01-19,10.3,10.37,10.25,10.25,7.529914,12000.0
12,2016-01-20,10.3,10.33,10.06,10.06,7.390334,12400.0
13,2016-01-21,10.05,10.11,9.95,9.99,7.33891,21500.0
14,2016-01-22,9.98,10.1,9.67,9.93,7.294834,16300.0
15,2016-01-26,9.7,9.81,9.25,9.25,6.795288,115600.0
16,2016-01-27,9.22,9.22,8.71,8.75,6.427976,1248700.0
17,2016-01-28,8.98,9.4,8.92,9.19,6.75121,26800.0
18,2016-01-29,9.4,9.94,9.39,9.5,6.978945,20400.0
19,2016-02-01,9.5,9.53,9.11,9.53,7.000983,21300.0
20,2016-02-02,9.35,9.6,8.98,9.43,6.927521,34000.0
21,2016-02-03,9.22,9.22,8.95,9.19,6.75121,28900.0
22,2016-02-04,9.19,9.19,9.02,9.02,6.626325,46000.0
23,2016-02-05,9.05,9.35,9.02,9.16,6.729171,46000.0
24,2016-02-10,9.16,9.4,9.16,9.3,6.832019,4766600.0
25,2016-02-11,9.49,9.79,9.4,9.76,7.169948,29900.0
26,2016-02-12,9.55,10.17,9.55,10.15,7.456451,9000.0
27,2016-02-15,10.25,10.5,10.07,10.31,7.573992,51100.0
28,2016-02-16,10.4,10.7,10.33,10.61,7.794377,74700.0
29,2016-02-17,10.79,11.1,10.79,11.1,8.154346,80900.0
30,2016-02-18,11.09,11.1,10.9,11.05,8.117615,29900.0
31,2016-02-19,11.1,11.19,10.9,11.05,8.117615,41800.0
32,2016-02-22,11.06,11.25,11.06,11.17,8.20577,45800.0
33,2016-02-23,11.17,11.17,11.03,11.15,8.191076,51800.0
34,2016-02-24,11.14,11.15,11.0,11.0,8.080883,30000.0
35,2016-02-25,11.0,11.0,10.62,10.9,8.007421,33300.0
36,2016-02-26,10.91,10.94,10.72,10.91,8.014767,12100.0
37,2016-02-29,10.96,11.15,10.92,11.15,8.191076,33900.0
38,2016-03-01,11.15,11.15,10.9,11.0,8.080883,54900.0
39,2016-03-02,11.1,11.1,10.91,11.05,8.117615,45700.0
40,2016-03-03,11.14,11.15,10.9,11.0,8.080883,49300.0
41,2016-03-04,11.06,11.2,10.63,10.94,8.036805,68400.0
42,2016-03-07,10.99,11.1,10.76,11.03,8.102921,23000.0
43,2016-03-08,11.01,11.15,11.0,11.15,8.191076,35300.0
44,2016-03-09,11.15,11.2,11.02,11.2,8.227809,37900.0
45,2016-03-10,11.2,11.24,11.12,11.24,8.257193,36200.0
46,2016-03-11,11.25,11.27,11.14,11.26,8.271887,35500.0
47,2016-03-14,11.27,11.48,11.11,11.3,8.30127,45600.0
48,2016-03-15,11.17,11.33,11.05,11.18,8.213116,48900.0
49,2016-03-16,11.17,11.17,11.0,11.14,8.183731,56500.0
50,2016-03-17,11.14,11.25,11.01,11.04,8.110268,76100.0
51,2016-03-18,11.0,11.1,10.99,11.04,8.110268,51500.0
52,2016-03-21,11.15,11.18,11.0,11.18,8.213116,46800.0
53,2016-03-22,11.18,11.2,11.08,11.13,8.176384,40200.0
54,2016-03-23,11.11,11.18,11.01,11.18,8.213116,30900.0
55,2016-03-24,11.18,11.2,11.11,11.18,8.213116,40300.0
56,2016-03-28,11.15,11.43,11.15,11.2,8.227809,120100.0
57,2016-03-29,11.2,11.28,11.0,11.0,8.080883,74200.0
58,2016-03-30,11.1,11.18,11.01,11.1,8.154346,51600.0
59,2016-03-31,11.09,11.3,11.09,11.3,8.30127,56900.0
60,2016-04-01,11.19,11.4,11.19,11.34,8.330657,58600.0
61,2016-04-04,11.39,11.4,11.25,11.39,8.367388,57800.0
62,2016-04-05,11.39,11.4,11.21,11.36,8.345347,96100.0
63,2016-04-06,11.34,11.4,11.26,11.34,8.330657,51200.0
64,2016-04-07,11.4,11.4,11.21,11.3,8.30127,34900.0
65,2016-04-08,11.27,11.45,11.27,11.45,8.411465,83400.0
66,2016-04-11,11.44,11.45,11.28,11.43,8.396772,43100.0
67,2016-04-12,11.43,11.45,11.3,11.43,8.396772,102700.0
68,2016-04-13,11.37,11.59,11.25,11.59,8.514313,113700.0
69,2016-04-14,11.71,11.9,11.68,11.86,8.712661,174500.0
70,2016-04-15,11.85,12.2,11.85,12.15,8.925703,109800.0
71,2016-04-18,12.15,12.3,12.1,12.3,9.035895,67200.0
72,2016-04-19,12.39,12.7,12.3,12.58,9.241591,232900.0
73,2016-04-20,12.59,12.66,12.32,12.51,9.190167,36100.0
74,2016-04-22,12.52,12.52,12.01,12.23,8.984472,58100.0
75,2016-04-25,12.12,12.25,12.1,12.15,8.925703,34900.0
76,2016-04-26,12.16,12.16,11.8,11.83,8.690621,30900.0
77,2016-04-27,12.0,12.07,11.55,11.71,8.602467,103100.0
78,2016-04-28,11.76,12.1,11.71,11.88,8.727354,17800.0
79,2016-04-29,11.79,12.0,11.79,12.0,8.81551,15200.0
80,2016-05-02,12.0,12.0,11.77,11.92,8.756739,14500.0
81,2016-05-03,11.8,11.95,11.75,11.92,8.756739,8600.0
82,2016-05-04,11.8,11.93,11.71,11.92,8.756739,20000.0
83,2016-05-05,11.96,12.0,11.81,11.94,8.771431,31800.0
84,2016-05-06,11.82,11.95,11.8,11.95,8.778778,31600.0
85,2016-05-09,11.95,11.95,11.56,11.6,8.521658,39900.0
86,2016-05-10,11.7,11.82,11.7,11.8,8.668584,33500.0
87,2016-05-11,11.87,11.95,11.8,11.85,8.705315,35700.0
88,2016-05-12,11.89,11.94,11.82,11.85,8.705315,27000.0
89,2016-05-13,11.86,11.89,11.69,11.87,8.720007,24800.0
90,2016-05-16,11.95,11.95,11.76,11.9,8.742046,50400.0
91,2016-05-17,11.99,11.99,11.76,11.9,8.742046,346600.0
92,2016-05-18,11.9,11.95,11.77,11.8,8.668584,56000.0
93,2016-05-19,11.81,11.81,11.51,11.72,8.609814,52600.0
94,2016-05-20,11.84,11.95,11.61,11.85,8.705315,39300.0
95,2016-05-23,11.85,11.85,11.68,11.78,8.653891,35400.0
96,2016-05-24,11.8,11.85,11.6,11.7,8.595121,47900.0
97,2016-05-25,11.75,11.75,11.4,11.55,8.484927,67100.0
98,2016-05-27,11.65,11.65,11.41,11.55,8.484927,50200.0
99,2016-05-30,11.64,11.74,11.48,11.74,8.624505,28000.0
100,2016-05-31,11.69,11.87,11.55,11.87,8.720007,32700.0
101,2016-06-01,11.86,11.86,11.5,11.75,8.631852,20700.0
102,2016-06-02,11.75,11.75,11.6,11.74,8.624505,36000.0
103,2016-06-03,11.71,11.77,11.55,11.66,8.565737,53500.0
104,2016-06-06,11.77,11.77,11.44,11.5,8.448195,53700.0
105,2016-06-07,11.5,11.5,11.2,11.27,8.279232,57900.0
106,2016-06-08,11.38,11.38,11.24,11.27,8.279232,50900.0
107,2016-06-09,11.3,11.34,11.19,11.28,8.286578,51200.0
108,2016-06-10,11.29,11.29,11.16,11.2,8.227809,33600.0
109,2016-06-13,11.24,11.24,10.9,11.0,8.080883,44600.0
110,2016-06-14,10.95,11.0,10.9,11.0,8.080883,211700.0
111,2016-06-15,11.1,11.46,11.0,11.21,8.235154,85900.0
112,2016-06-16,11.21,11.45,10.9,11.01,8.08823,86500.0
113,2016-06-17,11.1,11.3,11.04,11.28,8.286578,33200.0
114,2016-06-20,11.36,11.6,11.06,11.08,8.139653,58500.0
115,2016-06-21,11.21,11.21,10.98,11.1,8.154346,340000.0
116,2016-06-22,11.2,11.29,11.06,11.1,8.154346,42400.0
117,2016-06-23,11.2,12.1,11.2,11.99,8.808162,364200.0
118,2016-06-24,11.64,11.89,11.2,11.85,8.705315,245100.0
119,2016-06-27,12.0,12.09,11.82,11.9,8.742046,165100.0
120,2016-06-28,11.99,12.08,11.96,11.96,8.786123,73400.0
121,2016-06-29,12.01,12.1,11.76,11.9,8.742046,72600.0
122,2016-06-30,11.99,12.0,11.81,11.97,8.793469,51800.0
123,2016-07-01,12.12,12.25,12.0,12.11,8.896317,85800.0
124,2016-07-04,12.19,12.19,11.94,11.94,8.771431,85400.0
125,2016-07-05,12.09,12.43,12.0,12.3,9.035895,182800.0
126,2016-07-06,12.28,12.5,12.18,12.4,9.109358,140900.0
127,2016-07-07,12.4,12.66,12.4,12.55,9.219553,92600.0
128,2016-07-08,12.55,12.79,12.55,12.75,9.366477,42200.0
129,2016-07-11,12.8,12.85,12.5,12.65,9.293015,65400.0
130,2016-07-12,12.7,12.75,12.39,12.61,9.263629,128400.0
131,2016-07-13,12.61,12.7,12.21,12.21,8.96978,65100.0
132,2016-07-14,12.4,12.61,12.39,12.6,9.256285,78400.0
133,2016-07-15,12.6,12.65,12.45,12.45,9.146091,65000.0
134,2016-07-18,12.52,12.59,12.4,12.44,9.138743,56300.0
135,2016-07-19,12.44,12.7,12.02,12.7,9.329746,231900.0
136,2016-07-20,12.7,12.8,12.6,12.79,9.395864,117600.0
137,2016-07-21,12.79,12.8,12.66,12.7,9.329746,83300.0
138,2016-07-22,12.79,12.79,12.67,12.7,9.329746,163800.0
139,2016-07-25,12.85,13.06,12.75,13.03,9.572173,162400.0
140,2016-07-26,13.03,13.29,12.83,12.88,9.461979,134600.0
141,2016-07-27,13.17,13.17,12.6,12.81,9.410557,86400.0
142,2016-07-28,12.89,12.89,12.44,12.56,9.2269,73300.0
143,2016-07-29,12.6,12.98,12.55,12.73,9.351785,107200.0
144,2016-08-01,13.0,13.05,12.72,12.72,9.34444,71200.0
145,2016-08-02,12.96,12.96,12.39,12.62,9.270977,77500.0
146,2016-08-03,12.62,12.84,12.62,12.64,9.285669,67700.0
147,2016-08-04,12.64,12.85,12.54,12.57,9.234246,68700.0
148,2016-08-05,12.57,12.81,12.55,12.55,9.219553,62500.0
149,2016-08-08,12.69,12.84,12.55,12.6,9.256285,73900.0
150,2016-08-09,12.65,12.79,12.56,12.6,9.256285,77000.0
151,2016-08-10,12.61,12.68,12.55,12.55,9.219553,44700.0
152,2016-08-11,12.55,12.64,11.75,12.09,8.881625,359800.0
153,2016-08-12,12.17,12.3,12.02,12.16,8.933048,100500.0
154,2016-08-15,12.26,12.34,12.1,12.2,8.962434,108100.0
155,2016-08-16,12.2,12.28,12.1,12.2,8.962434,55100.0
156,2016-08-17,12.24,12.24,12.06,12.1,8.888972,45900.0
157,2016-08-18,12.1,12.21,11.83,11.99,8.808162,104100.0
158,2016-08-19,12.04,12.05,11.84,11.95,8.778778,134500.0
159,2016-08-22,12.02,12.4,12.02,12.26,9.006512,107200.0
160,2016-08-23,12.39,12.45,12.19,12.26,9.006512,139000.0
161,2016-08-24,12.3,12.38,12.24,12.24,8.991819,67100.0
162,2016-08-25,12.3,12.34,12.15,12.19,8.955088,84900.0
163,2016-08-26,12.19,12.29,12.12,12.13,8.91101,62700.0
164,2016-08-29,12.24,12.29,12.12,12.23,8.984472,46300.0
165,2016-08-30,12.3,12.3,12.02,12.02,8.830201,80600.0
166,2016-08-31,12.09,12.25,12.03,12.07,8.866932,69100.0
167,2016-09-01,12.26,12.3,11.85,11.91,8.749393,96000.0
168,2016-09-02,12.0,12.29,11.97,12.29,9.028551,51900.0
169,2016-09-05,12.29,12.3,12.0,12.0,8.81551,48500.0
170,2016-09-06,12.04,12.13,11.58,11.75,8.631852,149000.0
171,2016-09-08,11.8,11.84,11.46,11.55,8.484927,107400.0
172,2016-09-09,11.55,11.6,11.38,11.38,8.360041,100200.0
173,2016-09-12,11.37,11.37,10.93,11.01,8.08823,154200.0
174,2016-09-13,11.06,11.12,10.75,11.01,8.08823,164800.0
175,2016-09-14,11.17,11.43,11.05,11.43,8.396772,83800.0
176,2016-09-15,11.42,11.58,11.23,11.25,8.26454,69000.0
177,2016-09-16,11.49,11.49,11.0,11.06,8.124961,30900.0
178,2016-09-19,11.07,11.24,11.07,11.13,8.176384,26100.0
179,2016-09-20,11.29,11.29,11.03,11.05,8.117615,29000.0
180,2016-09-21,11.2,11.65,11.2,11.5,8.448195,119000.0
181,2016-09-22,11.64,11.85,11.33,11.33,8.323309,97900.0
182,2016-09-23,11.44,11.73,11.44,11.6,8.521658,74500.0
183,2016-09-26,11.64,11.64,11.3,11.41,8.382079,38900.0
184,2016-09-27,11.55,11.55,11.23,11.38,8.360041,32300.0
185,2016-09-28,11.5,11.5,11.25,11.25,8.26454,36300.0
186,2016-09-29,11.33,11.39,11.2,11.24,8.257193,38500.0
187,2016-09-30,11.24,11.48,11.23,11.48,8.433504,56000.0
188,2016-10-03,11.48,11.5,11.3,11.46,8.418811,32700.0
189,2016-10-04,11.48,11.49,11.3,11.4,8.374732,14700.0
190,2016-10-05,11.4,11.46,11.34,11.41,8.382079,27600.0
191,2016-10-06,11.4,11.46,11.28,11.35,8.338002,33700.0
192,2016-10-07,11.36,11.42,11.2,11.41,8.382079,66900.0
193,2016-10-10,11.46,11.48,11.39,11.48,8.433504,37700.0
194,2016-10-11,11.47,11.48,11.33,11.37,8.352695,24400.0
195,2016-10-13,11.3,11.4,11.26,11.35,8.338002,18100.0
196,2016-10-14,11.36,11.36,11.27,11.3,8.30127,29200.0
197,2016-10-17,11.3,11.31,11.26,11.28,8.286578,42800.0
198,2016-10-18,11.28,11.41,11.27,11.38,8.360041,45000.0
199,2016-10-19,11.38,11.5,11.34,11.34,8.330657,61700.0
200,2016-10-20,11.31,11.43,11.28,11.43,8.396772,43800.0
201,2016-10-21,11.5,11.5,11.11,11.46,8.418811,67300.0
202,2016-10-24,11.27,11.4,11.24,11.25,8.398653,50700.0
203,2016-10-25,11.27,11.27,10.97,11.15,8.323998,25400.0
204,2016-10-26,11.15,11.16,11.1,11.15,8.323998,17000.0
205,2016-10-27,11.15,11.2,11.1,11.2,8.361326,27000.0
206,2016-10-28,11.13,11.13,10.61,10.75,8.025379,300400.0
207,2016-10-31,10.7,10.7,10.14,10.36,7.734226,291500.0
208,2016-11-01,10.3,10.31,10.03,10.14,7.569985,144600.0
209,2016-11-03,10.05,10.06,9.9,10.05,7.502796,165300.0
210,2016-11-04,10.0,10.5,10.0,10.35,7.726761,95100.0
211,2016-11-07,10.35,10.5,10.3,10.5,7.838744,71800.0
212,2016-11-08,10.4,10.4,10.05,10.29,7.987059,57400.0
213,2016-11-09,9.93,10.28,9.61,10.1,7.839583,157900.0
214,2016-11-10,10.07,10.2,9.78,9.94,7.715391,100700.0
215,2016-11-11,9.8,9.85,9.4,9.64,7.482533,143400.0
216,2016-11-14,9.5,9.64,9.4,9.5,7.373865,37400.0
217,2016-11-16,9.6,10.0,9.59,9.95,7.723153,31200.0
218,2016-11-17,10.0,10.2,9.81,10.0,7.761963,29000.0
219,2016-11-18,10.05,10.11,10.0,10.11,7.847345,54100.0
220,2016-11-21,10.1,10.3,10.07,10.07,7.816296,90900.0
221,2016-11-22,10.2,10.2,9.95,10.0,7.761963,44200.0
222,2016-11-23,10.0,10.06,9.92,10.03,7.785249,10600.0
223,2016-11-24,9.91,10.0,9.9,10.0,7.761963,14400.0
224,2016-11-25,9.93,9.98,9.71,9.95,7.723153,84400.0
225,2016-11-28,9.9,10.0,9.8,9.95,7.723153,33100.0
226,2016-11-29,9.97,10.05,9.95,9.95,7.723153,71500.0
227,2016-11-30,9.97,10.0,9.95,9.99,7.7542,77800.0
228,2016-12-01,9.99,10.0,9.78,9.98,7.746439,35600.0
229,2016-12-02,9.97,9.97,9.75,9.97,7.738678,18700.0
230,2016-12-05,9.97,9.97,9.83,9.85,7.645534,16300.0
231,2016-12-06,9.85,9.94,9.76,9.78,7.591199,23000.0
232,2016-12-07,9.78,9.85,9.7,9.8,7.606724,28700.0
233,2016-12-08,9.8,9.85,9.72,9.84,7.637771,21800.0
234,2016-12-09,9.8,9.9,9.8,9.86,7.653295,25100.0
235,2016-12-12,9.76,9.92,9.7,9.85,7.645534,30000.0
236,2016-12-13,9.85,9.95,9.8,9.87,7.661058,35500.0
237,2016-12-14,9.87,10.4,9.87,10.4,8.072441,223200.0
238,2016-12-15,10.38,10.65,10.35,10.51,8.157823,38500.0
239,2016-12-16,10.5,10.7,10.5,10.6,8.227681,32900.0
240,2016-12-19,10.52,10.52,10.43,10.5,8.150062,20500.0
241,2016-12-20,10.5,10.5,10.4,10.48,8.134536,59500.0
242,2016-12-21,10.5,10.5,10.5,10.5,8.150062,105000.0
243,2016-12-22,10.5,10.5,10.41,10.49,8.1423,34500.0
244,2016-12-23,10.49,10.66,10.48,10.56,8.196633,73000.0
245,2016-12-26,10.56,10.74,10.55,10.69,8.297538,52400.0
246,2016-12-27,10.74,10.82,10.74,10.82,8.398443,44800.0
247,2016-12-28,10.82,10.97,10.82,10.93,8.483826,35900.0
248,2016-12-29,10.9,11.05,10.8,11.05,8.576969,46100.0
249,2017-01-02,11.04,11.08,10.92,10.95,8.49935,33100.0
250,2017-01-03,11.0,11.1,10.95,10.95,8.49935,48700.0
251,2017-01-04,10.95,11.08,10.88,10.95,8.49935,39400.0
252,2017-01-05,11.0,11.1,10.85,10.96,8.507112,57300.0
253,2017-01-06,11.09,11.09,10.89,11.0,8.538158,26200.0
254,2017-01-09,11.0,11.03,10.94,10.96,8.507112,31500.0
255,2017-01-10,10.96,11.05,10.95,10.97,8.514874,28800.0
256,2017-01-11,10.95,11.23,10.9,11.23,8.716683,58300.0
257,2017-01-12,11.33,11.49,11.18,11.33,8.794304,84600.0
258,2017-01-13,11.33,11.33,11.14,11.29,8.763257,28000.0
259,2017-01-16,11.15,11.44,11.15,11.24,8.724445,23700.0
260,2017-01-17,11.25,11.39,11.19,11.25,8.732208,38600.0
261,2017-01-18,11.35,11.4,11.22,11.3,8.771018,42000.0
262,2017-01-19,11.49,11.49,11.22,11.3,8.771018,29900.0
263,2017-01-20,11.38,11.49,11.31,11.48,8.910733,35300.0
264,2017-01-23,11.48,11.58,11.48,11.5,8.926258,40300.0
265,2017-01-24,11.5,11.63,11.5,11.63,9.027164,36800.0
266,2017-01-26,11.63,11.95,11.6,11.81,9.166879,117900.0
267,2017-01-27,11.95,11.98,11.86,11.86,9.205688,90600.0
268,2017-01-30,11.99,11.99,11.75,11.75,9.120306,79900.0
269,2017-01-31,11.95,11.96,11.75,11.9,9.236735,170800.0
270,2017-02-01,11.98,12.01,11.78,11.82,9.17464,235800.0
271,2017-02-02,11.82,11.85,11.54,11.75,9.120306,148200.0
272,2017-02-03,11.63,12.03,11.63,11.9,9.236735,157400.0
273,2017-02-06,11.96,12.0,11.86,11.9,9.236735,38500.0
274,2017-02-07,11.91,11.91,11.36,11.46,8.895209,84300.0
275,2017-02-08,11.94,11.94,11.6,11.75,9.120306,64500.0
276,2017-02-09,11.76,11.83,11.73,11.8,9.159116,78900.0
277,2017-02-10,11.76,11.76,11.65,11.69,9.073734,83300.0
278,2017-02-13,11.71,11.79,11.7,11.73,9.104782,76500.0
279,2017-02-14,11.81,11.81,11.65,11.72,9.097021,41800.0
280,2017-02-15,11.78,11.78,11.63,11.67,9.058211,65500.0
281,2017-02-16,12.03,12.46,11.95,12.0,9.314356,622400.0
282,2017-02-17,12.2,12.3,12.2,12.25,9.508405,277000.0
283,2017-02-20,12.32,12.4,12.26,12.36,9.593786,145700.0
284,2017-02-21,12.35,12.39,12.09,12.2,9.469595,136700.0
285,2017-02-22,12.3,12.3,12.03,12.09,9.384212,71900.0
286,2017-02-23,12.02,12.02,11.72,11.76,9.128069,146000.0
287,2017-02-24,11.83,12.0,11.71,12.0,9.314356,59000.0
288,2017-03-01,11.93,12.12,11.54,11.75,9.120306,67700.0
289,2017-03-02,11.8,11.8,11.57,11.75,9.120306,63900.0
290,2017-03-03,11.73,11.74,11.53,11.74,9.112544,81900.0
