,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-07-27,10.65,10.96,9.37,10.35,10.35,4733700
1,2021-07-28,10.5,10.5,9.83,9.84,9.84,1276300
2,2021-07-29,9.89,9.95,9.45,9.67,9.67,519700
3,2021-07-30,9.7,10.03,8.88,8.88,8.88,835100
4,2021-08-02,9.09,9.1,8.93,9.0,9.0,264500
5,2021-08-03,8.98,8.98,8.57,8.57,8.57,217100
6,2021-08-04,8.6,9.05,8.59,8.9,8.9,103000
7,2021-08-05,9.12,9.42,8.86,8.94,8.94,232600
8,2021-08-06,9.15,9.19,8.9,9.12,9.12,51900
9,2021-08-09,8.89,9.11,8.85,9.11,9.11,134600
10,2021-08-10,9.1,9.1,8.88,8.92,8.92,81200
11,2021-08-11,8.9,8.9,8.54,8.78,8.78,95900
12,2021-08-12,8.82,8.97,8.66,8.92,8.92,45600
13,2021-08-13,8.94,9.06,8.64,8.8,8.8,53100
14,2021-08-16,8.87,8.98,8.5,8.72,8.72,24000
15,2021-08-17,8.5,8.5,7.71,7.71,7.71,193900
16,2021-08-18,7.71,7.71,6.94,7.02,7.02,1069600
17,2021-08-19,6.8,7.2,6.8,7.0,7.0,361600
18,2021-08-20,7.01,7.27,7.0,7.07,7.07,51000
19,2021-08-23,7.18,7.22,7.05,7.11,7.11,116700
20,2021-08-24,7.15,8.0,7.15,7.4,7.4,229700
21,2021-08-25,7.36,7.64,7.23,7.51,7.51,255200
22,2021-08-26,7.6,7.7,7.35,7.46,7.46,84200
23,2021-08-27,7.55,7.69,7.46,7.66,7.66,40300
24,2021-08-30,7.67,7.75,7.11,7.4,7.4,102300
25,2021-08-31,7.57,7.66,7.15,7.15,7.15,56400
26,2021-09-01,7.2,7.4,7.1,7.1,7.1,102400
27,2021-09-02,7.12,7.3,7.08,7.14,7.14,634900
28,2021-09-03,7.19,7.5,7.0,7.26,7.26,339400
29,2021-09-06,7.24,7.5,7.15,7.5,7.5,33500
30,2021-09-08,7.5,8.0,7.3,7.66,7.66,284700
31,2021-09-09,7.81,9.29,7.8,9.1,9.1,478300
32,2021-09-10,9.09,10.3,8.79,9.5,9.5,410600
33,2021-09-13,9.94,10.18,9.3,10.07,10.07,491000
34,2021-09-14,10.05,10.05,9.65,9.82,9.82,245500
35,2021-09-15,9.89,9.89,9.46,9.46,9.46,93200
36,2021-09-16,9.36,9.69,9.05,9.05,9.05,55500
37,2021-09-17,9.1,9.2,8.28,8.5,8.5,303000
38,2021-09-20,8.46,8.46,8.0,8.0,8.0,41200
39,2021-09-21,8.45,8.6,8.22,8.49,8.49,92400
40,2021-09-22,8.83,8.83,8.4,8.4,8.4,51500
41,2021-09-23,8.44,9.28,8.44,9.2,9.2,191000
42,2021-09-24,8.76,9.98,8.76,9.57,9.57,302100
43,2021-09-27,9.57,9.58,8.95,9.0,9.0,85400
44,2021-09-28,9.0,9.3,8.61,8.82,8.82,46700
45,2021-09-29,8.88,9.25,8.82,8.86,8.86,30500
46,2021-09-30,8.9,8.95,8.38,8.5,8.5,184500
47,2021-10-01,8.31,8.75,8.3,8.75,8.75,15400
48,2021-10-04,8.5,8.76,8.22,8.23,8.23,19900
49,2021-10-05,8.26,8.65,8.26,8.32,8.32,7200
50,2021-10-06,8.3,8.7,8.25,8.25,8.25,15900
51,2021-10-07,8.31,8.74,7.7,7.7,7.7,115400
52,2021-10-08,7.7,8.05,7.66,7.8,7.8,65100
53,2021-10-11,7.82,8.24,7.55,8.24,8.24,90700
54,2021-10-13,8.19,8.2,7.93,8.2,8.2,33200
55,2021-10-14,8.19,8.2,7.92,8.2,8.2,135300
56,2021-10-15,8.2,8.65,8.13,8.15,8.15,26200
57,2021-10-18,8.15,8.3,7.79,7.79,7.79,69600
58,2021-10-19,7.81,7.85,7.5,7.75,7.75,46700
59,2021-10-20,7.74,7.74,7.53,7.64,7.64,8300
60,2021-10-21,7.5,7.5,7.11,7.11,7.11,42900
61,2021-10-22,7.13,7.63,7.1,7.63,7.63,33100
