,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,5.616,5.712,5.496,5.656,5.138522,190000.0
1,2016-01-05,5.6,5.616,5.288,5.288,4.80419,3407500.0
2,2016-01-06,5.312,5.352,5.152,5.296,4.811459,1107500.0
3,2016-01-07,5.264,5.384,5.144,5.36,4.869603,936625.0
4,2016-01-08,5.456,5.672,5.416,5.624,5.109449,418375.0
5,2016-01-11,5.528,5.96,5.528,5.8,5.269347,669000.0
6,2016-01-12,5.84,5.92,5.688,5.8,5.269347,387500.0
7,2016-01-13,5.84,5.976,5.768,5.92,5.378367,691375.0
8,2016-01-14,5.984,6.136,5.912,6.08,5.523728,431625.0
9,2016-01-15,6.048,6.072,5.888,5.888,5.349296,383875.0
10,2016-01-18,5.816,6.0,5.64,5.88,5.342027,282000.0
11,2016-01-19,6.0,6.08,5.824,5.952,5.407439,606500.0
12,2016-01-20,5.92,6.184,5.888,6.112,5.552801,623000.0
13,2016-01-21,6.072,6.36,5.904,6.36,5.778112,728750.0
14,2016-01-22,6.312,6.32,6.0,6.16,5.596408,1547000.0
15,2016-01-26,6.2,6.224,6.08,6.2,5.632749,769750.0
16,2016-01-27,6.152,6.208,6.08,6.08,5.523728,566750.0
17,2016-01-28,6.088,6.112,5.648,5.88,5.342027,1405750.0
18,2016-01-29,5.768,5.912,5.712,5.832,5.298419,1446875.0
19,2016-02-01,5.88,6.024,5.8,6.024,5.472853,1051375.0
20,2016-02-02,6.0,6.0,5.856,5.928,5.385636,977500.0
21,2016-02-03,5.92,6.072,5.712,5.992,5.44378,899500.0
22,2016-02-04,5.984,6.184,5.936,6.16,5.596408,530625.0
23,2016-02-05,6.2,6.2,6.04,6.08,5.523728,467250.0
24,2016-02-10,6.008,6.08,5.88,5.88,5.342027,183625.0
25,2016-02-11,5.912,5.968,5.776,5.888,5.349296,505625.0
26,2016-02-12,5.92,6.008,5.656,5.76,5.233006,401750.0
27,2016-02-15,5.824,6.0,5.76,6.0,5.451048,466000.0
28,2016-02-16,5.936,6.08,5.88,6.056,5.501924,320125.0
29,2016-02-17,6.0,6.12,5.872,5.96,5.414708,446000.0
30,2016-02-18,5.992,6.176,5.92,6.08,5.523728,525125.0
31,2016-02-19,6.088,6.272,6.088,6.088,5.530996,280250.0
32,2016-02-22,6.088,6.52,6.088,6.4,5.81445,653875.0
33,2016-02-23,6.32,6.632,6.32,6.472,5.879864,617500.0
34,2016-02-24,6.424,6.536,6.344,6.44,5.850791,222875.0
35,2016-02-25,6.44,6.984,6.4,6.92,6.286876,700500.0
36,2016-02-26,7.12,7.28,6.56,7.096,6.446773,995250.0
37,2016-02-29,7.12,7.12,6.904,7.112,6.461308,515625.0
38,2016-03-01,7.12,7.216,6.88,7.008,6.366824,808375.0
39,2016-03-02,7.032,7.096,6.936,7.04,6.395897,637750.0
40,2016-03-03,7.048,7.232,6.936,7.12,6.468577,207125.0
41,2016-03-04,7.2,7.28,6.68,6.68,6.068833,404500.0
