,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-05-21,9.99,10.05,9.8,9.8,9.8,773000.0
1,2020-05-22,9.8,9.85,9.62,9.85,9.85,407200.0
2,2020-05-25,9.92,9.95,9.78,9.87,9.87,188900.0
3,2020-05-26,9.83,10.0,9.8,9.91,9.91,56600.0
4,2020-05-27,9.87,9.9,9.76,9.76,9.76,61800.0
5,2020-05-28,9.78,9.78,9.6,9.65,9.65,46600.0
6,2020-05-29,9.59,9.85,9.5,9.5,9.5,227300.0
7,2020-06-01,9.44,9.8,9.2,9.8,9.8,81600.0
8,2020-06-02,9.82,9.95,9.57,9.59,9.59,174300.0
9,2020-06-03,9.62,9.77,9.6,9.66,9.66,957600.0
10,2020-06-04,9.59,9.93,9.59,9.9,9.9,49900.0
11,2020-06-05,9.9,10.57,9.88,9.88,9.88,470500.0
12,2020-06-08,10.0,10.19,9.65,9.7,9.7,299200.0
13,2020-06-09,9.68,10.03,9.68,9.81,9.81,127600.0
14,2020-06-10,10.05,10.09,9.69,9.95,9.95,49300.0
15,2020-06-12,9.72,9.87,9.58,9.59,9.59,70800.0
16,2020-06-15,9.57,9.69,9.15,9.4,9.4,53600.0
17,2020-06-16,9.51,9.8,9.5,9.6,9.6,42000.0
18,2020-06-17,9.74,9.8,9.52,9.78,9.78,31500.0
19,2020-06-18,9.75,9.85,9.57,9.84,9.84,43800.0
20,2020-06-19,9.85,9.86,9.37,9.37,9.37,42600.0
21,2020-06-22,9.5,9.65,9.49,9.6,9.6,37300.0
22,2020-06-23,9.77,9.78,9.51,9.72,9.72,34200.0
23,2020-06-24,9.64,9.67,9.15,9.15,9.15,85300.0
24,2020-06-25,9.2,9.49,9.16,9.35,9.35,25100.0
25,2020-06-26,9.42,9.42,9.2,9.2,9.2,17000.0
26,2020-06-29,9.42,9.42,9.14,9.15,9.15,24800.0
27,2020-06-30,9.22,9.49,9.19,9.3,9.3,56100.0
28,2020-07-01,9.2,9.58,9.2,9.5,9.5,44000.0
29,2020-07-02,9.51,9.79,9.3,9.3,9.3,37500.0
30,2020-07-03,9.45,9.6,9.31,9.6,9.6,32500.0
31,2020-07-06,9.7,9.7,9.6,9.69,9.69,53400.0
32,2020-07-07,9.79,9.82,9.65,9.81,9.81,86500.0
33,2020-07-08,9.8,9.8,9.61,9.78,9.78,28500.0
34,2020-07-09,9.77,9.89,9.7,9.86,9.86,33800.0
35,2020-07-10,9.82,9.82,9.56,9.7,9.7,72200.0
36,2020-07-13,9.76,9.76,9.37,9.37,9.37,45000.0
37,2020-07-14,9.38,9.67,9.38,9.65,9.65,52200.0
38,2020-07-15,9.7,9.7,9.49,9.68,9.68,39200.0
39,2020-07-16,9.52,9.68,9.45,9.68,9.68,16400.0
40,2020-07-17,9.68,9.8,9.55,9.8,9.8,52000.0
41,2020-07-20,9.77,9.8,9.56,9.56,9.56,59900.0
42,2020-07-21,9.66,9.78,9.55,9.65,9.65,82500.0
43,2020-07-22,9.65,9.66,9.58,9.66,9.66,8800.0
44,2020-07-23,9.64,9.66,9.38,9.38,9.38,20300.0
45,2020-07-24,9.38,9.55,9.3,9.5,9.5,19200.0
46,2020-07-27,9.6,9.75,9.31,9.69,9.69,138700.0
47,2020-07-28,9.65,9.71,9.46,9.69,9.69,92600.0
48,2020-07-29,9.56,9.71,9.48,9.71,9.71,37700.0
49,2020-07-30,9.64,9.73,9.5,9.65,9.65,76800.0
50,2020-07-31,9.64,9.68,9.4,9.68,9.68,131700.0
51,2020-08-03,9.68,9.68,9.44,9.44,9.44,26100.0
52,2020-08-04,9.44,9.65,9.23,9.65,9.65,86800.0
53,2020-08-05,9.65,9.65,9.4,9.42,9.42,50200.0
54,2020-08-06,9.53,9.53,9.34,9.38,9.38,37900.0
55,2020-08-07,9.33,9.54,9.21,9.21,9.21,49200.0
56,2020-08-10,9.26,9.5,9.17,9.17,9.17,39400.0
57,2020-08-11,9.22,9.36,9.22,9.36,9.36,23900.0
58,2020-08-12,9.3,9.44,9.24,9.35,9.35,18100.0
59,2020-08-13,9.35,9.35,9.2,9.3,9.3,11800.0
60,2020-08-14,9.31,9.35,9.23,9.26,9.26,19300.0
61,2020-08-17,9.26,9.28,9.15,9.2,9.2,21300.0
62,2020-08-18,9.2,9.31,9.18,9.2,9.2,17100.0
63,2020-08-19,9.21,9.31,9.2,9.2,9.2,5700.0
64,2020-08-20,9.15,9.31,9.15,9.31,9.31,21900.0
65,2020-08-21,9.31,9.46,9.14,9.4,9.4,47900.0
66,2020-08-24,9.46,9.68,9.43,9.57,9.57,104700.0
67,2020-08-25,9.57,9.67,9.42,9.65,9.65,41400.0
68,2020-08-26,9.6,9.69,9.48,9.69,9.69,55100.0
69,2020-08-27,9.75,9.75,9.24,9.24,9.24,54000.0
70,2020-08-28,9.24,9.65,9.18,9.65,9.65,94600.0
71,2020-08-31,9.6,9.87,9.51,9.8,9.8,165500.0
72,2020-09-01,9.8,9.94,9.79,9.85,9.85,120800.0
73,2020-09-02,9.75,9.99,9.46,9.5,9.5,2449000.0
74,2020-09-03,9.55,9.63,9.38,9.48,9.48,33000.0
75,2020-09-04,9.68,9.68,9.46,9.46,9.46,13500.0
76,2020-09-08,9.5,9.55,9.3,9.3,9.3,22100.0
77,2020-09-09,9.48,9.61,9.3,9.58,9.58,24600.0
78,2020-09-10,9.63,9.63,9.44,9.48,9.48,2600.0
79,2020-09-11,9.46,9.55,9.34,9.35,9.35,10900.0
80,2020-09-14,9.35,9.39,9.23,9.23,9.23,35600.0
81,2020-09-15,9.28,9.3,9.23,9.25,9.25,20800.0
82,2020-09-16,9.35,9.35,9.33,9.34,9.34,9800.0
83,2020-09-17,9.27,9.39,9.27,9.36,9.36,6700.0
84,2020-09-18,9.36,9.36,9.25,9.32,9.32,5500.0
85,2020-09-21,9.23,9.29,9.2,9.22,9.22,45900.0
86,2020-09-22,9.25,9.34,9.2,9.2,9.2,12800.0
87,2020-09-23,9.2,9.3,9.14,9.17,9.17,65200.0
88,2020-09-24,9.17,9.23,9.13,9.21,9.21,12500.0
89,2020-09-25,9.24,9.29,9.14,9.27,9.27,12200.0
90,2020-09-28,9.28,9.65,9.2,9.55,9.55,605700.0
91,2020-09-29,9.56,9.88,9.56,9.75,9.75,255500.0
92,2020-09-30,9.75,9.88,9.75,9.83,9.83,46800.0
93,2020-10-01,9.85,10.33,9.85,10.09,10.09,92500.0
94,2020-10-02,10.01,10.32,9.94,10.22,10.22,88700.0
95,2020-10-05,10.22,10.5,9.91,10.12,10.12,87700.0
96,2020-10-06,10.37,10.45,10.25,10.39,10.39,22600.0
97,2020-10-07,10.4,10.49,10.39,10.44,10.44,15600.0
98,2020-10-08,10.44,10.48,10.39,10.47,10.47,20200.0
99,2020-10-09,10.47,10.5,10.13,10.25,10.25,72300.0
100,2020-10-13,10.26,10.37,10.22,10.3,10.3,25200.0
101,2020-10-14,10.36,10.5,10.14,10.29,10.29,53700.0
102,2020-10-15,10.29,10.29,10.05,10.05,10.05,18600.0
103,2020-10-16,10.08,10.16,10.05,10.05,10.05,16600.0
104,2020-10-19,10.08,10.16,9.56,10.0,10.0,35400.0
105,2020-10-20,10.0,10.09,9.92,9.94,9.94,17400.0
106,2020-10-21,9.98,10.09,9.96,10.03,10.03,17000.0
107,2020-10-22,9.94,10.0,9.93,9.94,9.94,16400.0
108,2020-10-23,10.0,10.2,9.8,10.0,10.0,22700.0
109,2020-10-26,10.04,10.04,9.86,9.86,9.86,17500.0
110,2020-10-27,9.97,10.02,9.8,9.8,9.8,16100.0
111,2020-10-28,9.79,10.0,9.39,9.45,9.45,46600.0
112,2020-10-29,9.49,9.54,9.34,9.42,9.42,29700.0
113,2020-10-30,9.46,9.75,9.46,9.74,9.74,20200.0
114,2020-11-03,9.8,10.1,9.57,9.95,9.95,24000.0
115,2020-11-04,9.95,10.05,9.8,9.8,9.8,46900.0
116,2020-11-05,9.9,10.05,9.89,9.95,9.95,35600.0
117,2020-11-06,9.96,10.0,9.75,9.95,9.95,23200.0
118,2020-11-09,10.2,10.2,9.75,9.75,9.75,68100.0
119,2020-11-10,9.73,10.15,9.73,9.95,9.95,32500.0
120,2020-11-11,9.95,10.13,9.69,9.8,9.8,72700.0
121,2020-11-12,9.88,9.88,9.69,9.73,9.73,27200.0
122,2020-11-13,9.62,9.85,9.62,9.7,9.7,22600.0
123,2020-11-16,9.72,9.8,9.3,9.3,9.3,160000.0
124,2020-11-17,9.4,9.53,9.35,9.45,9.45,59300.0
125,2020-11-18,9.53,9.65,9.2,9.26,9.26,206700.0
126,2020-11-19,9.28,9.39,9.23,9.24,9.24,89300.0
127,2020-11-23,9.28,9.35,9.24,9.25,9.25,53300.0
128,2020-11-24,9.25,9.39,9.24,9.36,9.36,67900.0
129,2020-11-25,9.35,9.46,9.28,9.38,9.38,38300.0
130,2020-11-26,9.36,9.44,9.28,9.29,9.29,43400.0
131,2020-11-27,9.28,9.42,9.25,9.32,9.32,31600.0
132,2020-11-30,9.34,9.42,9.06,9.06,9.06,126400.0
133,2020-12-01,9.1,9.35,9.1,9.3,9.3,51000.0
134,2020-12-02,9.31,9.4,9.19,9.19,9.19,93800.0
135,2020-12-03,9.3,9.4,9.18,9.38,9.38,88400.0
136,2020-12-04,9.36,9.42,9.15,9.18,9.18,149000.0
137,2020-12-07,9.29,9.34,9.1,9.12,9.12,201700.0
138,2020-12-08,9.14,9.28,9.14,9.18,9.18,43200.0
139,2020-12-09,9.26,9.26,9.11,9.12,9.12,44900.0
140,2020-12-10,9.12,9.23,8.93,9.11,9.11,51500.0
141,2020-12-11,9.1,9.23,9.1,9.23,9.23,24700.0
142,2020-12-14,9.23,9.35,9.02,9.28,9.28,69700.0
143,2020-12-15,9.28,9.3,9.1,9.16,9.16,60000.0
144,2020-12-16,9.25,9.34,9.12,9.12,9.12,166200.0
145,2020-12-17,9.19,9.27,9.17,9.17,9.17,65500.0
146,2020-12-18,9.18,9.29,9.18,9.25,9.25,36700.0
147,2020-12-21,9.16,9.33,9.12,9.3,9.3,86800.0
148,2020-12-22,9.3,9.39,9.21,9.24,9.24,61100.0
149,2020-12-23,9.2,9.33,9.13,9.2,9.2,26700.0
150,2020-12-28,9.24,9.32,9.15,9.16,9.16,59700.0
151,2020-12-29,9.17,9.6,9.17,9.55,9.55,125000.0
152,2020-12-30,9.6,9.89,9.3,9.3,9.3,205800.0
153,2021-01-04,9.4,9.5,9.31,9.35,9.35,47000.0
154,2021-01-05,9.38,9.44,9.25,9.25,9.25,54300.0
155,2021-01-06,9.28,9.49,9.2,9.34,9.34,39400.0
156,2021-01-07,9.34,9.34,8.91,8.91,8.91,173700.0
157,2021-01-08,8.95,9.23,8.92,8.97,8.97,76500.0
158,2021-01-11,8.9,9.05,8.9,8.99,8.99,49700.0
159,2021-01-12,8.95,9.18,8.91,9.1,9.1,34200.0
160,2021-01-13,9.12,9.43,9.1,9.19,9.19,201400.0
161,2021-01-14,9.24,9.28,9.02,9.02,9.02,260700.0
162,2021-01-15,9.02,9.08,8.95,9.0,9.0,48000.0
163,2021-01-18,9.02,9.14,9.0,9.09,9.09,26400.0
164,2021-01-19,9.08,9.13,8.93,8.99,8.99,23800.0
165,2021-01-20,8.94,9.08,8.94,8.95,8.95,24400.0
166,2021-01-21,8.95,9.05,8.9,8.9,8.9,100400.0
167,2021-01-22,8.9,8.96,8.6,8.7,8.7,83800.0
168,2021-01-26,8.7,8.81,8.58,8.58,8.58,52500.0
169,2021-01-27,8.58,8.89,8.45,8.54,8.54,72200.0
170,2021-01-28,8.48,8.66,8.4,8.61,8.61,27800.0
171,2021-01-29,8.5,8.66,8.33,8.33,8.33,55400.0
172,2021-02-01,8.37,8.89,8.32,8.72,8.72,20400.0
173,2021-02-02,8.85,8.89,8.52,8.89,8.89,33200.0
174,2021-02-03,8.89,8.97,8.8,8.86,8.86,20700.0
175,2021-02-04,8.87,8.96,8.85,8.85,8.85,16200.0
176,2021-02-05,8.87,8.96,8.84,8.84,8.84,13400.0
177,2021-02-08,8.84,8.94,8.7,8.7,8.7,26900.0
178,2021-02-09,8.72,8.81,8.5,8.59,8.59,31800.0
179,2021-02-10,8.6,8.64,8.3,8.37,8.37,42800.0
180,2021-02-11,8.37,8.61,8.35,8.53,8.53,14600.0
181,2021-02-12,8.62,8.79,8.4,8.53,8.53,21800.0
182,2021-02-17,,,,,,
183,2021-02-18,8.5,8.73,8.47,8.5,8.5,38700.0
184,2021-02-19,8.67,8.67,8.34,8.44,8.44,43500.0
185,2021-02-22,8.34,8.59,8.18,8.55,8.55,41500.0
186,2021-02-23,8.56,8.58,8.36,8.51,8.51,11500.0
187,2021-02-24,8.51,8.51,8.25,8.25,8.25,14900.0
