,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,16.209999,16.299999,16.200001,16.200001,14.770034,76100.0
1,2016-01-05,16.24,16.309999,16.200001,16.200001,14.770034,26300.0
2,2016-01-06,16.209999,16.41,15.86,16.209999,14.779149,159500.0
3,2016-01-07,16.190001,16.389999,16.049999,16.200001,14.770034,44300.0
4,2016-01-08,16.26,16.280001,16.139999,16.280001,14.842973,24000.0
5,2016-01-11,16.200001,16.200001,16.190001,16.190001,14.760917,11900.0
6,2016-01-12,16.15,16.15,16.0,16.0,14.587687,59500.0
7,2016-01-13,16.0,16.030001,15.6,16.0,14.587687,65300.0
8,2016-01-14,16.110001,16.299999,16.110001,16.299999,14.861206,1400.0
9,2016-01-15,16.200001,16.690001,16.01,16.25,14.815619,27600.0
10,2016-01-18,16.34,16.700001,16.200001,16.35,14.906793,19200.0
11,2016-01-19,16.26,16.26,15.91,15.91,14.505631,32700.0
12,2016-01-20,15.91,15.98,15.57,15.57,14.195643,102100.0
13,2016-01-21,15.6,15.6,15.5,15.51,14.14094,7200.0
14,2016-01-22,15.52,15.62,15.5,15.5,14.131822,53100.0
15,2016-01-26,15.5,15.54,14.9,14.9,13.584783,12600.0
16,2016-01-27,15.09,15.09,14.73,14.73,13.42979,3900.0
17,2016-01-28,14.51,15.1,14.51,14.75,13.448024,38600.0
18,2016-01-29,15.13,15.49,15.1,15.1,13.767129,24000.0
19,2016-02-01,15.2,15.37,15.14,15.37,14.013298,2200.0
20,2016-02-02,15.11,15.54,15.11,15.26,13.913008,8600.0
21,2016-02-03,15.15,15.5,14.86,15.5,14.131822,9900.0
22,2016-02-04,15.22,16.0,14.76,16.0,14.587687,33100.0
23,2016-02-05,15.71,15.98,15.3,15.98,14.569452,8300.0
24,2016-02-10,15.61,15.95,15.45,15.95,14.5421,17100.0
25,2016-02-11,15.67,15.89,15.0,15.89,14.487397,38800.0
26,2016-02-12,15.52,15.7,15.4,15.4,14.040648,31500.0
27,2016-02-15,15.11,15.45,15.11,15.45,14.086235,3600.0
28,2016-02-16,15.3,15.5,14.91,14.91,13.593902,35400.0
29,2016-02-17,15.1,15.16,14.76,14.76,13.457142,15200.0
30,2016-02-18,14.62,14.62,14.48,14.59,13.302147,8600.0
31,2016-02-19,14.44,14.78,14.18,14.5,13.220093,16800.0
32,2016-02-22,14.78,14.78,14.57,14.57,13.283914,8100.0
33,2016-02-23,14.5,14.81,14.37,14.81,13.502728,12200.0
34,2016-02-24,14.59,14.81,14.42,14.81,13.502728,8900.0
35,2016-02-25,14.6,14.6,14.3,14.3,13.037745,14800.0
36,2016-02-26,14.07,14.54,14.06,14.4,13.12892,16100.0
37,2016-02-29,14.53,14.75,14.32,14.75,13.448024,12400.0
38,2016-03-01,14.76,14.9,14.75,14.75,13.448024,20800.0
39,2016-03-02,14.85,14.85,14.54,14.75,13.448024,15000.0
40,2016-03-03,14.78,15.27,14.54,14.75,13.448024,185200.0
41,2016-03-04,14.94,14.99,14.08,14.73,13.42979,75000.0
42,2016-03-07,14.72,15.15,14.57,14.64,13.347734,130100.0
43,2016-03-08,14.7,14.8,14.59,14.6,13.311265,1397700.0
44,2016-03-09,14.82,14.92,14.73,14.89,13.575667,188800.0
45,2016-03-10,14.85,14.92,14.56,14.79,13.484493,113600.0
46,2016-03-11,14.8,14.86,14.66,14.7,13.402437,1186900.0
47,2016-03-14,14.65,14.78,14.57,14.67,13.375087,79800.0
48,2016-03-15,14.7,14.7,14.12,14.2,12.946573,55600.0
49,2016-03-16,14.21,14.4,14.0,14.2,12.946573,109500.0
50,2016-03-17,14.6,14.96,14.41,14.87,13.557431,75200.0
51,2016-03-18,14.72,14.9,14.21,14.21,12.95569,149000.0
52,2016-03-21,14.42,14.72,14.42,14.58,13.293029,64300.0
53,2016-03-22,14.59,14.66,14.42,14.54,13.256561,29400.0
54,2016-03-23,14.37,14.5,14.22,14.4,13.12892,22900.0
55,2016-03-24,14.39,14.86,14.22,14.67,13.375087,35300.0
56,2016-03-28,14.85,14.9,14.65,14.68,13.384204,96200.0
57,2016-03-29,14.8,15.4,14.75,15.4,14.040648,133500.0
58,2016-03-30,15.49,16.540001,15.49,16.200001,14.770034,141600.0
59,2016-03-31,16.129999,16.33,15.83,15.87,14.469162,14800.0
60,2016-04-01,15.69,16.02,15.01,15.79,14.396225,33900.0
61,2016-04-04,15.6,15.97,15.3,15.35,13.995063,43000.0
62,2016-04-05,15.25,15.74,15.15,15.74,14.350637,13900.0
63,2016-04-06,15.32,15.35,15.06,15.12,13.785365,11000.0
64,2016-04-07,15.24,15.36,14.87,15.15,13.812716,18500.0
65,2016-04-08,15.57,15.77,15.24,15.57,14.195643,21300.0
66,2016-04-11,15.87,16.1,15.54,15.66,14.2777,37000.0
67,2016-04-12,15.75,16.0,15.6,15.85,14.450929,16000.0
68,2016-04-13,15.98,16.389999,15.7,16.15,14.724446,81200.0
69,2016-04-14,16.5,16.75,16.01,16.5,15.043551,50500.0
70,2016-04-15,16.5,16.52,16.299999,16.4,14.952379,66600.0
71,2016-04-18,16.75,16.790001,16.16,16.51,15.05267,41700.0
72,2016-04-19,16.219999,17.469999,16.209999,17.469999,15.927929,45600.0
73,2016-04-20,17.24,17.48,17.01,17.200001,15.681767,49700.0
74,2016-04-22,17.32,17.639999,16.209999,16.209999,14.779149,889700.0
75,2016-04-25,16.09,16.309999,16.030001,16.030001,14.61504,5800.0
76,2016-04-26,16.049999,16.450001,16.030001,16.1,14.678862,3500.0
77,2016-04-27,16.389999,17.0,16.25,17.0,15.499418,30700.0
78,2016-04-28,18.0,18.0,17.219999,18.0,16.862469,44500.0
79,2016-04-29,18.190001,18.25,17.200001,17.200001,16.113024,27800.0
80,2016-05-02,16.889999,17.25,16.6,17.0,15.925664,13100.0
81,2016-05-03,16.76,16.99,16.559999,16.99,15.916296,53000.0
82,2016-05-04,16.639999,17.43,16.41,17.43,16.328491,28200.0
83,2016-05-05,17.440001,17.9,17.27,17.5,16.394064,133600.0
84,2016-05-06,17.309999,17.799999,17.309999,17.450001,16.347227,24900.0
85,2016-05-09,17.440001,17.6,16.85,16.9,15.831982,103300.0
86,2016-05-10,17.799999,17.91,17.51,17.780001,16.65637,59800.0
87,2016-05-11,17.9,18.1,17.5,17.950001,16.815628,96200.0
88,2016-05-12,18.0,18.0,17.67,17.950001,16.815628,17700.0
89,2016-05-13,18.01,18.02,17.700001,18.0,16.862469,2900.0
90,2016-05-16,17.719999,18.02,17.51,17.52,16.412804,13500.0
91,2016-05-17,17.530001,17.73,17.299999,17.690001,16.572058,6300.0
92,2016-05-18,17.690001,17.690001,17.1,17.200001,16.113024,31900.0
93,2016-05-19,16.969999,16.969999,16.559999,16.85,15.785143,19900.0
94,2016-05-20,16.6,17.16,16.530001,17.049999,15.972503,12800.0
95,2016-05-23,16.76,17.17,16.49,17.17,16.084919,6700.0
96,2016-05-24,17.200001,17.200001,16.950001,17.120001,16.038082,5200.0
97,2016-05-25,17.25,17.5,16.93,17.35,16.253544,15400.0
98,2016-05-27,17.08,17.290001,16.99,16.99,15.916296,8400.0
99,2016-05-30,17.16,17.16,16.73,16.85,15.785143,7500.0
100,2016-05-31,16.83,16.83,16.25,16.25,15.22306,75000.0
101,2016-06-01,16.049999,16.4,16.02,16.02,15.007596,7900.0
102,2016-06-02,16.23,16.4,16.08,16.4,15.363582,218900.0
103,2016-06-03,16.540001,17.5,16.24,17.129999,16.047447,50600.0
104,2016-06-06,17.02,17.040001,16.620001,16.9,15.831982,28000.0
105,2016-06-07,17.18,17.290001,16.92,17.08,16.000608,48300.0
106,2016-06-08,16.799999,17.190001,16.700001,16.99,15.916296,62800.0
