,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,4.8,5.03,4.49,4.74,4.74,84300.0
1,2016-01-05,4.66,4.81,4.4,4.58,4.58,51700.0
2,2016-01-06,4.52,4.66,4.13,4.58,4.58,74600.0
3,2016-01-07,4.5,4.63,4.41,4.46,4.46,28500.0
4,2016-01-08,4.52,4.53,4.4,4.5,4.5,44800.0
5,2016-01-11,4.5,4.73,4.5,4.52,4.52,9600.0
6,2016-01-12,4.8,4.89,4.55,4.55,4.55,31100.0
7,2016-01-13,4.73,4.89,4.58,4.6,4.6,36800.0
8,2016-01-14,4.6,4.95,4.6,4.83,4.83,65400.0
9,2016-01-15,4.7,4.82,4.7,4.82,4.82,1700.0
10,2016-01-18,4.83,4.96,4.77,4.77,4.77,2300.0
11,2016-01-19,4.87,4.95,4.81,4.83,4.83,66900.0
12,2016-01-20,4.82,4.82,4.33,4.5,4.5,34800.0
13,2016-01-21,4.5,4.54,4.24,4.54,4.54,72800.0
14,2016-01-22,4.54,4.59,4.37,4.45,4.45,67200.0
15,2016-01-26,4.45,4.5,4.33,4.33,4.33,28100.0
16,2016-01-27,4.37,4.5,4.32,4.32,4.32,12300.0
17,2016-01-28,4.23,4.37,4.15,4.21,4.21,81300.0
18,2016-01-29,4.29,4.77,4.22,4.42,4.42,48100.0
19,2016-02-01,4.57,4.62,4.52,4.52,4.52,12500.0
20,2016-02-02,4.55,4.65,4.52,4.57,4.57,11800.0
21,2016-02-03,4.65,4.86,4.5,4.6,4.6,31400.0
22,2016-02-04,4.62,4.75,4.46,4.54,4.54,28500.0
23,2016-02-05,4.55,4.57,4.44,4.44,4.44,116900.0
24,2016-02-10,4.43,4.61,4.35,4.57,4.57,71500.0
25,2016-02-11,4.57,4.8,4.57,4.75,4.75,20300.0
26,2016-02-12,4.75,4.84,4.62,4.64,4.64,58800.0
27,2016-02-15,4.77,4.9,4.77,4.9,4.9,167600.0
28,2016-02-16,4.9,5.5,4.89,5.3,5.3,45600.0
29,2016-02-17,5.53,5.94,5.43,5.65,5.65,133600.0
30,2016-02-18,5.66,6.2,5.6,6.01,6.01,117100.0
31,2016-02-19,6.03,6.6,6.03,6.45,6.45,492600.0
32,2016-02-22,6.95,7.09,6.73,7.01,7.01,132100.0
33,2016-02-23,7.01,7.2,6.85,6.87,6.87,78700.0
34,2016-02-24,6.85,6.9,6.7,6.9,6.9,17600.0
35,2016-02-25,6.94,7.2,6.94,6.95,6.95,60100.0
36,2016-02-26,6.95,6.95,6.14,6.65,6.65,79300.0
37,2016-02-29,6.5,6.9,6.26,6.26,6.26,103800.0
38,2016-03-01,6.5,6.55,6.31,6.38,6.38,65500.0
39,2016-03-02,6.7,6.7,6.21,6.43,6.43,488000.0
40,2016-03-03,6.48,6.7,6.32,6.7,6.7,50300.0
41,2016-03-04,6.72,7.4,6.51,6.85,6.85,47900.0
42,2016-03-07,7.14,7.18,6.81,6.81,6.81,10000.0
43,2016-03-08,6.7,6.7,6.7,6.7,6.7,3500.0
44,2016-03-09,6.97,7.39,6.97,7.01,7.01,31600.0
45,2016-03-10,7.08,7.4,7.01,7.01,7.01,33100.0
46,2016-03-11,6.97,7.05,6.95,7.0,7.0,27500.0
47,2016-03-14,7.02,7.19,6.9,6.95,6.95,111400.0
48,2016-03-15,6.88,7.01,6.62,6.91,6.91,40000.0
49,2016-03-16,6.9,7.1,6.87,6.98,6.98,8700.0
50,2016-03-17,7.0,7.38,6.94,7.05,7.05,59800.0
51,2016-03-18,7.05,7.16,6.44,6.44,6.44,226000.0
52,2016-03-21,6.42,6.85,6.42,6.61,6.61,20800.0
53,2016-03-22,6.68,7.05,6.68,6.95,6.95,54800.0
54,2016-03-23,6.97,7.16,6.5,6.7,6.7,102700.0
55,2016-03-24,6.72,6.86,6.71,6.84,6.84,18400.0
56,2016-03-28,6.9,7.09,6.9,6.94,6.94,26700.0
57,2016-03-29,6.92,7.11,6.8,6.8,6.8,22100.0
58,2016-03-30,6.8,7.0,6.8,7.0,7.0,68400.0
59,2016-03-31,6.85,7.18,6.85,6.9,6.9,30800.0
60,2016-04-01,6.9,7.09,6.81,6.81,6.81,24100.0
61,2016-04-04,6.81,6.87,6.35,6.46,6.46,18300.0
62,2016-04-05,6.44,6.45,6.19,6.3,6.3,89800.0
63,2016-04-06,6.24,6.27,6.1,6.25,6.25,92500.0
64,2016-04-07,6.53,6.63,6.37,6.45,6.45,15500.0
65,2016-04-08,6.7,6.85,6.6,6.85,6.85,26000.0
66,2016-04-11,6.98,7.05,6.9,6.95,6.95,14500.0
67,2016-04-12,7.0,7.3,7.0,7.25,7.25,29200.0
68,2016-04-13,7.5,9.0,7.5,7.9,7.9,92300.0
69,2016-04-14,8.03,8.38,7.99,8.15,8.15,119000.0
70,2016-04-15,8.38,8.38,8.05,8.14,8.14,14900.0
71,2016-04-18,8.2,8.37,7.73,8.07,8.07,20800.0
72,2016-04-19,8.2,8.2,7.92,7.96,7.96,3800.0
73,2016-04-20,8.0,8.44,7.8,8.17,8.17,15300.0
74,2016-04-22,8.17,8.18,7.45,7.8,7.8,30800.0
75,2016-04-25,8.0,8.23,7.26,7.5,7.5,115000.0
76,2016-04-26,7.66,7.95,7.52,7.95,7.95,59700.0
77,2016-04-27,7.84,8.2,7.83,8.2,8.2,15200.0
78,2016-04-28,8.19,8.32,8.1,8.32,8.32,9600.0
79,2016-04-29,8.34,8.82,8.34,8.62,8.62,69800.0
80,2016-05-02,8.3,9.5,8.3,9.0,9.0,31300.0
81,2016-05-03,8.6,8.82,8.2,8.75,8.75,1701200.0
82,2016-05-04,8.62,8.75,8.6,8.68,8.68,14400.0
83,2016-05-05,8.55,8.59,8.41,8.5,8.5,14500.0
