,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-07-13,28.5,29.450001,28.360001,29.299999,29.205019,11198600.0
1,2020-07-14,29.290001,33.150002,29.290001,31.5,31.397888,2760000.0
2,2020-07-15,32.490002,32.990002,29.299999,30.85,30.749994,1669000.0
3,2020-07-16,30.4,30.6,29.549999,29.700001,29.603724,1621500.0
4,2020-07-17,29.719999,30.549999,29.1,29.85,29.753237,948300.0
5,2020-07-20,30.059999,30.33,28.82,29.620001,29.523983,549700.0
6,2020-07-21,29.59,29.870001,28.950001,28.950001,28.856155,828400.0
7,2020-07-22,28.9,29.24,28.440001,28.950001,28.856155,901200.0
8,2020-07-23,28.91,29.15,28.370001,28.370001,28.278034,605400.0
9,2020-07-24,28.299999,28.59,27.049999,28.23,28.138487,425400.0
10,2020-07-27,29.09,29.25,28.08,28.66,28.567095,501300.0
11,2020-07-28,28.66,29.34,28.299999,28.360001,28.268066,709200.0
12,2020-07-29,28.370001,28.940001,28.209999,28.690001,28.596998,413200.0
13,2020-07-30,28.25,29.24,28.02,29.23,29.135246,131000.0
14,2020-07-31,29.32,29.799999,28.85,29.59,29.49408,243400.0
15,2020-08-03,29.74,29.93,28.82,28.82,28.726576,134200.0
16,2020-08-04,28.33,28.83,28.0,28.0,27.909233,271000.0
17,2020-08-05,28.35,28.719999,28.08,28.15,28.058746,168500.0
18,2020-08-06,28.73,28.73,27.620001,27.620001,27.530466,263100.0
19,2020-08-07,27.6,28.030001,27.6,28.0,27.909233,237100.0
20,2020-08-10,27.85,27.98,27.16,27.360001,27.271309,438500.0
21,2020-08-11,27.370001,28.32,27.370001,27.84,27.749752,599100.0
22,2020-08-12,27.84,27.9,27.52,27.700001,27.610207,128700.0
23,2020-08-13,27.700001,28.16,27.6,27.98,27.889297,335400.0
24,2020-08-14,27.6,27.99,27.42,27.99,27.899265,874900.0
25,2020-08-17,27.799999,27.799999,27.15,27.15,27.061989,123200.0
26,2020-08-18,27.15,27.790001,27.15,27.700001,27.610207,180300.0
27,2020-08-19,27.700001,27.950001,27.33,27.950001,27.859396,137300.0
28,2020-08-20,27.51,27.9,27.450001,27.9,27.809557,183900.0
29,2020-08-21,27.9,29.969999,27.9,29.5,29.404371,2290100.0
30,2020-08-24,29.75,30.17,29.52,29.799999,29.703398,275200.0
31,2020-08-25,29.799999,30.4,29.530001,29.530001,29.434275,222900.0
32,2020-08-26,29.799999,29.92,29.559999,29.709999,29.613689,3105400.0
33,2020-08-27,29.92,30.6,29.75,30.6,30.500805,896600.0
34,2020-08-28,30.6,31.540001,30.6,31.49,31.38792,490700.0
35,2020-08-31,31.469999,31.690001,31.049999,31.280001,31.178602,558900.0
36,2020-09-01,31.58,31.68,31.059999,31.35,31.248375,687200.0
37,2020-09-02,31.440001,31.65,31.299999,31.59,31.487597,1058100.0
38,2020-09-03,31.65,32.0,31.0,31.75,31.647078,128600.0
39,2020-09-04,31.74,32.349998,30.690001,31.700001,31.59724,256100.0
40,2020-09-08,31.549999,31.74,31.15,31.5,31.397888,1022100.0
