,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,4.413333,4.413333,4.11,4.316666,4.170251,1415400.0
1,2016-01-05,4.316666,4.336666,3.87,3.87,3.738734,1452900.0
2,2016-01-06,3.87,3.933333,3.59,3.703333,3.577721,1762500.0
3,2016-01-07,3.733333,3.863333,3.64,3.736666,3.609923,1032300.0
4,2016-01-08,3.77,3.77,3.406666,3.45,3.332981,1588800.0
5,2016-01-11,3.433333,3.443333,3.326666,3.333333,3.220271,1047000.0
6,2016-01-12,3.37,3.4,3.12,3.17,3.062478,803100.0
7,2016-01-13,3.2,3.346666,3.183333,3.223333,3.114002,626700.0
8,2016-01-14,3.273333,3.396666,3.186666,3.396666,3.281456,704100.0
9,2016-01-15,3.356666,3.596666,3.283333,3.393333,3.278236,657000.0
10,2016-01-18,3.433333,3.576666,3.316666,3.533333,3.413487,468600.0
11,2016-01-19,3.56,3.65,3.37,3.42,3.303998,763200.0
12,2016-01-20,3.286666,3.386666,3.183333,3.3,3.188068,1146600.0
13,2016-01-21,3.293333,3.45,3.236666,3.266666,3.155865,592500.0
14,2016-01-22,3.3,3.326666,3.15,3.15,3.043157,1201800.0
15,2016-01-26,3.136666,3.446666,3.086666,3.196666,3.08824,1185900.0
16,2016-01-27,3.27,3.396666,3.136666,3.166666,3.059257,643500.0
17,2016-01-28,3.166666,3.2,3.076666,3.103333,2.998072,670200.0
18,2016-01-29,3.15,3.466666,3.106666,3.326666,3.21383,1912500.0
19,2016-02-01,3.416666,3.8,3.36,3.443333,3.32654,1605000.0
20,2016-02-02,3.443333,3.576666,3.143333,3.2,3.091461,744900.0
21,2016-02-03,3.256666,3.526666,3.173333,3.403333,3.287897,1011300.0
22,2016-02-04,3.6,4.133333,3.573333,3.986666,3.851444,2361900.0
23,2016-02-05,3.986666,4.133333,3.77,4.06,3.922291,1353300.0
24,2016-02-10,4.026666,4.083333,3.943333,4.033333,3.896528,778800.0
25,2016-02-11,3.973333,4.016666,3.733333,3.733333,3.606704,1066800.0
26,2016-02-12,3.833333,3.876666,3.64,3.756666,3.629245,1419000.0
27,2016-02-15,3.826666,3.95,3.703333,3.703333,3.577721,387000.0
28,2016-02-16,3.726666,3.933333,3.716666,3.856666,3.725853,1890300.0
29,2016-02-17,3.926666,4.046666,3.756666,3.756666,3.629245,623400.0
30,2016-02-18,3.7,3.85,3.58,3.756666,3.629245,736500.0
31,2016-02-19,3.723333,3.8,3.653333,3.8,3.671109,209400.0
32,2016-02-22,3.866666,3.9,3.683333,3.683333,3.558399,720900.0
33,2016-02-23,3.683333,3.84,3.633333,3.703333,3.577721,628500.0
34,2016-02-24,3.7,3.7,3.373333,3.436666,3.320099,927600.0
35,2016-02-25,3.396666,3.556666,3.396666,3.55,3.429589,564000.0
36,2016-02-26,3.6,3.67,3.5,3.67,3.545519,602700.0
37,2016-02-29,3.726666,3.95,3.66,3.933333,3.79992,1019700.0
38,2016-03-01,3.963333,4.25,3.916666,4.233333,4.089744,635400.0
39,2016-03-02,4.243333,4.39,4.2,4.29,4.144489,1031400.0
40,2016-03-03,4.38,4.586666,4.31,4.5,4.347366,906600.0
41,2016-03-04,4.516666,4.683333,4.353333,4.4,4.250759,972000.0
42,2016-03-07,4.416666,4.583333,4.023333,4.033333,3.896528,849900.0
43,2016-03-08,4.0,4.226666,3.83,3.863333,3.732294,694800.0
44,2016-03-09,3.863333,4.05,3.713333,3.81,3.68077,555600.0
45,2016-03-10,3.89,3.89,3.696666,3.87,3.738734,589200.0
46,2016-03-11,3.88,3.93,3.733333,3.75,3.622805,1245600.0
47,2016-03-14,3.796666,3.88,3.62,3.683333,3.558399,2989800.0
48,2016-03-15,3.543333,3.7,3.463333,3.533333,3.413487,1082700.0
49,2016-03-16,3.53,3.616666,3.42,3.566666,3.445689,1835700.0
50,2016-03-17,3.8,3.8,3.643333,3.766666,3.638906,404400.0
51,2016-03-18,3.793333,3.833333,3.68,3.83,3.700091,296700.0
52,2016-03-21,3.85,3.89,3.686666,3.733333,3.606704,282900.0
53,2016-03-22,3.736666,3.833333,3.656666,3.833333,3.703311,394500.0
54,2016-03-23,3.793333,3.793333,3.623333,3.65,3.526197,1213200.0
55,2016-03-24,3.66,3.683333,3.546666,3.666666,3.542298,1178400.0
56,2016-03-28,3.733333,3.74,3.466666,3.483333,3.365183,675900.0
57,2016-03-29,3.47,3.483333,3.356666,3.39,3.275016,466500.0
58,2016-03-30,3.4,3.553333,3.256666,3.266666,3.155865,1421400.0
59,2016-03-31,3.33,3.33,3.33,3.33,3.217051,17400.0
60,2016-04-01,3.316666,3.403333,3.26,3.29,3.178408,423000.0
61,2016-04-04,3.176666,3.176666,3.176666,3.176666,3.068918,1800.0
62,2016-04-05,3.343333,3.343333,3.343333,3.343333,3.229932,4500.0
63,2016-04-06,3.356666,3.376666,3.15,3.266666,3.155865,582000.0
64,2016-04-07,3.423333,3.423333,3.423333,3.423333,3.307219,1500.0
65,2016-04-08,3.5,3.5,3.313333,3.366666,3.252473,477900.0
66,2016-04-11,3.413333,3.476666,3.236666,3.25,3.139765,926700.0
67,2016-04-12,3.31,3.31,3.31,3.31,3.197729,1200.0
68,2016-04-13,3.5,3.5,3.5,3.5,3.381284,1200.0
69,2016-04-14,3.533333,3.596666,3.353333,3.596666,3.474672,762600.0
70,2016-04-15,3.633333,3.683333,3.54,3.666666,3.542298,951300.0
71,2016-04-18,3.66,3.726666,3.603333,3.69,3.56484,616200.0
72,2016-04-19,3.62,3.62,3.62,3.62,3.497214,1800.0
73,2016-04-20,3.626666,3.666666,3.576666,3.663333,3.539078,426300.0
74,2016-04-22,3.606666,3.683333,3.5,3.6,3.477893,346500.0
75,2016-04-25,3.54,3.6,3.483333,3.483333,3.365183,622200.0
76,2016-04-26,3.46,3.5,3.443333,3.48,3.423388,1226100.0
77,2016-04-27,3.513333,3.573333,3.433333,3.516666,3.459457,702000.0
78,2016-04-28,3.47,3.533333,3.453333,3.483333,3.426666,739500.0
79,2016-04-29,3.496666,3.536666,3.443333,3.496666,3.439783,233700.0
80,2016-05-02,3.496666,3.5,3.44,3.446666,3.390596,822600.0
81,2016-05-03,3.403333,3.433333,3.306666,3.353333,3.298781,772200.0
82,2016-05-04,3.373333,3.373333,3.263333,3.35,3.295502,269700.0
83,2016-05-05,3.35,3.363333,3.266666,3.35,3.295502,249900.0
84,2016-05-06,3.336666,3.45,3.28,3.31,3.256153,732900.0
85,2016-05-09,3.31,3.386666,3.233333,3.29,3.236479,117600.0
86,2016-05-10,3.336666,3.44,3.3,3.44,3.384038,332700.0
87,2016-05-11,3.44,3.48,3.366666,3.38,3.325014,214200.0
88,2016-05-12,3.43,3.506666,3.383333,3.466666,3.410271,640500.0
89,2016-05-13,3.44,3.5,3.326666,3.45,3.393876,787800.0
90,2016-05-16,3.433333,3.46,3.373333,3.373333,3.318456,732000.0
91,2016-05-17,3.42,3.436666,3.376666,3.396666,3.341409,568500.0
92,2016-05-18,3.396666,3.466666,3.396666,3.446666,3.390596,426600.0
