,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,3.576666,3.65,3.476666,3.483333,2.894158,34184100.0
1,2016-01-05,3.5,3.636666,3.5,3.616666,3.004939,32522700.0
2,2016-01-06,3.586666,3.653333,3.55,3.613333,3.00217,21549600.0
3,2016-01-07,3.583333,3.59,3.44,3.463333,2.877541,43765500.0
4,2016-01-08,3.496666,3.533333,3.48,3.506666,2.913545,27389700.0
5,2016-01-11,3.526666,3.59,3.5,3.5,2.908006,41600400.0
6,2016-01-12,3.53,3.55,3.43,3.476666,2.888619,34346100.0
7,2016-01-13,3.496666,3.526666,3.42,3.47,2.883081,19974000.0
8,2016-01-14,3.486666,3.553333,3.42,3.543333,2.94401,33691800.0
9,2016-01-15,3.483333,3.52,3.443333,3.47,2.883081,40714800.0
10,2016-01-18,3.483333,3.496666,3.443333,3.466666,2.88031,17318400.0
11,2016-01-19,3.543333,3.546666,3.476666,3.51,2.916314,27198600.0
12,2016-01-20,3.463333,3.496666,3.386666,3.416666,2.838768,35180400.0
13,2016-01-21,3.42,3.43,3.36,3.36,2.791686,33774000.0
14,2016-01-22,3.393333,3.413333,3.343333,3.346666,2.780607,43074300.0
15,2016-01-26,3.33,3.34,3.243333,3.316666,2.755682,55701300.0
16,2016-01-27,3.306666,3.496666,3.303333,3.42,2.841537,50339400.0
17,2016-01-28,3.446666,3.483333,3.393333,3.456666,2.872001,24288000.0
18,2016-01-29,3.5,3.533333,3.356666,3.42,2.841537,90249900.0
19,2016-02-01,3.383333,3.49,3.38,3.49,2.899697,24746400.0
20,2016-02-02,3.44,3.48,3.373333,3.4,2.82492,23735100.0
21,2016-02-03,3.423333,3.463333,3.346666,3.46,2.874773,33669600.0
22,2016-02-04,3.5,3.51,3.41,3.496666,2.905237,28668900.0
23,2016-02-05,3.493333,3.513333,3.416666,3.436666,2.855384,15387300.0
24,2016-02-10,3.406666,3.48,3.383333,3.443333,2.860924,16766100.0
25,2016-02-11,3.393333,3.41,3.333333,3.4,2.82492,14134800.0
26,2016-02-12,3.416666,3.426666,3.336666,3.383333,2.811072,27318900.0
27,2016-02-15,3.436666,3.46,3.386666,3.46,2.874773,10161000.0
