,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,7.5,7.5,7.5,7.5,6.396075,0.0
1,2016-01-05,7.5,7.5,7.5,7.5,6.396075,0.0
2,2016-01-06,7.5,7.5,7.5,7.5,6.396075,0.0
3,2016-01-07,7.5,7.5,7.5,7.5,6.396075,0.0
4,2016-01-08,7.5,7.5,7.5,7.5,6.396075,0.0
5,2016-01-11,7.5,7.5,7.5,7.5,6.396075,0.0
6,2016-01-12,7.5,7.5,7.5,7.5,6.396075,0.0
7,2016-01-13,7.5,7.5,7.5,7.5,6.396075,0.0
8,2016-01-14,7.5,7.5,7.5,7.5,6.396075,0.0
9,2016-01-15,7.5,7.5,7.5,7.5,6.396075,0.0
10,2016-01-18,7.5,7.5,7.5,7.5,6.396075,0.0
11,2016-01-19,7.5,7.5,7.5,7.5,6.396075,0.0
12,2016-01-20,7.5,7.5,7.5,7.5,6.396075,0.0
13,2016-01-21,7.9,7.9,7.9,7.9,6.737198,100.0
14,2016-01-22,7.9,7.9,7.9,7.9,6.737198,0.0
15,2016-01-26,7.9,7.9,7.9,7.9,6.737198,0.0
16,2016-01-27,7.9,7.9,7.9,7.9,6.737198,0.0
17,2016-01-28,7.9,7.9,7.9,7.9,6.737198,0.0
18,2016-01-29,7.97,7.97,7.96,7.96,6.788367,300.0
19,2016-02-01,7.96,7.96,7.96,7.96,6.788367,0.0
20,2016-02-02,7.96,7.96,7.96,7.96,6.788367,0.0
21,2016-02-03,7.96,7.96,7.96,7.96,6.788367,0.0
22,2016-02-04,7.96,7.96,7.96,7.96,6.788367,0.0
23,2016-02-05,7.96,7.96,7.96,7.96,6.788367,0.0
24,2016-02-10,7.96,7.96,7.96,7.96,6.788367,0.0
25,2016-02-11,7.96,7.96,7.96,7.96,6.788367,0.0
26,2016-02-12,7.96,7.96,7.96,7.96,6.788367,0.0
27,2016-02-15,7.96,7.96,7.96,7.96,6.788367,0.0
28,2016-02-16,7.96,7.96,7.96,7.96,6.788367,0.0
29,2016-02-17,7.96,7.96,7.96,7.96,6.788367,0.0
30,2016-02-18,7.96,7.96,7.96,7.96,6.788367,0.0
31,2016-02-19,7.97,7.97,7.97,7.97,6.796895,100.0
32,2016-02-22,7.9,7.9,7.9,7.9,6.737198,400.0
33,2016-02-23,7.9,7.9,7.9,7.9,6.737198,0.0
34,2016-02-24,7.9,7.9,7.9,7.9,6.737198,0.0
35,2016-02-25,7.9,7.9,7.9,7.9,6.737198,0.0
36,2016-02-26,7.9,7.9,7.9,7.9,6.737198,0.0
37,2016-02-29,8.0,8.0,8.0,8.0,6.82248,100.0
38,2016-03-01,8.0,8.0,8.0,8.0,6.82248,0.0
39,2016-03-02,8.0,8.0,8.0,8.0,6.82248,0.0
40,2016-03-03,8.0,8.0,8.0,8.0,6.82248,0.0
41,2016-03-04,8.0,8.0,8.0,8.0,6.82248,0.0
42,2016-03-07,8.0,8.0,8.0,8.0,6.82248,0.0
43,2016-03-08,7.0,7.0,6.5,6.5,5.543265,200.0
44,2016-03-09,6.5,6.65,5.75,5.75,4.903657,7800.0
45,2016-03-10,5.75,5.75,5.75,5.75,4.903657,0.0
46,2016-03-11,6.0,6.25,5.75,6.23,5.313006,3000.0
47,2016-03-14,6.23,6.23,6.23,6.23,5.313006,0.0
48,2016-03-15,6.23,6.23,6.23,6.23,5.313006,0.0
49,2016-03-16,6.23,6.23,6.23,6.23,5.313006,0.0
50,2016-03-17,6.1,6.1,6.05,6.05,5.1595,300.0
51,2016-03-18,6.05,6.05,6.05,6.05,5.1595,0.0
52,2016-03-21,5.76,5.8,5.75,5.8,4.946298,4900.0
53,2016-03-22,5.8,5.8,5.8,5.8,4.946298,0.0
54,2016-03-23,5.8,6.0,5.8,6.0,5.11686,300.0
55,2016-03-24,6.0,6.0,6.0,6.0,5.11686,0.0
56,2016-03-28,5.3,5.89,5.3,5.89,5.02305,1400.0
57,2016-03-29,5.89,5.89,5.89,5.89,5.02305,0.0
58,2016-03-30,5.89,5.89,5.89,5.89,5.02305,0.0
59,2016-03-31,5.89,5.89,5.89,5.89,5.02305,0.0
60,2016-04-01,5.89,5.89,5.89,5.89,5.02305,0.0
61,2016-04-04,5.04,5.2,5.01,5.01,4.272578,1600.0
62,2016-04-05,5.0,5.1,4.9,4.96,4.229938,17700.0
63,2016-04-06,4.96,4.96,4.96,4.96,4.229938,0.0
64,2016-04-07,4.96,4.96,4.96,4.96,4.229938,0.0
65,2016-04-08,5.09,5.4,5.09,5.3,4.519893,1700.0
66,2016-04-11,5.5,5.5,5.5,5.5,4.690455,700.0
67,2016-04-12,5.89,5.89,5.5,5.5,4.690455,1200.0
68,2016-04-13,5.5,5.5,5.5,5.5,4.690455,1000.0
69,2016-04-14,5.5,5.5,5.5,5.5,4.690455,0.0
70,2016-04-15,5.5,5.5,5.5,5.5,4.690455,0.0
71,2016-04-18,5.5,5.5,5.5,5.5,4.690455,0.0
72,2016-04-19,5.2,5.2,5.2,5.2,4.434612,200.0
73,2016-04-20,5.0,5.0,5.0,5.0,4.26405,800.0
74,2016-04-22,5.0,5.0,5.0,5.0,4.26405,0.0
75,2016-04-25,5.0,5.01,5.0,5.0,4.26405,4800.0
76,2016-04-26,5.0,5.0,5.0,5.0,4.501932,500.0
77,2016-04-27,5.0,5.0,5.0,5.0,4.501932,600.0
78,2016-04-28,5.0,5.0,5.0,5.0,4.501932,0.0
79,2016-04-29,5.0,5.0,5.0,5.0,4.501932,0.0
80,2016-05-02,5.5,5.5,5.5,5.5,4.952125,200.0
81,2016-05-03,5.5,5.5,5.5,5.5,4.952125,0.0
82,2016-05-04,5.5,5.5,5.5,5.5,4.952125,0.0
83,2016-05-05,5.2,5.35,5.2,5.35,4.817067,300.0
84,2016-05-06,5.35,5.35,5.35,5.35,4.817067,0.0
85,2016-05-09,5.35,5.35,5.35,5.35,4.817067,0.0
86,2016-05-10,5.49,5.49,5.49,5.49,4.943121,100.0
87,2016-05-11,5.49,5.5,5.49,5.5,4.952125,6000.0
88,2016-05-12,5.75,5.88,5.75,5.88,5.294271,2400.0
89,2016-05-13,5.88,5.88,5.88,5.88,5.294271,0.0
90,2016-05-16,5.88,5.88,5.88,5.88,5.294271,0.0
91,2016-05-17,5.88,5.88,5.88,5.88,5.294271,0.0
92,2016-05-18,5.9,6.75,5.9,6.75,6.077608,2600.0
93,2016-05-19,6.95,6.95,6.95,6.95,6.257685,300.0
94,2016-05-20,7.0,7.0,7.0,7.0,6.302705,2000.0
95,2016-05-23,7.0,7.0,7.0,7.0,6.302705,0.0
96,2016-05-24,7.0,7.0,7.0,7.0,6.302705,0.0
97,2016-05-25,7.0,7.0,7.0,7.0,6.302705,0.0
98,2016-05-27,7.0,7.0,7.0,7.0,6.302705,0.0
99,2016-05-30,7.0,7.0,7.0,7.0,6.302705,0.0
100,2016-05-31,7.0,7.0,7.0,7.0,6.302705,0.0
101,2016-06-01,7.0,7.0,7.0,7.0,6.302705,0.0
102,2016-06-02,7.0,7.0,7.0,7.0,6.302705,0.0
103,2016-06-03,6.16,6.16,5.75,5.75,5.177222,900.0
104,2016-06-06,5.75,5.75,5.75,5.75,5.177222,0.0
105,2016-06-07,6.0,6.0,6.0,6.0,5.402318,200.0
106,2016-06-08,6.0,6.0,6.0,6.0,5.402318,0.0
107,2016-06-09,6.0,6.0,6.0,6.0,5.402318,0.0
108,2016-06-10,6.0,6.0,6.0,6.0,5.402318,0.0
109,2016-06-13,6.0,6.0,6.0,6.0,5.402318,0.0
110,2016-06-14,6.0,6.0,6.0,6.0,5.402318,1000.0
111,2016-06-15,6.0,6.0,6.0,6.0,5.402318,0.0
112,2016-06-16,6.0,6.0,6.0,6.0,5.402318,0.0
113,2016-06-17,6.0,6.0,6.0,6.0,5.402318,0.0
114,2016-06-20,6.0,6.0,6.0,6.0,5.402318,0.0
115,2016-06-21,6.0,6.0,6.0,6.0,5.402318,0.0
116,2016-06-22,6.17,6.17,6.17,6.17,5.555384,1000.0
117,2016-06-23,6.17,6.17,6.17,6.17,5.555384,0.0
118,2016-06-24,6.17,6.17,6.17,6.17,5.555384,0.0
119,2016-06-27,6.17,6.17,6.17,6.17,5.555384,0.0
120,2016-06-28,6.17,6.17,6.17,6.17,5.555384,0.0
121,2016-06-29,5.7,6.0,5.7,5.82,5.240249,4000.0
122,2016-06-30,5.91,6.05,5.8,5.82,5.240249,6900.0
123,2016-07-01,5.8,5.89,5.8,5.81,5.231245,3300.0
124,2016-07-04,6.1,6.1,6.05,6.05,5.447338,500.0
125,2016-07-05,6.1,6.2,6.1,6.1,5.492356,500.0
126,2016-07-06,6.1,6.1,6.1,6.1,5.492356,200.0
127,2016-07-07,6.1,6.1,6.1,6.1,5.492356,700.0
