,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,25.0,25.0,25.0,25.0,14.806822,0.0
1,2016-01-05,24.0,24.0,24.0,24.0,14.214548,110.0
2,2016-01-06,24.0,24.0,24.0,24.0,14.214548,60.0
3,2016-01-07,24.0,24.0,24.0,24.0,14.214548,350.0
4,2016-01-08,24.0,24.0,24.0,24.0,14.214548,2020.0
5,2016-01-11,24.0,24.0,22.0,22.0,13.030002,1810.0
6,2016-01-12,22.0,22.0,22.0,22.0,13.030002,0.0
7,2016-01-13,24.0,24.0,23.0,23.0,13.622275,750.0
8,2016-01-14,23.0,23.0,23.0,23.0,13.622275,200.0
9,2016-01-15,23.0,24.0,22.0,23.0,13.622275,400.0
10,2016-01-18,22.0,22.0,22.0,22.0,13.030002,80.0
11,2016-01-19,23.0,23.0,23.0,23.0,13.622275,40.0
12,2016-01-20,22.0,22.0,22.0,22.0,13.030002,290.0
13,2016-01-21,22.0,22.0,22.0,22.0,13.030002,0.0
14,2016-01-22,22.0,22.0,22.0,22.0,13.030002,20.0
15,2016-01-26,23.0,23.0,22.0,22.0,13.030002,240.0
16,2016-01-27,24.0,24.0,24.0,24.0,14.214548,110.0
17,2016-01-28,24.0,24.0,24.0,24.0,14.214548,0.0
18,2016-01-29,24.0,24.0,22.0,22.0,13.030002,520.0
19,2016-02-01,23.0,23.0,23.0,23.0,13.622275,120.0
20,2016-02-02,23.0,23.0,23.0,23.0,13.622275,80.0
21,2016-02-03,23.0,24.0,23.0,24.0,14.214548,60.0
22,2016-02-04,23.0,23.0,23.0,23.0,13.622275,50.0
23,2016-02-05,22.0,22.0,22.0,22.0,13.030002,200.0
24,2016-02-10,22.0,23.0,22.0,23.0,13.622275,80.0
25,2016-02-11,23.0,23.0,23.0,23.0,13.622275,0.0
26,2016-02-12,22.0,22.0,22.0,22.0,13.030002,70.0
27,2016-02-15,23.0,23.0,23.0,23.0,13.622275,200.0
28,2016-02-16,22.0,23.0,22.0,23.0,13.622275,30.0
29,2016-02-17,23.0,23.0,23.0,23.0,13.622275,850.0
30,2016-02-18,23.0,23.0,23.0,23.0,13.622275,70.0
31,2016-02-19,23.0,23.0,23.0,23.0,13.622275,20.0
32,2016-02-22,23.0,23.0,23.0,23.0,13.622275,440.0
33,2016-02-23,23.0,23.0,23.0,23.0,13.622275,70.0
34,2016-02-24,23.0,23.0,23.0,23.0,13.622275,490.0
35,2016-02-25,23.0,23.0,23.0,23.0,13.622275,410.0
36,2016-02-26,22.0,23.0,22.0,23.0,13.622275,200.0
37,2016-02-29,23.0,24.0,23.0,23.0,13.622275,510.0
38,2016-03-01,23.0,23.0,22.0,23.0,13.622275,2850.0
39,2016-03-02,23.0,24.0,23.0,24.0,14.214548,1160.0
