,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,14.44,14.57,14.24,14.24,10.796456,6090500.0
1,2016-01-05,14.41,14.57,14.29,14.29,10.834364,5604500.0
2,2016-01-06,14.13,14.49,14.02,14.29,10.834364,5865000.0
3,2016-01-07,14.1,14.23,13.94,13.95,10.576587,6490700.0
4,2016-01-08,14.19,14.36,13.81,13.95,10.576587,4692500.0
5,2016-01-11,14.0,14.06,13.5,13.55,10.273314,5335500.0
6,2016-01-12,13.67,13.85,13.08,13.08,9.916971,6985500.0
7,2016-01-13,13.32,13.43,12.72,12.84,9.735011,7820900.0
8,2016-01-14,13.0,13.56,12.66,13.56,10.280898,9186900.0
9,2016-01-15,13.19,13.37,12.92,13.04,9.886642,8129700.0
10,2016-01-18,13.11,13.21,12.91,12.96,9.825992,3508800.0
11,2016-01-19,13.32,13.35,12.84,12.84,9.735011,6703500.0
12,2016-01-20,12.66,12.84,12.52,12.72,9.644028,7207700.0
13,2016-01-21,12.62,13.04,12.55,12.71,9.636445,8120100.0
14,2016-01-22,12.95,13.15,12.88,13.0,9.856316,6642500.0
15,2016-01-26,12.84,12.95,12.72,12.89,9.772916,9925400.0
16,2016-01-27,12.8,12.92,12.61,12.7,9.628862,10354000.0
17,2016-01-28,12.82,13.05,12.67,12.98,9.841152,6843400.0
18,2016-01-29,13.07,13.85,12.99,13.85,10.500768,10282000.0
19,2016-02-01,13.74,14.2,13.51,14.16,10.735806,6842200.0
20,2016-02-02,13.8,13.87,13.07,13.1,9.932135,11843000.0
21,2016-02-03,13.46,13.54,13.16,13.27,10.061023,6660600.0
22,2016-02-04,13.5,14.12,13.41,13.8,10.462859,9025300.0
23,2016-02-05,13.9,14.05,13.64,13.69,10.37946,5590000.0
24,2016-02-10,13.52,13.72,13.47,13.69,10.37946,5385500.0
25,2016-02-11,13.47,13.59,12.83,13.06,9.901808,10893200.0
26,2016-02-12,13.2,13.57,12.81,13.0,9.856316,10086400.0
27,2016-02-15,13.3,13.35,13.08,13.14,9.962461,4513300.0
28,2016-02-16,13.14,13.54,13.1,13.4,10.159586,6960600.0
29,2016-02-17,13.43,13.8,13.11,13.36,10.129262,9799100.0
