,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,1.78,1.79,1.75,1.75,1.211659,15000.0
1,2016-01-05,1.76,1.76,1.75,1.76,1.218582,4900.0
2,2016-01-06,1.79,1.79,1.74,1.74,1.204735,2600.0
3,2016-01-07,1.73,1.73,1.71,1.71,1.183963,2700.0
4,2016-01-08,1.8,1.8,1.8,1.8,1.246277,5300.0
5,2016-01-11,1.8,1.8,1.8,1.8,1.246277,200.0
6,2016-01-12,1.8,1.8,1.8,1.8,1.246277,0.0
7,2016-01-13,1.73,1.73,1.69,1.69,1.170116,12500.0
8,2016-01-14,1.75,1.75,1.7,1.7,1.17704,2700.0
9,2016-01-15,1.69,1.74,1.69,1.74,1.204735,25200.0
10,2016-01-18,1.74,1.75,1.74,1.75,1.211659,2000.0
11,2016-01-19,1.75,1.75,1.75,1.75,1.211659,0.0
12,2016-01-20,1.7,1.7,1.7,1.7,1.17704,11900.0
13,2016-01-21,1.7,1.7,1.68,1.68,1.163192,4600.0
14,2016-01-22,1.69,1.7,1.69,1.69,1.170116,8600.0
15,2016-01-26,1.68,1.68,1.65,1.68,1.163192,9600.0
16,2016-01-27,1.7,1.7,1.68,1.68,1.163192,16800.0
17,2016-01-28,1.7,1.7,1.69,1.69,1.170116,15600.0
18,2016-01-29,1.69,1.75,1.69,1.75,1.211659,7500.0
19,2016-02-01,1.78,1.78,1.68,1.69,1.180149,1800.0
20,2016-02-02,1.69,1.69,1.69,1.69,1.180149,0.0
21,2016-02-03,1.73,1.75,1.7,1.75,1.222048,27200.0
22,2016-02-04,1.75,1.79,1.75,1.79,1.249981,6400.0
23,2016-02-05,1.79,1.79,1.79,1.79,1.249981,1200.0
24,2016-02-10,1.79,1.79,1.79,1.79,1.249981,800.0
25,2016-02-11,1.75,1.75,1.7,1.7,1.187132,800.0
26,2016-02-12,1.78,1.79,1.75,1.75,1.222048,3600.0
27,2016-02-15,1.75,1.78,1.75,1.78,1.242997,7400.0
28,2016-02-16,1.77,1.78,1.77,1.78,1.242997,2100.0
29,2016-02-17,1.77,1.79,1.76,1.76,1.229031,6000.0
30,2016-02-18,1.75,1.79,1.75,1.79,1.249981,1000.0
31,2016-02-19,1.78,1.8,1.78,1.8,1.256963,5700.0
32,2016-02-22,1.8,1.85,1.76,1.8,1.256963,11700.0
33,2016-02-23,1.8,1.8,1.8,1.8,1.256963,0.0
34,2016-02-24,1.8,1.8,1.8,1.8,1.256963,3000.0
35,2016-02-25,1.88,1.88,1.81,1.81,1.263946,4400.0
36,2016-02-26,1.88,1.88,1.88,1.88,1.312828,1900.0
37,2016-02-29,1.89,1.89,1.89,1.89,1.319812,300.0
38,2016-03-01,1.94,1.94,1.88,1.88,1.323244,1400.0
