,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,11.19,11.19,11.19,11.19,7.789437,0.0
1,2016-01-05,11.19,11.19,11.19,11.19,7.789437,0.0
2,2016-01-06,11.19,11.19,11.19,11.19,7.789437,0.0
3,2016-01-07,11.19,11.19,11.19,11.19,7.789437,0.0
4,2016-01-08,10.9,10.9,10.9,10.9,7.587565,700.0
5,2016-01-11,11.24,11.24,10.11,10.11,7.03764,8000.0
6,2016-01-12,10.15,10.15,9.8,9.8,6.821849,2800.0
7,2016-01-13,10.3,10.3,10.3,10.3,7.1699,200.0
8,2016-01-14,10.34,10.35,10.34,10.35,7.204707,1200.0
9,2016-01-15,10.35,10.35,9.7,9.71,6.759197,2400.0
10,2016-01-18,9.71,9.71,9.71,9.71,6.759197,0.0
11,2016-01-19,9.71,9.71,9.71,9.71,6.759197,0.0
12,2016-01-20,9.71,9.71,9.71,9.71,6.759197,0.0
13,2016-01-21,9.71,9.71,9.71,9.71,6.759197,0.0
14,2016-01-22,10.0,11.08,10.0,11.08,7.712863,500.0
15,2016-01-26,11.08,11.08,11.08,11.08,7.712863,0.0
16,2016-01-27,11.08,11.08,11.08,11.08,7.712863,0.0
17,2016-01-28,11.08,11.08,11.08,11.08,7.712863,0.0
18,2016-01-29,11.08,11.08,11.08,11.08,7.712863,0.0
19,2016-02-01,10.01,10.01,10.0,10.0,6.961069,4600.0
20,2016-02-02,9.7,9.7,9.7,9.7,6.752236,500.0
21,2016-02-03,10.36,10.36,10.0,10.0,6.961069,900.0
22,2016-02-04,10.49,10.49,10.49,10.49,7.302162,200.0
23,2016-02-05,10.49,10.49,10.49,10.49,7.302162,0.0
24,2016-02-10,9.74,9.74,9.73,9.73,6.773121,600.0
25,2016-02-11,9.73,9.73,9.73,9.73,6.773121,0.0
26,2016-02-12,9.73,9.73,9.73,9.73,6.773121,0.0
27,2016-02-15,10.0,10.0,10.0,10.0,6.961069,200.0
28,2016-02-16,10.3,11.81,10.3,11.81,8.221023,300.0
29,2016-02-17,10.5,10.5,10.5,10.5,7.309124,300.0
30,2016-02-18,10.5,10.5,10.5,10.5,7.309124,0.0
31,2016-02-19,10.5,10.5,10.5,10.5,7.309124,0.0
32,2016-02-22,10.5,10.5,10.5,10.5,7.309124,0.0
33,2016-02-23,10.5,10.5,10.5,10.5,7.309124,0.0
34,2016-02-24,10.98,10.98,10.98,10.98,7.643255,100.0
