,Date,Open,High,Low,Close,Adj Close,Volume
0,2017-12-18,17.799999,18.049999,17.65,17.65,17.478098,20735900.0
1,2017-12-19,17.57,17.6,17.02,17.18,17.012678,5367900.0
2,2017-12-20,17.16,17.73,17.0,17.450001,17.280046,2352000.0
3,2017-12-21,17.59,17.59,17.01,17.299999,17.131506,1759000.0
4,2017-12-22,17.200001,17.35,17.049999,17.280001,17.111702,927800.0
5,2017-12-25,17.280001,17.280001,17.280001,17.280001,17.111702,0.0
6,2017-12-26,17.200001,17.290001,17.01,17.16,16.992872,1986300.0
7,2017-12-27,17.1,17.58,17.059999,17.450001,17.280046,947300.0
8,2017-12-28,17.549999,17.549999,17.209999,17.5,17.329559,729000.0
9,2017-12-29,17.5,17.5,17.5,17.5,17.329559,0.0
10,2018-01-02,17.6,17.719999,17.35,17.719999,17.547417,1393900.0
11,2018-01-03,17.709999,17.9,17.559999,17.9,17.725662,2736300.0
12,2018-01-04,17.9,17.950001,17.700001,17.9,17.725662,1305200.0
13,2018-01-05,17.85,17.940001,17.75,17.799999,17.626637,1063300.0
14,2018-01-08,17.83,17.870001,17.610001,17.799999,17.626637,800000.0
15,2018-01-09,17.85,17.85,17.6,17.6,17.428587,1186300.0
16,2018-01-10,17.5,17.75,17.299999,17.6,17.428587,779500.0
17,2018-01-11,17.65,17.93,17.65,17.85,17.676153,551400.0
18,2018-01-12,17.889999,18.030001,17.709999,18.0,17.82469,894400.0
19,2018-01-15,18.0,18.02,17.719999,17.75,17.577126,169900.0
20,2018-01-16,17.719999,17.9,17.530001,17.73,17.557318,341100.0
21,2018-01-17,17.610001,17.75,17.57,17.65,17.478098,1187900.0
22,2018-01-18,17.75,17.75,17.139999,17.68,17.507807,1129900.0
23,2018-01-19,17.67,17.67,17.440001,17.5,17.329559,84100.0
24,2018-01-22,17.700001,17.700001,17.309999,17.360001,17.190924,299800.0
25,2018-01-23,17.200001,17.459999,17.1,17.209999,17.042383,464600.0
26,2018-01-24,17.42,17.65,17.139999,17.65,17.478098,811600.0
27,2018-01-25,17.65,17.65,17.65,17.65,17.478098,0.0
28,2018-01-26,17.65,17.9,17.120001,17.16,16.992872,1263400.0
29,2018-01-29,17.219999,17.389999,16.889999,16.889999,16.725502,983400.0
30,2018-01-30,16.91,17.059999,16.629999,16.799999,16.636377,1019800.0
31,2018-01-31,17.08,17.15,16.91,16.98,16.814623,2096400.0
32,2018-02-01,16.98,17.49,16.9,17.25,17.081995,1941800.0
33,2018-02-02,17.299999,17.299999,16.799999,16.83,16.666086,607700.0
34,2018-02-05,16.799999,17.049999,16.67,16.799999,16.636377,153700.0
35,2018-02-06,17.040001,17.040001,16.690001,17.0,16.834429,240300.0
36,2018-02-07,17.1,17.15,16.91,16.959999,16.794819,110000.0
37,2018-02-08,17.08,17.08,16.799999,17.0,16.834429,324800.0
38,2018-02-09,17.0,17.0,16.790001,16.799999,16.636377,112500.0
39,2018-02-14,,,,,,
40,2018-02-15,16.5,16.799999,16.25,16.25,16.091734,3053400.0
41,2018-02-16,16.299999,16.450001,16.17,16.4,16.240273,217900.0
42,2018-02-19,16.5,16.77,16.33,16.700001,16.537354,579500.0
43,2018-02-20,16.700001,16.959999,16.4,16.799999,16.636377,535200.0
44,2018-02-21,16.799999,16.9,16.51,16.75,16.586864,178000.0
45,2018-02-22,16.75,16.940001,16.629999,16.91,16.745306,107500.0
46,2018-02-23,16.700001,17.1,16.700001,17.059999,16.893847,221300.0
47,2018-02-26,17.129999,17.280001,16.799999,16.799999,16.636377,149400.0
48,2018-02-27,16.99,17.1,16.82,16.940001,16.775013,240000.0
49,2018-02-28,17.0,17.09,16.5,16.549999,16.388811,634200.0
50,2018-03-01,16.57,17.049999,16.57,16.799999,16.636377,374100.0
51,2018-03-02,16.969999,16.969999,16.52,16.700001,16.537354,101500.0
52,2018-03-05,16.940001,16.940001,16.5,16.799999,16.636377,120800.0
53,2018-03-06,16.799999,16.91,16.540001,16.700001,16.537354,450800.0
54,2018-03-07,16.6,16.77,16.469999,16.5,16.3393,286700.0
55,2018-03-08,16.780001,16.790001,16.450001,16.5,16.3393,328300.0
56,2018-03-09,16.73,17.200001,16.25,16.49,16.329397,2080800.0
57,2018-03-12,16.82,17.26,16.290001,16.98,16.814623,1239500.0
58,2018-03-13,17.129999,17.200001,16.799999,17.049999,16.883942,438900.0
59,2018-03-14,17.129999,17.299999,17.049999,17.200001,17.03248,566600.0
60,2018-03-15,17.18,17.65,17.18,17.610001,17.438488,515700.0
61,2018-03-16,17.610001,17.799999,17.209999,17.799999,17.626637,994600.0
62,2018-03-19,17.790001,17.790001,17.34,17.620001,17.448393,207800.0
63,2018-03-20,17.74,17.74,17.0,17.23,17.062189,518300.0
64,2018-03-21,17.23,17.52,16.9,17.120001,16.953262,536300.0
65,2018-03-22,17.23,17.309999,16.610001,16.85,16.685892,615000.0
66,2018-03-23,16.809999,16.969999,16.690001,16.690001,16.527449,295300.0
67,2018-03-26,16.690001,16.93,16.5,16.549999,16.388811,889400.0
68,2018-03-27,16.65,16.84,16.4,16.57,16.408615,207000.0
69,2018-03-28,16.4,16.6,15.99,16.1,15.943197,244500.0
70,2018-03-29,16.33,16.34,15.6,16.0,15.844169,605300.0
71,2018-04-02,16.01,16.02,15.48,15.8,15.646117,250200.0
72,2018-04-03,15.75,16.26,15.75,16.139999,15.982804,248600.0
73,2018-04-04,15.9,16.290001,15.51,16.0,15.844169,383400.0
74,2018-04-05,16.1,16.33,15.62,15.82,15.665922,754100.0
75,2018-04-06,15.82,15.82,15.11,15.65,15.497578,326000.0
76,2018-04-09,15.72,15.72,15.16,15.45,15.299524,186900.0
77,2018-04-10,15.46,15.88,15.07,15.3,15.150987,50200.0
78,2018-04-11,15.41,16.0,15.3,15.75,15.596603,980400.0
79,2018-04-12,15.85,16.0,15.63,15.86,15.705533,179400.0
80,2018-04-13,15.86,15.86,15.51,15.77,15.616409,120100.0
81,2018-04-16,15.77,15.85,15.64,15.79,15.636214,1074700.0
82,2018-04-17,15.7,15.95,15.4,15.8,15.646117,546800.0
83,2018-04-18,15.8,15.8,15.58,15.67,15.517383,876300.0
84,2018-04-19,15.45,15.75,15.41,15.51,15.358942,248000.0
85,2018-04-20,15.51,15.82,14.99,15.58,15.42826,337000.0
86,2018-04-23,15.67,15.86,15.46,15.79,15.636214,102200.0
87,2018-04-24,15.88,15.96,15.44,15.58,15.42826,698800.0
88,2018-04-25,15.41,15.6,15.35,15.36,15.210402,355600.0
89,2018-04-26,15.38,15.59,15.25,15.5,15.349038,165700.0
90,2018-04-27,15.51,15.57,15.44,15.5,15.349038,58300.0
91,2018-04-30,15.53,16.309999,15.53,16.110001,15.953097,592800.0
92,2018-05-02,16.200001,16.59,15.84,16.4,16.240273,408500.0
93,2018-05-03,16.51,16.51,16.0,16.299999,16.141247,222500.0
94,2018-05-04,16.25,16.59,15.76,16.299999,16.141247,1626100.0
95,2018-05-07,16.469999,16.469999,16.09,16.25,16.091734,605100.0
96,2018-05-08,16.24,16.24,15.81,15.96,15.804559,656200.0
97,2018-05-09,16.120001,16.549999,15.95,16.16,16.002611,800900.0
98,2018-05-10,16.219999,16.41,15.65,15.74,15.5867,568100.0
99,2018-05-11,15.99,16.290001,15.72,15.9,15.745143,521500.0
100,2018-05-14,15.91,16.110001,15.6,15.87,15.715435,321700.0
101,2018-05-15,15.68,16.33,15.68,15.94,15.784753,440800.0
102,2018-05-16,15.94,17.0,15.79,17.0,16.834429,286600.0
103,2018-05-17,16.889999,16.93,16.51,16.530001,16.369007,207800.0
104,2018-05-18,16.440001,16.469999,16.0,16.0,15.844169,486800.0
105,2018-05-21,16.01,16.780001,16.01,16.110001,15.953097,467000.0
106,2018-05-22,16.18,16.75,16.120001,16.5,16.3393,535600.0
107,2018-05-23,16.790001,16.969999,16.41,16.530001,16.369007,438100.0
108,2018-05-24,16.49,16.959999,16.219999,16.65,16.487837,317600.0
109,2018-05-25,16.610001,16.940001,16.43,16.719999,16.557158,1108600.0
110,2018-05-28,16.799999,16.82,15.84,15.84,15.685728,703400.0
111,2018-05-29,15.89,16.48,15.65,16.370001,16.210566,960000.0
112,2018-05-30,16.459999,17.1,16.299999,16.5,16.3393,2276800.0
113,2018-06-01,16.790001,17.200001,16.52,16.799999,16.636377,1114000.0
114,2018-06-04,17.0,17.25,16.700001,17.139999,16.973066,599100.0
115,2018-06-05,16.950001,17.389999,16.950001,17.15,16.982967,661200.0
116,2018-06-06,16.99,17.290001,16.82,17.0,16.834429,827200.0
117,2018-06-07,16.76,17.02,15.62,15.86,15.705533,1343600.0
118,2018-06-08,16.08,16.540001,16.0,16.200001,16.042223,991300.0
119,2018-06-11,16.469999,16.5,16.02,16.23,16.071928,751600.0
120,2018-06-12,16.440001,16.629999,16.09,16.370001,16.210566,238500.0
121,2018-06-13,16.299999,16.84,16.17,16.5,16.3393,595100.0
122,2018-06-14,16.65,16.85,16.299999,16.299999,16.141247,356200.0
123,2018-06-15,16.190001,16.32,15.56,15.78,15.626312,3108400.0
124,2018-06-18,15.7,16.370001,15.4,15.88,15.725339,653800.0
125,2018-06-19,15.59,16.219999,15.42,15.7,15.54709,1564600.0
126,2018-06-20,15.72,16.16,15.72,16.0,15.844169,498700.0
127,2018-06-21,15.87,16.299999,15.79,15.98,15.824363,72700.0
128,2018-06-22,16.0,16.08,15.55,15.7,15.54709,1304100.0
129,2018-06-25,15.76,16.299999,15.65,15.95,15.794655,2538400.0
130,2018-06-26,15.8,16.549999,15.8,16.35,16.190762,708100.0
131,2018-06-27,16.34,17.17,16.34,16.700001,16.537354,922000.0
132,2018-06-28,16.700001,16.879999,16.120001,16.15,15.992706,2902700.0
133,2018-06-29,16.540001,16.75,15.65,15.92,15.764948,467600.0
134,2018-07-02,16.48,16.48,15.86,15.96,15.804559,873600.0
135,2018-07-03,16.01,16.33,15.88,16.190001,16.032318,759600.0
136,2018-07-04,16.08,16.15,15.92,16.1,15.943197,72000.0
137,2018-07-05,16.0,16.110001,15.52,15.8,15.646117,402200.0
138,2018-07-06,15.68,15.93,15.54,15.7,15.54709,394500.0
139,2018-07-10,15.96,15.99,15.64,15.7,15.54709,392700.0
140,2018-07-11,15.79,16.299999,15.63,15.63,15.477774,79200.0
141,2018-07-12,15.63,15.7,15.23,15.68,15.527286,110500.0
142,2018-07-13,15.69,15.7,15.3,15.53,15.378747,460500.0
143,2018-07-16,15.46,15.56,15.16,15.16,15.01235,67600.0
144,2018-07-17,15.21,15.28,14.9,14.9,14.754883,439300.0
145,2018-07-18,14.9,15.05,14.34,14.86,14.715272,3662500.0
146,2018-07-19,14.68,15.19,14.6,15.15,15.002448,400300.0
147,2018-07-20,15.23,15.57,14.9,15.53,15.378747,277500.0
148,2018-07-23,15.41,15.48,15.03,15.25,15.101473,155400.0
149,2018-07-24,15.24,15.45,15.11,15.25,15.101473,168900.0
150,2018-07-25,15.2,15.29,15.04,15.06,14.913324,297100.0
151,2018-07-26,15.0,15.0,14.7,15.0,14.853909,239700.0
152,2018-07-27,15.0,15.45,14.94,15.01,14.863811,230700.0
153,2018-07-30,15.13,15.13,14.61,14.61,14.467707,59500.0
154,2018-07-31,14.67,14.78,13.96,14.33,14.190434,377700.0
155,2018-08-01,14.51,14.71,14.36,14.63,14.487513,279900.0
156,2018-08-02,14.51,14.73,14.51,14.59,14.447902,199400.0
157,2018-08-03,14.59,14.83,14.47,14.71,14.566733,274900.0
158,2018-08-06,14.78,15.4,14.72,15.35,15.2005,361900.0
159,2018-08-07,15.34,15.41,15.1,15.2,15.05196,988300.0
