,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-11-29,8.54,8.54,8.3,8.4,7.93184,1580100.0
1,2019-12-02,8.51,8.73,8.44,8.59,8.111251,2430100.0
2,2019-12-03,8.76,8.8,8.49,8.58,8.101809,955700.0
3,2019-12-04,8.59,8.63,8.3,8.49,8.016825,2725200.0
4,2019-12-05,8.53,8.53,8.3,8.37,7.903512,1230900.0
5,2019-12-06,8.37,8.46,8.22,8.35,7.884627,5217100.0
6,2019-12-09,8.37,8.66,8.37,8.51,8.035709,1106500.0
7,2019-12-10,8.61,8.95,8.54,8.68,8.196235,2770200.0
8,2019-12-11,8.85,8.95,8.75,8.91,8.413417,2082800.0
9,2019-12-12,8.94,9.38,8.9,9.35,8.828894,3284300.0
10,2019-12-13,9.5,9.74,9.42,9.74,9.197158,4368300.0
11,2019-12-16,9.85,9.89,9.24,9.55,9.017747,2271600.0
12,2019-12-17,9.55,9.6,9.31,9.45,8.923321,1835600.0
13,2019-12-18,9.5,9.55,9.25,9.5,8.970534,1047900.0
14,2019-12-19,9.59,9.59,9.26,9.43,8.904435,2136400.0
15,2019-12-20,9.31,9.31,8.82,8.96,8.691039,6088300.0
16,2019-12-23,9.11,9.16,9.01,9.09,8.817137,4998500.0
17,2019-12-26,9.14,9.5,9.11,9.5,9.214829,1591900.0
18,2019-12-27,9.6,9.64,9.26,9.6,9.311828,1482900.0
19,2019-12-30,9.58,9.8,9.4,9.79,9.496124,4771800.0
20,2020-01-02,9.94,9.94,9.54,9.59,9.302128,2710100.0
21,2020-01-03,9.4,9.61,9.22,9.51,9.224529,1179000.0
22,2020-01-06,9.5,9.5,9.26,9.29,9.011133,1397400.0
23,2020-01-07,9.35,9.45,9.23,9.3,9.020833,930800.0
24,2020-01-08,9.31,9.32,9.11,9.25,8.972334,1330600.0
25,2020-01-09,9.32,9.32,9.13,9.28,9.001433,2137900.0
26,2020-01-10,9.27,9.39,9.14,9.3,9.020833,1134000.0
27,2020-01-13,9.3,9.83,9.29,9.76,9.467025,6790000.0
28,2020-01-14,9.8,9.96,9.7,9.81,9.515524,2711100.0
29,2020-01-15,9.78,9.93,9.76,9.85,9.554323,1515500.0
30,2020-01-16,9.93,10.05,9.77,9.9,9.602821,2509900.0
31,2020-01-17,9.9,10.25,9.9,10.16,9.855018,2705700.0
32,2020-01-20,10.19,10.31,10.12,10.3,9.990815,1527800.0
33,2020-01-21,10.3,10.45,10.2,10.3,9.990815,1431200.0
34,2020-01-22,10.42,10.45,9.77,10.18,9.874417,6030700.0
35,2020-01-23,10.13,10.38,10.05,10.2,9.893817,2220800.0
36,2020-01-24,10.3,10.35,10.15,10.3,9.990815,1490600.0
