,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,27.5,27.5,27.5,27.5,20.586885,0.0
1,2016-01-05,27.5,27.5,27.5,27.5,20.586885,0.0
2,2016-01-06,27.5,27.5,27.5,27.5,20.586885,0.0
3,2016-01-07,27.5,27.5,27.5,27.5,20.586885,0.0
4,2016-01-08,27.5,27.5,27.5,27.5,20.586885,0.0
5,2016-01-11,27.5,27.5,27.5,27.5,20.586885,0.0
6,2016-01-12,27.5,27.5,27.5,27.5,20.586885,0.0
7,2016-01-13,27.5,27.5,27.5,27.5,20.586885,0.0
8,2016-01-14,27.5,27.5,27.5,27.5,20.586885,0.0
9,2016-01-15,27.5,27.5,27.5,27.5,20.586885,0.0
10,2016-01-18,27.5,27.5,27.5,27.5,20.586885,0.0
11,2016-01-19,27.5,27.5,27.5,27.5,20.586885,0.0
12,2016-01-20,27.5,27.5,27.5,27.5,20.586885,0.0
13,2016-01-21,27.5,27.5,27.5,27.5,20.586885,0.0
14,2016-01-22,27.5,27.5,27.5,27.5,20.586885,0.0
15,2016-01-26,27.5,27.5,27.5,27.5,20.586885,0.0
16,2016-01-27,27.5,27.5,27.5,27.5,20.586885,0.0
17,2016-01-28,27.5,27.5,27.5,27.5,20.586885,0.0
18,2016-01-29,27.5,27.5,27.5,27.5,20.586885,0.0
19,2016-02-01,27.5,27.5,27.5,27.5,20.586885,0.0
20,2016-02-02,27.5,27.5,27.5,27.5,20.586885,0.0
21,2016-02-03,27.5,27.5,27.5,27.5,20.586885,0.0
22,2016-02-04,27.5,27.5,27.5,27.5,20.586885,0.0
23,2016-02-05,27.5,27.5,27.5,27.5,20.586885,0.0
24,2016-02-10,27.5,27.5,27.5,27.5,20.586885,0.0
25,2016-02-11,27.5,27.5,27.5,27.5,20.586885,0.0
26,2016-02-12,27.5,27.5,27.5,27.5,20.586885,0.0
27,2016-02-15,25.18,27.0,25.01,27.0,20.21258,800.0
28,2016-02-16,27.0,27.0,27.0,27.0,20.21258,0.0
29,2016-02-17,27.0,27.0,27.0,27.0,20.21258,4000.0
30,2016-02-18,27.0,27.0,27.0,27.0,20.21258,0.0
31,2016-02-19,27.0,27.0,27.0,27.0,20.21258,0.0
32,2016-02-22,27.0,27.0,27.0,27.0,20.21258,0.0
33,2016-02-23,27.0,27.0,27.0,27.0,20.21258,0.0
34,2016-02-24,27.0,27.0,27.0,27.0,20.21258,0.0
35,2016-02-25,27.0,27.0,27.0,27.0,20.21258,0.0
36,2016-02-26,27.0,27.0,27.0,27.0,20.21258,0.0
37,2016-02-29,27.0,27.0,27.0,27.0,20.21258,0.0
38,2016-03-01,27.0,27.0,27.0,27.0,20.21258,0.0
39,2016-03-02,27.0,27.0,27.0,27.0,20.21258,0.0
40,2016-03-03,27.0,27.0,27.0,27.0,20.21258,0.0
41,2016-03-04,27.0,27.0,27.0,27.0,20.21258,0.0
42,2016-03-07,27.0,27.0,27.0,27.0,20.21258,0.0
43,2016-03-08,27.0,27.0,27.0,27.0,20.21258,0.0
44,2016-03-09,27.0,27.0,27.0,27.0,20.21258,100.0
45,2016-03-10,27.0,27.0,27.0,27.0,20.21258,0.0
46,2016-03-11,27.0,27.0,27.0,27.0,20.21258,0.0
47,2016-03-14,27.0,27.0,27.0,27.0,20.21258,0.0
48,2016-03-15,27.0,27.0,27.0,27.0,20.21258,0.0
49,2016-03-16,27.0,27.0,27.0,27.0,20.21258,0.0
50,2016-03-17,27.0,27.0,27.0,27.0,20.21258,0.0
51,2016-03-18,27.0,27.0,27.0,27.0,20.21258,0.0
52,2016-03-21,27.0,27.0,27.0,27.0,20.21258,0.0
53,2016-03-22,27.0,27.0,27.0,27.0,20.21258,0.0
54,2016-03-23,27.0,27.0,27.0,27.0,20.21258,0.0
55,2016-03-24,27.0,27.0,27.0,27.0,20.21258,0.0
56,2016-03-28,24.0,24.0,24.0,24.0,17.966736,1000.0
57,2016-03-29,24.0,24.0,24.0,24.0,17.966736,0.0
58,2016-03-30,24.0,24.0,24.0,24.0,17.966736,1000.0
59,2016-03-31,24.0,24.0,24.0,24.0,17.966736,0.0
60,2016-04-01,26.0,26.0,25.5,26.0,19.639257,700.0
61,2016-04-04,26.0,26.0,26.0,26.0,19.639257,0.0
62,2016-04-05,24.0,24.0,23.5,23.5,17.750866,1500.0
63,2016-04-06,23.5,23.5,23.5,23.5,17.750866,0.0
64,2016-04-07,23.5,23.5,23.5,23.5,17.750866,0.0
65,2016-04-08,23.5,23.5,23.5,23.5,17.750866,0.0
66,2016-04-11,23.5,23.5,23.5,23.5,17.750866,1000.0
67,2016-04-12,23.5,23.5,23.5,23.5,17.750866,0.0
68,2016-04-13,23.5,23.5,23.5,23.5,17.750866,0.0
69,2016-04-14,23.5,23.5,23.5,23.5,17.750866,0.0
70,2016-04-15,23.5,23.5,23.5,23.5,17.750866,0.0
71,2016-04-18,23.5,23.5,23.5,23.5,17.750866,1000.0
72,2016-04-19,23.5,23.5,23.5,23.5,17.750866,0.0
73,2016-04-20,19.08,23.0,19.08,23.0,17.373186,300.0
74,2016-04-22,23.0,23.0,23.0,23.0,17.373186,0.0
75,2016-04-25,23.0,23.0,23.0,23.0,17.373186,0.0
76,2016-04-26,23.0,23.0,23.0,23.0,17.373186,0.0
77,2016-04-27,21.0,23.0,21.0,23.0,17.373186,300.0
78,2016-04-28,23.0,23.0,23.0,23.0,17.373186,0.0
79,2016-04-29,23.0,23.0,23.0,23.0,17.373186,0.0
80,2016-05-02,23.0,23.0,23.0,23.0,17.373186,0.0
81,2016-05-03,23.0,23.0,23.0,23.0,17.373186,0.0
82,2016-05-04,23.0,23.0,23.0,23.0,17.373186,0.0
83,2016-05-05,23.0,23.0,23.0,23.0,17.373186,0.0
84,2016-05-06,23.0,23.0,23.0,23.0,17.373186,0.0
85,2016-05-09,23.0,23.0,23.0,23.0,17.373186,0.0
86,2016-05-10,23.0,23.0,23.0,23.0,17.373186,0.0
87,2016-05-11,23.0,23.0,23.0,23.0,17.373186,0.0
88,2016-05-12,25.790001,25.790001,23.5,23.5,17.750866,4900.0
89,2016-05-13,23.5,23.5,23.5,23.5,17.750866,0.0
90,2016-05-16,21.01,21.700001,21.01,21.700001,16.391226,1100.0
91,2016-05-17,21.030001,21.200001,21.02,21.200001,16.013548,400.0
92,2016-05-18,21.200001,21.200001,21.200001,21.200001,16.013548,100.0
