,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,1.61,1.79,1.61,1.79,1.642073,13600.0
1,2016-01-05,1.8,1.85,1.74,1.85,1.697114,17109900.0
2,2016-01-06,1.9,2.0,1.9,2.0,1.834718,14300.0
3,2016-01-07,1.96,1.99,1.85,1.99,1.825544,35800.0
4,2016-01-08,1.89,1.89,1.84,1.88,1.724635,1500.0
5,2016-01-11,1.91,1.91,1.8,1.8,1.651246,123400.0
6,2016-01-12,1.8,1.93,1.71,1.71,1.568684,2989100.0
7,2016-01-13,1.76,1.79,1.71,1.79,1.642073,5900.0
8,2016-01-14,1.76,1.85,1.74,1.84,1.687941,18400.0
9,2016-01-15,1.82,1.84,1.77,1.83,1.678767,26100.0
10,2016-01-18,1.76,1.8,1.76,1.8,1.651246,8700.0
11,2016-01-19,1.81,1.89,1.81,1.88,1.724635,3400.0
12,2016-01-20,1.88,1.88,1.85,1.86,1.706288,20600.0
13,2016-01-21,1.86,1.86,1.8,1.82,1.669593,16700.0
14,2016-01-22,1.87,1.87,1.87,1.87,1.715461,2100.0
15,2016-01-26,1.9,1.9,1.81,1.86,1.706288,13300.0
16,2016-01-27,1.81,1.87,1.78,1.78,1.632899,56100.0
17,2016-01-28,1.89,1.89,1.75,1.75,1.605378,20600.0
18,2016-01-29,1.75,1.8,1.73,1.75,1.605378,34400.0
19,2016-02-01,1.82,1.82,1.77,1.81,1.66042,73300.0
20,2016-02-02,1.77,1.85,1.75,1.84,1.691111,24800.0
21,2016-02-03,1.82,1.85,1.76,1.85,1.700302,7300.0
22,2016-02-04,1.83,1.83,1.8,1.83,1.68192,22900.0
23,2016-02-05,1.85,1.85,1.74,1.74,1.599203,42500.0
24,2016-02-10,1.74,1.78,1.73,1.73,1.590012,18000.0
25,2016-02-11,1.73,1.84,1.73,1.79,1.645157,21400.0
26,2016-02-12,1.79,1.79,1.77,1.78,1.635966,1000.0
27,2016-02-15,1.79,1.79,1.76,1.79,1.645157,468700.0
28,2016-02-16,1.77,1.84,1.76,1.84,1.691111,8700.0
29,2016-02-17,1.81,1.85,1.77,1.85,1.700302,7000.0
30,2016-02-18,1.79,1.85,1.78,1.78,1.635966,10200.0
31,2016-02-19,1.85,1.85,1.75,1.75,1.608393,18300.0
32,2016-02-22,1.77,1.79,1.75,1.75,1.608393,36100.0
33,2016-02-23,1.75,1.77,1.73,1.75,1.608393,105300.0
