,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,4.276228,4.43559,4.161133,4.161133,3.188272,2112842.0
1,2016-01-05,4.17884,4.223107,4.143426,4.2054,3.222189,2807937.0
2,2016-01-06,4.108012,4.108012,3.886675,3.913235,2.998331,2137352.0
3,2016-01-07,3.753873,3.789287,3.647631,3.665338,2.808393,2183436.0
4,2016-01-08,3.745019,3.79814,3.559096,3.621071,2.774475,1285709.0
5,2016-01-11,3.621071,3.700752,3.470562,3.479415,2.665937,1297343.0
6,2016-01-12,3.497122,3.532536,3.178397,3.178397,2.435297,2280121.0
7,2016-01-13,3.240371,3.320053,2.965914,2.974767,2.279275,5757739.0
8,2016-01-14,3.001328,3.178397,2.9305,3.098716,2.374244,4094098.0
9,2016-01-15,2.948207,3.010181,2.868525,3.010181,2.306409,2627104.0
10,2016-01-18,3.027888,3.098716,2.974767,2.983621,2.286058,1630433.0
11,2016-01-19,3.107569,3.16069,2.965914,2.992474,2.292842,2355459.0
12,2016-01-20,2.877379,2.921646,2.806551,2.833111,2.170738,5987592.0
13,2016-01-21,2.833111,2.9305,2.762284,2.762284,2.11647,5372240.0
14,2016-01-22,2.833111,2.877379,2.682602,2.779991,2.130037,12563202.0
15,2016-01-26,2.700309,2.779991,2.611775,2.779991,2.130037,3929304.0
16,2016-01-27,2.762284,2.912793,2.700309,2.877379,2.204656,5485529.0
17,2016-01-28,2.886232,3.010181,2.762284,2.779991,2.130037,2619649.0
18,2016-01-29,2.815405,2.939353,2.718016,2.939353,2.25214,2754059.0
19,2016-02-01,2.859672,3.001328,2.806551,2.992474,2.292842,2069356.0
20,2016-02-02,2.877379,2.948207,2.735723,2.744577,2.102902,1917665.0
21,2016-02-03,2.797698,2.886232,2.735723,2.877379,2.204656,1831936.0
22,2016-02-04,2.965914,3.328906,2.9305,3.275785,2.509915,4308477.0
23,2016-02-05,3.249225,3.426294,3.196104,3.275785,2.509915,3407249.0
24,2016-02-10,3.213811,3.284639,3.116423,3.178397,2.435297,1321063.0
25,2016-02-11,3.081009,3.142983,2.9305,3.019034,2.313192,2253578.0
26,2016-02-12,3.098716,3.169544,3.054448,3.169544,2.428513,1853961.0
27,2016-02-15,3.346613,3.382027,3.240371,3.275785,2.509915,3103640.0
28,2016-02-16,3.231518,3.532536,3.196104,3.532536,2.706639,5930552.0
29,2016-02-17,3.674192,3.77158,3.505976,3.541389,2.713422,11588105.0
30,2016-02-18,3.532536,3.612217,3.373173,3.417441,2.618453,3015539.0
31,2016-02-19,3.399734,3.621071,3.346613,3.621071,2.774475,4214164.0
32,2016-02-22,3.833554,4.063745,3.77158,4.046038,3.100086,4414537.0
33,2016-02-23,3.966356,4.134572,3.736166,3.745019,2.869444,3769028.0
34,2016-02-24,3.621071,3.683045,3.470562,3.683045,2.821959,2456097.0
35,2016-02-25,3.452855,3.603364,3.36432,3.408587,2.611669,3425773.0
36,2016-02-26,3.514829,3.541389,3.36432,3.470562,2.659154,2850406.0
37,2016-02-29,3.541389,3.629924,3.461708,3.56795,2.733773,5122621.0
38,2016-03-01,3.674192,3.842408,3.612217,3.842408,2.944064,3340835.0
39,2016-03-02,3.851261,4.187693,3.77158,4.108012,3.147571,4083368.0
40,2016-03-03,4.479858,4.479858,4.479858,4.479858,3.43248,5032035.0
41,2016-03-04,4.479858,5.196989,4.479858,4.798583,3.676688,6649592.0
42,2016-03-07,5.135015,5.444887,5.028773,5.232403,4.009082,6277422.0
43,2016-03-08,5.04648,5.188136,4.630367,4.692341,3.595285,4725376.0
44,2016-03-09,4.710048,4.869411,4.329349,4.426737,3.391778,6037968.0
45,2016-03-10,4.524125,4.603806,4.17884,4.400177,3.371428,5096981.0
46,2016-03-11,4.417884,4.665781,4.400177,4.577246,3.507099,6921576.0
47,2016-03-14,4.648074,4.648074,4.373616,4.453297,3.412128,7595774.0
48,2016-03-15,4.293935,4.497565,4.258521,4.400177,3.371428,7880747.0
49,2016-03-16,4.364763,4.727755,4.355909,4.674634,3.581717,3791166.0
50,2016-03-17,4.913678,5.064187,4.736609,5.04648,3.866627,4437579.0
51,2016-03-18,5.055334,5.382912,4.975652,5.214696,3.995515,2958725.0
52,2016-03-21,5.22355,5.436033,5.135015,5.25011,4.022649,2759255.0
53,2016-03-22,5.214696,5.374059,5.135015,5.214696,3.995515,2130914.0
54,2016-03-23,5.090748,5.196989,4.895971,4.895971,3.751307,2255837.0
55,2016-03-24,4.825143,5.303231,4.745462,5.276671,4.043001,3804043.0
56,2016-03-28,5.400619,5.498007,5.170429,5.329791,4.083701,2373870.0
57,2016-03-29,5.303231,5.559982,5.135015,5.462594,4.185454,3742598.0
58,2016-03-30,5.551128,5.843293,5.506861,5.568835,4.266857,4978836.0
59,2016-03-31,5.444887,5.444887,5.444887,5.444887,4.171887,47890.0
60,2016-04-01,5.728198,5.728198,5.728198,5.728198,4.388961,37725.0
61,2016-04-04,5.391766,5.391766,5.391766,5.391766,4.131186,4405.0
62,2016-04-05,5.462594,5.462594,5.462594,5.462594,4.185454,13554.0
63,2016-04-06,5.444887,5.444887,5.444887,5.444887,4.171887,3840.0
64,2016-04-07,5.320938,5.320938,5.320938,5.320938,4.076918,7567.0
65,2016-04-08,5.489154,5.728198,5.436033,5.710491,4.375394,2370029.0
66,2016-04-11,6.144311,6.144311,6.144311,6.144311,4.707788,14796.0
67,2016-04-12,6.826029,6.826029,6.826029,6.826029,5.230123,51618.0
68,2016-04-13,7.10934,7.10934,7.10934,7.10934,5.447196,20443.0
69,2016-04-14,7.259849,7.259849,6.542718,6.790615,5.202988,6796088.0
70,2016-04-15,6.896857,7.100486,6.684373,7.011952,5.372578,6147190.0
71,2016-04-18,7.073926,7.206728,6.852589,6.994245,5.35901,5091673.0
72,2016-04-19,7.330677,7.330677,7.330677,7.330677,5.616786,20556.0
73,2016-04-20,7.304116,7.791057,7.304116,7.791057,5.96953,9469953.0
74,2016-04-22,7.481186,7.534307,7.082779,7.197875,5.515032,7531280.0
75,2016-04-25,7.047366,7.091633,6.67552,6.719787,5.14872,3307514.0
