,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-07-14,20.74,20.959999,20.25,20.5,20.5,300600
1,2021-07-15,20.700001,21.24,20.469999,20.9,20.9,280700
2,2021-07-16,21.0,21.4,20.629999,20.799999,20.799999,231700
3,2021-07-19,20.530001,21.059999,20.4,20.690001,20.690001,323100
4,2021-07-20,20.49,21.700001,20.4,21.559999,21.559999,530600
5,2021-07-21,21.610001,22.200001,21.1,21.65,21.65,389800
6,2021-07-22,21.6,23.27,21.309999,23.15,23.15,683000
7,2021-07-23,23.219999,24.85,22.719999,24.18,24.18,709000
8,2021-07-26,24.299999,25.82,24.18,24.700001,24.700001,639000
9,2021-07-27,24.629999,25.799999,23.57,24.17,24.17,673200
10,2021-07-28,25.0,25.16,23.219999,23.32,23.32,604100
11,2021-07-29,23.549999,24.02,22.58,23.0,23.0,662500
12,2021-07-30,22.889999,25.16,22.6,23.950001,23.950001,1536700
13,2021-08-02,24.27,25.530001,23.68,24.030001,24.030001,1273900
14,2021-08-03,24.27,24.629999,23.110001,23.98,23.98,622200
15,2021-08-04,23.85,26.219999,23.780001,26.129999,26.129999,778000
16,2021-08-05,26.49,28.969999,26.200001,26.99,26.99,1126500
17,2021-08-06,27.6,28.4,26.68,27.280001,27.280001,567500
18,2021-08-09,27.08,28.889999,26.940001,28.34,28.34,584300
19,2021-08-10,28.4,29.51,26.82,27.1,27.1,1144400
20,2021-08-11,26.799999,27.209999,25.299999,25.82,25.82,774900
21,2021-08-12,25.67,27.629999,24.9,26.799999,26.799999,724100
22,2021-08-13,26.68,27.26,25.98,27.0,27.0,416800
23,2021-08-16,26.84,26.9,24.200001,25.0,25.0,825600
24,2021-08-17,24.41,25.84,22.5,25.299999,25.299999,1276900
25,2021-08-18,25.120001,25.799999,24.17,24.84,24.84,564500
26,2021-08-19,24.0,25.25,23.549999,24.25,24.25,578200
27,2021-08-20,24.15,25.469999,23.91,24.33,24.33,491200
28,2021-08-23,24.41,25.1,23.75,23.75,23.75,496100
29,2021-08-24,24.200001,24.58,23.76,24.129999,24.129999,443700
30,2021-08-25,23.799999,24.48,23.799999,24.299999,24.299999,269300
31,2021-08-26,24.1,24.459999,22.799999,22.799999,22.799999,692200
32,2021-08-27,23.34,23.6,22.620001,23.34,23.34,582900
33,2021-08-30,23.02,25.09,23.02,24.360001,24.360001,1737800
34,2021-08-31,24.799999,25.879999,23.5,23.91,23.91,1313600
35,2021-09-01,24.08,24.68,23.5,23.5,23.5,584300
36,2021-09-02,23.459999,23.68,22.200001,22.34,22.34,1022200
37,2021-09-03,22.65,22.9,21.620001,22.700001,22.700001,657600
38,2021-09-06,23.0,23.9,22.610001,23.639999,23.639999,554500
39,2021-09-08,23.469999,23.9,21.549999,21.549999,21.549999,833900
40,2021-09-09,21.549999,22.85,20.889999,22.190001,22.190001,937900
41,2021-09-10,22.799999,23.84,21.809999,21.82,21.82,1067300
42,2021-09-13,22.25,22.6,21.860001,22.35,22.35,583400
43,2021-09-14,22.450001,23.0,22.040001,22.26,22.26,333400
44,2021-09-15,22.27,22.440001,21.549999,22.1,22.1,907000
45,2021-09-16,21.700001,22.1,21.01,21.1,21.1,646000
46,2021-09-17,21.01,21.200001,19.52,20.6,20.6,1302800
47,2021-09-20,19.5,19.9,19.120001,19.549999,19.549999,979900
48,2021-09-21,19.9,20.4,19.809999,20.4,20.4,480700
49,2021-09-22,20.690001,21.290001,20.690001,20.75,20.75,495600
50,2021-09-23,20.790001,21.74,20.700001,21.309999,21.309999,347900
51,2021-09-24,21.15,22.0,20.73,21.940001,21.940001,519500
52,2021-09-27,21.940001,22.469999,21.790001,22.200001,22.200001,295600
53,2021-09-28,21.809999,22.200001,20.309999,20.309999,20.309999,950900
54,2021-09-29,20.700001,20.9,20.450001,20.65,20.65,871500
55,2021-09-30,20.549999,20.889999,19.6,19.65,19.65,811500
56,2021-10-01,19.700001,20.219999,18.9,19.99,19.99,593200
57,2021-10-04,19.75,20.09,18.9,18.9,18.9,287400
58,2021-10-05,18.950001,19.41,18.700001,18.9,18.9,189000
59,2021-10-06,18.690001,19.6,17.9,19.200001,19.200001,500900
60,2021-10-07,19.34,19.76,19.299999,19.4,19.4,336700
61,2021-10-08,19.58,20.790001,19.389999,20.25,20.25,792500
62,2021-10-11,20.24,20.91,19.01,19.6,19.6,133600
63,2021-10-13,19.940001,19.950001,19.27,19.799999,19.799999,103600
64,2021-10-14,19.559999,20.0,19.34,19.82,19.82,78000
65,2021-10-15,19.799999,20.5,19.459999,19.459999,19.459999,140900
66,2021-10-18,19.190001,20.98,19.190001,20.75,20.75,202400
67,2021-10-19,20.99,20.99,19.879999,20.129999,20.129999,221800
68,2021-10-20,20.07,20.379999,19.549999,19.6,19.6,202500
69,2021-10-21,19.0,19.49,18.75,19.1,19.1,320300
70,2021-10-22,18.65,19.5,17.68,19.49,19.49,272100
