,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-08-02,13.98,14.34,13.22,13.61,13.61,2443500
1,2021-08-03,13.6,13.6,13.05,13.4,13.4,677600
2,2021-08-04,13.42,13.74,12.9,13.06,13.06,990200
3,2021-08-05,13.27,13.37,12.9,12.91,12.91,555200
4,2021-08-06,12.89,13.49,12.89,13.49,13.49,189700
5,2021-08-09,13.49,13.88,13.2,13.6,13.6,230900
6,2021-08-10,13.6,13.88,13.38,13.38,13.38,233700
7,2021-08-11,13.28,13.62,13.03,13.32,13.32,661300
8,2021-08-12,13.16,13.68,13.1,13.38,13.38,386300
9,2021-08-13,13.59,13.59,12.95,13.25,13.25,1018200
10,2021-08-16,13.11,13.23,12.85,12.85,12.85,781600
11,2021-08-17,12.8,12.98,11.93,12.57,12.57,1091400
12,2021-08-18,12.7,13.33,12.43,12.75,12.75,1210600
13,2021-08-19,12.75,12.75,12.13,12.47,12.47,691200
14,2021-08-20,12.69,12.7,12.4,12.7,12.7,663600
15,2021-08-23,12.71,12.88,12.6,12.6,12.6,332100
16,2021-08-24,12.39,12.93,12.39,12.93,12.93,267400
17,2021-08-25,13.05,13.08,12.73,12.96,12.96,482900
18,2021-08-26,12.87,13.12,12.78,12.88,12.88,177900
19,2021-08-27,12.96,13.12,12.84,12.84,12.84,657200
20,2021-08-30,12.7,13.03,12.67,12.67,12.67,59700
21,2021-08-31,12.75,12.84,12.54,12.84,12.84,124500
22,2021-09-01,12.84,12.86,12.33,12.33,12.33,106500
23,2021-09-02,12.33,12.33,11.93,11.93,11.93,124300
24,2021-09-03,11.93,12.19,11.28,11.9,11.9,5798700
25,2021-09-06,11.88,12.68,11.88,12.15,12.15,119400
26,2021-09-08,12.1,12.1,11.46,11.85,11.85,472200
27,2021-09-09,11.72,11.91,11.44,11.44,11.44,351300
28,2021-09-10,11.75,12.1,11.05,11.05,11.05,367900
29,2021-09-13,11.21,11.59,11.02,11.02,11.02,95700
30,2021-09-14,11.11,11.59,10.95,11.0,11.0,144500
31,2021-09-15,11.0,11.3,10.74,10.93,10.93,110500
32,2021-09-16,10.96,10.99,10.49,10.55,10.55,210100
33,2021-09-17,10.49,10.49,10.14,10.37,10.37,555600
34,2021-09-20,10.1,10.5,9.72,9.72,9.72,669200
35,2021-09-21,10.3,10.3,9.9,10.04,10.04,61400
36,2021-09-22,10.19,10.61,10.12,10.59,10.59,221300
37,2021-09-23,10.48,10.9,10.48,10.9,10.9,80300
38,2021-09-24,10.82,11.6,10.55,11.3,11.3,217400
39,2021-09-27,12.07,12.09,11.2,11.2,11.2,199200
40,2021-09-28,11.15,11.39,10.7,10.71,10.71,149700
41,2021-09-29,10.73,11.46,10.73,10.76,10.76,148700
42,2021-09-30,10.89,11.06,10.83,10.84,10.84,256800
43,2021-10-01,10.9,11.34,10.55,11.34,11.34,262800
44,2021-10-04,11.02,11.4,10.57,10.65,10.65,196700
45,2021-10-05,10.85,11.0,10.38,10.65,10.65,253100
46,2021-10-06,10.63,10.66,9.65,10.6,10.6,728200
47,2021-10-07,10.5,10.73,9.68,9.79,9.79,2628100
48,2021-10-08,9.89,10.05,9.6,9.81,9.81,530900
49,2021-10-11,9.81,9.95,9.58,9.58,9.58,113500
50,2021-10-13,9.76,9.76,9.16,9.67,9.67,434500
51,2021-10-14,9.56,9.76,9.08,9.15,9.15,287400
52,2021-10-15,9.1,9.23,8.81,9.0,9.0,4648300
53,2021-10-18,8.9,9.06,8.8,8.99,8.99,281600
54,2021-10-19,8.8,9.04,8.42,8.62,8.62,206400
55,2021-10-20,8.77,9.6,8.74,9.13,9.13,585300
56,2021-10-21,8.89,8.99,8.26,8.69,8.69,275100
57,2021-10-22,8.59,8.69,7.6,8.38,8.38,686100
