,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,6.97,6.97,6.97,6.97,4.503616,0.0
1,2016-01-05,6.97,6.97,6.97,6.97,4.503616,0.0
2,2016-01-06,6.97,6.97,6.97,6.97,4.503616,0.0
3,2016-01-07,6.97,6.97,6.97,6.97,4.503616,0.0
4,2016-01-08,6.8,6.97,6.6,6.97,4.503616,1500.0
5,2016-01-11,6.75,6.95,6.75,6.95,4.490692,1800.0
6,2016-01-12,6.95,6.95,6.95,6.95,4.490692,0.0
7,2016-01-13,6.7,6.89,6.7,6.88,4.445463,10000.0
8,2016-01-14,6.88,6.88,6.88,6.88,4.445463,0.0
9,2016-01-15,6.88,6.88,6.88,6.88,4.445463,0.0
10,2016-01-18,6.88,6.88,6.88,6.88,4.445463,0.0
11,2016-01-19,6.89,6.89,6.89,6.89,4.451924,23500.0
12,2016-01-20,6.89,6.89,6.89,6.89,4.451924,0.0
13,2016-01-21,6.89,6.89,6.89,6.89,4.606589,0.0
14,2016-01-22,6.89,6.89,6.89,6.89,4.606589,0.0
15,2016-01-26,6.69,6.89,6.69,6.89,4.606589,1200.0
16,2016-01-27,6.61,6.99,6.6,6.99,4.673448,8400.0
17,2016-01-28,6.99,6.99,6.99,6.99,4.673448,0.0
18,2016-01-29,7.0,7.5,7.0,7.5,5.01443,3400.0
19,2016-02-01,7.5,7.5,7.5,7.5,5.01443,0.0
20,2016-02-02,7.42,7.44,7.42,7.44,4.974315,1000.0
21,2016-02-03,7.44,7.44,7.44,7.44,4.974315,0.0
22,2016-02-04,7.44,7.44,7.44,7.44,4.974315,0.0
23,2016-02-05,7.44,7.44,7.44,7.44,4.974315,0.0
24,2016-02-10,7.0,7.4,7.0,7.4,4.947571,1100.0
25,2016-02-11,7.09,7.3,7.0,7.3,4.880712,20600.0
26,2016-02-12,7.1,7.15,6.78,6.78,4.533045,21400.0
27,2016-02-15,6.75,6.75,6.41,6.41,4.285666,3900.0
28,2016-02-16,6.45,6.45,6.31,6.31,4.218807,4800.0
29,2016-02-17,6.21,6.6,6.1,6.6,4.412699,6800.0
30,2016-02-18,6.6,6.6,6.6,6.6,4.412699,0.0
31,2016-02-19,5.8,5.8,5.8,5.8,3.877825,2800.0
32,2016-02-22,5.99,5.99,5.9,5.9,3.944685,1000.0
33,2016-02-23,6.0,6.17,6.0,6.17,4.125205,2100.0
34,2016-02-24,6.16,6.17,6.16,6.17,4.125205,200.0
35,2016-02-25,6.17,6.17,6.17,6.17,4.125205,1400.0
36,2016-02-26,6.17,6.17,6.17,6.17,4.125205,0.0
37,2016-02-29,6.6,6.6,6.49,6.49,4.339153,2400.0
38,2016-03-01,6.58,6.77,6.58,6.76,4.519673,2500.0
39,2016-03-02,6.76,6.76,6.76,6.76,4.519673,0.0
40,2016-03-03,6.78,7.3,6.78,7.3,4.880712,4600.0
41,2016-03-04,7.3,7.3,7.3,7.3,4.880712,4600.0
42,2016-03-07,7.3,7.3,7.3,7.3,4.880712,0.0
43,2016-03-08,7.3,7.3,7.3,7.3,4.880712,0.0
44,2016-03-09,6.9,7.2,6.9,7.2,4.813853,300.0
45,2016-03-10,7.2,7.2,7.2,7.2,4.813853,0.0
46,2016-03-11,7.2,7.2,7.2,7.2,4.813853,0.0
47,2016-03-14,7.2,7.2,7.2,7.2,4.813853,0.0
48,2016-03-15,7.2,7.2,7.2,7.2,4.813853,0.0
49,2016-03-16,7.2,7.2,7.2,7.2,4.813853,0.0
50,2016-03-17,7.18,7.49,7.17,7.49,5.007743,18800.0
51,2016-03-18,7.49,7.49,7.49,7.49,5.007743,0.0
52,2016-03-21,7.49,7.49,7.49,7.49,5.007743,0.0
53,2016-03-22,7.49,7.49,7.49,7.49,5.007743,0.0
54,2016-03-23,7.01,7.74,7.01,7.74,5.174892,200.0
55,2016-03-24,7.74,7.74,7.74,7.74,5.174892,0.0
56,2016-03-28,7.74,7.74,7.74,7.74,5.174892,0.0
57,2016-03-29,7.74,7.74,7.74,7.74,5.174892,0.0
58,2016-03-30,7.74,7.74,7.74,7.74,5.174892,0.0
59,2016-03-31,7.65,7.67,7.65,7.67,5.128091,14000.0
60,2016-04-01,7.67,7.67,7.67,7.67,5.128091,0.0
61,2016-04-04,7.03,7.66,7.02,7.66,5.121404,800.0
62,2016-04-05,7.15,7.67,7.1,7.67,5.128091,5200.0
63,2016-04-06,7.67,7.67,7.67,7.67,5.128091,0.0
64,2016-04-07,7.67,7.67,7.67,7.67,5.128091,0.0
65,2016-04-08,7.67,7.67,7.67,7.67,5.128091,0.0
66,2016-04-11,7.67,7.67,7.67,7.67,5.128091,0.0
67,2016-04-12,7.67,7.67,7.67,7.67,5.128091,0.0
68,2016-04-13,7.67,7.67,7.67,7.67,5.128091,0.0
69,2016-04-14,7.67,7.67,7.67,7.67,5.128091,0.0
70,2016-04-15,7.15,7.15,7.15,7.15,4.780424,9800.0
71,2016-04-18,6.61,6.61,6.6,6.6,4.412699,2500.0
72,2016-04-19,7.49,7.49,7.0,7.38,4.934198,2300.0
73,2016-04-20,7.38,7.38,7.38,7.38,4.934198,600.0
74,2016-04-22,7.38,7.67,7.38,7.67,5.128091,8100.0
75,2016-04-25,7.67,7.67,7.67,7.67,5.128091,0.0
76,2016-04-26,7.65,7.65,7.65,7.65,5.114719,63000.0
77,2016-04-27,7.65,7.65,7.65,7.65,5.114719,0.0
78,2016-04-28,7.0,7.19,7.0,7.0,4.680134,2700.0
79,2016-04-29,7.19,7.19,7.19,7.19,4.807167,1200.0
80,2016-05-02,7.19,7.19,7.18,7.18,4.800481,500.0
81,2016-05-03,6.81,7.19,6.81,7.19,4.807167,1700.0
82,2016-05-04,7.19,7.19,7.19,7.19,4.807167,0.0
83,2016-05-05,7.19,7.19,7.19,7.19,4.807167,0.0
84,2016-05-06,7.19,7.19,7.19,7.19,4.807167,0.0
85,2016-05-09,7.0,7.1,6.81,7.1,4.746994,1000.0
86,2016-05-10,7.1,7.1,7.1,7.1,4.746994,0.0
87,2016-05-11,7.1,7.1,7.1,7.1,4.746994,0.0
88,2016-05-12,7.1,7.1,7.1,7.1,4.746994,0.0
89,2016-05-13,7.1,7.1,7.1,7.1,4.746994,0.0
90,2016-05-16,7.1,7.1,7.1,7.1,4.746994,0.0
91,2016-05-17,7.1,7.1,7.1,7.1,4.746994,0.0
92,2016-05-18,7.09,7.1,7.09,7.09,4.740308,7000.0
93,2016-05-19,7.09,7.09,7.09,7.09,4.740308,0.0
94,2016-05-20,6.92,7.05,6.91,7.05,4.713564,9700.0
95,2016-05-23,7.05,7.05,7.05,7.05,4.713564,0.0
96,2016-05-24,7.05,7.05,7.05,7.05,4.713564,0.0
97,2016-05-25,7.05,7.05,7.05,7.05,4.713564,0.0
98,2016-05-27,7.05,7.05,7.05,7.05,4.713564,0.0
99,2016-05-30,7.05,7.05,7.05,7.05,4.713564,0.0
100,2016-05-31,7.05,7.05,7.05,7.05,4.713564,0.0
101,2016-06-01,7.05,7.05,7.05,7.05,4.713564,0.0
