,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,5.79,5.79,5.57,5.57,3.847527,732000.0
1,2016-01-05,5.6,5.65,5.42,5.42,3.743912,836200.0
2,2016-01-06,5.43,5.51,5.13,5.26,3.633391,1299900.0
3,2016-01-07,5.2,5.23,4.98,5.1,3.522869,1263700.0
4,2016-01-08,5.17,5.2,4.98,5.1,3.522869,1369100.0
5,2016-01-11,5.11,5.17,5.06,5.11,3.529777,694300.0
6,2016-01-12,5.15,5.25,5.1,5.14,3.550499,1560000.0
7,2016-01-13,5.15,5.22,4.92,4.92,3.398533,1165800.0
8,2016-01-14,4.98,5.12,4.82,5.04,3.481423,904300.0
9,2016-01-15,4.97,5.02,4.63,4.76,3.288012,1433500.0
10,2016-01-18,4.75,4.78,4.7,4.75,3.281103,450100.0
11,2016-01-19,4.81,4.85,4.71,4.71,3.253473,701800.0
12,2016-01-20,4.66,4.66,4.28,4.39,3.03243,1433500.0
13,2016-01-21,4.37,4.42,4.23,4.23,2.921909,754700.0
14,2016-01-22,4.27,4.38,4.19,4.23,2.921909,1033800.0
15,2016-01-26,4.31,4.31,4.12,4.14,2.859741,1086300.0
16,2016-01-27,4.11,4.22,4.1,4.16,2.873556,1360600.0
17,2016-01-28,4.16,4.25,4.11,4.13,2.852833,671000.0
18,2016-01-29,4.18,4.45,4.15,4.45,3.073876,1881400.0
19,2016-02-01,4.5,4.67,4.39,4.65,3.212028,736400.0
20,2016-02-02,4.57,4.63,4.4,4.44,3.066968,546900.0
21,2016-02-03,4.6,4.61,4.34,4.39,3.03243,1154400.0
22,2016-02-04,4.45,4.8,4.43,4.78,3.301827,1079100.0
23,2016-02-05,4.81,4.98,4.62,4.69,3.239658,1284300.0
24,2016-02-10,4.68,4.68,4.33,4.5,3.108415,729400.0
25,2016-02-11,4.48,4.49,4.35,4.36,3.011708,981600.0
26,2016-02-12,4.44,4.48,4.35,4.48,3.094599,715800.0
27,2016-02-15,4.57,4.6,4.44,4.5,3.108415,379000.0
28,2016-02-16,4.55,5.0,4.53,4.92,3.398533,1265500.0
29,2016-02-17,4.97,5.15,4.7,4.88,3.370902,1696000.0
30,2016-02-18,4.87,4.96,4.78,4.95,3.419255,1030900.0
31,2016-02-19,4.93,5.22,4.85,5.22,3.605761,972100.0
32,2016-02-22,5.25,5.58,5.25,5.46,3.771542,1296600.0
33,2016-02-23,5.49,5.55,5.22,5.28,3.647205,1463700.0
34,2016-02-24,5.22,5.5,5.04,5.5,3.799173,1358900.0
35,2016-02-25,5.45,5.6,5.38,5.58,3.854432,899300.0
36,2016-02-26,5.58,5.66,5.35,5.41,3.737004,846100.0
37,2016-02-29,5.52,5.6,5.41,5.6,3.868248,1142900.0
38,2016-03-01,5.67,5.91,5.61,5.91,4.082382,1438800.0
39,2016-03-02,5.91,6.22,5.77,6.22,4.296518,1628400.0
40,2016-03-03,6.59,6.59,6.59,6.59,4.552099,2089300.0
41,2016-03-04,6.59,7.17,6.43,6.84,4.72479,2059400.0
42,2016-03-07,6.85,6.93,6.43,6.54,4.517561,1782000.0
43,2016-03-08,6.53,6.72,6.22,6.52,4.503747,3069500.0
44,2016-03-09,6.59,7.07,6.55,6.84,4.72479,2862500.0
45,2016-03-10,6.98,7.41,6.95,7.33,5.063261,3627900.0
46,2016-03-11,7.2,7.24,7.05,7.16,5.074833,2195200.0
47,2016-03-14,7.27,7.33,7.01,7.1,5.032306,1480800.0
48,2016-03-15,6.92,6.92,6.42,6.56,4.649569,2262400.0
49,2016-03-16,6.45,7.06,6.4,6.99,4.954341,2099200.0
50,2016-03-17,7.75,7.75,7.23,7.7,5.457572,2175500.0
51,2016-03-18,7.68,7.81,7.36,7.4,5.244941,2106400.0
52,2016-03-21,7.5,7.94,7.5,7.89,5.592239,1041500.0
53,2016-03-22,7.9,8.07,7.7,7.7,5.457572,919500.0
54,2016-03-23,7.64,7.76,7.53,7.69,5.450485,971100.0
55,2016-03-24,7.64,7.65,7.33,7.52,5.329992,1256000.0
56,2016-03-28,7.59,8.07,7.59,7.95,5.634766,972200.0
57,2016-03-29,7.97,8.15,7.89,8.09,5.733995,1181100.0
58,2016-03-30,8.13,8.45,8.13,8.25,5.847399,1220400.0
59,2016-03-31,8.02,8.02,8.02,8.02,5.684381,2900.0
60,2016-04-01,8.57,8.57,8.57,8.57,6.074207,14600.0
61,2016-04-04,8.12,8.12,8.12,8.12,5.755259,4700.0
62,2016-04-05,8.1,8.1,8.1,8.1,5.741083,16200.0
63,2016-04-06,8.12,8.12,8.12,8.12,5.755259,7100.0
64,2016-04-07,7.92,7.92,7.92,7.92,5.613504,3700.0
65,2016-04-08,8.11,8.4,8.0,8.37,5.932453,1188500.0
66,2016-04-11,8.7,8.7,8.7,8.7,6.166349,12100.0
67,2016-04-12,9.0,9.0,9.0,9.0,6.378981,13500.0
68,2016-04-13,8.98,8.98,8.98,8.98,6.364807,34700.0
69,2016-04-14,9.14,9.19,8.74,9.0,6.378981,1304100.0
70,2016-04-15,9.08,9.19,9.04,9.18,6.506561,1717900.0
71,2016-04-18,9.4,9.44,8.71,8.8,6.237225,833100.0
72,2016-04-19,8.84,8.84,8.84,8.84,6.265577,2500.0
73,2016-04-20,8.59,8.96,8.53,8.95,6.343543,633400.0
74,2016-04-22,8.81,8.96,8.72,8.89,6.301017,484500.0
75,2016-04-25,8.9,8.9,8.6,8.62,6.109645,942300.0
76,2016-04-26,8.66,8.86,8.66,8.76,6.208876,679600.0
77,2016-04-27,8.8,9.0,8.76,8.85,6.272666,889000.0
78,2016-04-28,8.76,8.87,8.71,8.73,6.187611,840800.0
79,2016-04-29,8.76,8.81,8.51,8.51,6.031682,984200.0
80,2016-05-02,8.59,8.66,8.24,8.39,5.946627,713200.0
81,2016-05-03,8.29,8.38,8.12,8.22,5.826137,454300.0
82,2016-05-04,8.23,8.68,8.21,8.65,6.130911,968200.0
83,2016-05-05,8.7,8.84,8.31,8.39,5.946627,631700.0
84,2016-05-06,8.33,8.48,8.13,8.2,5.81196,560900.0
85,2016-05-09,8.26,8.35,7.73,8.29,5.87575,976500.0
86,2016-05-10,8.41,8.77,8.41,8.77,6.215961,554300.0
87,2016-05-11,8.83,9.07,8.79,8.9,6.308102,2105600.0
88,2016-05-12,9.0,9.24,8.83,9.0,6.378981,1293500.0
89,2016-05-13,8.95,9.05,8.82,9.05,6.414419,757000.0
90,2016-05-16,9.05,9.15,8.96,9.08,6.435684,893700.0
91,2016-05-17,9.11,9.14,8.61,8.65,6.130911,978100.0
92,2016-05-18,8.7,9.04,8.55,8.94,6.336454,1185000.0
93,2016-05-19,8.9,8.94,8.71,8.85,6.272666,1373700.0
94,2016-05-20,8.84,8.97,8.58,8.64,6.123822,956700.0
95,2016-05-23,8.53,8.55,8.35,8.47,6.003331,1160600.0
96,2016-05-24,8.49,8.65,8.42,8.56,6.067121,710200.0
97,2016-05-25,8.59,8.68,8.52,8.6,6.095471,1259700.0
98,2016-05-27,8.69,8.83,8.62,8.74,6.194699,1573200.0
99,2016-05-30,8.7,8.77,8.6,8.64,6.123822,212800.0
100,2016-05-31,8.6,8.6,8.2,8.35,5.918276,2429300.0
101,2016-06-01,8.3,8.77,8.29,8.5,6.024593,2558200.0
102,2016-06-02,8.51,8.58,8.22,8.25,5.847399,2070800.0
103,2016-06-03,8.23,8.38,8.1,8.15,5.776521,1466900.0
104,2016-06-06,8.21,8.22,7.92,7.98,5.65603,1383700.0
105,2016-06-07,8.0,8.03,7.74,7.74,5.485923,1143200.0
106,2016-06-08,7.82,8.11,7.82,8.0,5.670204,1067100.0
107,2016-06-09,8.0,8.06,7.9,7.99,5.663118,627700.0
108,2016-06-10,8.0,8.0,7.7,7.76,5.5001,691400.0
109,2016-06-13,7.8,7.89,7.59,7.71,5.46466,651900.0
110,2016-06-14,7.55,7.65,7.31,7.38,5.361386,818200.0
111,2016-06-15,7.44,7.51,7.26,7.51,5.45583,914600.0
112,2016-06-16,7.43,7.61,7.2,7.58,5.506681,881400.0
113,2016-06-17,7.63,7.67,7.33,7.35,5.339593,698600.0
114,2016-06-20,7.48,7.73,7.41,7.5,5.448565,1373100.0
115,2016-06-21,7.53,7.63,7.36,7.59,5.513947,426700.0
116,2016-06-22,7.64,7.73,7.51,7.57,5.499417,527500.0
117,2016-06-23,7.6,7.92,7.6,7.92,5.753683,518100.0
118,2016-06-24,7.55,7.74,7.45,7.66,5.5648,627700.0
119,2016-06-27,7.71,7.71,7.4,7.4,5.375917,922700.0
120,2016-06-28,7.51,8.21,7.51,8.13,5.906243,1698700.0
121,2016-06-29,8.15,8.5,8.15,8.5,6.175039,1177400.0
122,2016-06-30,8.45,8.55,8.24,8.54,6.204099,1177500.0
123,2016-07-01,8.56,8.7,8.43,8.65,6.28401,805400.0
124,2016-07-04,8.64,8.8,8.53,8.6,6.247686,651200.0
125,2016-07-05,8.6,8.77,8.48,8.75,6.356658,773100.0
126,2016-07-06,8.72,8.72,8.52,8.58,6.233158,652900.0
127,2016-07-07,8.59,8.86,8.58,8.83,6.414776,892300.0
128,2016-07-08,8.82,9.05,8.7,9.01,6.545542,788800.0
129,2016-07-11,8.99,9.16,8.99,9.14,6.639984,378200.0
130,2016-07-12,9.1,9.24,8.85,8.98,6.523748,789200.0
131,2016-07-13,8.99,9.44,8.88,9.44,6.857923,1914700.0
132,2016-07-14,9.44,9.95,9.44,9.82,7.133987,974200.0
133,2016-07-15,9.82,9.87,9.52,9.7,7.046809,835100.0
134,2016-07-18,9.81,9.94,9.66,9.94,7.221164,698800.0
135,2016-07-19,9.95,10.53,9.86,10.53,7.649784,1179900.0
136,2016-07-20,10.5,10.7,10.31,10.45,7.591666,2795300.0
137,2016-07-21,10.36,10.77,10.1,10.49,7.620723,940300.0
138,2016-07-22,10.59,10.78,10.34,10.55,7.664312,1282700.0
139,2016-07-25,10.54,10.89,10.52,10.8,7.845933,809100.0
140,2016-07-26,10.8,11.01,10.63,10.66,7.744226,1456100.0
141,2016-07-27,10.8,10.8,10.39,10.48,7.613458,1688800.0
142,2016-07-28,10.45,10.49,10.15,10.42,7.569872,662800.0
143,2016-07-29,10.45,10.9,10.36,10.78,7.831404,627000.0
144,2016-08-01,10.78,10.96,10.75,10.94,7.947638,794600.0
145,2016-08-02,10.93,10.93,10.61,10.81,7.8532,293700.0
146,2016-08-03,10.8,10.88,10.63,10.75,7.809608,540200.0
147,2016-08-04,10.76,11.15,10.76,10.86,7.889521,563700.0
148,2016-08-05,10.86,11.07,10.71,10.93,7.940376,385000.0
149,2016-08-08,10.81,10.91,10.7,10.86,7.889521,247300.0
150,2016-08-09,10.9,10.95,10.62,10.72,7.787817,429300.0
151,2016-08-10,10.83,11.08,10.67,10.9,7.918577,831500.0
152,2016-08-11,10.91,11.08,10.91,10.99,7.983961,492100.0
153,2016-08-12,11.04,11.38,10.91,11.27,8.187377,742300.0
154,2016-08-15,11.36,11.55,11.28,11.47,8.33267,3059900.0
155,2016-08-16,11.4,12.07,11.4,11.95,8.681378,1031900.0
156,2016-08-17,11.8,12.03,11.61,11.65,8.463435,1309300.0
