,Date,Open,High,Low,Close,Adj Close,Volume
0,2017-09-28,9.0,9.0,8.66,8.99,7.826401,20084500.0
1,2017-09-29,8.95,9.09,8.89,9.0,7.835108,4560500.0
2,2017-10-02,9.08,9.08,8.95,9.0,7.835108,1836900.0
3,2017-10-03,9.05,9.05,8.93,8.96,7.800284,5428400.0
4,2017-10-04,8.75,8.78,8.51,8.66,7.539115,6089500.0
5,2017-10-05,8.69,8.8,8.56,8.7,7.573937,1150300.0
6,2017-10-06,8.64,8.74,8.6,8.74,7.608761,1573400.0
7,2017-10-09,8.74,8.74,8.55,8.55,7.443353,1211700.0
8,2017-10-10,8.68,8.73,8.45,8.6,7.48688,2256200.0
9,2017-10-11,8.68,8.68,8.47,8.55,7.443353,1121000.0
10,2017-10-12,8.55,8.55,8.55,8.55,7.443353,0.0
11,2017-10-13,8.6,8.63,8.5,8.6,7.48688,724400.0
12,2017-10-16,8.54,8.74,8.36,8.45,7.356296,2004000.0
13,2017-10-17,8.47,8.48,8.0,8.35,7.26924,7358500.0
14,2017-10-18,8.37,8.44,8.13,8.25,7.182182,1768000.0
15,2017-10-19,8.15,8.34,8.1,8.34,7.260532,958600.0
16,2017-10-20,8.34,8.66,8.26,8.65,7.530408,3731800.0
17,2017-10-23,8.7,8.7,8.5,8.6,7.48688,1063500.0
18,2017-10-24,8.55,8.69,8.53,8.62,7.504293,1889000.0
19,2017-10-25,8.62,8.64,8.52,8.6,7.48688,1226800.0
20,2017-10-26,8.58,8.6,8.46,8.5,7.399824,1531100.0
21,2017-10-27,8.46,8.49,8.25,8.4,7.312766,2095200.0
22,2017-10-30,8.4,8.4,8.16,8.16,7.103831,3144400.0
23,2017-10-31,8.2,8.2,7.92,8.06,7.016775,1907300.0
24,2017-11-01,8.06,8.24,7.91,8.24,7.173476,790100.0
25,2017-11-02,8.24,8.24,8.24,8.24,7.173476,0.0
26,2017-11-03,8.12,8.24,7.95,8.0,6.96454,1312800.0
27,2017-11-06,8.13,8.25,8.01,8.06,7.016775,1847300.0
28,2017-11-07,8.16,8.27,7.96,8.0,6.96454,7753300.0
29,2017-11-08,8.05,8.15,7.98,8.04,6.999362,4595900.0
30,2017-11-09,8.07,8.14,8.03,8.05,7.008069,744900.0
31,2017-11-10,8.06,8.11,7.98,8.01,6.973246,3799100.0
32,2017-11-13,8.0,8.1,7.95,8.0,6.96454,2383700.0
33,2017-11-14,7.95,8.09,7.94,8.0,6.96454,1837200.0
34,2017-11-15,8.0,8.0,8.0,8.0,6.96454,0.0
35,2017-11-16,8.08,8.13,7.98,8.0,6.96454,680500.0
36,2017-11-17,8.03,8.45,7.98,8.4,7.312766,9066000.0
37,2017-11-20,8.4,8.4,8.4,8.4,7.312766,0.0
38,2017-11-21,8.45,8.89,8.42,8.85,7.704524,4925200.0
39,2017-11-22,8.87,8.92,8.69,8.69,7.565231,5706400.0
40,2017-11-23,8.69,8.74,8.5,8.67,7.547821,1348100.0
41,2017-11-24,8.76,8.76,8.51,8.52,7.417235,737200.0
42,2017-11-27,8.48,8.52,8.3,8.35,7.26924,2101000.0
43,2017-11-28,8.38,8.5,8.3,8.42,7.330179,372100.0
44,2017-11-29,8.42,8.47,8.11,8.11,7.060302,815200.0
45,2017-11-30,8.15,8.15,7.95,7.97,6.938423,1738700.0
46,2017-12-01,8.0,8.29,8.0,8.29,7.217006,1626400.0
47,2017-12-04,8.27,8.35,8.13,8.2,7.138654,850900.0
48,2017-12-05,8.28,8.28,8.01,8.01,6.973246,1408300.0
49,2017-12-06,8.04,8.1,7.95,7.95,6.921012,3076000.0
50,2017-12-07,7.95,8.03,7.36,7.5,6.529257,5789700.0
51,2017-12-08,7.52,7.65,7.29,7.5,6.529257,2262800.0
52,2017-12-11,7.6,7.63,7.38,7.39,6.433494,986900.0
53,2017-12-12,7.4,7.45,7.31,7.31,6.363848,924700.0
54,2017-12-13,7.48,7.68,7.45,7.64,6.651136,2653700.0
55,2017-12-14,7.64,7.8,7.54,7.7,6.70337,1056000.0
56,2017-12-15,7.77,7.77,7.56,7.63,6.642431,1652400.0
57,2017-12-18,7.58,7.62,7.47,7.55,6.712234,813100.0
58,2017-12-19,7.57,7.57,7.4,7.45,6.62333,1177800.0
59,2017-12-20,7.49,7.56,7.41,7.43,6.605549,1224700.0
60,2017-12-21,7.48,7.72,7.43,7.6,6.756685,1157600.0
61,2017-12-22,7.6,7.65,7.5,7.65,6.801138,1764900.0
62,2017-12-25,7.65,7.65,7.65,7.65,6.801138,0.0
63,2017-12-26,7.7,7.75,7.65,7.72,6.86337,730000.0
64,2017-12-27,7.75,7.78,7.62,7.7,6.84559,743300.0
65,2017-12-28,7.75,7.83,7.68,7.83,6.961164,1706400.0
66,2017-12-29,7.83,7.83,7.83,7.83,6.961164,0.0
67,2018-01-02,7.85,7.88,7.74,7.82,6.952274,1563100.0
68,2018-01-03,7.83,7.91,7.77,7.81,6.943384,1660300.0
69,2018-01-04,7.84,8.14,7.84,8.0,7.1123,2273600.0
70,2018-01-05,8.01,8.18,8.01,8.18,7.272327,1169100.0
71,2018-01-08,8.2,8.2,8.0,8.17,7.263438,1008900.0
72,2018-01-09,8.16,8.2,8.02,8.15,7.245656,930500.0
73,2018-01-10,8.14,8.35,8.14,8.31,7.387902,1579000.0
74,2018-01-11,8.35,8.52,8.22,8.5,7.556819,2180700.0
75,2018-01-12,8.4,8.4,8.0,8.05,7.156753,4061000.0
76,2018-01-15,8.05,8.15,8.0,8.15,7.245656,976700.0
77,2018-01-16,8.15,8.23,8.07,8.11,7.210094,874400.0
78,2018-01-17,8.11,8.15,7.85,7.9,7.023397,2273300.0
79,2018-01-18,7.95,7.95,7.77,7.77,6.907823,1669700.0
80,2018-01-19,7.83,7.92,7.76,7.79,6.925603,2311700.0
81,2018-01-22,7.82,7.84,7.65,7.65,6.801138,1328200.0
82,2018-01-23,7.65,7.68,7.48,7.49,6.658892,1038600.0
83,2018-01-24,7.5,7.76,7.49,7.76,6.898932,3339200.0
84,2018-01-25,7.76,7.76,7.76,7.76,6.898932,0.0
85,2018-01-26,7.77,8.17,7.72,7.76,6.898932,3024200.0
86,2018-01-29,7.82,7.83,7.71,7.71,6.85448,1341800.0
87,2018-01-30,7.77,7.77,7.5,7.5,6.667782,1512100.0
88,2018-01-31,7.55,7.62,7.43,7.43,6.605549,2309700.0
89,2018-02-01,7.44,7.5,7.37,7.5,6.667782,1439000.0
90,2018-02-02,7.5,7.54,7.41,7.5,6.667782,584800.0
91,2018-02-05,7.52,7.67,7.39,7.53,6.694454,1483000.0
92,2018-02-06,7.49,7.56,7.41,7.47,6.641111,2341100.0
93,2018-02-07,7.53,7.69,7.45,7.69,6.836699,2544000.0
94,2018-02-08,7.75,7.9,7.7,7.84,6.970055,1493000.0
95,2018-02-09,7.86,7.87,7.7,7.74,6.881151,1562900.0
96,2018-02-14,,,,,,
97,2018-02-15,7.83,7.83,7.66,7.66,6.810029,1166300.0
98,2018-02-16,7.7,7.74,7.6,7.69,6.836699,1000400.0
99,2018-02-19,7.74,7.84,7.71,7.84,6.970055,535600.0
100,2018-02-20,7.84,7.89,7.75,7.87,6.996726,960500.0
101,2018-02-21,7.88,8.11,7.87,8.05,7.156753,2015600.0
102,2018-02-22,8.05,8.08,7.98,8.03,7.138971,1351000.0
103,2018-02-23,8.05,8.16,8.0,8.1,7.201206,795200.0
104,2018-02-26,8.11,8.18,8.05,8.17,7.263438,1156800.0
105,2018-02-27,8.1,8.14,8.06,8.13,7.227876,993900.0
106,2018-02-28,8.13,8.15,7.88,8.05,7.156753,914000.0
107,2018-03-01,8.05,8.27,7.98,8.19,7.281218,1868200.0
108,2018-03-02,8.18,8.18,8.0,8.05,7.156753,2717400.0
