,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,2.97,2.97,2.9,2.9,2.328257,12900.0
1,2016-01-05,2.91,2.91,2.9,2.9,2.328257,3100.0
2,2016-01-06,2.86,2.9,2.82,2.9,2.328257,18800.0
3,2016-01-07,2.85,2.85,2.75,2.79,2.239943,46200.0
4,2016-01-08,2.83,2.89,2.8,2.8,2.247972,34600.0
5,2016-01-11,2.79,2.9,2.75,2.75,2.207829,21400.0
6,2016-01-12,2.8,2.8,2.72,2.72,2.183744,29900.0
7,2016-01-13,2.75,2.76,2.73,2.74,2.199801,15400.0
8,2016-01-14,2.76,2.78,2.74,2.75,2.207829,13900.0
9,2016-01-15,2.73,2.74,2.7,2.7,2.167687,12800.0
10,2016-01-18,2.69,2.69,2.61,2.61,2.095431,9700.0
11,2016-01-19,2.65,2.71,2.64,2.64,2.119517,23400.0
12,2016-01-20,2.6,2.71,2.6,2.71,2.175715,9700.0
13,2016-01-21,2.74,2.74,2.61,2.66,2.135573,12600.0
14,2016-01-22,2.66,2.71,2.66,2.66,2.135573,12600.0
15,2016-01-26,2.61,2.65,2.57,2.6,2.087402,15100.0
16,2016-01-27,2.58,2.6,2.56,2.58,2.071346,13300.0
17,2016-01-28,2.6,2.66,2.59,2.59,2.079374,31700.0
18,2016-01-29,2.58,2.7,2.58,2.65,2.127545,19900.0
19,2016-02-01,2.65,2.67,2.6,2.6,2.087402,26300.0
20,2016-02-02,2.6,2.6,2.52,2.56,2.055288,8500.0
21,2016-02-03,2.56,2.59,2.49,2.5,2.007118,33600.0
22,2016-02-04,2.5,2.55,2.49,2.51,2.015146,37900.0
23,2016-02-05,2.51,2.58,2.49,2.53,2.031203,34500.0
24,2016-02-10,2.55,2.59,2.55,2.58,2.071346,13700.0
25,2016-02-11,2.55,2.69,2.55,2.68,2.15163,30500.0
26,2016-02-12,2.68,2.72,2.66,2.66,2.135573,13200.0
27,2016-02-15,2.66,2.69,2.65,2.67,2.143601,2600.0
28,2016-02-16,2.69,2.71,2.68,2.69,2.159659,9800.0
29,2016-02-17,2.7,2.7,2.61,2.64,2.119517,22200.0
30,2016-02-18,2.65,2.67,2.65,2.65,2.127545,4100.0
31,2016-02-19,2.65,2.65,2.63,2.64,2.119517,2800.0
32,2016-02-22,2.69,2.86,2.69,2.81,2.256001,69600.0
33,2016-02-23,2.81,2.89,2.75,2.76,2.215858,14200.0
34,2016-02-24,2.71,2.72,2.66,2.66,2.135573,8500.0
35,2016-02-25,2.68,2.68,2.61,2.65,2.127545,22600.0
36,2016-02-26,2.65,2.69,2.6,2.69,2.159659,14900.0
37,2016-02-29,2.69,2.7,2.64,2.64,2.119517,34900.0
38,2016-03-01,2.64,2.64,2.47,2.62,2.10346,41600.0
39,2016-03-02,2.66,2.66,2.58,2.63,2.111488,33200.0
40,2016-03-03,2.63,2.66,2.58,2.58,2.071346,56900.0
41,2016-03-04,2.6,2.68,2.59,2.64,2.119517,78000.0
42,2016-03-07,2.63,2.64,2.55,2.61,2.095431,34500.0
43,2016-03-08,2.6,2.6,2.53,2.55,2.04726,48300.0
44,2016-03-09,2.55,2.58,2.52,2.52,2.023174,95800.0
45,2016-03-10,2.56,2.58,2.44,2.5,2.007118,77100.0
46,2016-03-11,2.66,2.68,2.56,2.64,2.119517,1667200.0
47,2016-03-14,2.69,2.97,2.65,2.89,2.320228,243300.0
48,2016-03-15,2.89,2.92,2.71,2.92,2.344313,74400.0
49,2016-03-16,2.92,2.98,2.82,2.9,2.328257,56400.0
50,2016-03-17,3.0,3.01,2.92,2.97,2.384456,112000.0
51,2016-03-18,3.0,3.05,2.86,2.95,2.368399,100800.0
52,2016-03-21,2.95,2.95,2.86,2.9,2.328257,30900.0
53,2016-03-22,2.87,3.1,2.87,3.1,2.488826,106600.0
54,2016-03-23,3.1,3.1,3.01,3.01,2.416569,30900.0
55,2016-03-24,3.02,3.15,3.01,3.11,2.496854,85300.0
56,2016-03-28,3.19,3.19,3.11,3.15,2.528968,57600.0
57,2016-03-29,3.18,3.2,3.11,3.18,2.553054,25300.0
58,2016-03-30,3.2,3.2,3.05,3.12,2.504883,64600.0
59,2016-03-31,3.06,3.06,3.01,3.03,2.432627,18900.0
60,2016-04-01,3.03,3.08,2.96,3.0,2.408542,31700.0
61,2016-04-04,3.0,3.0,2.92,2.95,2.368399,13000.0
62,2016-04-05,2.93,3.0,2.88,3.0,2.408542,32900.0
63,2016-04-06,3.05,3.09,2.95,2.95,2.368399,39100.0
64,2016-04-07,3.06,3.06,3.0,3.01,2.416569,6000.0
65,2016-04-08,3.05,3.11,3.05,3.08,2.472769,51300.0
66,2016-04-11,3.11,3.2,3.1,3.1,2.488826,24800.0
67,2016-04-12,3.1,3.19,3.1,3.16,2.536997,40600.0
68,2016-04-13,3.21,3.57,3.21,3.42,2.745738,210100.0
69,2016-04-14,3.58,3.66,3.48,3.65,2.930392,186500.0
70,2016-04-15,3.64,4.0,3.64,3.9,3.131104,235600.0
71,2016-04-18,4.01,4.15,3.93,3.93,3.155189,112400.0
72,2016-04-19,3.89,3.93,3.7,3.93,3.155189,96300.0
73,2016-04-20,3.94,3.96,3.79,3.79,3.04279,61100.0
74,2016-04-22,3.8,3.82,3.72,3.72,2.986591,24300.0
75,2016-04-25,3.72,3.79,3.67,3.69,2.962506,50800.0
76,2016-04-26,3.76,3.99,3.68,3.98,3.195331,47900.0
77,2016-04-27,3.99,4.2,3.98,4.1,3.291673,69500.0
78,2016-04-28,4.18,4.33,4.18,4.24,3.404072,58800.0
79,2016-04-29,4.24,4.48,4.24,4.39,3.524498,100300.0
80,2016-05-02,4.49,4.49,4.25,4.25,3.4121,49800.0
81,2016-05-03,4.27,4.27,3.98,4.14,3.323786,121500.0
82,2016-05-04,4.28,4.28,3.75,3.75,3.010677,61700.0
83,2016-05-05,3.82,4.25,3.82,4.1,3.291673,58000.0
84,2016-05-06,4.2,4.34,4.09,4.19,3.363929,39600.0
85,2016-05-09,4.02,4.06,3.94,4.0,3.211388,57000.0
86,2016-05-10,4.1,4.25,4.1,4.19,3.363929,35800.0
87,2016-05-11,4.3,4.4,4.22,4.27,3.428158,78000.0
88,2016-05-12,4.4,4.7,4.4,4.57,3.669011,234700.0
89,2016-05-13,4.6,4.84,4.33,4.5,3.612812,242000.0
90,2016-05-16,4.52,4.69,4.39,4.55,3.652954,196600.0
91,2016-05-17,4.65,4.83,4.56,4.6,3.693097,428200.0
92,2016-05-18,4.6,4.86,4.6,4.77,3.829581,158700.0
93,2016-05-19,4.9,4.99,4.83,4.93,3.958037,87900.0
94,2016-05-20,4.99,5.5,4.99,5.32,4.271146,241700.0
95,2016-05-23,5.4,5.6,5.32,5.32,4.271146,185000.0
96,2016-05-24,5.32,5.45,4.8,4.83,3.877751,231000.0
97,2016-05-25,5.0,5.07,4.85,4.99,4.006207,156100.0
98,2016-05-27,5.1,5.15,4.92,5.0,4.014235,47500.0
99,2016-05-30,4.97,4.97,4.86,4.88,3.917894,18700.0
100,2016-05-31,4.93,4.95,4.59,4.59,3.685068,114300.0
101,2016-06-01,4.77,4.77,4.33,4.48,3.596755,101100.0
102,2016-06-02,4.51,4.59,4.3,4.54,3.644926,212100.0
103,2016-06-03,4.6,4.68,4.6,4.68,3.757324,80100.0
104,2016-06-06,4.68,4.78,4.56,4.56,3.660983,82400.0
105,2016-06-07,4.63,4.66,4.51,4.62,3.709154,49200.0
106,2016-06-08,4.72,4.72,4.55,4.65,3.733239,31800.0
107,2016-06-09,4.65,4.65,4.55,4.6,3.693097,15900.0
108,2016-06-10,4.6,4.6,4.4,4.47,3.588727,47300.0
109,2016-06-13,4.42,4.43,4.15,4.15,3.331815,89100.0
110,2016-06-14,4.21,4.27,4.05,4.11,3.299701,74200.0
111,2016-06-15,4.14,4.27,4.13,4.2,3.371958,28600.0
112,2016-06-16,4.13,4.36,3.97,4.36,3.500413,108300.0
