,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-07-16,12.06,12.26,11.56,11.9,11.9,4487400
1,2021-07-19,11.78,11.78,11.28,11.34,11.34,1464100
2,2021-07-20,11.28,11.49,11.2,11.49,11.49,1038600
3,2021-07-21,11.52,11.67,11.2,11.58,11.58,1553500
4,2021-07-22,11.51,11.53,11.25,11.25,11.25,1746200
5,2021-07-23,11.35,11.4,11.15,11.4,11.4,2788600
6,2021-07-26,11.45,11.49,11.2,11.3,11.3,723500
7,2021-07-27,11.25,11.3,10.78,11.2,11.2,2567700
8,2021-07-28,11.13,11.28,10.99,11.0,11.0,4945400
9,2021-07-29,11.0,11.29,11.0,11.24,11.24,2175300
10,2021-07-30,11.21,11.35,11.0,11.25,11.25,1016300
11,2021-08-02,11.27,11.34,11.1,11.15,11.15,424500
12,2021-08-03,11.14,11.35,11.0,11.35,11.35,1076000
13,2021-08-04,11.38,11.44,11.25,11.34,11.34,1434700
14,2021-08-05,11.45,11.45,11.2,11.35,11.35,2920500
15,2021-08-06,11.35,11.45,11.2,11.4,11.4,558300
16,2021-08-09,11.45,11.56,11.32,11.33,11.33,945400
17,2021-08-10,11.4,11.65,11.26,11.64,11.64,752800
18,2021-08-11,11.6,11.63,11.33,11.55,11.55,963800
19,2021-08-12,11.6,11.97,11.35,11.97,11.97,513400
20,2021-08-13,11.83,11.97,11.67,11.71,11.71,275400
21,2021-08-16,11.68,11.68,11.01,11.26,11.26,1068800
22,2021-08-17,11.26,11.33,10.4,10.68,10.68,1829500
23,2021-08-18,10.63,10.74,10.14,10.27,10.27,1154000
24,2021-08-19,9.96,10.74,9.8,10.45,10.45,1151700
25,2021-08-20,10.29,11.75,10.2,11.0,11.0,702500
26,2021-08-23,11.17,11.81,11.17,11.48,11.48,1616800
27,2021-08-24,11.7,12.0,11.61,11.85,11.85,1386100
28,2021-08-25,11.86,12.01,11.6,11.83,11.83,1574300
29,2021-08-26,11.78,11.92,11.52,11.87,11.87,697500
30,2021-08-27,11.85,11.98,11.66,11.86,11.86,510600
31,2021-08-30,11.75,12.0,11.7,11.98,11.98,724800
32,2021-08-31,11.99,12.21,11.75,12.15,12.15,829700
33,2021-09-01,12.06,12.65,11.9,12.5,12.5,1101100
34,2021-09-02,12.42,13.36,12.24,12.8,12.8,3855500
35,2021-09-03,12.8,13.28,12.63,12.63,12.63,1293000
36,2021-09-06,12.8,13.9,12.73,13.5,13.5,2330900
37,2021-09-08,13.51,14.21,12.9,13.35,13.35,2782200
38,2021-09-09,13.42,13.98,13.17,13.87,13.87,3089800
39,2021-09-10,14.2,14.46,13.63,13.74,13.74,2405700
40,2021-09-13,14.0,15.05,14.0,14.2,14.2,3754700
41,2021-09-14,14.26,14.63,14.01,14.22,14.22,2261600
42,2021-09-15,14.27,15.27,14.12,14.33,14.33,4271200
43,2021-09-16,14.2,14.4,13.51,13.97,13.97,2441700
44,2021-09-17,13.99,14.0,13.19,13.77,13.77,1742100
45,2021-09-20,13.5,13.54,12.24,12.8,12.8,2243200
46,2021-09-21,12.8,13.21,12.75,12.96,12.96,1294900
47,2021-09-22,13.22,14.65,13.13,14.65,14.65,4122900
48,2021-09-23,14.83,15.0,14.03,14.4,14.4,2299700
49,2021-09-24,14.3,14.46,13.71,14.13,14.13,1750700
50,2021-09-27,14.4,14.7,13.27,13.8,13.8,2670300
51,2021-09-28,13.8,14.48,13.21,13.21,13.21,2317200
52,2021-09-29,13.11,13.78,12.78,13.54,13.54,2935300
53,2021-09-30,13.62,14.05,13.38,13.98,13.98,1774400
54,2021-10-01,14.0,15.23,13.84,14.16,14.16,5609300
55,2021-10-04,14.12,15.14,14.02,14.86,14.86,4094000
56,2021-10-05,14.99,15.0,14.2,14.2,14.2,1658600
57,2021-10-06,13.95,14.72,13.23,14.59,14.59,5708700
58,2021-10-07,14.73,14.8,13.92,14.18,14.18,2797100
59,2021-10-08,14.3,14.31,13.85,13.88,13.88,2534600
60,2021-10-11,14.1,14.64,14.07,14.64,14.64,1773100
61,2021-10-13,14.66,15.0,14.6,15.0,15.0,1613600
62,2021-10-14,15.13,16.23,15.08,15.47,15.47,6341700
63,2021-10-15,15.67,16.35,15.16,16.299999,16.299999,4856400
64,2021-10-18,16.200001,16.950001,15.8,16.0,16.0,3358700
65,2021-10-19,15.95,16.48,15.47,15.47,15.47,3161200
66,2021-10-20,15.63,15.94,15.06,15.16,15.16,3163100
67,2021-10-21,14.69,15.2,13.68,14.1,14.1,3372400
68,2021-10-22,13.8,14.35,13.31,14.0,14.0,4250500
