,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,12.45,12.48,12.05,12.15,9.76806,3504000.0
1,2016-01-05,12.22,12.64,12.19,12.46,10.017284,3514600.0
2,2016-01-06,12.33,12.59,12.05,12.29,9.880613,4907400.0
3,2016-01-07,11.93,12.1,11.49,11.55,9.285686,4390000.0
4,2016-01-08,11.75,11.97,11.5,11.5,9.24549,3117900.0
5,2016-01-11,11.5,11.8,11.29,11.37,9.140974,3020200.0
6,2016-01-12,11.42,11.89,11.41,11.7,9.406281,4267100.0
7,2016-01-13,11.84,11.93,11.55,11.66,9.37412,3133400.0
8,2016-01-14,11.59,11.77,11.3,11.65,9.366081,4633300.0
9,2016-01-15,11.4,11.55,11.17,11.3,9.084697,5585300.0
10,2016-01-18,11.36,11.51,11.1,11.1,8.923906,2776600.0
11,2016-01-19,11.42,11.69,11.33,11.55,9.285686,4824000.0
12,2016-01-20,11.29,11.34,10.97,11.06,8.891748,3874300.0
13,2016-01-21,11.0,11.34,10.91,10.98,8.82743,3419400.0
14,2016-01-22,11.31,11.51,11.14,11.14,8.956065,4016400.0
15,2016-01-26,10.91,11.1,10.89,11.0,8.843511,3478000.0
16,2016-01-27,11.05,11.85,10.98,11.58,9.309805,4382700.0
17,2016-01-28,11.56,12.25,11.56,12.0,9.647467,4219500.0
18,2016-01-29,12.02,12.78,11.94,12.78,10.274552,6123600.0
19,2016-02-01,12.6,12.68,12.35,12.65,10.170037,3487000.0
20,2016-02-02,12.42,12.67,12.06,12.06,9.695704,4317500.0
21,2016-02-03,12.27,12.8,12.13,12.5,10.049444,8089300.0
22,2016-02-04,12.75,13.1,12.6,12.7,10.210234,7748100.0
23,2016-02-05,12.88,13.22,12.75,13.0,10.451421,5519300.0
24,2016-02-10,13.0,13.07,12.5,12.78,10.274552,4782300.0
25,2016-02-11,12.54,12.63,12.17,12.25,9.848455,5112500.0
26,2016-02-12,12.38,12.48,12.1,12.1,9.727862,5073300.0
27,2016-02-15,12.35,12.77,12.33,12.55,10.089643,3309700.0
28,2016-02-16,12.6,12.96,12.56,12.56,10.097682,5341200.0
29,2016-02-17,12.73,12.98,12.51,12.53,10.073562,7354900.0
30,2016-02-18,12.48,12.69,12.26,12.44,10.001206,3789300.0
31,2016-02-19,12.26,12.92,12.17,12.73,10.234354,2825900.0
32,2016-02-22,12.98,13.14,12.89,12.91,10.379065,4636400.0
33,2016-02-23,12.95,13.05,12.46,12.57,10.105721,3084600.0
34,2016-02-24,12.43,12.56,12.11,12.54,10.081602,2991600.0
35,2016-02-25,12.42,12.68,12.32,12.53,10.073562,1902800.0
36,2016-02-26,12.3,12.67,12.15,12.32,9.904733,4835800.0
37,2016-02-29,12.44,12.89,12.43,12.63,10.153958,5399000.0
38,2016-03-01,12.87,13.22,12.81,12.94,10.403184,7000100.0
39,2016-03-02,13.0,13.19,12.71,13.04,10.48358,5565400.0
40,2016-03-03,13.17,14.64,13.16,14.35,11.536762,12294600.0
41,2016-03-04,14.35,15.87,14.15,14.25,11.456365,11772700.0
42,2016-03-07,14.47,14.52,13.99,14.2,11.416168,4459700.0
43,2016-03-08,14.19,15.0,14.15,14.52,11.673434,6112400.0
44,2016-03-09,14.9,15.1,14.06,14.22,11.432248,6482700.0
45,2016-03-10,14.56,14.94,14.08,14.8,11.898542,7376500.0
46,2016-03-11,14.67,14.95,14.37,14.48,11.641275,5610000.0
47,2016-03-14,14.57,14.75,14.03,14.42,11.593039,5393500.0
48,2016-03-15,14.49,14.5,13.35,13.94,11.207141,8408900.0
49,2016-03-16,13.55,13.77,13.21,13.64,11.193349,3844400.0
50,2016-03-17,14.63,14.76,14.15,14.37,11.792405,7857300.0
51,2016-03-18,14.54,14.65,13.94,14.4,11.817023,5412400.0
52,2016-03-21,14.38,14.8,14.34,14.58,11.964735,5229300.0
53,2016-03-22,14.5,14.87,14.07,14.2,11.652898,4475200.0
54,2016-03-23,14.2,14.22,13.66,13.99,11.480566,5053800.0
55,2016-03-24,13.81,14.08,13.75,13.98,11.47236,3706900.0
56,2016-03-28,14.31,14.35,13.96,14.15,11.611866,3485500.0
57,2016-03-29,14.25,14.5,14.07,14.26,11.702136,6135400.0
58,2016-03-30,14.4,14.5,13.9,14.34,11.767785,5173800.0
59,2016-03-31,14.03,14.03,14.03,14.03,11.513391,500.0
60,2016-04-01,13.88,14.48,13.88,14.33,11.75958,4565700.0
61,2016-04-04,14.23,14.41,13.65,14.01,11.496978,8300.0
62,2016-04-05,13.95,14.31,13.76,14.12,11.587247,6500.0
63,2016-04-06,13.92,13.95,13.08,13.13,10.774827,12700.0
64,2016-04-07,13.32,13.42,12.87,13.15,10.79124,3600.0
65,2016-04-08,13.44,13.85,13.43,13.7,11.242584,6913600.0
66,2016-04-11,13.81,14.07,13.61,13.86,11.373884,14300.0
67,2016-04-12,13.93,14.6,13.81,14.32,11.751373,5700.0
68,2016-04-13,14.5,15.07,14.36,14.85,12.186304,23400.0
69,2016-04-14,14.78,14.93,14.51,14.82,12.161686,5008800.0
70,2016-04-15,14.95,15.08,14.75,14.93,12.251956,5079000.0
71,2016-04-18,14.9,15.39,14.71,15.2,12.473524,6329700.0
72,2016-04-19,15.34,15.54,14.85,15.0,12.309401,2000.0
73,2016-04-20,14.9,15.19,14.78,15.14,12.424285,4773700.0
74,2016-04-22,14.88,15.22,14.7,15.05,12.35043,4747100.0
75,2016-04-25,15.11,15.11,14.85,14.9,12.227336,2146700.0
76,2016-04-26,15.0,15.52,14.86,15.52,12.736125,2390200.0
77,2016-04-27,15.74,15.9,15.24,15.61,12.809981,5079700.0
78,2016-04-28,15.53,15.84,15.41,15.78,12.94949,2412500.0
79,2016-04-29,15.87,16.18,15.55,16.18,13.27774,4799000.0
80,2016-05-02,16.139999,16.209999,15.69,15.91,13.056169,4654100.0
81,2016-05-03,15.79,15.9,15.57,15.9,13.047961,3259600.0
82,2016-05-04,15.96,16.07,15.56,15.99,13.121819,2965800.0
83,2016-05-05,16.01,16.120001,15.82,16.059999,13.179263,6703600.0
84,2016-05-06,15.94,15.95,15.6,15.72,12.90025,3301600.0
85,2016-05-09,15.59,15.95,15.0,15.87,13.023344,3947400.0
86,2016-05-10,16.01,16.32,15.77,16.190001,13.285946,3989000.0
87,2016-05-11,16.5,16.59,16.32,16.559999,13.589577,5476300.0
88,2016-05-12,16.790001,17.209999,16.370001,16.9,13.868588,6126600.0
89,2016-05-13,16.799999,16.92,16.52,16.6,13.622402,5317800.0
90,2016-05-16,16.48,16.66,16.42,16.549999,13.581368,2070700.0
91,2016-05-17,16.5,16.719999,16.049999,16.33,13.400833,6048600.0
92,2016-05-18,16.049999,16.48,15.85,15.98,13.113613,4156700.0
93,2016-05-19,15.87,16.0,15.54,15.7,12.883838,3327200.0
94,2016-05-20,15.67,16.01,15.64,15.82,12.982312,2155000.0
95,2016-05-23,15.42,15.63,15.22,15.4,12.63765,3350000.0
96,2016-05-24,15.38,15.84,15.38,15.57,12.777154,2666100.0
97,2016-05-25,15.75,15.87,15.29,15.33,12.580207,3530600.0
98,2016-05-27,15.3,15.66,15.02,15.3,12.555587,3569900.0
99,2016-05-30,15.26,15.33,15.1,15.2,12.473524,1342800.0
100,2016-05-31,15.12,15.47,15.12,15.25,12.514555,4674800.0
101,2016-06-01,15.2,15.56,15.18,15.55,12.760744,2562700.0
102,2016-06-02,15.42,15.58,15.28,15.46,12.686888,3656800.0
103,2016-06-03,15.61,15.93,15.48,15.76,12.933075,3791400.0
104,2016-06-06,15.77,16.059999,15.72,15.86,13.015137,2081100.0
105,2016-06-07,15.77,16.02,15.55,15.64,12.834599,3268900.0
106,2016-06-08,15.58,16.280001,15.58,15.99,13.121819,2943800.0
107,2016-06-09,15.98,16.17,15.92,15.98,13.113613,5337000.0
108,2016-06-10,15.96,15.99,15.66,15.68,12.867426,6065700.0
109,2016-06-13,15.43,15.49,15.08,15.28,12.539174,5141500.0
110,2016-06-14,15.25,15.36,14.99,15.24,12.50635,5692700.0
111,2016-06-15,15.3,15.32,14.8,15.15,12.432493,4342000.0
112,2016-06-16,15.02,15.75,14.98,15.75,12.92487,4639700.0
113,2016-06-17,15.78,15.88,15.5,15.6,12.801775,3891600.0
114,2016-06-20,15.88,16.360001,15.71,16.280001,13.359802,3195700.0
115,2016-06-21,16.32,16.549999,15.97,16.450001,13.499309,2758000.0
116,2016-06-22,16.389999,16.450001,16.09,16.139999,13.244913,2537500.0
117,2016-06-23,16.18,16.77,16.129999,16.700001,13.704466,2908300.0
118,2016-06-24,16.200001,16.49,15.9,16.360001,13.425451,4267400.0
119,2016-06-27,16.27,16.290001,15.82,16.09,13.203881,2697800.0
120,2016-06-28,16.370001,16.43,16.15,16.200001,13.29415,2533500.0
121,2016-06-29,16.389999,17.18,16.379999,16.889999,13.860383,4895800.0
122,2016-06-30,16.75,17.09,16.549999,16.799999,13.786528,7426600.0
123,2016-07-01,16.950001,17.07,16.74,16.889999,13.860383,3513900.0
124,2016-07-04,17.040001,17.059999,16.77,16.879999,13.852178,1247900.0
125,2016-07-05,16.700001,16.82,16.139999,16.299999,13.376213,3352700.0
126,2016-07-06,16.26,16.290001,15.62,15.94,13.080788,10597100.0
127,2016-07-07,15.91,16.24,15.79,16.15,13.253119,8182500.0
128,2016-07-08,16.24,16.790001,16.200001,16.6,13.622402,9409800.0
129,2016-07-11,16.74,16.959999,16.5,16.67,13.679846,6701000.0
130,2016-07-12,16.879999,16.879999,16.35,16.4,13.458276,3812800.0
131,2016-07-13,16.32,16.450001,16.07,16.110001,13.220298,4041800.0
132,2016-07-14,16.35,16.35,16.02,16.15,13.253119,4695900.0
133,2016-07-15,16.200001,16.84,16.110001,16.82,13.802938,9378400.0
134,2016-07-18,16.799999,16.98,16.59,16.790001,13.778321,3574200.0
135,2016-07-19,16.85,17.23,16.719999,17.219999,14.131188,3617400.0
136,2016-07-20,17.370001,17.73,17.25,17.73,14.549712,5734300.0
137,2016-07-21,17.77,18.1,17.57,18.059999,14.820516,7678600.0
138,2016-07-22,18.059999,18.139999,17.780001,17.879999,14.672802,4613700.0
