,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,2.98,2.98,2.98,2.98,-0.712928,12500.0
1,2016-01-05,2.98,2.98,2.98,2.98,-0.712928,0.0
2,2016-01-06,2.98,2.98,2.98,2.98,-0.712928,0.0
3,2016-01-07,2.98,2.98,2.98,2.98,-0.712928,0.0
4,2016-01-08,2.98,2.98,2.98,2.98,-0.712928,0.0
5,2016-01-11,2.98,2.98,2.98,2.98,-0.712928,0.0
6,2016-01-12,2.98,2.98,2.98,2.98,-0.712928,0.0
7,2016-01-13,3.78,3.78,3.78,3.78,-0.904318,2500.0
8,2016-01-14,3.78,3.78,3.78,3.78,-0.904318,0.0
9,2016-01-15,3.78,3.78,3.78,3.78,-0.904318,0.0
10,2016-01-18,3.78,3.78,3.78,3.78,-0.904318,0.0
11,2016-01-19,3.78,3.78,3.78,3.78,-0.904318,0.0
12,2016-01-20,3.78,3.78,3.78,3.78,-0.904318,0.0
13,2016-01-21,3.78,3.78,3.78,3.78,-0.904318,0.0
14,2016-01-22,3.78,3.78,3.78,3.78,-0.904318,0.0
15,2016-01-26,3.78,3.78,3.78,3.78,-0.904318,0.0
16,2016-01-27,3.78,3.78,3.78,3.78,-0.904318,0.0
17,2016-01-28,3.78,3.78,3.78,3.78,-0.904318,0.0
18,2016-01-29,3.78,3.78,3.78,3.78,-0.904318,0.0
19,2016-02-01,3.78,3.78,3.78,3.78,-0.904318,0.0
20,2016-02-02,3.78,3.78,3.78,3.78,-0.904318,0.0
21,2016-02-03,3.778,3.778,3.778,3.778,-0.90384,9500.0
22,2016-02-04,3.778,3.778,3.778,3.778,-0.90384,0.0
23,2016-02-05,3.778,3.778,3.778,3.778,-0.90384,0.0
24,2016-02-10,3.778,3.778,3.778,3.778,-0.90384,0.0
25,2016-02-11,3.778,3.778,3.778,3.778,-0.90384,0.0
26,2016-02-12,3.778,3.778,3.778,3.778,-0.90384,0.0
27,2016-02-15,3.778,3.778,3.778,3.778,-0.90384,0.0
28,2016-02-16,3.778,3.778,3.778,3.778,-0.90384,0.0
29,2016-02-17,3.778,3.778,3.778,3.778,-0.90384,0.0
30,2016-02-18,3.778,3.778,3.778,3.778,-0.90384,0.0
31,2016-02-19,3.778,3.778,3.778,3.778,-0.90384,0.0
32,2016-02-22,3.778,3.778,3.778,3.778,-0.90384,0.0
33,2016-02-23,3.778,3.778,3.778,3.778,-0.90384,0.0
34,2016-02-24,3.778,3.778,3.778,3.778,-0.90384,0.0
35,2016-02-25,3.778,3.778,3.778,3.778,-0.90384,0.0
36,2016-02-26,3.778,3.778,3.778,3.778,-0.90384,0.0
37,2016-02-29,3.778,3.778,3.778,3.778,-0.90384,0.0
38,2016-03-01,3.778,3.778,3.778,3.778,-0.90384,0.0
39,2016-03-02,3.778,3.778,3.778,3.778,-0.90384,0.0
40,2016-03-03,3.778,3.778,3.778,3.778,-0.90384,0.0
41,2016-03-04,3.778,3.778,3.778,3.778,-0.90384,0.0
42,2016-03-07,3.778,3.778,3.778,3.778,-0.90384,0.0
43,2016-03-08,3.778,3.778,3.778,3.778,-0.90384,0.0
44,2016-03-09,3.778,3.778,3.778,3.778,-0.90384,0.0
45,2016-03-10,3.778,3.778,3.778,3.778,-0.90384,0.0
46,2016-03-11,3.76,3.76,3.76,3.76,-0.899534,286500.0
47,2016-03-14,3.76,3.76,3.76,3.76,-0.899534,0.0
48,2016-03-15,3.76,3.76,3.76,3.76,-0.899534,0.0
49,2016-03-16,3.76,3.76,3.76,3.76,-0.899534,0.0
50,2016-03-17,3.76,3.76,3.76,3.76,-0.899534,0.0
51,2016-03-18,3.76,3.76,3.76,3.76,-0.899534,0.0
52,2016-03-21,3.76,3.76,3.76,3.76,-0.899534,0.0
53,2016-03-22,3.76,3.76,3.76,3.76,-0.899534,0.0
54,2016-03-23,3.76,3.76,3.76,3.76,-0.899534,0.0
55,2016-03-24,3.76,3.76,3.76,3.76,-0.899534,0.0
56,2016-03-28,3.76,3.76,3.76,3.76,-0.899534,0.0
57,2016-03-29,3.76,3.76,3.76,3.76,-0.899534,0.0
58,2016-03-30,3.76,3.78,3.76,3.78,-0.904318,27500.0
59,2016-03-31,3.78,3.78,3.78,3.78,-0.904318,0.0
60,2016-04-01,3.78,3.78,3.78,3.78,-0.904318,0.0
61,2016-04-04,3.78,3.78,3.78,3.78,-0.904318,0.0
62,2016-04-05,3.78,3.78,3.78,3.78,-0.904318,0.0
63,2016-04-06,3.78,3.78,3.78,3.78,-0.904318,0.0
64,2016-04-07,3.78,3.78,3.78,3.78,-0.904318,0.0
65,2016-04-08,3.78,3.78,3.78,3.78,-0.904318,0.0
66,2016-04-11,3.78,3.78,3.78,3.78,-0.904318,0.0
67,2016-04-12,3.78,3.78,3.78,3.78,-0.904318,0.0
68,2016-04-13,3.78,3.78,3.78,3.78,-0.904318,0.0
69,2016-04-14,3.78,3.78,3.78,3.78,-0.904318,0.0
70,2016-04-15,3.78,3.78,3.78,3.78,-0.904318,0.0
71,2016-04-18,3.78,3.78,3.78,3.78,-0.904318,0.0
72,2016-04-19,3.78,3.78,3.78,3.78,-0.904318,0.0
73,2016-04-20,3.78,3.78,3.78,3.78,-0.904318,0.0
74,2016-04-22,3.78,3.78,3.78,3.78,-0.904318,0.0
75,2016-04-25,3.78,3.78,3.78,3.78,-0.904318,0.0
76,2016-04-26,3.78,3.78,3.78,3.78,-0.904318,0.0
77,2016-04-27,3.78,3.78,3.78,3.78,-0.904318,0.0
78,2016-04-28,3.78,3.78,3.78,3.78,-0.904318,0.0
79,2016-04-29,3.78,3.78,3.78,3.78,-0.904318,0.0
80,2016-05-02,3.78,3.78,3.78,3.78,-0.904318,0.0
81,2016-05-03,3.78,3.78,3.78,3.78,-0.904318,0.0
82,2016-05-04,3.78,3.78,3.78,3.78,-0.904318,0.0
83,2016-05-05,3.78,3.78,3.78,3.78,-0.904318,0.0
84,2016-05-06,3.78,3.78,3.78,3.78,-0.904318,0.0
85,2016-05-09,3.78,3.78,3.78,3.78,-0.904318,0.0
86,2016-05-10,3.78,3.78,3.78,3.78,-0.904318,0.0
87,2016-05-11,3.78,3.78,3.78,3.78,-0.904318,0.0
88,2016-05-12,3.78,3.78,3.78,3.78,-0.904318,0.0
89,2016-05-13,3.78,3.78,3.78,3.78,-0.904318,0.0
90,2016-05-16,3.78,3.78,3.78,3.78,-0.904318,0.0
91,2016-05-17,3.78,3.78,3.78,3.78,-0.904318,0.0
