,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,10.5,10.5,10.04,10.1,7.534355,5000.0
1,2016-01-05,10.15,10.15,10.15,10.15,7.571653,300.0
2,2016-01-06,10.14,10.14,10.14,10.14,7.564195,500.0
3,2016-01-07,10.0,10.0,9.99,9.99,7.452299,600.0
4,2016-01-08,10.0,10.0,10.0,10.0,7.459757,200.0
5,2016-01-11,10.0,10.0,9.99,9.99,7.452299,200.0
6,2016-01-12,9.98,9.98,9.98,9.98,7.444837,200.0
7,2016-01-13,9.9,9.9,9.9,9.9,7.385159,300.0
8,2016-01-14,9.9,9.9,9.9,9.9,7.385159,0.0
9,2016-01-15,9.09,9.99,9.09,9.99,7.452299,800.0
10,2016-01-18,9.14,9.14,9.11,9.11,6.795839,1100.0
11,2016-01-19,9.7,9.7,9.7,9.7,7.235964,300.0
12,2016-01-20,9.7,9.7,9.7,9.7,7.235964,0.0
13,2016-01-21,9.7,9.7,9.7,9.7,7.235964,0.0
14,2016-01-22,9.7,9.7,9.7,9.7,7.235964,0.0
15,2016-01-26,9.05,9.25,9.05,9.25,6.900275,600.0
16,2016-01-27,9.25,9.25,9.25,9.25,6.900275,0.0
17,2016-01-28,9.45,9.45,9.45,9.45,7.04947,200.0
18,2016-01-29,9.45,9.45,9.45,9.45,7.04947,0.0
19,2016-02-01,9.45,9.6,9.45,9.6,7.161367,1600.0
20,2016-02-02,9.45,9.7,9.45,9.7,7.235964,2000.0
21,2016-02-03,9.8,9.8,9.8,9.8,7.310562,400.0
22,2016-02-04,9.9,9.9,9.85,9.85,7.347861,8100.0
23,2016-02-05,9.85,9.85,9.85,9.85,7.347861,0.0
24,2016-02-10,9.85,9.85,9.85,9.85,7.347861,0.0
25,2016-02-11,9.85,9.85,9.85,9.85,7.347861,0.0
26,2016-02-12,9.95,9.95,9.9,9.9,7.385159,800.0
27,2016-02-15,9.95,9.95,9.95,9.95,7.422458,500.0
28,2016-02-16,9.79,9.79,9.79,9.79,7.303102,1300.0
29,2016-02-17,9.2,9.2,9.2,9.2,6.862977,500.0
30,2016-02-18,9.2,9.2,9.2,9.2,6.862977,0.0
31,2016-02-19,9.2,9.2,9.2,9.2,6.862977,0.0
32,2016-02-22,9.99,9.99,9.25,9.25,6.900275,700.0
33,2016-02-23,9.25,9.25,9.25,9.25,6.900275,0.0
34,2016-02-24,9.2,9.2,9.2,9.2,6.862977,100.0
35,2016-02-25,9.2,9.2,9.2,9.2,6.862977,0.0
36,2016-02-26,9.9,10.0,9.9,10.0,7.459757,700.0
37,2016-02-29,10.0,10.0,10.0,10.0,7.459757,0.0
38,2016-03-01,9.32,10.0,9.32,10.0,7.459757,300.0
39,2016-03-02,10.15,10.15,10.0,10.0,7.459757,1300.0
40,2016-03-03,10.0,10.0,10.0,10.0,7.459757,0.0
41,2016-03-04,9.9,9.9,9.9,9.9,7.385159,600.0
42,2016-03-07,9.8,9.8,9.8,9.8,7.310562,600.0
43,2016-03-08,9.9,9.9,9.9,9.9,7.385159,700.0
44,2016-03-09,9.5,10.0,9.5,10.0,7.459757,800.0
45,2016-03-10,9.6,10.0,9.6,10.0,7.459757,1800.0
46,2016-03-11,10.0,10.0,10.0,10.0,7.459757,900.0
47,2016-03-14,10.1,10.1,10.1,10.1,7.534355,800.0
48,2016-03-15,10.1,10.1,10.1,10.1,7.534355,0.0
49,2016-03-16,9.98,10.0,9.98,10.0,7.459757,1700.0
50,2016-03-17,10.0,10.0,10.0,10.0,7.459757,0.0
51,2016-03-18,10.0,10.0,10.0,10.0,7.459757,0.0
52,2016-03-21,10.0,10.0,10.0,10.0,7.459757,0.0
53,2016-03-22,10.3,10.4,9.75,10.0,7.459757,1300.0
54,2016-03-23,10.05,10.05,10.05,10.05,7.497056,100.0
55,2016-03-24,10.35,10.35,10.35,10.35,7.720849,700.0
56,2016-03-28,10.48,10.5,10.15,10.15,7.571653,2200.0
57,2016-03-29,10.38,10.7,10.38,10.7,7.98194,1300.0
58,2016-03-30,11.5,11.5,11.02,11.02,8.220653,1600.0
59,2016-03-31,11.02,11.02,11.02,11.02,8.220653,0.0
60,2016-04-01,11.02,11.02,11.02,11.02,8.220653,0.0
61,2016-04-04,10.0,10.79,9.85,9.85,7.347861,5700.0
62,2016-04-05,9.65,10.08,9.65,10.08,7.519436,800.0
63,2016-04-06,9.7,9.8,9.6,9.8,7.310562,2900.0
64,2016-04-07,10.09,10.94,10.09,10.5,7.832745,600.0
65,2016-04-08,10.0,10.0,9.99,10.0,7.459757,1400.0
66,2016-04-11,10.0,10.02,10.0,10.0,7.459757,3500.0
67,2016-04-12,10.0,10.0,10.0,10.0,7.459757,0.0
68,2016-04-13,10.69,10.69,10.62,10.62,7.922262,300.0
69,2016-04-14,10.8,10.8,10.5,10.5,7.832745,4700.0
70,2016-04-15,10.8,11.5,10.8,11.5,8.578722,1000.0
71,2016-04-18,11.3,11.3,11.0,11.0,8.205732,600.0
72,2016-04-19,11.0,11.0,11.0,11.0,8.205732,0.0
73,2016-04-20,11.29,11.29,11.29,11.29,8.422065,200.0
74,2016-04-22,11.0,11.33,11.0,11.33,8.451904,400.0
75,2016-04-25,11.38,11.39,11.26,11.39,8.496665,900.0
76,2016-04-26,11.39,11.39,11.39,11.39,8.496665,0.0
