,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-08-02,28.51,30.5,28.51,29.690001,29.690001,2010600
1,2021-08-03,29.92,30.25,28.51,29.5,29.5,1348800
2,2021-08-04,29.98,29.98,28.200001,29.0,29.0,1615700
3,2021-08-05,29.07,29.129999,28.370001,29.0,29.0,850200
4,2021-08-06,29.0,29.41,27.67,28.790001,28.790001,420700
5,2021-08-09,28.780001,29.16,27.690001,29.0,29.0,3308000
6,2021-08-10,29.4,29.41,28.9,28.9,28.9,556200
7,2021-08-11,28.92,29.67,28.5,29.0,29.0,1060700
8,2021-08-12,28.9,29.43,28.290001,28.450001,28.450001,582800
9,2021-08-13,29.0,29.1,27.66,28.4,28.4,414600
10,2021-08-16,28.059999,28.9,27.559999,27.85,27.85,419600
11,2021-08-17,27.5,28.07,25.959999,26.959999,26.959999,554400
12,2021-08-18,27.23,27.9,26.639999,27.559999,27.559999,265400
13,2021-08-19,27.23,29.700001,26.280001,29.1,29.1,681700
14,2021-08-20,28.440001,29.15,28.139999,28.5,28.5,125500
15,2021-08-23,28.799999,29.08,28.459999,28.5,28.5,82800
16,2021-08-24,28.5,29.0,28.0,28.73,28.73,764000
17,2021-08-25,28.76,28.85,27.82,28.700001,28.700001,482200
18,2021-08-26,28.68,28.870001,27.950001,28.059999,28.059999,320100
19,2021-08-27,28.059999,28.17,27.5,27.799999,27.799999,566000
20,2021-08-30,27.6,27.75,26.92,27.01,27.01,434100
21,2021-08-31,27.01,27.27,25.870001,26.200001,26.200001,551400
22,2021-09-01,26.200001,27.290001,26.200001,27.290001,27.290001,569300
23,2021-09-02,27.0,27.41,26.610001,27.41,27.41,277200
24,2021-09-03,27.4,27.950001,26.98,27.67,27.67,316200
25,2021-09-06,27.67,27.77,27.4,27.65,27.65,250200
26,2021-09-08,27.65,27.76,26.75,26.75,26.75,1312700
27,2021-09-09,26.6,27.48,26.01,27.389999,27.389999,695100
28,2021-09-10,27.610001,27.879999,27.16,27.709999,27.709999,283100
29,2021-09-13,27.0,27.629999,26.33,27.290001,27.290001,798800
30,2021-09-14,27.049999,28.459999,26.790001,27.9,27.9,468200
31,2021-09-15,27.98,27.98,27.26,27.49,27.49,355500
32,2021-09-16,27.120001,27.469999,26.860001,27.049999,27.049999,357800
33,2021-09-17,27.0,27.34,26.43,26.5,26.5,745700
34,2021-09-20,25.889999,26.18,25.41,25.620001,25.620001,573200
35,2021-09-21,25.969999,26.43,25.629999,25.690001,25.690001,219900
36,2021-09-22,26.379999,26.67,26.110001,26.34,26.34,1499700
37,2021-09-23,26.34,26.540001,25.219999,25.49,25.49,574300
38,2021-09-24,25.33,25.48,24.9,24.93,24.93,378500
39,2021-09-27,25.110001,25.280001,24.15,24.5,24.5,313000
40,2021-09-28,24.209999,24.209999,22.299999,22.299999,22.299999,844400
41,2021-09-29,22.540001,22.91,22.15,22.32,22.32,578700
42,2021-09-30,22.450001,23.4,21.93,23.26,23.26,1090300
43,2021-10-01,24.0,26.389999,23.26,24.700001,24.700001,2159700
44,2021-10-04,24.4,24.75,22.52,23.459999,23.459999,647100
45,2021-10-05,23.620001,23.620001,22.6,22.75,22.75,393300
46,2021-10-06,22.5,22.780001,22.059999,22.610001,22.610001,391600
47,2021-10-07,22.65,22.65,21.43,21.799999,21.799999,1246700
48,2021-10-08,21.700001,23.120001,21.66,22.969999,22.969999,786500
49,2021-10-11,23.08,23.08,22.209999,22.25,22.25,232700
50,2021-10-13,22.200001,22.959999,21.860001,22.16,22.16,489500
51,2021-10-14,22.200001,22.889999,21.940001,22.84,22.84,696800
52,2021-10-15,22.969999,22.969999,22.379999,22.379999,22.379999,359400
53,2021-10-18,22.190001,22.49,21.700001,21.799999,21.799999,446000
54,2021-10-19,21.58,21.58,19.92,19.92,19.92,1039600
55,2021-10-20,20.200001,20.200001,18.92,19.469999,19.469999,902000
56,2021-10-21,18.969999,19.459999,18.360001,18.879999,18.879999,568600
57,2021-10-22,18.690001,18.690001,17.0,18.219999,18.219999,444500
