,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-02-22,8.92,9.3,8.67,9.29,8.912202,10507000
1,2021-02-23,9.5,9.6,9.1,9.12,8.749114,9243700
2,2021-02-24,9.16,9.28,9.07,9.15,8.777895,6550600
3,2021-02-25,9.18,9.29,9.0,9.05,8.681961,6054200
4,2021-02-26,9.15,9.17,8.9,8.93,8.566842,4849000
5,2021-03-01,9.05,9.09,8.82,8.95,8.586028,6578700
6,2021-03-02,8.97,9.05,8.51,8.8,8.442128,6141500
7,2021-03-03,8.9,8.9,8.18,8.49,8.144735,10191700
8,2021-03-04,8.51,8.55,8.09,8.45,8.106361,17915200
9,2021-03-05,8.4,8.54,8.3,8.51,8.163921,9965700
10,2021-03-08,8.4,8.52,8.35,8.51,8.163921,4979600
11,2021-03-09,8.45,8.49,8.26,8.47,8.125549,3953300
12,2021-03-10,8.5,8.5,8.2,8.39,8.048802,9782800
13,2021-03-11,8.45,8.73,8.31,8.5,8.154328,7448100
14,2021-03-12,8.46,8.51,8.36,8.49,8.144735,2243400
15,2021-03-15,8.45,8.53,8.36,8.49,8.144735,2556300
16,2021-03-16,8.49,8.65,8.47,8.5,8.154328,2252700
17,2021-03-17,8.51,8.73,8.45,8.62,8.269448,2550800
18,2021-03-18,8.6,8.66,8.42,8.49,8.144735,4666500
19,2021-03-19,8.53,8.53,8.39,8.53,8.183107,2795400
20,2021-03-22,8.44,8.48,8.31,8.4,8.058395,2194800
21,2021-03-23,8.4,8.44,8.24,8.32,7.981648,2289600
22,2021-03-24,8.38,8.41,8.31,8.36,8.020021,1764200
23,2021-03-25,8.5,8.55,8.3,8.3,7.962462,4809400
24,2021-03-26,8.45,8.5,8.31,8.36,8.020021,4067400
25,2021-03-29,8.36,9.2,8.36,9.17,8.797081,10506900
26,2021-03-30,9.15,9.44,9.0,9.02,8.653182,8874400
27,2021-03-31,9.05,9.25,9.05,9.19,8.816267,5409900
28,2021-04-01,9.3,9.42,9.02,9.05,8.681961,6402600
29,2021-04-05,9.18,9.3,9.17,9.2,8.825861,3784100
30,2021-04-06,9.22,9.37,9.21,9.25,8.873828,4143800
31,2021-04-07,9.34,9.38,9.26,9.38,8.998542,4412700
32,2021-04-08,9.39,9.5,9.3,9.3,8.921795,4841100
33,2021-04-09,9.3,9.43,9.16,9.37,8.988948,3099000
34,2021-04-12,9.38,9.5,9.32,9.43,9.046508,4062100
35,2021-04-13,9.43,9.45,9.31,9.38,8.998542,3709000
36,2021-04-14,9.37,9.48,9.3,9.47,9.084882,10782400
37,2021-04-15,9.53,9.77,9.53,9.69,9.295934,10601300
38,2021-04-16,9.69,9.83,9.47,9.57,9.180814,7175300
39,2021-04-19,9.68,9.78,9.62,9.72,9.324715,5841400
40,2021-04-20,9.79,10.07,9.65,9.66,9.267154,7337800
41,2021-04-22,9.82,9.84,9.54,9.66,9.267154,5257900
42,2021-04-23,9.75,9.86,9.68,9.75,9.353495,4640400
43,2021-04-26,9.91,10.03,9.83,9.92,9.516581,7569500
44,2021-04-27,9.98,10.4,9.95,10.25,9.83316,10525600
45,2021-04-28,10.25,10.71,10.25,10.66,10.226487,7548900
46,2021-04-29,10.9,11.2,10.52,10.8,10.360794,16410300
47,2021-04-30,10.75,10.75,10.49,10.49,10.063401,7332800
48,2021-05-03,10.54,10.58,10.17,10.19,9.823906,8011400
49,2021-05-04,10.23,10.29,9.81,10.12,9.756421,9051100
50,2021-05-05,10.19,10.28,9.91,10.1,9.73714,15848800
51,2021-05-06,10.3,10.5,10.2,10.5,10.122769,10379600
52,2021-05-07,10.66,10.85,10.5,10.62,10.238458,9213900
53,2021-05-10,11.0,11.07,10.41,10.62,10.238458,13198600
54,2021-05-11,10.55,10.9,10.32,10.9,10.508398,8752700
55,2021-05-12,10.25,10.47,10.04,10.04,9.679296,142911300
56,2021-05-13,10.0,10.15,9.71,9.87,9.515403,13571300
57,2021-05-14,9.7,9.82,9.5,9.54,9.197259,11768300
58,2021-05-17,9.6,9.84,9.58,9.65,9.303307,7634200
59,2021-05-18,9.78,9.98,9.62,9.77,9.418996,13950600
60,2021-05-19,9.6,9.6,9.32,9.41,9.071929,9867200
61,2021-05-20,9.45,9.49,9.31,9.34,9.004444,7367800
62,2021-05-21,9.28,9.3,9.1,9.23,8.898396,8097000
63,2021-05-24,9.14,9.25,9.03,9.24,8.908036,9010300
64,2021-05-25,9.29,9.4,9.06,9.12,8.792348,6475700
65,2021-05-26,9.04,9.17,8.91,9.06,8.734504,15932800
66,2021-05-27,9.13,9.33,9.12,9.22,8.888756,10164300
67,2021-05-28,9.35,9.44,9.2,9.32,8.985163,7474900
68,2021-05-31,9.43,9.5,9.3,9.39,9.052648,5398300
69,2021-06-01,9.59,9.62,9.45,9.6,9.255103,6978600
70,2021-06-02,9.6,9.69,9.48,9.66,9.312947,7619300
71,2021-06-04,9.6,9.68,9.41,9.46,9.120132,7392300
72,2021-06-07,9.42,9.42,9.15,9.38,9.043007,5470300
73,2021-06-08,9.37,9.46,9.23,9.31,8.975522,3924200
74,2021-06-09,9.39,9.44,9.3,9.43,9.091211,3996300
75,2021-06-10,9.45,9.52,9.35,9.52,9.177978,3959300
76,2021-06-11,9.61,9.71,9.56,9.71,9.361151,4887200
77,2021-06-14,9.74,9.89,9.64,9.7,9.35151,5471800
78,2021-06-15,9.69,9.7,9.53,9.67,9.322588,3631100
79,2021-06-16,9.61,9.63,9.41,9.47,9.129774,6982100
80,2021-06-17,9.47,9.48,9.26,9.33,8.994803,6984000
81,2021-06-18,9.35,9.45,9.28,9.45,9.110492,4857800
82,2021-06-21,9.23,9.44,9.02,9.44,9.100851,5364100
83,2021-06-22,9.41,9.43,9.32,9.39,9.052648,3472300
84,2021-06-23,9.43,9.46,9.33,9.37,9.033366,5450700
85,2021-06-24,9.41,9.48,9.31,9.38,9.043007,11729500
86,2021-06-25,9.4,9.43,9.33,9.36,9.023726,5822100
87,2021-06-28,9.37,9.38,9.15,9.3,8.965881,6553500
88,2021-06-29,9.28,9.38,9.22,9.28,8.946599,5205200
89,2021-06-30,9.25,9.29,9.11,9.16,8.830911,7203500
90,2021-07-01,9.19,9.24,9.05,9.1,8.773067,6259100
91,2021-07-02,9.13,9.22,9.12,9.13,8.801989,3312800
92,2021-07-05,9.25,9.26,9.14,9.17,8.840551,2446600
93,2021-07-06,9.16,9.25,9.1,9.15,8.82127,2984800
94,2021-07-07,9.21,9.21,9.09,9.14,8.811629,5528200
95,2021-07-08,9.08,9.14,8.76,9.06,8.734504,6475700
96,2021-07-12,9.16,9.23,9.07,9.16,8.830911,5345900
97,2021-07-13,9.16,9.23,9.09,9.13,8.801989,3092900
98,2021-07-14,9.15,9.22,9.11,9.14,8.811629,4232200
99,2021-07-15,9.13,9.2,9.1,9.1,8.773067,2324600
100,2021-07-16,9.18,9.18,9.07,9.1,8.773067,3552400
101,2021-07-19,9.06,9.06,8.91,9.03,8.705581,5242700
102,2021-07-20,9.03,9.1,8.96,9.07,8.744144,3512900
103,2021-07-21,9.04,9.14,9.01,9.01,8.6863,3668100
104,2021-07-22,8.99,9.07,8.92,9.07,8.744144,3074900
105,2021-07-23,9.06,9.07,8.98,9.04,8.715222,2337200
106,2021-07-26,9.04,9.25,9.01,9.2,8.869473,5387000
107,2021-07-27,9.22,9.23,8.97,9.17,8.840551,4846700
108,2021-07-28,9.3,9.3,9.03,9.11,8.782707,9089300
109,2021-07-29,9.22,9.5,9.18,9.48,9.139414,11595000
110,2021-07-30,9.35,9.44,9.16,9.2,8.869473,8118200
111,2021-08-02,8.99,9.1,8.88,8.95,8.95,4999900
112,2021-08-03,8.97,8.98,8.57,8.71,8.71,8180500
113,2021-08-04,8.79,8.83,8.65,8.75,8.75,5443700
114,2021-08-05,8.7,8.74,8.48,8.5,8.5,9572300
115,2021-08-06,8.55,8.59,8.47,8.5,8.5,3334600
116,2021-08-09,8.4,8.43,8.23,8.35,8.35,7047000
117,2021-08-10,8.35,8.47,8.3,8.31,8.31,4218300
118,2021-08-11,8.36,8.38,8.25,8.28,8.28,3600800
119,2021-08-12,8.28,8.3,8.12,8.23,8.23,3931200
120,2021-08-13,8.27,8.28,7.92,8.04,8.04,5751400
121,2021-08-16,8.04,8.04,7.43,7.76,7.76,15754800
122,2021-08-17,7.71,7.75,7.13,7.23,7.23,15353900
123,2021-08-18,7.12,7.29,7.01,7.01,7.01,10851000
124,2021-08-19,6.79,7.09,6.7,6.99,6.99,9604400
125,2021-08-20,6.99,7.22,6.81,6.81,6.81,8400300
126,2021-08-23,6.85,6.93,6.65,6.68,6.68,9417400
