,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-04-28,31.799999,32.0,30.6,31.4,28.679609,347900
1,2021-04-29,31.4,31.48,29.780001,30.389999,27.757113,1126500
2,2021-04-30,30.27,30.610001,28.9,29.690001,27.470772,2006400
3,2021-05-03,29.5,30.030001,28.549999,29.52,27.313478,2145900
4,2021-05-04,29.52,29.75,28.6,29.24,27.054407,3512900
5,2021-05-05,29.24,29.49,28.66,29.290001,27.100672,871700
6,2021-05-06,29.99,29.99,28.870001,29.200001,27.017399,497300
7,2021-05-07,29.200001,29.809999,29.110001,29.379999,27.183943,779500
8,2021-05-10,29.6,29.77,28.9,28.91,26.749073,834500
9,2021-05-11,28.91,29.299999,28.59,29.26,27.072912,475100
10,2021-05-12,29.01,29.290001,27.940001,28.0,25.907093,2086100
11,2021-05-13,28.120001,28.860001,28.049999,28.33,26.212427,886100
12,2021-05-14,28.4,28.77,28.4,28.700001,26.554771,537200
13,2021-05-17,28.84,29.09,28.6,29.07,26.897114,368000
14,2021-05-18,29.26,29.9,28.91,29.5,27.294973,193800
15,2021-05-19,29.299999,29.85,29.200001,29.6,27.387499,234900
16,2021-05-20,29.32,29.860001,29.32,29.799999,27.572548,291000
17,2021-05-21,29.799999,29.99,29.549999,29.639999,27.424509,183200
18,2021-05-24,29.75,30.379999,29.74,30.26,27.998165,649900
19,2021-05-25,30.299999,30.6,30.059999,30.299999,28.035175,1099300
20,2021-05-26,30.299999,30.6,29.959999,30.6,28.312752,1075800
21,2021-05-27,30.450001,30.6,29.969999,30.02,27.776106,803400
22,2021-05-28,30.629999,31.620001,30.5,31.620001,29.256512,840200
23,2021-05-31,31.940001,31.940001,30.75,31.18,28.8494,547700
24,2021-06-01,31.1,31.459999,30.83,31.01,28.692106,1186700
25,2021-06-02,31.18,31.59,31.120001,31.5,29.145479,612000
26,2021-06-04,31.5,31.5,30.780001,31.23,28.89566,805500
27,2021-06-07,31.219999,31.379999,30.91,31.01,28.692106,685700
28,2021-06-08,31.27,31.280001,30.59,30.700001,28.405277,342500
29,2021-06-09,30.700001,31.1,30.469999,30.49,28.210974,443700
30,2021-06-10,30.690001,30.950001,30.48,30.85,28.544065,263000
31,2021-06-11,30.969999,31.1,30.6,30.82,28.516308,181700
32,2021-06-14,30.790001,31.700001,30.790001,31.67,29.302773,371200
33,2021-06-15,31.5,31.98,31.209999,31.32,28.978933,378400
34,2021-06-16,31.530001,31.709999,30.9,31.33,28.988186,130500
35,2021-06-17,31.33,31.48,30.66,30.75,28.45154,488900
36,2021-06-18,30.75,31.51,30.02,30.860001,28.553318,1439400
37,2021-06-21,30.879999,30.889999,30.32,30.889999,28.581076,602800
38,2021-06-22,31.0,31.24,30.41,30.57,28.284994,575900
39,2021-06-23,30.51,31.0,30.5,31.0,28.682854,275500
40,2021-06-24,30.99,30.99,30.4,30.469999,28.192469,211400
41,2021-06-25,30.700001,30.700001,30.0,30.01,27.766853,175800
42,2021-06-28,30.059999,30.290001,29.51,29.639999,27.424509,336800
43,2021-06-29,29.639999,29.700001,29.059999,29.059999,26.887861,310200
44,2021-06-30,29.1,29.299999,28.700001,29.15,26.971134,480100
45,2021-07-01,29.219999,29.5,28.809999,29.209999,27.026649,706900
46,2021-07-02,29.23,29.389999,29.01,29.389999,27.193195,287700
47,2021-07-05,29.379999,29.9,29.190001,29.889999,27.655821,217000
48,2021-07-06,29.790001,29.790001,29.219999,29.35,27.156185,435400
49,2021-07-07,29.51,29.9,29.33,29.9,27.665073,551000
50,2021-07-08,29.309999,29.58,28.91,29.1,26.924871,1307200
51,2021-07-12,29.370001,29.799999,29.299999,29.799999,27.572548,698200
52,2021-07-13,29.68,29.700001,29.25,29.35,27.156185,587500
53,2021-07-14,29.389999,29.629999,29.309999,29.42,27.220953,602900
54,2021-07-15,29.5,29.73,29.190001,29.25,27.06366,739300
55,2021-07-16,29.209999,29.690001,29.209999,29.690001,27.470772,311300
56,2021-07-19,29.450001,29.65,29.17,29.639999,27.424509,282300
57,2021-07-20,29.450001,29.67,29.33,29.49,27.285721,213800
58,2021-07-21,29.610001,29.709999,29.379999,29.68,27.461519,249000
59,2021-07-22,29.6,30.24,29.5,29.91,27.674328,297000
60,2021-07-23,30.049999,30.18,29.68,29.93,27.692833,156400
61,2021-07-26,29.98,29.98,29.629999,29.73,27.507782,219600
62,2021-07-27,29.68,30.08,29.6,30.040001,27.794611,124800
63,2021-07-28,30.17,30.360001,30.0,30.18,27.924147,409300
64,2021-07-29,30.299999,30.58,30.18,30.49,28.210974,248700
65,2021-07-30,30.74,30.74,29.959999,29.959999,27.720589,205800
66,2021-08-02,30.51,31.18,30.4,31.18,28.8494,1187500
67,2021-08-03,31.01,31.040001,30.35,30.75,28.45154,597600
68,2021-08-04,30.75,31.5,30.75,30.92,28.608833,641800
69,2021-08-05,31.299999,31.57,30.85,31.120001,28.793884,487100
70,2021-08-06,31.280001,32.25,31.27,32.0,29.608107,547200
71,2021-08-09,31.9,32.830002,31.85,32.830002,30.376068,211900
72,2021-08-10,32.66,32.66,31.809999,31.809999,29.432308,356700
73,2021-08-11,32.200001,32.759998,31.82,32.529999,30.09849,513900
74,2021-08-12,32.529999,32.759998,31.209999,31.65,29.284267,274200
75,2021-08-13,31.32,31.6,30.91,31.360001,29.015945,167300
76,2021-08-16,31.299999,31.9,31.16,31.51,29.154732,356900
77,2021-08-17,31.51,31.51,30.030001,31.02,28.701359,582900
78,2021-08-18,31.5,31.67,30.6,31.41,29.062206,582900
79,2021-08-19,31.389999,32.369999,31.040001,32.369999,29.950449,725300
80,2021-08-20,32.16,32.939999,32.049999,32.59,30.154007,309000
81,2021-08-23,32.889999,32.889999,32.16,32.32,29.904188,113000
82,2021-08-24,32.490002,32.84,32.34,32.610001,30.172512,316700
83,2021-08-25,32.02,32.619999,32.02,32.619999,30.181763,236000
84,2021-08-26,32.470001,32.619999,32.009998,32.009998,29.617357,307400
85,2021-08-27,31.93,32.400002,31.6,32.169998,29.765398,181700
86,2021-08-30,32.220001,32.650002,31.9,32.209999,29.802408,72000
87,2021-08-31,32.209999,33.279999,31.9,33.279999,30.792429,162600
88,2021-09-01,33.25,34.560001,33.099998,33.5,30.995987,656800
89,2021-09-02,34.099998,34.52,33.450001,33.810001,31.282816,750900
90,2021-09-03,33.52,34.200001,33.349998,33.759998,31.236551,360700
91,2021-09-06,33.380001,34.73,33.099998,34.310001,31.745443,667000
92,2021-09-08,34.459999,34.509998,32.849998,32.939999,30.477844,376300
93,2021-09-09,33.0,34.279999,32.439999,34.279999,31.717684,1222400
94,2021-09-10,34.5,34.759998,33.810001,34.200001,31.643665,562300
95,2021-09-13,34.419998,34.549999,33.959999,34.549999,31.967503,563300
96,2021-09-14,34.5,34.650002,34.27,34.5,31.92124,493700
97,2021-09-15,34.490002,34.490002,33.099998,33.709999,31.190289,418900
98,2021-09-16,33.650002,33.650002,32.66,33.580002,31.070009,437400
99,2021-09-17,33.189999,33.189999,32.130001,32.830002,30.376068,738900
100,2021-09-20,33.25,34.439999,33.080002,33.950001,31.412352,577000
101,2021-09-21,34.400002,34.610001,33.849998,34.189999,31.634411,267500
102,2021-09-22,34.59,35.529999,34.419998,35.200001,32.568916,497100
103,2021-09-23,35.200001,35.73,34.970001,35.73,33.059299,473300
104,2021-09-24,35.439999,35.720001,35.0,35.310001,32.670696,625200
105,2021-09-27,35.369999,36.330002,35.25,35.59,32.929768,408900
106,2021-09-28,35.59,35.59,35.02,35.189999,32.559662,536600
107,2021-09-29,35.299999,36.150002,35.299999,35.700001,33.031544,806200
108,2021-09-30,35.759998,36.509998,35.68,35.73,33.059299,711800
109,2021-10-01,32.720001,33.360001,32.360001,32.990002,32.990002,878200
110,2021-10-04,33.34,33.34,32.200001,32.549999,32.549999,162900
111,2021-10-05,32.540001,32.540001,31.74,32.110001,32.110001,386100
112,2021-10-06,31.75,32.029999,31.27,31.709999,31.709999,1328700
113,2021-10-07,32.060001,32.400002,31.35,31.719999,31.719999,764500
114,2021-10-08,31.889999,32.669998,31.559999,32.189999,32.189999,655800
115,2021-10-11,32.48,32.57,31.25,31.379999,31.379999,1763800
116,2021-10-13,31.52,31.91,31.299999,31.639999,31.639999,387400
117,2021-10-14,31.870001,32.0,31.530001,31.68,31.68,362600
118,2021-10-15,31.83,32.450001,31.83,32.139999,32.139999,634600
119,2021-10-18,32.290001,33.060001,31.82,32.880001,32.880001,347000
120,2021-10-19,32.900002,33.169998,32.209999,32.209999,32.209999,427900
121,2021-10-20,32.549999,32.75,32.16,32.48,32.48,484300
122,2021-10-21,31.889999,32.150002,30.65,31.280001,31.280001,350300
