,Date,Open,High,Low,Close,Adj Close,Volume
0,2017-07-20,14.95,15.04,14.36,14.9,13.673498,34318500.0
1,2017-07-21,15.05,15.08,14.87,15.0,13.765266,4515000.0
2,2017-07-24,15.05,15.2,15.0,15.15,13.902918,4833300.0
3,2017-07-25,15.11,15.4,15.01,15.4,14.132339,5926300.0
4,2017-07-26,15.45,15.46,15.1,15.1,13.857035,9220500.0
5,2017-07-27,15.18,15.24,15.05,15.14,13.893742,2439800.0
6,2017-07-28,15.14,15.18,14.95,15.0,13.765266,2768600.0
7,2017-07-31,15.0,15.29,14.94,15.14,13.893742,5118800.0
8,2017-08-01,15.21,15.39,15.11,15.25,13.994688,2329900.0
9,2017-08-02,15.25,15.33,15.15,15.26,14.003864,1489400.0
10,2017-08-03,15.23,15.32,15.1,15.25,13.994688,2652900.0
11,2017-08-04,15.25,15.3,14.74,14.74,13.52667,7918900.0
12,2017-08-07,14.9,14.93,14.43,14.7,13.489962,3439400.0
13,2017-08-08,14.7,14.79,14.5,14.62,13.416546,2644800.0
14,2017-08-09,14.65,14.66,14.26,14.44,13.251362,3586900.0
15,2017-08-10,14.45,14.52,14.1,14.49,13.297247,3139900.0
16,2017-08-11,14.63,15.23,14.63,15.19,13.939626,6112400.0
17,2017-08-14,15.24,15.24,15.04,15.1,13.857035,2167500.0
18,2017-08-15,15.08,15.18,14.93,15.16,13.912096,1441600.0
19,2017-08-16,15.16,15.17,14.91,15.08,13.838682,1747400.0
20,2017-08-17,15.08,15.08,14.85,14.89,13.664323,5984100.0
21,2017-08-18,14.98,15.0,14.73,14.8,13.581729,1360800.0
22,2017-08-21,14.8,14.84,14.32,14.55,13.352309,1474400.0
23,2017-08-22,14.65,14.81,14.45,14.45,13.260538,2691500.0
24,2017-08-23,14.57,14.95,14.44,14.9,13.673498,1056400.0
25,2017-08-24,14.9,15.39,14.9,15.39,14.123164,2184200.0
26,2017-08-25,15.35,15.47,15.1,15.42,14.150693,1834100.0
27,2017-08-28,15.87,16.34,15.8,16.08,14.756365,8039100.0
28,2017-08-29,16.08,16.73,16.0,16.43,15.077558,6850600.0
29,2017-08-30,16.5,16.75,16.0,16.0,14.682952,5597400.0
30,2017-08-31,15.6,15.85,15.36,15.8,14.499413,9121700.0
31,2017-09-01,15.95,16.190001,15.8,15.83,14.526943,3249200.0
32,2017-09-04,15.87,16.290001,15.87,16.1,14.77472,1843600.0
33,2017-09-05,16.219999,16.34,15.97,16.08,14.756365,3744800.0
34,2017-09-06,16.27,16.27,15.8,16.15,14.820602,1988900.0
35,2017-09-07,16.15,16.15,16.15,16.15,14.820602,0.0
36,2017-09-08,16.049999,16.34,15.96,16.23,14.894019,2589800.0
37,2017-09-11,16.34,16.870001,16.24,16.700001,15.32533,5689800.0
38,2017-09-12,16.52,16.83,16.4,16.6,15.233562,1326900.0
39,2017-09-13,16.610001,16.690001,16.42,16.48,15.123437,1180400.0
40,2017-09-14,16.48,16.639999,16.23,16.450001,15.095909,804500.0
41,2017-09-15,16.4,16.65,16.299999,16.65,15.279445,3090200.0
42,2017-09-18,16.690001,16.799999,16.26,16.799999,15.417095,3483400.0
43,2017-09-19,16.85,17.08,16.41,16.92,15.52722,4705900.0
44,2017-09-20,16.940001,17.040001,16.629999,16.950001,15.554751,2388300.0
45,2017-09-21,17.0,17.0,16.51,16.969999,15.573105,1408100.0
46,2017-09-22,16.93,16.969999,16.209999,16.389999,15.040847,8837200.0
47,2017-09-25,16.57,16.57,15.7,16.040001,14.71966,2944300.0
48,2017-09-26,16.059999,16.33,15.9,16.1,14.77472,5143100.0
