,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,3.024,3.024,3.024,3.024,2.01705,0.0
1,2016-01-05,3.024,3.024,3.024,3.024,2.01705,0.0
2,2016-01-06,3.024,3.024,3.024,3.024,2.01705,0.0
3,2016-01-07,3.024,3.024,3.024,3.024,2.01705,0.0
4,2016-01-08,3.024,3.024,3.024,3.024,2.01705,0.0
5,2016-01-11,3.024,3.024,3.024,3.024,2.01705,0.0
6,2016-01-12,3.024,3.024,3.024,3.024,2.01705,0.0
7,2016-01-13,3.024,3.024,3.024,3.024,2.01705,0.0
8,2016-01-14,2.4,2.4,2.4,2.4,1.600833,1250.0
9,2016-01-15,2.4,2.4,2.4,2.4,1.600833,0.0
10,2016-01-18,2.4,2.4,2.4,2.4,1.600833,0.0
11,2016-01-19,2.4,2.4,2.4,2.4,1.600833,0.0
12,2016-01-20,2.4,2.4,2.4,2.4,1.600833,0.0
13,2016-01-21,2.4,2.4,2.4,2.4,1.600833,0.0
14,2016-01-22,2.4,2.4,2.4,2.4,1.600833,0.0
15,2016-01-26,2.4,2.4,2.4,2.4,1.600833,0.0
16,2016-01-27,2.4,2.4,2.4,2.4,1.600833,0.0
17,2016-01-28,2.4,2.4,2.4,2.4,1.600833,0.0
18,2016-01-29,2.4,2.4,2.4,2.4,1.600833,0.0
19,2016-02-01,2.4,2.4,2.4,2.4,1.600833,0.0
20,2016-02-02,2.4,2.4,2.4,2.4,1.600833,0.0
21,2016-02-03,2.4,2.4,2.4,2.4,1.600833,0.0
22,2016-02-04,2.4,2.4,2.4,2.4,1.600833,0.0
23,2016-02-05,2.4,2.4,2.4,2.4,1.600833,0.0
24,2016-02-10,2.4,2.4,2.4,2.4,1.600833,0.0
25,2016-02-11,2.4,2.4,2.4,2.4,1.600833,0.0
26,2016-02-12,2.4,2.4,2.4,2.4,1.600833,0.0
27,2016-02-15,2.4,2.4,2.4,2.4,1.600833,0.0
28,2016-02-16,2.4,2.4,2.4,2.4,1.600833,0.0
29,2016-02-17,2.4,2.4,2.4,2.4,1.600833,0.0
30,2016-02-18,2.4,2.4,2.4,2.4,1.600833,0.0
31,2016-02-19,2.4,2.4,2.4,2.4,1.600833,0.0
32,2016-02-22,2.4,2.4,2.4,2.4,1.600833,0.0
33,2016-02-23,2.4,2.4,2.4,2.4,1.600833,0.0
34,2016-02-24,2.4,2.4,2.4,2.4,1.600833,0.0
35,2016-02-25,2.4,2.4,2.4,2.4,1.600833,0.0
36,2016-02-26,2.56,2.56,2.56,2.56,1.707555,125.0
37,2016-02-29,2.56,2.56,2.56,2.56,1.707555,0.0
38,2016-03-01,2.56,2.56,2.56,2.56,1.707555,0.0
39,2016-03-02,2.56,2.56,2.56,2.56,1.707555,0.0
40,2016-03-03,2.552,2.72,2.4,2.4,1.600833,1250.0
41,2016-03-04,2.4,2.4,2.4,2.4,1.600833,0.0
42,2016-03-07,2.4,2.4,2.4,2.4,1.600833,0.0
43,2016-03-08,2.4,2.4,2.4,2.4,1.600833,0.0
44,2016-03-09,2.4,2.4,2.4,2.4,1.600833,0.0
45,2016-03-10,2.4,2.4,2.4,2.4,1.600833,0.0
46,2016-03-11,2.4,2.4,2.4,2.4,1.600833,0.0
47,2016-03-14,2.24,2.24,1.92,1.92,1.280666,4875.0
48,2016-03-15,1.92,1.92,1.92,1.92,1.280666,0.0
49,2016-03-16,1.92,1.92,1.92,1.92,1.280666,0.0
