,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,6.2325,6.255,5.92,6.0,5.022623,3398400.0
1,2016-01-05,6.0375,6.12,5.9175,6.03,5.047736,2979200.0
2,2016-01-06,5.9625,6.0,5.775,5.915,4.951469,4631600.0
3,2016-01-07,5.775,5.85,5.5875,5.85,4.897057,4624800.0
4,2016-01-08,5.8425,5.945,5.7525,5.85,4.897057,4653600.0
5,2016-01-11,5.835,5.98,5.7775,5.86,4.905428,4982800.0
6,2016-01-12,5.8325,5.91,5.415,5.5475,4.643834,8174400.0
7,2016-01-13,5.595,5.8375,5.57,5.75,4.813346,6355600.0
8,2016-01-14,5.75,5.79,5.4925,5.78,4.83846,5107200.0
9,2016-01-15,5.7225,5.79,5.5875,5.7,4.771491,5773200.0
10,2016-01-18,5.645,5.695,5.5525,5.555,4.650112,2416000.0
11,2016-01-19,5.675,5.7175,5.515,5.525,4.624999,4041200.0
12,2016-01-20,5.45,5.655,5.4025,5.655,4.733822,6308000.0
13,2016-01-21,5.5725,5.7625,5.5725,5.65,4.729636,5328000.0
14,2016-01-22,5.71,5.93,5.71,5.8625,4.907521,6440400.0
15,2016-01-26,5.7675,6.05,5.7675,5.875,4.917984,9073600.0
16,2016-01-27,5.9475,6.1,5.865,6.0,5.022623,10127600.0
17,2016-01-28,6.075,6.175,5.945,6.145,5.144002,9838000.0
18,2016-01-29,6.1975,6.3725,6.13,6.285,5.261198,7411200.0
19,2016-02-01,6.25,6.315,6.1475,6.2775,5.254919,4465600.0
20,2016-02-02,6.2,6.3125,6.11,6.15,5.148188,6249600.0
21,2016-02-03,6.22,6.24,5.945,5.995,5.018436,10612800.0
22,2016-02-04,6.0625,6.125,5.9525,6.015,5.035179,8168400.0
23,2016-02-05,5.9675,6.05,5.765,5.845,4.892871,6723600.0
24,2016-02-10,5.675,5.9175,5.675,5.895,4.934727,3325600.0
25,2016-02-11,5.7975,5.845,5.61,5.725,4.792418,4632400.0
26,2016-02-12,5.72,5.9675,5.72,5.8875,4.928448,6433600.0
27,2016-02-15,6.0,6.185,6.0,6.0775,5.087498,4018000.0
