,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-02-11,12.85,13.69,12.75,12.98,12.776101,10278400.0
1,2021-02-12,13.0,13.99,12.82,13.5,13.287932,2486300.0
2,2021-02-17,,,,,,
3,2021-02-18,13.99,14.17,13.63,13.94,13.721021,1070100.0
4,2021-02-19,13.94,14.0,13.65,13.83,13.612749,458400.0
5,2021-02-22,13.99,13.99,12.7,13.44,13.228875,956000.0
6,2021-02-23,13.51,13.82,13.4,13.44,13.228875,250000.0
7,2021-02-24,13.5,13.63,13.27,13.45,13.238718,376200.0
8,2021-02-25,13.6,13.6,13.1,13.31,13.100918,380100.0
9,2021-02-26,13.15,13.2,12.5,12.99,12.785944,912000.0
10,2021-03-01,12.95,13.0,12.5,12.65,12.451284,760400.0
11,2021-03-02,12.75,13.0,11.8,12.52,12.323328,699000.0
12,2021-03-03,12.37,12.37,11.5,11.97,11.781967,1160200.0
13,2021-03-04,12.19,12.44,11.54,12.0,11.811496,1094700.0
14,2021-03-05,11.8,12.35,11.8,11.95,11.762281,773000.0
15,2021-03-08,11.95,11.95,10.51,11.0,10.827205,1574200.0
16,2021-03-09,10.92,11.35,10.35,10.52,10.354745,1559700.0
17,2021-03-10,10.51,11.46,10.33,11.39,11.211079,696000.0
18,2021-03-11,11.21,12.0,11.2,11.5,11.31935,2047500.0
19,2021-03-12,11.33,11.73,11.12,11.6,11.41778,1328600.0
20,2021-03-15,11.33,12.12,10.85,12.1,11.909925,1172400.0
21,2021-03-16,12.1,12.1,11.64,11.69,11.506365,369600.0
22,2021-03-17,11.43,12.0,11.13,11.77,11.585109,404800.0
23,2021-03-18,11.55,11.61,10.94,11.3,11.122492,793300.0
24,2021-03-19,11.15,12.2,10.94,11.73,11.545736,4672400.0
25,2021-03-22,11.84,12.05,11.34,12.03,11.841024,760600.0
26,2021-03-23,12.02,12.4,11.58,12.0,11.811496,705300.0
27,2021-03-24,11.97,12.17,11.82,11.98,11.791809,942200.0
28,2021-03-25,11.98,11.98,11.63,11.72,11.535894,270500.0
29,2021-03-26,11.75,12.07,11.42,11.5,11.31935,249900.0
30,2021-03-29,11.52,11.72,11.15,11.35,11.171707,260300.0
31,2021-03-30,11.34,11.38,11.07,11.13,10.955162,422000.0
32,2021-03-31,11.6,12.19,11.36,12.0,11.811496,1363100.0
33,2021-04-01,11.99,12.34,11.81,11.85,11.663853,532700.0
34,2021-04-05,11.99,12.18,11.61,11.71,11.526052,737000.0
35,2021-04-06,11.89,11.98,11.71,11.89,11.703224,298800.0
36,2021-04-07,11.86,11.87,11.51,11.51,11.329193,367200.0
37,2021-04-08,11.58,11.95,11.43,11.95,11.762281,245200.0
38,2021-04-09,11.94,12.35,11.53,12.0,11.811496,315900.0
39,2021-04-12,11.81,12.29,11.81,12.2,12.008354,252900.0
40,2021-04-13,12.19,12.8,11.96,12.3,12.106783,677500.0
41,2021-04-14,12.39,12.6,11.91,11.95,11.762281,408200.0
42,2021-04-15,12.0,12.73,11.73,12.35,12.155998,337000.0
43,2021-04-16,12.29,12.31,11.86,12.2,12.008354,386300.0
44,2021-04-19,12.2,12.39,11.87,11.87,11.683537,288100.0
45,2021-04-20,11.9,12.15,11.66,11.78,11.594952,184500.0
46,2021-04-22,11.95,12.29,11.8,11.83,11.644166,350700.0
47,2021-04-23,11.96,12.21,11.89,12.2,12.008354,299000.0
48,2021-04-26,12.2,12.42,11.9,12.24,12.047726,243100.0
49,2021-04-27,12.34,12.34,12.0,12.0,11.811496,170800.0
50,2021-04-28,12.0,12.35,11.93,12.09,11.900083,238500.0
51,2021-04-29,12.01,12.33,11.95,12.1,11.909925,414000.0
52,2021-04-30,12.12,12.17,11.74,11.98,11.791809,536000.0
53,2021-05-03,11.89,12.12,11.7,11.86,11.86,244100.0
54,2021-05-04,11.97,12.1,11.89,12.08,12.08,143600.0
55,2021-05-05,12.17,12.76,11.98,12.6,12.6,589300.0
56,2021-05-06,12.7,12.7,12.26,12.6,12.6,172800.0
57,2021-05-07,12.49,12.65,12.3,12.57,12.57,233300.0
58,2021-05-10,12.66,12.9,12.3,12.3,12.3,253700.0
59,2021-05-11,12.27,12.59,12.09,12.32,12.32,575900.0
60,2021-05-12,12.24,12.8,12.09,12.55,12.55,400400.0
61,2021-05-13,12.5,13.4,12.19,13.1,13.1,445300.0
62,2021-05-14,13.23,13.51,12.72,13.4,13.4,414900.0
63,2021-05-17,13.11,13.6,12.81,13.3,13.3,315600.0
64,2021-05-18,13.2,13.41,12.95,13.41,13.41,279400.0
65,2021-05-19,13.3,13.57,13.16,13.4,13.4,409500.0
66,2021-05-20,13.57,13.94,13.2,13.33,13.33,511400.0
67,2021-05-21,13.38,13.61,13.15,13.25,13.25,260900.0
68,2021-05-24,13.43,13.56,13.15,13.32,13.32,387700.0
69,2021-05-25,13.3,13.8,13.3,13.47,13.47,548900.0
70,2021-05-26,13.46,13.79,13.38,13.56,13.56,308300.0
71,2021-05-27,13.69,13.95,13.37,13.5,13.5,3006000.0
72,2021-05-28,13.63,13.88,13.4,13.85,13.85,333200.0
73,2021-05-31,13.98,14.39,13.91,14.0,14.0,440100.0
74,2021-06-01,14.06,14.69,13.96,14.4,14.4,477000.0
75,2021-06-02,14.4,14.69,14.24,14.58,14.58,310300.0
76,2021-06-04,14.65,14.78,14.47,14.73,14.73,154500.0
77,2021-06-07,14.7,15.15,14.55,15.0,15.0,433700.0
78,2021-06-08,15.02,15.2,14.56,14.72,14.72,223300.0
79,2021-06-09,14.66,14.94,14.54,14.77,14.77,214500.0
80,2021-06-10,14.77,14.87,14.53,14.87,14.87,175800.0
81,2021-06-11,14.9,14.93,14.38,14.93,14.93,205800.0
82,2021-06-14,14.95,15.5,14.71,15.25,15.25,633700.0
83,2021-06-15,15.35,15.35,14.44,14.65,14.65,582500.0
84,2021-06-16,14.6,14.92,14.06,14.44,14.44,560200.0
85,2021-06-17,14.45,14.9,14.32,14.87,14.87,560800.0
86,2021-06-18,14.88,15.33,14.74,15.19,15.19,490500.0
87,2021-06-21,15.33,15.35,14.9,15.35,15.35,354200.0
88,2021-06-22,15.34,15.88,14.99,15.75,15.75,1216400.0
89,2021-06-23,15.75,15.9,15.56,15.75,15.75,434800.0
90,2021-06-24,15.85,16.059999,15.64,16.059999,16.059999,336100.0
91,2021-06-25,16.059999,16.07,15.49,15.49,15.49,302700.0
92,2021-06-28,15.65,15.76,15.38,15.59,15.59,246000.0
93,2021-06-29,15.63,15.71,14.92,15.55,15.55,448300.0
94,2021-06-30,15.5,15.65,15.18,15.26,15.26,334600.0
95,2021-07-01,15.29,15.35,14.65,14.65,14.65,247100.0
96,2021-07-02,14.79,14.97,14.53,14.72,14.72,358100.0
97,2021-07-05,14.52,14.9,14.52,14.7,14.7,245900.0
98,2021-07-06,14.52,14.68,13.81,13.9,13.9,533900.0
99,2021-07-07,13.99,14.17,13.67,13.94,13.94,425600.0
100,2021-07-08,13.79,13.79,13.29,13.75,13.75,1908900.0
101,2021-07-12,13.92,14.54,13.81,14.35,14.35,426400.0
102,2021-07-13,14.36,14.4,14.13,14.23,14.23,265200.0
103,2021-07-14,14.36,14.36,13.86,13.86,13.86,327500.0
104,2021-07-15,13.9,13.9,13.36,13.36,13.36,497600.0
105,2021-07-16,13.45,13.69,13.35,13.55,13.55,263000.0
106,2021-07-19,13.47,13.47,13.06,13.06,13.06,182000.0
107,2021-07-20,13.11,13.23,12.63,12.76,12.76,462100.0
108,2021-07-21,12.93,12.95,12.36,12.55,12.55,504800.0
109,2021-07-22,12.62,12.95,12.55,12.75,12.75,947900.0
110,2021-07-23,12.79,13.18,12.57,12.65,12.65,599800.0
111,2021-07-26,12.82,13.03,12.5,12.65,12.65,768800.0
112,2021-07-27,12.68,13.0,12.25,12.65,12.65,520200.0
113,2021-07-28,12.71,12.75,12.39,12.55,12.55,466300.0
114,2021-07-29,12.61,12.79,12.26,12.3,12.3,487500.0
115,2021-07-30,12.27,12.73,12.14,12.5,12.5,341000.0
116,2021-08-02,12.65,12.65,12.02,12.02,12.02,372800.0
117,2021-08-03,12.13,12.37,11.89,12.02,12.02,811700.0
118,2021-08-04,12.08,12.15,11.76,11.82,11.82,443400.0
119,2021-08-05,11.96,11.96,11.27,11.4,11.4,1148300.0
120,2021-08-06,11.49,11.54,11.18,11.33,11.33,500200.0
121,2021-08-09,11.33,11.53,11.04,11.05,11.05,376300.0
122,2021-08-10,11.04,11.23,10.84,11.0,11.0,665700.0
123,2021-08-11,11.15,11.15,10.7,10.84,10.84,367900.0
124,2021-08-12,10.85,11.0,10.35,10.45,10.45,445600.0
125,2021-08-13,10.57,10.61,10.1,10.29,10.29,627900.0
126,2021-08-16,10.27,10.33,9.69,9.9,9.9,447300.0
127,2021-08-17,9.87,9.87,8.81,9.22,9.22,1144100.0
128,2021-08-18,9.3,9.53,9.0,9.4,9.4,937000.0
129,2021-08-19,9.18,10.04,8.69,9.85,9.85,806900.0
130,2021-08-20,9.8,10.1,9.46,9.95,9.95,571700.0
131,2021-08-23,9.9,10.02,9.67,9.77,9.77,536800.0
132,2021-08-24,9.68,10.02,9.68,9.88,9.88,984900.0
133,2021-08-25,9.94,10.3,9.72,9.97,9.97,396900.0
134,2021-08-26,9.84,10.19,9.72,9.89,9.89,994100.0
135,2021-08-27,9.82,10.15,9.82,9.89,9.89,381100.0
136,2021-08-30,9.94,9.94,9.64,9.76,9.76,462500.0
137,2021-08-31,9.7,9.98,9.36,9.7,9.7,1066500.0
138,2021-09-01,9.7,9.73,9.48,9.48,9.48,283900.0
139,2021-09-02,9.45,9.49,9.01,9.04,9.04,394700.0
140,2021-09-03,9.04,9.25,8.79,8.81,8.81,1130100.0
141,2021-09-06,8.8,9.07,8.79,9.06,9.06,330700.0
142,2021-09-08,9.06,9.06,8.25,8.25,8.25,834300.0
143,2021-09-09,8.28,8.59,8.13,8.35,8.35,369600.0
144,2021-09-10,8.41,8.69,8.06,8.06,8.06,758100.0
145,2021-09-13,8.15,8.59,8.15,8.48,8.48,466700.0
146,2021-09-14,8.48,8.71,8.31,8.59,8.59,440500.0
147,2021-09-15,8.55,8.63,8.13,8.18,8.18,447200.0
148,2021-09-16,8.19,8.3,7.99,8.03,8.03,645000.0
149,2021-09-17,7.96,8.37,7.9,7.98,7.98,663400.0
150,2021-09-20,7.89,7.94,7.38,7.63,7.63,605700.0
151,2021-09-21,7.73,8.0,7.58,7.87,7.87,1443900.0
152,2021-09-22,8.05,8.18,7.8,7.97,7.97,521900.0
153,2021-09-23,8.01,8.31,7.91,7.98,7.98,395100.0
154,2021-09-24,7.94,7.95,7.67,7.73,7.73,380500.0
155,2021-09-27,7.73,7.89,7.65,7.82,7.82,259500.0
156,2021-09-28,7.62,7.7,7.33,7.34,7.34,1655700.0
157,2021-09-29,7.35,8.14,7.34,7.7,7.7,655800.0
158,2021-09-30,7.71,7.96,7.45,7.5,7.5,1100900.0
159,2021-10-01,7.54,8.01,7.5,7.89,7.89,586100.0
160,2021-10-04,7.8,7.8,7.38,7.38,7.38,341300.0
161,2021-10-05,7.36,7.56,7.24,7.33,7.33,314900.0
162,2021-10-06,7.29,7.43,6.97,7.38,7.38,733300.0
163,2021-10-07,7.47,7.96,7.28,7.72,7.72,852000.0
164,2021-10-08,7.8,8.33,7.71,8.04,8.04,565300.0
165,2021-10-11,8.08,8.17,7.69,7.69,7.69,611300.0
166,2021-10-13,7.7,8.03,7.57,7.86,7.86,488500.0
167,2021-10-14,7.97,8.02,7.38,7.4,7.4,539800.0
168,2021-10-15,7.48,7.63,7.19,7.61,7.61,1007600.0
169,2021-10-18,7.42,8.04,7.42,7.92,7.92,850700.0
170,2021-10-19,7.9,8.17,7.55,8.07,8.07,1343400.0
171,2021-10-20,8.17,8.22,7.43,7.59,7.59,1673300.0
172,2021-10-21,7.48,7.57,6.89,6.89,6.89,594400.0
173,2021-10-22,6.88,6.88,6.19,6.5,6.5,1617100.0
