,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,3.98,3.98,3.83,3.86,3.074924,4417300.0
1,2016-01-05,3.86,3.9,3.67,3.67,2.923568,4163300.0
2,2016-01-06,3.52,3.65,3.35,3.38,2.69255,4565700.0
3,2016-01-07,3.17,3.37,3.14,3.3,2.628821,6308300.0
4,2016-01-08,3.46,3.63,3.42,3.42,2.724415,7965500.0
5,2016-01-11,3.44,3.55,3.31,3.37,2.684584,4962200.0
6,2016-01-12,3.42,3.47,3.27,3.28,2.612889,5125300.0
7,2016-01-13,3.32,3.42,3.19,3.2,2.54916,5411800.0
8,2016-01-14,3.24,3.46,3.16,3.3,2.628821,8097600.0
9,2016-01-15,3.19,3.26,3.09,3.17,2.525261,5745100.0
10,2016-01-18,3.2,3.3,3.16,3.2,2.54916,3302200.0
11,2016-01-19,3.35,3.39,3.27,3.28,2.612889,4142100.0
12,2016-01-20,3.22,3.28,3.16,3.22,2.565092,4358200.0
13,2016-01-21,3.17,3.44,3.17,3.32,2.644753,4567900.0
14,2016-01-22,3.44,3.56,3.37,3.45,2.748313,5386800.0
15,2016-01-26,3.35,3.49,3.32,3.42,2.724415,3064700.0
16,2016-01-27,3.44,3.57,3.44,3.48,2.772211,4563100.0
17,2016-01-28,3.51,3.63,3.35,3.45,2.748313,4225600.0
18,2016-01-29,3.52,3.65,3.47,3.55,2.827974,4600600.0
19,2016-02-01,3.53,3.88,3.46,3.75,2.987297,6605300.0
20,2016-02-02,3.72,3.95,3.65,3.77,3.003229,6921300.0
21,2016-02-03,3.87,3.94,3.73,3.79,3.019161,4275100.0
22,2016-02-04,3.83,4.38,3.83,4.16,3.313908,6666300.0
23,2016-02-05,4.28,4.5,4.23,4.38,3.489163,7697500.0
24,2016-02-10,4.25,4.43,4.15,4.35,3.465264,4492700.0
25,2016-02-11,4.27,4.33,3.88,3.88,3.090856,7037500.0
26,2016-02-12,3.93,4.13,3.91,4.02,3.202382,5393200.0
27,2016-02-15,4.2,4.21,4.09,4.1,3.266111,2288200.0
28,2016-02-16,4.11,4.48,4.11,4.43,3.528992,4644800.0
29,2016-02-17,4.57,4.89,4.48,4.55,3.624587,10137700.0
30,2016-02-18,4.5,4.7,4.42,4.59,3.656451,7731100.0
31,2016-02-19,4.6,4.7,4.52,4.63,3.688315,4972400.0
32,2016-02-22,4.82,5.12,4.8,5.12,4.078656,6321500.0
33,2016-02-23,5.09,5.28,5.04,5.22,4.158317,7672300.0
34,2016-02-24,5.02,5.41,4.95,5.23,4.166283,8301100.0
35,2016-02-25,5.1,5.45,5.06,5.22,4.158317,5859700.0
36,2016-02-26,5.35,5.47,5.0,5.0,3.983062,7686800.0
37,2016-02-29,5.07,5.37,5.06,5.2,4.142384,9042300.0
38,2016-03-01,5.37,5.55,5.37,5.4,4.301707,6772400.0
39,2016-03-02,5.46,5.7,5.4,5.65,4.50086,9632400.0
40,2016-03-03,6.5,6.5,6.5,6.5,5.17798,10046500.0
41,2016-03-04,7.01,7.72,6.88,7.56,6.02239,15861000.0
42,2016-03-07,7.83,8.59,7.8,8.23,6.55612,16131700.0
43,2016-03-08,7.8,8.15,7.03,7.11,5.663914,10444400.0
44,2016-03-09,7.34,7.49,6.69,6.82,5.432897,13920100.0
45,2016-03-10,7.1,7.49,6.76,7.33,5.839169,11355700.0
46,2016-03-11,7.47,7.55,7.06,7.06,5.624084,8235900.0
47,2016-03-14,7.14,7.3,6.85,6.92,5.512558,9687100.0
48,2016-03-15,6.76,6.76,6.0,6.07,4.835437,7854200.0
49,2016-03-16,5.95,6.75,5.91,6.71,5.345269,8957200.0
50,2016-03-17,7.4,8.05,7.07,7.93,6.317137,13552600.0
51,2016-03-18,7.97,8.16,7.62,7.92,6.309171,13617600.0
52,2016-03-21,7.93,8.4,7.9,7.9,6.293238,8893100.0
53,2016-03-22,7.78,8.24,7.78,8.14,6.484426,6930000.0
54,2016-03-23,7.95,8.06,7.6,7.6,6.054254,8347500.0
55,2016-03-24,7.46,7.87,7.21,7.79,6.20561,6968900.0
56,2016-03-28,8.07,8.2,7.77,7.8,6.213576,5155200.0
57,2016-03-29,7.71,7.98,7.4,7.4,5.894932,8619100.0
58,2016-03-30,7.55,7.78,7.34,7.45,5.934762,7736800.0
59,2016-03-31,7.13,7.13,7.13,7.13,5.679847,78700.0
60,2016-04-01,7.35,7.35,7.35,7.35,5.855101,63400.0
61,2016-04-04,6.95,6.95,6.95,6.95,5.536457,99000.0
62,2016-04-05,7.6,7.6,7.6,7.6,6.054254,117000.0
63,2016-04-06,7.68,7.68,7.68,7.68,6.117983,48500.0
64,2016-04-07,7.59,7.59,7.59,7.59,6.046288,84800.0
65,2016-04-08,7.85,8.33,7.8,8.25,6.572052,8428700.0
66,2016-04-11,8.99,8.99,8.99,8.99,7.161545,121500.0
67,2016-04-12,10.78,10.78,10.78,10.78,8.587481,151200.0
68,2016-04-13,13.0,13.0,13.0,13.0,10.355961,155300.0
69,2016-04-14,13.45,13.64,11.29,11.46,9.129179,19745800.0
70,2016-04-15,11.53,12.1,11.25,11.92,9.495619,8164800.0
71,2016-04-18,11.96,12.59,11.71,12.1,9.63901,8483900.0
72,2016-04-19,13.3,13.3,13.3,13.3,10.594946,92400.0
73,2016-04-20,13.4,14.12,13.02,13.66,10.881726,13808500.0
74,2016-04-22,13.0,14.0,12.9,13.4,10.674606,8801800.0
75,2016-04-25,13.21,13.37,12.1,12.17,9.694775,9293600.0
76,2016-04-26,12.38,12.59,11.7,12.3,9.798332,9272000.0
77,2016-04-27,12.34,13.1,12.06,12.95,10.31613,8404000.0
78,2016-04-28,13.16,13.71,12.91,12.96,10.324097,7640200.0
79,2016-04-29,13.17,13.65,13.12,13.14,10.467488,10579300.0
80,2016-05-02,13.2,13.59,12.84,12.9,10.2763,8599500.0
81,2016-05-03,12.48,12.62,12.22,12.22,9.734604,6490700.0
82,2016-05-04,11.93,12.55,11.72,11.77,9.376129,8427500.0
