,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,3.1,3.1,2.5,2.5,2.5,13200.0
1,2016-01-05,2.7,2.7,2.5,2.5,2.5,2130.0
2,2016-01-06,2.6,2.8,2.4,2.6,2.6,3980.0
3,2016-01-07,2.6,2.6,2.6,2.6,2.6,0.0
4,2016-01-08,2.5,2.7,2.3,2.7,2.7,440.0
5,2016-01-11,2.5,2.6,2.5,2.6,2.6,540.0
6,2016-01-12,2.5,2.7,2.5,2.5,2.5,940.0
7,2016-01-13,2.7,2.7,2.5,2.5,2.5,1290.0
8,2016-01-14,2.5,2.5,2.5,2.5,2.5,400.0
9,2016-01-15,2.6,2.6,2.6,2.6,2.6,30.0
10,2016-01-18,2.4,2.7,2.4,2.7,2.7,100.0
11,2016-01-19,2.4,2.5,2.4,2.4,2.4,640.0
12,2016-01-20,2.4,2.4,2.4,2.4,2.4,870.0
13,2016-01-21,2.3,2.3,2.3,2.3,2.3,1120.0
14,2016-01-22,2.3,2.3,2.3,2.3,2.3,1090.0
15,2016-01-26,2.4,2.4,2.1,2.2,2.2,290.0
16,2016-01-27,2.3,2.3,2.2,2.2,2.2,320.0
17,2016-01-28,2.2,2.2,2.2,2.2,2.2,0.0
18,2016-01-29,2.1,2.2,2.1,2.2,2.2,1400.0
19,2016-02-01,2.2,2.2,2.1,2.1,2.1,350.0
20,2016-02-02,2.1,2.1,2.1,2.1,2.1,490.0
21,2016-02-03,2.1,2.1,2.1,2.1,2.1,0.0
22,2016-02-04,2.1,2.1,2.1,2.1,2.1,0.0
23,2016-02-05,2.0,2.2,2.0,2.0,2.0,350.0
24,2016-02-10,2.2,2.3,2.1,2.2,2.2,15490.0
25,2016-02-11,2.1,2.1,2.1,2.1,2.1,800.0
26,2016-02-12,2.1,2.1,2.1,2.1,2.1,0.0
27,2016-02-15,2.3,2.3,2.3,2.3,2.3,30.0
28,2016-02-16,2.3,2.3,2.3,2.3,2.3,0.0
29,2016-02-17,2.3,2.3,2.3,2.3,2.3,0.0
30,2016-02-18,2.3,2.3,2.3,2.3,2.3,0.0
31,2016-02-19,2.1,2.1,2.1,2.1,2.1,50.0
32,2016-02-22,2.3,2.3,2.3,2.3,2.3,110.0
33,2016-02-23,2.3,2.3,2.3,2.3,2.3,2480.0
34,2016-02-24,2.3,2.3,2.3,2.3,2.3,0.0
35,2016-02-25,2.2,2.2,2.1,2.1,2.1,1000.0
36,2016-02-26,2.0,2.2,2.0,2.2,2.2,1230.0
37,2016-02-29,2.2,2.2,2.2,2.2,2.2,0.0
38,2016-03-01,2.0,2.2,2.0,2.2,2.2,2300.0
39,2016-03-02,2.0,2.1,2.0,2.0,2.0,3220.0
40,2016-03-03,2.1,2.1,2.0,2.0,2.0,390.0
41,2016-03-04,2.2,2.2,2.0,2.2,2.2,1070.0
42,2016-03-07,2.2,2.3,2.2,2.3,2.3,1500.0
43,2016-03-08,2.1,2.2,2.1,2.2,2.2,1040.0
44,2016-03-09,2.1,2.8,2.0,2.4,2.4,18050.0
45,2016-03-10,2.5,3.3,2.5,2.9,2.9,11860.0
46,2016-03-11,2.6,3.1,2.6,3.1,3.1,2990.0
47,2016-03-14,3.2,3.2,3.2,3.2,3.2,210.0
48,2016-03-15,3.2,3.2,3.2,3.2,3.2,0.0
49,2016-03-16,2.9,2.9,2.8,2.8,2.8,2590.0
50,2016-03-17,3.1,3.1,2.9,3.0,3.0,730.0
51,2016-03-18,2.9,3.0,2.7,2.7,2.7,3220.0
52,2016-03-21,3.0,3.1,3.0,3.1,3.1,30.0
53,2016-03-22,2.8,3.0,2.8,2.8,2.8,910.0
54,2016-03-23,2.8,3.7,2.8,3.5,3.5,3560.0
55,2016-03-24,3.5,3.5,3.2,3.3,3.3,1500.0
56,2016-03-28,3.4,3.4,3.1,3.1,3.1,730.0
57,2016-03-29,2.9,3.0,2.8,2.8,2.8,9220.0
58,2016-03-30,3.1,3.1,2.8,2.8,2.8,1070.0
59,2016-03-31,3.0,3.5,2.9,3.1,3.1,12060.0
60,2016-04-01,3.0,3.1,2.8,2.8,2.8,4860.0
61,2016-04-04,3.0,3.1,2.9,3.1,3.1,1500.0
62,2016-04-05,3.2,3.2,3.1,3.2,3.2,2250.0
63,2016-04-06,3.3,3.3,3.3,3.3,3.3,1570.0
64,2016-04-07,3.1,3.2,3.1,3.2,3.2,610.0
65,2016-04-08,3.2,3.2,3.2,3.2,3.2,310.0
66,2016-04-11,3.2,3.2,3.0,3.0,3.0,120.0
67,2016-04-12,3.0,3.0,3.0,3.0,3.0,0.0
68,2016-04-13,2.9,3.0,2.8,3.0,3.0,7760.0
69,2016-04-14,2.9,3.0,2.8,3.0,3.0,1220.0
70,2016-04-15,3.0,3.2,3.0,3.2,3.2,680.0
71,2016-04-18,3.0,3.0,3.0,3.0,3.0,10.0
72,2016-04-19,3.1,3.1,3.1,3.1,3.1,510.0
73,2016-04-20,3.0,3.0,3.0,3.0,3.0,30.0
74,2016-04-22,3.2,3.5,3.1,3.1,3.1,10360.0
75,2016-04-25,3.4,3.4,3.0,3.0,3.0,2540.0
76,2016-04-26,3.3,3.3,3.2,3.3,3.3,1110.0
77,2016-04-27,3.3,3.3,3.3,3.3,3.3,400.0
78,2016-04-28,3.1,3.1,2.9,3.0,3.0,2850.0
79,2016-04-29,2.0,2.7,2.0,2.7,2.7,3900.0
80,2016-05-02,2.74,2.84,2.7,2.84,2.84,1300.0
81,2016-05-03,2.82,2.82,2.82,2.82,2.82,200.0
