,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,2.24,2.24,2.24,2.24,2.24,0.0
1,2016-01-05,2.24,2.24,2.24,2.24,2.24,0.0
2,2016-01-06,2.24,2.24,2.24,2.24,2.24,0.0
3,2016-01-07,2.24,2.24,2.24,2.24,2.24,0.0
4,2016-01-08,2.24,2.24,2.24,2.24,2.24,0.0
5,2016-01-11,2.24,2.24,2.24,2.24,2.24,0.0
6,2016-01-12,2.21,2.21,2.21,2.21,2.21,600.0
7,2016-01-13,2.21,2.21,2.21,2.21,2.21,0.0
8,2016-01-14,2.21,2.21,2.21,2.21,2.21,0.0
9,2016-01-15,2.21,2.21,2.21,2.21,2.21,0.0
10,2016-01-18,2.21,2.21,2.21,2.21,2.21,0.0
11,2016-01-19,2.21,2.21,2.21,2.21,2.21,0.0
12,2016-01-20,2.08,2.08,2.08,2.08,2.08,400.0
13,2016-01-21,2.08,2.08,2.08,2.08,2.08,0.0
14,2016-01-22,2.1,2.1,2.0,2.0,2.0,72000.0
15,2016-01-26,2.0,2.0,2.0,2.0,2.0,0.0
16,2016-01-27,2.14,2.15,2.14,2.15,2.15,17100.0
17,2016-01-28,2.15,2.15,2.15,2.15,2.15,0.0
18,2016-01-29,2.3,2.3,2.15,2.15,2.15,5300.0
19,2016-02-01,2.15,2.15,2.15,2.15,2.15,0.0
20,2016-02-02,2.02,2.02,2.0,2.0,2.0,11400.0
21,2016-02-03,2.01,2.01,2.01,2.01,2.01,7300.0
22,2016-02-04,2.01,2.01,2.01,2.01,2.01,0.0
23,2016-02-05,2.1,2.1,2.06,2.06,2.06,4100.0
24,2016-02-10,2.06,2.1,2.06,2.1,2.1,1500.0
25,2016-02-11,2.1,2.1,2.1,2.1,2.1,0.0
26,2016-02-12,2.1,2.1,2.1,2.1,2.1,0.0
27,2016-02-15,2.1,2.1,2.1,2.1,2.1,0.0
28,2016-02-16,2.1,2.1,2.04,2.05,2.05,2400.0
29,2016-02-17,2.05,2.05,2.05,2.05,2.05,0.0
30,2016-02-18,2.2,2.2,2.2,2.2,2.2,4000.0
31,2016-02-19,2.25,2.25,2.25,2.25,2.25,2000.0
32,2016-02-22,2.45,2.45,2.45,2.45,2.45,2100.0
33,2016-02-23,2.45,2.45,2.45,2.45,2.45,0.0
34,2016-02-24,2.45,2.45,2.45,2.45,2.45,0.0
35,2016-02-25,2.45,2.45,2.45,2.45,2.45,0.0
36,2016-02-26,2.45,2.45,2.45,2.45,2.45,0.0
37,2016-02-29,2.45,2.45,2.3,2.3,2.3,2900.0
38,2016-03-01,2.3,2.3,2.3,2.3,2.3,0.0
39,2016-03-02,2.45,2.56,2.45,2.56,2.56,4900.0
40,2016-03-03,2.6,2.85,2.6,2.85,2.85,14300.0
41,2016-03-04,2.89,2.89,2.89,2.89,2.89,6800.0
42,2016-03-07,2.84,2.84,2.66,2.66,2.66,2000.0
43,2016-03-08,2.66,2.66,2.66,2.66,2.66,0.0
44,2016-03-09,2.66,2.66,2.66,2.66,2.66,0.0
45,2016-03-10,2.5,2.5,2.5,2.5,2.5,500.0
46,2016-03-11,2.42,2.42,2.42,2.42,2.42,2200.0
