,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,2.35,2.35,2.35,2.35,1.519487,0.0
1,2016-01-05,2.35,2.35,2.35,2.35,1.519487,0.0
2,2016-01-06,2.35,2.35,2.35,2.35,1.519487,0.0
3,2016-01-07,2.35,2.35,2.35,2.35,1.519487,0.0
4,2016-01-08,2.35,2.35,2.35,2.35,1.519487,0.0
5,2016-01-11,2.35,2.35,2.35,2.35,1.519487,0.0
6,2016-01-12,2.35,2.35,2.35,2.35,1.519487,0.0
7,2016-01-13,2.35,2.35,2.35,2.35,1.519487,0.0
8,2016-01-14,2.35,2.35,2.35,2.35,1.519487,0.0
9,2016-01-15,2.35,2.35,2.35,2.35,1.519487,0.0
10,2016-01-18,2.35,2.35,2.35,2.35,1.519487,0.0
11,2016-01-19,2.35,2.35,2.35,2.35,1.519487,0.0
12,2016-01-20,2.35,2.35,2.35,2.35,1.519487,0.0
13,2016-01-21,2.35,2.35,2.35,2.35,1.519487,0.0
14,2016-01-22,2.35,2.35,2.35,2.35,1.519487,0.0
15,2016-01-26,2.35,2.35,2.35,2.35,1.519487,0.0
16,2016-01-27,2.35,2.35,2.35,2.35,1.519487,0.0
17,2016-01-28,2.35,2.35,2.35,2.35,1.519487,0.0
18,2016-01-29,2.35,2.35,2.35,2.35,1.519487,0.0
19,2016-02-01,2.35,2.35,2.35,2.35,1.519487,0.0
20,2016-02-02,2.35,2.35,2.35,2.35,1.519487,0.0
21,2016-02-03,2.35,2.35,2.35,2.35,1.519487,0.0
22,2016-02-04,2.35,2.35,2.35,2.35,1.519487,0.0
23,2016-02-05,1.82,2.19,1.82,2.19,1.416033,200.0
24,2016-02-10,2.19,2.19,2.19,2.19,1.416033,0.0
25,2016-02-11,2.19,2.19,2.19,2.19,1.416033,0.0
26,2016-02-12,2.19,2.19,2.19,2.19,1.416033,0.0
27,2016-02-15,2.19,2.19,2.19,2.19,1.416033,0.0
28,2016-02-16,2.19,2.19,2.19,2.19,1.416033,0.0
29,2016-02-17,2.2,2.2,2.19,2.19,1.416033,3200.0
30,2016-02-18,2.19,2.19,2.19,2.19,1.416033,0.0
31,2016-02-19,2.19,2.19,2.19,2.19,1.416033,0.0
32,2016-02-22,2.19,2.19,2.19,2.19,1.416033,0.0
33,2016-02-23,2.19,2.19,2.19,2.19,1.416033,0.0
34,2016-02-24,2.19,2.19,2.19,2.19,1.416033,0.0
35,2016-02-25,2.19,2.19,2.19,2.19,1.416033,0.0
36,2016-02-26,2.19,2.19,2.19,2.19,1.416033,0.0
37,2016-02-29,1.81,1.81,1.81,1.81,1.170328,100.0
38,2016-03-01,1.81,1.81,1.81,1.81,1.170328,0.0
39,2016-03-02,1.81,1.81,1.81,1.81,1.170328,0.0
40,2016-03-03,1.81,1.81,1.81,1.81,1.170328,0.0
41,2016-03-04,1.81,1.81,1.81,1.81,1.170328,0.0
42,2016-03-07,1.81,1.81,1.81,1.81,1.170328,0.0
43,2016-03-08,1.81,1.81,1.81,1.81,1.170328,0.0
44,2016-03-09,2.0,2.0,2.0,2.0,1.293181,100.0
45,2016-03-10,2.0,2.0,2.0,2.0,1.293181,0.0
46,2016-03-11,2.0,2.0,2.0,2.0,1.293181,0.0
47,2016-03-14,2.0,2.0,2.0,2.0,1.293181,0.0
48,2016-03-15,2.0,2.0,2.0,2.0,1.293181,0.0
49,2016-03-16,2.0,2.0,2.0,2.0,1.293181,0.0
50,2016-03-17,2.0,2.0,2.0,2.0,1.293181,0.0
51,2016-03-18,2.0,2.0,2.0,2.0,1.293181,0.0
52,2016-03-21,2.0,2.0,2.0,2.0,1.293181,0.0
53,2016-03-22,2.0,2.0,2.0,2.0,1.293181,0.0
54,2016-03-23,2.0,2.0,2.0,2.0,1.293181,0.0
55,2016-03-24,2.0,2.0,2.0,2.0,1.293181,0.0
56,2016-03-28,2.0,2.0,2.0,2.0,1.293181,0.0
57,2016-03-29,2.0,2.0,2.0,2.0,1.293181,0.0
58,2016-03-30,2.0,2.0,2.0,2.0,1.293181,0.0
59,2016-03-31,2.3,2.3,2.3,2.3,1.487158,1900.0
60,2016-04-01,2.3,2.3,2.3,2.3,1.487158,0.0
61,2016-04-04,2.3,2.3,2.3,2.3,1.487158,0.0
62,2016-04-05,2.3,2.3,2.3,2.3,1.487158,0.0
63,2016-04-06,2.3,2.3,2.3,2.3,1.487158,0.0
64,2016-04-07,1.82,1.82,1.82,1.82,1.176794,200.0
65,2016-04-08,1.82,1.82,1.82,1.82,1.176794,0.0
66,2016-04-11,1.82,1.82,1.82,1.82,1.176794,0.0
67,2016-04-12,1.82,1.82,1.82,1.82,1.176794,0.0
68,2016-04-13,1.82,1.82,1.82,1.82,1.176794,0.0
69,2016-04-14,2.0,2.0,2.0,2.0,1.293181,900.0
70,2016-04-15,2.0,2.0,2.0,2.0,1.293181,0.0
71,2016-04-18,2.0,2.0,2.0,2.0,1.293181,0.0
72,2016-04-19,2.0,2.0,2.0,2.0,1.293181,0.0
73,2016-04-20,1.98,1.98,1.97,1.97,1.273783,3300.0
74,2016-04-22,1.97,1.97,1.97,1.97,1.273783,0.0
75,2016-04-25,1.97,1.97,1.97,1.97,1.273783,0.0
76,2016-04-26,1.97,1.97,1.97,1.97,1.273783,0.0
77,2016-04-27,1.97,1.97,1.97,1.97,1.273783,0.0
78,2016-04-28,1.97,1.97,1.97,1.97,1.273783,0.0
79,2016-04-29,1.97,1.97,1.97,1.97,1.273783,0.0
80,2016-05-02,1.97,1.97,1.97,1.97,1.273783,0.0
81,2016-05-03,1.97,1.97,1.97,1.97,1.273783,0.0
82,2016-05-04,1.97,1.97,1.97,1.97,1.273783,0.0
83,2016-05-05,1.97,1.97,1.97,1.97,1.273783,0.0
84,2016-05-06,1.97,1.97,1.97,1.97,1.273783,0.0
85,2016-05-09,1.97,1.97,1.97,1.97,1.273783,0.0
86,2016-05-10,1.97,1.97,1.97,1.97,1.273783,0.0
87,2016-05-11,1.97,1.97,1.97,1.97,1.273783,0.0
88,2016-05-12,1.97,1.97,1.97,1.97,1.273783,0.0
89,2016-05-13,1.97,1.97,1.97,1.97,1.273783,0.0
90,2016-05-16,1.97,1.97,1.97,1.97,1.273783,0.0
91,2016-05-17,1.97,1.97,1.97,1.97,1.273783,0.0
92,2016-05-18,1.97,1.97,1.97,1.97,1.273783,0.0
93,2016-05-19,1.57,1.95,1.57,1.95,1.260851,200.0
94,2016-05-20,1.98,1.99,1.98,1.99,1.286715,23500.0
95,2016-05-23,1.99,1.99,1.99,1.99,1.286715,0.0
96,2016-05-24,1.68,1.68,1.68,1.68,1.086272,42300.0
97,2016-05-25,1.68,1.68,1.68,1.68,1.086272,0.0
98,2016-05-27,1.8,1.8,1.8,1.8,1.163863,49300.0
99,2016-05-30,1.8,1.8,1.8,1.8,1.163863,0.0
100,2016-05-31,1.8,1.8,1.8,1.8,1.163863,0.0
101,2016-06-01,1.8,1.8,1.8,1.8,1.163863,0.0
102,2016-06-02,1.8,1.8,1.8,1.8,1.163863,0.0
103,2016-06-03,1.8,1.8,1.8,1.8,1.163863,0.0
104,2016-06-06,1.64,1.65,1.64,1.65,1.066874,6800.0
105,2016-06-07,1.65,1.65,1.65,1.65,1.066874,0.0
106,2016-06-08,1.65,1.65,1.65,1.65,1.066874,0.0
107,2016-06-09,1.65,1.65,1.64,1.64,1.060408,4900.0
108,2016-06-10,1.64,1.64,1.64,1.64,1.060408,0.0
109,2016-06-13,1.64,1.64,1.64,1.64,1.060408,0.0
110,2016-06-14,1.58,1.58,1.55,1.55,1.002215,5100.0
111,2016-06-15,1.55,1.55,1.55,1.55,1.002215,0.0
112,2016-06-16,1.55,1.55,1.55,1.55,1.002215,0.0
113,2016-06-17,1.47,1.47,1.46,1.46,0.944022,6200.0
114,2016-06-20,1.46,1.46,1.46,1.46,0.944022,0.0
115,2016-06-21,1.46,1.46,1.46,1.46,0.944022,0.0
116,2016-06-22,1.5,1.5,1.5,1.5,0.969885,1000.0
117,2016-06-23,1.5,1.5,1.5,1.5,0.969885,0.0
118,2016-06-24,1.5,1.5,1.5,1.5,0.969885,0.0
119,2016-06-27,1.5,1.5,1.5,1.5,0.969885,2000.0
120,2016-06-28,1.5,1.5,1.5,1.5,0.969885,0.0
121,2016-06-29,1.5,1.5,1.5,1.5,0.969885,0.0
122,2016-06-30,1.5,1.5,1.5,1.5,0.969885,0.0
123,2016-07-01,1.5,1.5,1.5,1.5,0.969885,0.0
124,2016-07-04,1.5,1.5,1.5,1.5,0.969885,0.0
125,2016-07-05,1.5,1.5,1.5,1.5,0.969885,0.0
126,2016-07-06,1.5,1.5,1.5,1.5,0.969885,0.0
127,2016-07-07,1.5,1.5,1.5,1.5,0.969885,0.0
128,2016-07-08,1.5,1.5,1.5,1.5,0.969885,0.0
129,2016-07-11,1.5,1.5,1.5,1.5,0.969885,0.0
