,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-09-21,8.91,9.69,8.72,9.46,9.087273,17307900.0
1,2020-09-22,9.41,9.67,9.29,9.67,9.288999,2531900.0
2,2020-09-23,9.63,9.73,9.53,9.64,9.26018,2641500.0
3,2020-09-24,9.64,10.0,9.52,10.0,9.605996,1182700.0
4,2020-09-25,9.98,10.39,9.82,10.39,9.98063,863900.0
5,2020-09-28,10.39,10.7,9.91,10.29,9.88457,1667600.0
6,2020-09-29,10.75,10.97,10.15,10.22,9.817328,2452000.0
7,2020-09-30,10.4,10.8,10.11,10.8,10.374475,1756200.0
8,2020-10-01,10.69,11.1,10.56,11.1,10.662656,2213400.0
9,2020-10-02,10.91,11.2,10.6,10.68,10.259204,1126100.0
10,2020-10-05,10.8,10.9,10.4,10.9,10.470535,1528700.0
11,2020-10-06,10.9,11.19,10.72,11.1,10.662656,1082100.0
12,2020-10-07,11.1,11.1,10.81,10.95,10.518565,668900.0
13,2020-10-08,11.0,11.02,10.78,10.9,10.470535,743000.0
14,2020-10-09,11.04,11.35,10.92,10.96,10.528172,1189500.0
15,2020-10-13,10.96,11.1,10.75,10.75,10.326446,1092000.0
16,2020-10-14,10.8,10.95,10.61,10.72,10.297628,493300.0
17,2020-10-15,10.76,11.09,10.54,10.64,10.22078,1254100.0
18,2020-10-16,10.79,10.8,10.44,10.55,10.134326,1282200.0
19,2020-10-19,10.8,10.8,10.44,10.51,10.095902,339400.0
20,2020-10-20,10.51,10.7,10.51,10.66,10.239991,322600.0
21,2020-10-21,10.69,10.95,10.59,10.68,10.259204,745400.0
22,2020-10-22,10.8,10.85,10.43,10.6,10.182356,768900.0
23,2020-10-23,10.54,10.67,10.2,10.2,9.798116,1338000.0
24,2020-10-26,10.34,10.45,10.17,10.2,9.798116,442000.0
25,2020-10-27,10.31,10.35,9.97,10.33,9.922994,371000.0
26,2020-10-28,10.19,10.25,9.78,9.83,9.442694,742400.0
27,2020-10-29,9.77,10.4,9.72,10.4,9.990235,301000.0
28,2020-10-30,10.26,10.79,9.96,10.79,10.36487,811400.0
