,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,13.24,13.25,12.53,12.53,11.693579,348700.0
1,2016-01-05,12.75,12.89,12.52,12.52,11.684247,203200.0
2,2016-01-06,12.28,12.3,11.92,12.16,11.348278,629700.0
3,2016-01-07,12.09,12.35,11.96,12.11,11.301617,503300.0
4,2016-01-08,12.16,12.55,12.11,12.15,11.338944,306800.0
5,2016-01-11,12.06,12.37,12.06,12.36,11.534928,287800.0
6,2016-01-12,12.28,12.65,12.28,12.5,11.665584,115200.0
7,2016-01-13,12.69,12.69,12.21,12.29,11.4696,280500.0
8,2016-01-14,12.45,12.66,12.21,12.51,11.674915,492500.0
9,2016-01-15,12.31,12.42,12.08,12.22,11.404274,179000.0
10,2016-01-18,12.3,12.43,12.13,12.39,11.562924,138000.0
11,2016-01-19,12.49,12.6,12.27,12.42,11.590922,382800.0
12,2016-01-20,12.31,12.56,12.08,12.4,11.572257,375200.0
13,2016-01-21,12.4,12.6,12.15,12.55,11.712246,350500.0
14,2016-01-22,12.64,12.99,12.5,12.9,12.038881,299400.0
15,2016-01-26,12.9,12.9,12.11,12.31,11.488266,484300.0
16,2016-01-27,12.37,13.06,12.35,13.06,12.188201,363100.0
17,2016-01-28,13.06,13.37,12.81,12.81,11.954889,267300.0
18,2016-01-29,12.82,13.4,12.5,12.5,11.665584,459300.0
19,2016-02-01,12.6,12.75,11.97,12.5,11.665584,629400.0
20,2016-02-02,12.49,12.59,12.3,12.5,11.665584,296900.0
21,2016-02-03,12.51,12.55,12.17,12.2,11.385606,196500.0
22,2016-02-04,12.32,12.93,12.18,12.5,11.665584,273300.0
23,2016-02-05,12.6,12.61,12.02,12.02,11.217624,137200.0
24,2016-02-10,12.02,12.02,11.35,11.35,10.592348,213400.0
25,2016-02-11,11.21,11.21,10.72,10.8,10.079062,465700.0
26,2016-02-12,11.0,11.24,10.8,11.24,10.489692,660500.0
27,2016-02-15,11.26,11.5,11.08,11.08,10.340372,145100.0
28,2016-02-16,11.1,11.48,11.1,11.15,10.405699,177000.0
29,2016-02-17,11.18,11.3,11.01,11.09,10.349705,202100.0
30,2016-02-18,11.3,12.07,11.06,12.0,11.198959,1128300.0
31,2016-02-19,12.07,12.31,11.8,12.1,11.292284,388800.0
32,2016-02-22,12.29,12.8,11.93,12.05,11.245621,590000.0
33,2016-02-23,12.08,12.55,12.0,12.0,11.198959,676600.0
34,2016-02-24,11.95,12.09,11.54,12.0,11.198959,383800.0
35,2016-02-25,11.96,12.29,11.84,12.02,11.217624,249100.0
36,2016-02-26,12.06,12.96,12.06,12.85,11.992219,783600.0
37,2016-02-29,12.85,13.27,12.5,13.19,12.309523,548900.0
38,2016-03-01,13.29,13.87,13.18,13.45,12.552167,476500.0
39,2016-03-02,13.51,14.34,13.51,14.05,13.112115,568100.0
40,2016-03-03,14.22,14.79,14.15,14.27,13.31743,575200.0
41,2016-03-04,14.8,15.39,14.44,15.2,14.185349,496400.0
42,2016-03-07,15.11,15.26,14.82,15.04,14.036027,248900.0
43,2016-03-08,15.04,15.29,14.72,14.85,13.858712,329700.0
44,2016-03-09,15.12,15.44,14.96,15.1,14.092023,802400.0
45,2016-03-10,15.28,15.98,15.25,15.83,14.773293,723200.0
46,2016-03-11,15.8,16.549999,14.69,16.25,15.165257,646200.0
47,2016-03-14,16.370001,16.57,15.67,16.1,15.025271,348400.0
48,2016-03-15,15.75,15.83,14.86,14.96,13.961369,263300.0
49,2016-03-16,14.96,15.38,14.54,15.07,14.064026,183400.0
50,2016-03-17,16.0,16.110001,15.51,16.110001,15.034602,223900.0
51,2016-03-18,16.27,16.9,15.74,16.9,15.771867,238300.0
52,2016-03-21,16.9,17.0,16.309999,16.76,15.641211,153100.0
53,2016-03-22,16.76,16.790001,16.34,16.5,15.398568,216500.0
54,2016-03-23,16.34,16.4,15.57,16.200001,15.118594,375900.0
55,2016-03-24,16.25,16.34,15.81,15.95,14.885283,197500.0
56,2016-03-28,15.98,16.77,15.96,16.610001,15.501225,349900.0
57,2016-03-29,16.74,17.4,16.389999,17.15,16.005178,589800.0
58,2016-03-30,17.049999,17.120001,16.67,17.0,15.865191,589200.0
59,2016-03-31,16.709999,17.25,16.65,16.74,15.622548,662700.0
60,2016-04-01,16.700001,17.24,16.32,17.01,15.874525,460200.0
61,2016-04-04,17.040001,17.049999,16.73,17.0,15.865191,379600.0
62,2016-04-05,17.08,17.41,16.379999,17.299999,16.145168,281100.0
63,2016-04-06,17.17,17.4,17.08,17.25,16.098501,98900.0
64,2016-04-07,17.42,18.0,17.26,17.9,16.705114,788600.0
65,2016-04-08,18.16,18.85,18.15,18.549999,17.311724,1162300.0
66,2016-04-11,18.959999,19.450001,18.0,19.1,17.825008,628500.0
67,2016-04-12,19.33,19.530001,18.9,19.469999,18.170313,467700.0
68,2016-04-13,19.5,20.15,18.790001,18.940001,17.67569,656800.0
69,2016-04-14,19.200001,19.200001,18.129999,18.33,17.106409,542500.0
70,2016-04-15,18.469999,19.34,18.450001,18.889999,17.629026,530400.0
71,2016-04-18,19.290001,19.74,19.01,19.25,17.964998,762500.0
72,2016-04-19,19.48,19.9,19.309999,19.5,18.198307,412000.0
73,2016-04-20,19.629999,19.74,19.4,19.4,18.104982,261500.0
74,2016-04-22,19.4,19.67,19.049999,19.48,18.179644,153300.0
