,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-04-30,10.19,10.22,10.0,10.01,9.739739,6254200
1,2021-05-03,10.1,10.15,9.73,9.88,9.613249,6947800
2,2021-05-04,9.89,9.89,9.5,9.7,9.438108,11185100
3,2021-05-05,9.74,9.94,9.6,9.94,9.671628,4151800
4,2021-05-06,9.93,10.39,9.78,10.39,10.10948,8034200
5,2021-05-07,10.27,10.95,10.12,10.95,10.65436,8605000
6,2021-05-10,10.95,11.39,10.75,11.23,10.9268,9466400
7,2021-05-11,11.08,11.99,11.05,11.83,11.5106,11765200
8,2021-05-12,11.83,12.25,11.4,11.65,11.33546,12877700
9,2021-05-13,11.75,12.2,11.72,12.14,11.812231,8102600
10,2021-05-14,12.29,12.44,12.21,12.33,11.997101,5249200
11,2021-05-17,12.45,12.95,12.2,12.3,11.967911,5857800
12,2021-05-18,12.43,12.58,12.16,12.4,12.06521,4891400
13,2021-05-19,12.3,12.4,11.89,12.28,11.948451,5181300
14,2021-05-20,12.2,12.3,12.02,12.3,11.967911,4082200
15,2021-05-21,12.32,12.39,11.99,11.99,11.666281,2817700
16,2021-05-24,12.05,12.15,11.8,12.0,11.67601,3721400
17,2021-05-25,12.01,12.15,11.88,12.15,11.82196,3450400
18,2021-05-26,12.21,12.3,12.0,12.0,11.67601,2363000
19,2021-05-27,12.04,12.19,12.04,12.19,11.86088,1789300
20,2021-05-28,12.23,12.25,12.04,12.15,11.82196,1658800
21,2021-05-31,12.17,12.29,12.05,12.29,11.95818,2325600
22,2021-06-01,12.25,12.4,11.88,12.0,11.67601,3233700
23,2021-06-02,12.03,12.13,11.82,11.94,11.61763,3111800
24,2021-06-04,11.93,12.05,11.59,11.7,11.38411,3727100
25,2021-06-07,11.72,11.82,11.65,11.78,11.46195,1284400
26,2021-06-08,11.76,11.77,11.01,11.1,10.80031,4315100
27,2021-06-09,11.14,11.24,10.96,11.14,10.839231,1577700
28,2021-06-10,11.21,12.1,11.17,11.78,11.46195,7858200
29,2021-06-11,12.13,12.28,11.81,11.93,11.607901,6123700
30,2021-06-14,11.8,12.27,11.57,12.27,11.938722,9065900
31,2021-06-15,12.16,12.25,11.87,11.93,11.607901,5688200
32,2021-06-16,11.93,12.1,11.81,12.1,11.773311,4024100
33,2021-06-17,12.05,12.7,12.03,12.54,12.201431,11173200
34,2021-06-18,12.54,12.83,12.13,12.6,12.259811,4925700
35,2021-06-21,12.59,12.84,12.49,12.84,12.493332,4931300
36,2021-06-22,12.73,12.95,12.62,12.88,12.532251,3175500
37,2021-06-23,12.85,13.23,12.83,12.93,12.580902,3780500
38,2021-06-24,13.0,13.15,12.8,13.02,12.668472,4380300
39,2021-06-25,13.0,13.09,12.7,12.94,12.590631,3662900
40,2021-06-28,12.89,13.41,12.82,13.41,13.047942,6771400
41,2021-06-29,13.25,13.25,12.62,13.13,12.775501,10700000
42,2021-06-30,13.09,13.28,12.94,13.07,12.717121,5437200
43,2021-07-01,13.0,13.06,12.81,12.82,12.473871,2628700
44,2021-07-02,12.82,12.86,12.33,12.61,12.269541,3817000
45,2021-07-05,12.5,12.58,12.19,12.3,11.967911,3850700
46,2021-07-06,12.3,12.3,12.03,12.18,11.851151,3531200
47,2021-07-07,12.18,12.24,11.96,12.18,11.851151,3312000
48,2021-07-08,11.96,11.98,11.76,11.8,11.481411,2772600
49,2021-07-12,11.8,11.93,11.52,11.7,11.38411,4033600
50,2021-07-13,11.7,11.77,11.44,11.57,11.25762,4737900
51,2021-07-14,11.55,11.66,11.33,11.41,11.10194,3653200
