,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,7.4,7.46,7.15,7.28,5.369212,1277300.0
1,2016-01-05,7.25,7.61,7.25,7.61,5.612596,1560700.0
2,2016-01-06,7.55,7.55,7.27,7.32,5.398713,3183700.0
3,2016-01-07,7.27,7.39,7.06,7.36,5.428214,5752100.0
4,2016-01-08,7.3,7.51,7.25,7.5,5.531467,1059700.0
5,2016-01-11,7.5,7.52,7.35,7.49,5.524093,1463300.0
6,2016-01-12,7.45,7.6,7.34,7.54,5.560969,1932500.0
7,2016-01-13,7.51,7.74,7.49,7.59,5.597846,1490500.0
8,2016-01-14,7.54,7.63,7.39,7.45,5.494591,2466400.0
9,2016-01-15,7.39,7.44,7.12,7.25,5.347085,2358400.0
10,2016-01-18,7.17,7.24,6.98,7.13,5.258583,1618900.0
11,2016-01-19,7.2,7.38,7.18,7.3,5.383962,1246100.0
12,2016-01-20,7.18,7.3,7.05,7.22,5.324959,1046000.0
13,2016-01-21,7.17,7.46,7.14,7.3,5.383962,2429100.0
14,2016-01-22,7.34,7.6,7.16,7.21,5.317585,1621200.0
15,2016-01-26,7.16,7.2,6.95,6.95,5.125826,1884900.0
16,2016-01-27,6.9,7.22,6.86,7.21,5.317585,1504900.0
17,2016-01-28,7.16,7.2,6.94,7.05,5.19958,1819900.0
18,2016-01-29,7.06,7.18,6.93,7.15,5.273333,2957100.0
19,2016-02-01,7.2,7.34,7.11,7.3,5.383962,1247900.0
20,2016-02-02,7.28,7.36,7.1,7.35,5.420837,2160600.0
21,2016-02-03,7.4,7.53,7.25,7.35,5.420837,2109000.0
22,2016-02-04,7.4,7.7,7.38,7.6,5.605221,3053600.0
23,2016-02-05,7.55,7.93,7.55,7.91,5.833855,2573200.0
24,2016-02-10,7.8,7.95,7.75,7.94,5.855981,1691900.0
25,2016-02-11,7.88,7.93,7.69,7.77,5.7306,1640200.0
26,2016-02-12,7.83,7.87,7.67,7.8,5.752727,1156500.0
27,2016-02-15,7.84,8.01,7.83,7.9,5.826479,946700.0
28,2016-02-16,7.93,8.18,7.91,8.15,6.010861,2369200.0
29,2016-02-17,8.19,8.32,8.02,8.12,5.988735,1798100.0
30,2016-02-18,8.06,8.18,7.93,8.0,5.900232,1156800.0
31,2016-02-19,8.0,8.17,8.0,8.13,5.996111,1091500.0
32,2016-02-22,8.24,8.4,8.19,8.22,6.062489,1218800.0
33,2016-02-23,8.2,8.32,8.03,8.03,5.922358,1263300.0
34,2016-02-24,7.96,8.07,7.85,8.0,5.900232,1540800.0
35,2016-02-25,7.94,8.13,7.81,7.98,5.885481,1184100.0
36,2016-02-26,8.04,8.34,7.95,8.15,6.010861,1097500.0
37,2016-02-29,8.29,8.38,8.1,8.2,6.047739,3025700.0
38,2016-03-01,8.26,8.44,8.21,8.39,6.187869,2191200.0
39,2016-03-02,8.47,8.48,8.08,8.08,5.959235,4445900.0
40,2016-03-03,8.12,8.87,8.12,8.51,6.276372,6494700.0
41,2016-03-04,9.9,9.9,8.72,9.3,6.85902,10292900.0
42,2016-03-07,9.37,9.56,9.25,9.5,7.006526,4641300.0
43,2016-03-08,9.5,9.85,9.32,9.68,7.13928,5110800.0
44,2016-03-09,9.75,10.16,9.55,9.65,7.117155,6555400.0
45,2016-03-10,9.72,10.41,9.7,10.39,7.662928,5108000.0
46,2016-03-11,10.31,10.38,10.16,10.25,7.559672,3417200.0
47,2016-03-14,10.31,10.45,9.92,10.12,7.463794,2299500.0
48,2016-03-15,9.98,9.98,9.26,9.4,6.932772,5186800.0
49,2016-03-16,9.39,10.1,9.33,9.96,7.34579,3863000.0
50,2016-03-17,10.68,10.97,10.48,10.97,8.090694,7620900.0
51,2016-03-18,11.05,11.1,10.81,11.1,8.186572,8642000.0
52,2016-03-21,11.18,11.18,10.87,11.05,8.149695,2751700.0
53,2016-03-22,11.1,11.18,10.6,10.6,7.817808,3185100.0
54,2016-03-23,10.48,10.54,10.2,10.35,7.633427,3247500.0
55,2016-03-24,9.9,10.17,9.55,9.91,7.308912,5811000.0
56,2016-03-28,10.01,10.55,10.01,10.5,7.744055,4508900.0
57,2016-03-29,10.54,10.84,10.36,10.67,7.869434,4796200.0
58,2016-03-30,10.81,11.18,10.34,10.68,7.87681,4063600.0
59,2016-03-31,10.6,10.64,10.2,10.43,7.692428,4100.0
60,2016-04-01,10.4,10.55,10.19,10.45,7.707179,1300100.0
61,2016-04-04,10.34,10.65,10.08,10.21,7.530172,3900.0
62,2016-04-05,10.06,10.39,10.03,10.17,7.50067,5100.0
63,2016-04-06,10.02,10.24,9.85,9.85,7.26466,2600.0
64,2016-04-07,9.8,9.8,9.8,9.8,7.227784,5300.0
65,2016-04-08,10.15,10.5,10.04,10.31,7.603924,2864200.0
66,2016-04-11,10.46,10.46,10.07,10.07,7.426918,1469200.0
67,2016-04-12,10.19,10.52,10.12,10.43,7.692428,1300.0
68,2016-04-13,10.69,10.94,10.5,10.6,7.817808,9000.0
69,2016-04-14,10.71,10.83,10.2,10.2,7.522796,2159600.0
70,2016-04-15,10.36,10.7,10.21,10.62,7.832558,4908500.0
71,2016-04-18,10.71,10.88,10.47,10.6,7.817808,1408400.0
72,2016-04-19,10.67,11.12,10.67,10.98,8.098069,1700.0
73,2016-04-20,10.91,10.99,10.48,10.53,7.76618,2691500.0
74,2016-04-22,10.4,10.45,10.13,10.3,7.596549,3200400.0
75,2016-04-25,10.36,10.65,10.29,10.44,7.699803,876400.0
76,2016-04-26,10.6,10.6,10.4,10.47,7.721929,674300.0
77,2016-04-27,10.6,10.94,10.5,10.75,7.928437,2154400.0
78,2016-04-28,10.69,10.89,10.62,10.79,7.957938,1725800.0
79,2016-04-29,10.62,10.72,10.23,10.27,7.775605,1609800.0
80,2016-05-02,10.33,10.33,9.97,10.04,7.601469,1213300.0
81,2016-05-03,9.9,10.07,9.9,9.97,7.54847,1077000.0
82,2016-05-04,9.91,10.11,9.78,10.01,7.578755,1636000.0
83,2016-05-05,10.05,10.35,10.01,10.01,7.578755,1210800.0
84,2016-05-06,10.04,10.18,9.87,10.12,7.662038,615800.0
85,2016-05-09,10.04,10.11,9.87,9.97,7.54847,1988500.0
86,2016-05-10,10.06,10.48,10.06,10.3,7.79832,3881000.0
87,2016-05-11,10.44,10.81,10.25,10.8,8.176877,5335800.0
88,2016-05-12,10.89,11.19,10.74,11.16,8.449441,2559700.0
89,2016-05-13,11.2,11.4,10.91,11.25,8.517581,3091200.0
90,2016-05-16,11.39,11.4,10.97,11.12,8.419155,2285200.0
91,2016-05-17,11.13,11.21,10.78,10.83,8.199591,1402700.0
92,2016-05-18,10.81,10.86,10.47,10.59,8.017883,2957400.0
93,2016-05-19,10.45,10.61,10.2,10.35,7.836176,2139100.0
94,2016-05-20,10.34,10.51,9.96,10.01,7.578755,2337600.0
95,2016-05-23,9.81,10.04,9.74,9.9,7.495471,1761200.0
96,2016-05-24,9.9,10.15,9.83,9.84,7.450044,1519400.0
97,2016-05-25,9.85,10.08,9.62,9.69,7.336475,1331200.0
98,2016-05-27,9.6,9.81,9.5,9.66,7.313762,1701100.0
99,2016-05-30,9.78,9.78,9.5,9.63,7.291049,667500.0
100,2016-05-31,9.55,9.8,9.51,9.6,7.268336,2877900.0
101,2016-06-01,9.61,9.84,9.45,9.84,7.450044,1850400.0
102,2016-06-02,9.9,9.99,9.66,9.9,7.495471,2493800.0
103,2016-06-03,9.99,10.48,9.9,10.32,7.813461,2565300.0
104,2016-06-06,10.35,10.53,10.19,10.3,7.79832,1640400.0
105,2016-06-07,10.22,10.34,10.02,10.16,7.692322,1752700.0
106,2016-06-08,10.22,10.88,10.07,10.7,8.101166,3328500.0
107,2016-06-09,10.6,10.97,10.6,10.78,8.161736,1382500.0
108,2016-06-10,10.76,10.8,10.4,10.45,7.911886,1801100.0
109,2016-06-13,10.29,10.4,10.11,10.32,7.813461,1544100.0
110,2016-06-14,10.29,10.4,9.96,10.02,7.586325,1561400.0
111,2016-06-15,10.0,10.21,9.9,10.0,7.571183,2708100.0
112,2016-06-16,9.87,10.11,9.83,10.0,7.571183,2253500.0
113,2016-06-17,10.11,10.15,9.93,9.94,7.525756,1635500.0
114,2016-06-20,10.11,10.5,10.11,10.23,7.74532,1724300.0
115,2016-06-21,10.26,10.56,10.07,10.56,7.99517,2307900.0
116,2016-06-22,10.6,10.72,10.42,10.45,7.911886,2446000.0
117,2016-06-23,10.48,10.79,10.36,10.75,8.139023,2900100.0
118,2016-06-24,10.43,10.63,9.91,9.92,7.510614,6474200.0
119,2016-06-27,10.0,10.02,9.66,9.73,7.366761,1910300.0
120,2016-06-28,9.95,9.97,9.54,9.75,7.381905,3411100.0
121,2016-06-29,9.8,10.21,9.77,10.1,7.646897,2674300.0
122,2016-06-30,10.18,10.35,10.12,10.29,7.790749,2597500.0
123,2016-07-01,10.35,10.36,10.07,10.12,7.662038,2501500.0
124,2016-07-04,10.15,10.55,10.15,10.28,7.783175,1798900.0
125,2016-07-05,10.18,10.28,9.96,10.07,7.624182,2226200.0
126,2016-07-06,9.92,10.15,9.78,9.92,7.510614,2373000.0
127,2016-07-07,9.98,10.05,9.89,10.0,7.571183,990700.0
128,2016-07-08,10.1,10.3,10.06,10.1,7.646897,4484900.0
129,2016-07-11,10.19,10.32,10.15,10.18,7.707465,2010300.0
130,2016-07-12,10.32,10.36,10.0,10.05,7.609039,2235200.0
131,2016-07-13,10.0,10.17,9.95,9.96,7.540899,2302200.0
132,2016-07-14,10.1,10.32,10.08,10.29,7.790749,1463300.0
133,2016-07-15,10.21,10.44,10.21,10.39,7.86646,1794500.0
134,2016-07-18,10.4,10.78,10.36,10.76,8.146593,1970000.0
135,2016-07-19,10.8,11.04,10.76,10.93,8.275304,3609600.0
136,2016-07-20,10.84,10.98,10.74,10.89,8.245019,1637200.0
137,2016-07-21,10.9,11.16,10.78,10.96,8.298018,2336100.0
138,2016-07-22,11.04,11.06,10.67,10.85,8.214734,3327200.0
139,2016-07-25,10.88,11.05,10.72,10.85,8.214734,3614000.0
140,2016-07-26,10.85,11.03,10.7,10.81,8.184448,2261500.0
141,2016-07-27,10.8,10.89,10.62,10.79,8.169307,3616300.0
142,2016-07-28,10.71,11.0,10.71,10.93,8.275304,2165500.0
143,2016-07-29,10.98,11.27,10.93,11.21,8.487296,2201400.0
144,2016-08-01,11.2,11.38,11.16,11.24,8.510011,1316000.0
145,2016-08-02,11.23,11.3,10.9,11.06,8.37373,1263600.0
146,2016-08-03,10.94,11.26,10.82,11.17,8.457011,1910800.0
147,2016-08-04,11.13,11.62,11.07,11.5,8.706861,3047300.0
148,2016-08-05,11.5,11.77,11.38,11.55,8.744718,4253700.0
149,2016-08-08,11.48,11.55,11.07,11.33,8.578152,1929100.0
150,2016-08-09,11.39,11.46,11.01,11.08,8.38887,1950700.0
151,2016-08-10,10.79,10.91,10.5,10.65,8.063311,4557000.0
152,2016-08-11,10.58,10.67,10.3,10.62,8.040596,3732600.0
153,2016-08-12,10.67,10.73,10.21,10.31,7.80589,3307200.0
154,2016-08-15,10.3,10.33,10.0,10.05,7.609039,5127200.0
155,2016-08-16,10.03,10.12,9.94,10.03,7.593896,1998600.0
156,2016-08-17,9.98,10.12,9.92,10.05,7.609039,1474900.0
157,2016-08-18,10.19,10.25,10.05,10.16,7.692322,4009400.0
158,2016-08-19,10.16,10.36,10.02,10.36,7.843746,3262000.0
159,2016-08-22,10.4,10.43,10.11,10.21,7.730179,3596700.0
160,2016-08-23,10.24,10.4,10.05,10.1,7.646897,4804200.0
