,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-07-22,24.030001,24.809999,23.91,24.75,24.75,781900
1,2021-07-23,24.75,24.75,23.780001,24.0,24.0,810800
2,2021-07-26,24.360001,24.68,23.01,23.299999,23.299999,729300
3,2021-07-27,23.309999,23.43,21.1,22.0,22.0,2025200
4,2021-07-28,22.290001,22.799999,22.1,22.1,22.1,424300
5,2021-07-29,22.1,24.299999,22.0,23.129999,23.129999,478700
6,2021-07-30,22.799999,24.209999,22.5,23.49,23.49,355800
7,2021-08-02,23.950001,24.0,22.85,23.190001,23.190001,379300
8,2021-08-03,22.9,23.09,22.6,22.799999,22.799999,251300
9,2021-08-04,22.799999,23.5,22.4,23.0,23.0,358100
10,2021-08-05,22.719999,23.190001,22.700001,22.700001,22.700001,132000
11,2021-08-06,22.709999,23.0,22.700001,23.0,23.0,75900
12,2021-08-09,23.0,23.190001,22.85,22.85,22.85,130000
13,2021-08-10,22.799999,23.129999,22.799999,22.83,22.83,37300
14,2021-08-11,22.709999,24.290001,22.709999,23.0,23.0,232300
15,2021-08-12,22.969999,23.5,22.5,23.0,23.0,196400
16,2021-08-13,23.110001,23.6,22.58,22.9,22.9,146200
17,2021-08-16,22.629999,23.6,22.059999,23.059999,23.059999,306100
18,2021-08-17,22.4,22.41,21.299999,21.700001,21.700001,2094200
19,2021-08-18,21.9,22.5,21.1,22.440001,22.440001,699200
20,2021-08-19,22.200001,22.780001,22.0,22.299999,22.299999,1776100
21,2021-08-20,22.299999,23.49,21.9,23.16,23.16,99700
22,2021-08-23,23.469999,23.540001,22.860001,23.540001,23.540001,130000
23,2021-08-24,23.290001,24.139999,23.290001,24.139999,24.139999,113900
24,2021-08-25,23.85,24.389999,23.799999,24.389999,24.389999,117400
25,2021-08-26,24.1,24.299999,23.68,24.200001,24.200001,350900
26,2021-08-27,23.870001,24.299999,23.719999,23.91,23.91,238600
27,2021-08-30,23.780001,24.530001,23.530001,24.4,24.4,98000
28,2021-08-31,24.360001,24.4,22.879999,24.0,24.0,165800
29,2021-09-01,24.049999,24.049999,23.66,23.9,23.9,81100
30,2021-09-02,23.530001,23.530001,22.42,23.459999,23.459999,212800
31,2021-09-03,23.299999,23.299999,22.139999,23.299999,23.299999,391200
32,2021-09-06,22.940001,23.5,22.549999,23.389999,23.389999,250600
33,2021-09-08,22.98,23.32,21.809999,22.190001,22.190001,337600
34,2021-09-09,22.0,22.0,21.200001,21.5,21.5,281500
35,2021-09-10,21.73,22.15,20.969999,21.0,21.0,346700
36,2021-09-13,20.92,21.0,20.4,21.0,21.0,188200
37,2021-09-14,20.73,21.77,20.65,21.389999,21.389999,282100
38,2021-09-15,21.129999,21.709999,20.870001,21.4,21.4,139000
39,2021-09-16,21.389999,21.4,20.700001,21.0,21.0,264600
40,2021-09-17,20.709999,20.709999,19.870001,20.43,20.43,594700
41,2021-09-20,20.040001,20.040001,18.84,19.34,19.34,539300
42,2021-09-21,19.450001,20.99,19.450001,19.700001,19.700001,175000
43,2021-09-22,19.969999,20.59,19.639999,20.59,20.59,265400
44,2021-09-23,20.959999,21.200001,20.09,21.200001,21.200001,223200
45,2021-09-24,20.85,21.84,20.540001,21.540001,21.540001,794800
46,2021-09-27,21.25,23.4,21.25,23.290001,23.290001,1537100
47,2021-09-28,23.200001,23.209999,22.290001,22.65,22.65,287700
48,2021-09-29,22.870001,23.25,21.950001,23.25,23.25,396700
49,2021-09-30,23.24,24.43,22.690001,24.389999,24.389999,707600
50,2021-10-01,25.5,26.92,24.85,26.450001,26.450001,1698400
51,2021-10-04,26.09,26.77,25.25,25.25,25.25,336800
52,2021-10-05,25.25,25.74,24.5,24.73,24.73,335300
53,2021-10-06,24.040001,25.07,24.01,24.530001,24.530001,270400
54,2021-10-07,24.530001,25.27,24.120001,24.700001,24.700001,335800
55,2021-10-08,24.65,25.1,24.07,24.07,24.07,220200
56,2021-10-11,23.809999,24.219999,23.059999,23.59,23.59,262900
57,2021-10-13,23.879999,23.99,22.450001,23.99,23.99,617700
58,2021-10-14,24.049999,24.15,23.120001,23.120001,23.120001,208100
59,2021-10-15,23.549999,23.549999,22.639999,22.9,22.9,195100
60,2021-10-18,22.85,23.120001,22.57,22.6,22.6,249700
61,2021-10-19,22.559999,22.559999,21.120001,21.98,21.98,287000
62,2021-10-20,21.799999,21.98,20.969999,21.52,21.52,405800
63,2021-10-21,21.940001,21.99,20.129999,20.25,20.25,363800
64,2021-10-22,20.17,20.42,17.860001,19.58,19.58,486200
