,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,3.5,3.52,3.32,3.42,2.458707,143800.0
1,2016-01-05,3.41,3.41,3.3,3.4,2.444328,172800.0
2,2016-01-06,3.38,3.38,3.19,3.22,2.314923,332900.0
3,2016-01-07,3.15,3.15,3.08,3.09,2.221463,3162600.0
4,2016-01-08,3.16,3.26,3.1,3.26,2.343679,87600.0
5,2016-01-11,3.26,3.39,3.17,3.39,2.437139,130100.0
6,2016-01-12,3.39,3.44,3.31,3.4,2.444328,139500.0
7,2016-01-13,3.42,3.42,3.35,3.37,2.42276,95700.0
8,2016-01-14,3.42,3.42,3.3,3.31,2.379626,120200.0
9,2016-01-15,3.31,3.42,3.19,3.25,2.33649,379900.0
10,2016-01-18,3.29,3.29,3.15,3.17,2.278977,108300.0
11,2016-01-19,3.2,3.31,3.16,3.27,2.350869,185700.0
12,2016-01-20,3.15,3.22,3.13,3.13,2.25022,176900.0
13,2016-01-21,3.14,3.23,3.11,3.11,2.235841,190800.0
14,2016-01-22,3.15,3.33,3.15,3.33,2.394004,262200.0
15,2016-01-26,3.28,3.32,3.22,3.32,2.386815,150100.0
16,2016-01-27,3.35,3.38,3.26,3.29,2.365247,255300.0
17,2016-01-28,3.26,3.34,3.23,3.23,2.322112,146700.0
18,2016-01-29,3.25,3.42,3.24,3.3,2.372436,347700.0
19,2016-02-01,3.37,3.39,3.2,3.24,2.329301,274500.0
20,2016-02-02,3.25,3.26,3.09,3.15,2.264598,385400.0
21,2016-02-03,3.22,3.42,3.21,3.42,2.458707,221000.0
22,2016-02-04,3.43,3.68,3.43,3.6,2.588112,382700.0
23,2016-02-05,3.66,3.71,3.5,3.64,2.616869,119900.0
24,2016-02-10,3.64,3.65,3.48,3.65,2.624058,226800.0
25,2016-02-11,3.59,3.59,3.5,3.55,2.552166,61500.0
26,2016-02-12,3.56,3.7,3.55,3.55,2.552166,130600.0
27,2016-02-15,3.61,3.66,3.52,3.61,2.595301,97700.0
28,2016-02-16,3.6,3.82,3.6,3.82,2.746275,255500.0
29,2016-02-17,3.81,3.93,3.8,3.88,2.78941,724700.0
30,2016-02-18,3.85,3.9,3.8,3.9,2.803788,98400.0
31,2016-02-19,3.9,3.94,3.87,3.93,2.825356,73500.0
32,2016-02-22,3.95,4.13,3.94,4.1,2.947572,277000.0
33,2016-02-23,4.14,4.24,4.12,4.16,2.990707,371200.0
34,2016-02-24,4.1,4.32,3.98,4.32,3.105735,494300.0
35,2016-02-25,4.33,4.49,4.27,4.49,3.227951,986200.0
36,2016-02-26,4.54,4.73,4.45,4.7,3.378924,1454300.0
37,2016-02-29,4.75,4.75,4.55,4.75,3.414871,556200.0
38,2016-03-01,4.76,4.78,4.6,4.77,3.429249,349800.0
39,2016-03-02,4.73,4.88,4.64,4.83,3.472384,441200.0
40,2016-03-03,4.89,5.01,4.76,5.01,3.601789,732200.0
41,2016-03-04,5.01,5.33,5.01,5.32,3.824655,697600.0
42,2016-03-07,5.25,5.33,5.24,5.25,3.774331,134000.0
43,2016-03-08,5.26,5.28,5.11,5.25,3.774331,203300.0
44,2016-03-09,5.25,5.35,5.19,5.35,3.846223,240600.0
45,2016-03-10,5.35,5.43,5.25,5.3,3.810277,170000.0
46,2016-03-11,5.42,5.67,5.3,5.65,4.061898,655700.0
47,2016-03-14,5.7,5.78,5.4,5.4,3.882168,864000.0
48,2016-03-15,5.28,5.46,5.16,5.42,3.896547,363800.0
49,2016-03-16,5.4,5.46,5.3,5.35,3.846223,465500.0
50,2016-03-17,5.8,5.89,5.28,5.85,4.205682,918800.0
51,2016-03-18,5.84,6.19,5.73,6.19,4.450115,631100.0
52,2016-03-21,6.22,6.37,6.07,6.17,4.435737,451100.0
53,2016-03-22,6.15,6.45,6.12,6.27,4.507629,306300.0
54,2016-03-23,6.3,6.3,6.13,6.15,4.421359,163400.0
55,2016-03-24,6.04,6.05,5.75,5.89,4.234439,485800.0
56,2016-03-28,6.04,6.09,5.81,5.83,4.191304,287300.0
57,2016-03-29,5.77,5.94,5.64,5.88,4.22725,377000.0
58,2016-03-30,5.9,6.1,5.7,5.7,4.097844,264300.0
59,2016-03-31,5.78,6.0,5.55,6.0,4.31352,1058200.0
60,2016-04-01,5.87,6.27,5.81,6.27,4.507629,477000.0
61,2016-04-04,6.25,6.25,5.82,6.08,4.371034,464700.0
62,2016-04-05,6.09,6.16,5.85,5.85,4.205682,565300.0
63,2016-04-06,5.77,5.86,5.6,5.68,4.083466,613800.0
64,2016-04-07,5.73,5.77,5.55,5.55,3.990006,381300.0
65,2016-04-08,5.61,5.75,5.55,5.55,3.990006,378400.0
66,2016-04-11,5.64,5.94,5.64,5.89,4.234439,474100.0
67,2016-04-12,6.0,6.23,5.78,6.04,4.342277,592800.0
68,2016-04-13,6.05,6.4,6.05,6.13,4.406981,420600.0
69,2016-04-14,6.18,6.26,5.95,5.98,4.299142,166800.0
70,2016-04-15,5.95,6.18,5.94,5.94,4.270385,168300.0
71,2016-04-18,5.99,6.05,5.87,5.94,4.270385,287900.0
72,2016-04-19,6.02,6.22,5.96,6.13,4.406981,321600.0
73,2016-04-20,6.13,6.14,5.92,5.99,4.306331,255100.0
74,2016-04-22,5.95,5.96,5.71,5.8,4.169737,291600.0
75,2016-04-25,5.83,5.98,5.77,5.85,4.205682,666300.0
76,2016-04-26,5.86,6.0,5.81,6.0,4.31352,484200.0
77,2016-04-27,6.0,6.25,6.0,6.19,4.450115,657800.0
78,2016-04-28,6.16,6.23,6.02,6.1,4.385413,344700.0
79,2016-04-29,6.09,6.22,6.03,6.15,4.421359,165900.0
80,2016-05-02,6.22,6.23,6.07,6.1,4.385413,141900.0
81,2016-05-03,6.1,6.1,5.79,5.92,4.256007,516300.0
82,2016-05-04,5.83,6.0,5.81,6.0,4.31352,334200.0
83,2016-05-05,6.1,6.1,5.81,5.89,4.234439,386800.0
84,2016-05-06,5.77,5.97,5.76,5.76,4.14098,340100.0
85,2016-05-09,5.75,5.89,5.63,5.84,4.198493,1709700.0
86,2016-05-10,5.92,6.14,5.92,6.14,4.414169,1235100.0
87,2016-05-11,6.15,6.58,6.15,6.49,4.665791,932300.0
88,2016-05-12,6.61,6.74,6.27,6.46,4.644224,740800.0
89,2016-05-13,6.55,6.55,6.33,6.49,4.665791,412700.0
90,2016-05-16,6.5,6.64,6.4,6.51,4.68017,526100.0
91,2016-05-17,6.51,6.52,6.18,6.3,4.529197,494800.0
92,2016-05-18,6.3,6.32,5.81,5.85,4.205682,789000.0
93,2016-05-19,5.78,5.83,5.67,5.74,4.126602,609000.0
94,2016-05-20,5.7,5.9,5.39,5.77,4.148169,1278300.0
95,2016-05-23,5.76,5.76,5.3,5.35,3.846223,725500.0
96,2016-05-24,5.33,5.6,5.33,5.58,4.011574,733200.0
97,2016-05-25,5.59,5.66,5.34,5.4,3.882168,733300.0
98,2016-05-27,5.4,5.49,5.32,5.45,3.918114,1186100.0
99,2016-05-30,5.41,5.49,5.33,5.4,3.882168,350500.0
100,2016-05-31,5.39,5.55,5.21,5.3,3.810277,575100.0
101,2016-06-01,5.31,5.38,5.23,5.28,3.795898,332600.0
102,2016-06-02,5.28,5.49,5.25,5.38,3.86779,745200.0
103,2016-06-03,5.41,5.51,5.23,5.38,3.86779,734800.0
104,2016-06-06,5.38,5.43,5.18,5.25,3.774331,425000.0
105,2016-06-07,5.22,5.27,5.05,5.08,3.652114,679500.0
106,2016-06-08,5.09,5.19,5.08,5.15,3.702439,875700.0
107,2016-06-09,5.16,5.34,5.1,5.18,3.724006,1120400.0
108,2016-06-10,5.11,5.19,5.01,5.11,3.673681,281800.0
109,2016-06-13,5.1,5.17,4.96,5.11,3.673681,528500.0
110,2016-06-14,5.06,5.24,4.95,4.95,3.558654,557500.0
111,2016-06-15,5.02,5.13,4.86,5.01,3.601789,364400.0
112,2016-06-16,5.01,5.3,5.0,5.26,3.78152,1204000.0
113,2016-06-17,5.26,5.48,5.24,5.44,3.910925,1030100.0
114,2016-06-20,5.56,5.62,5.46,5.48,3.939682,371800.0
