,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-08-10,16.700001,16.75,15.2,15.58,15.58,4983900.0
1,2020-08-11,15.51,15.68,14.35,14.6,14.6,1908000.0
2,2020-08-12,14.7,14.99,13.31,13.35,13.35,2357000.0
3,2020-08-13,13.35,13.52,12.25,12.25,12.25,2032000.0
4,2020-08-14,12.86,13.23,12.75,12.75,12.75,1140500.0
5,2020-08-17,12.9,13.37,12.15,12.74,12.74,706800.0
6,2020-08-18,12.74,12.98,12.65,12.78,12.78,426400.0
7,2020-08-19,12.79,12.83,12.3,12.3,12.3,407800.0
8,2020-08-20,12.3,12.3,11.8,11.8,11.8,737200.0
9,2020-08-21,11.8,12.34,11.7,12.28,12.28,861500.0
10,2020-08-24,12.56,12.94,12.56,12.94,12.94,203600.0
11,2020-08-25,12.94,13.4,12.59,12.59,12.59,520600.0
12,2020-08-26,12.8,13.12,11.81,12.0,12.0,494600.0
13,2020-08-27,12.31,12.31,11.84,11.94,11.94,364200.0
14,2020-08-28,11.94,12.3,11.94,12.12,12.12,177400.0
15,2020-08-31,12.15,12.46,11.95,12.1,12.1,197000.0
16,2020-09-01,12.1,12.26,12.05,12.18,12.18,213500.0
17,2020-09-02,12.25,12.45,11.85,11.87,11.87,202300.0
18,2020-09-03,11.91,12.12,11.87,11.97,11.97,126800.0
19,2020-09-04,12.01,12.02,11.82,11.88,11.88,122800.0
20,2020-09-08,11.85,12.0,11.8,11.98,11.98,163200.0
21,2020-09-09,11.91,12.0,11.79,11.87,11.87,147600.0
22,2020-09-10,11.97,11.97,11.05,11.83,11.83,247500.0
23,2020-09-11,11.78,11.8,11.26,11.3,11.3,450400.0
24,2020-09-14,11.3,11.51,11.16,11.3,11.3,559900.0
25,2020-09-15,11.5,11.56,11.12,11.12,11.12,192600.0
26,2020-09-16,11.16,11.26,10.73,10.78,10.78,429400.0
27,2020-09-17,10.79,10.89,10.37,10.65,10.65,290300.0
28,2020-09-18,10.54,10.89,9.95,10.0,10.0,598200.0
29,2020-09-21,10.38,12.02,10.1,11.5,11.5,1775800.0
30,2020-09-22,12.03,13.23,12.03,13.1,13.1,3185100.0
31,2020-09-23,13.35,14.49,13.3,14.18,14.18,3940700.0
32,2020-09-24,14.18,14.18,12.9,12.94,12.94,1854400.0
