,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-05-31,13.56,15.0,13.2,13.2,13.2,2096500
1,2021-06-01,13.41,13.75,13.05,13.18,13.18,599000
2,2021-06-02,13.2,13.32,13.04,13.32,13.32,319700
3,2021-06-04,13.36,13.57,13.1,13.14,13.14,182900
4,2021-06-07,13.16,13.26,13.1,13.15,13.15,53100
5,2021-06-08,13.15,13.5,13.05,13.1,13.1,113500
6,2021-06-09,13.1,13.15,12.66,12.82,12.82,70200
7,2021-06-10,12.82,12.85,12.65,12.83,12.83,53800
8,2021-06-11,12.75,12.85,12.66,12.75,12.75,46400
9,2021-06-14,12.75,12.79,12.62,12.75,12.75,43800
10,2021-06-15,12.75,12.96,12.73,12.91,12.91,40200
11,2021-06-16,12.97,13.11,12.95,13.04,13.04,63100
12,2021-06-17,13.04,13.15,12.67,13.12,13.12,50700
13,2021-06-18,13.01,13.19,13.0,13.15,13.15,35000
14,2021-06-21,13.19,13.4,13.15,13.2,13.2,81800
15,2021-06-22,13.2,13.6,12.67,13.6,13.6,112900
16,2021-06-23,13.6,13.6,13.3,13.5,13.5,64400
17,2021-06-24,13.58,13.58,13.23,13.26,13.26,20800
18,2021-06-25,13.24,13.8,13.21,13.8,13.8,90200
19,2021-06-28,13.73,13.78,13.38,13.6,13.6,82200
20,2021-06-29,13.61,13.77,13.45,13.77,13.77,23700
21,2021-06-30,13.78,14.12,13.58,13.92,13.92,106600
22,2021-07-01,14.3,14.3,13.79,14.16,14.16,53800
23,2021-07-02,14.14,14.19,13.86,14.0,14.0,31000
24,2021-07-05,14.11,14.23,13.95,13.95,13.95,49800
25,2021-07-06,13.95,14.0,13.51,13.95,13.95,41900
26,2021-07-07,14.19,14.19,13.75,14.0,14.0,19900
27,2021-07-08,13.61,13.96,13.6,13.81,13.81,15700
28,2021-07-12,14.3,16.0,14.0,16.0,16.0,314900
29,2021-07-13,17.700001,18.450001,16.799999,17.15,17.15,621900
30,2021-07-14,17.299999,18.379999,16.639999,16.690001,16.690001,417400
31,2021-07-15,16.5,17.790001,16.5,16.5,16.5,289100
32,2021-07-16,16.889999,17.07,16.030001,16.4,16.4,103100
33,2021-07-19,16.17,16.700001,15.56,16.690001,16.690001,89300
34,2021-07-20,16.639999,17.5,16.639999,17.0,17.0,120700
35,2021-07-21,17.1,17.25,16.07,16.959999,16.959999,92000
36,2021-07-22,16.76,17.09,16.549999,16.780001,16.780001,53000
37,2021-07-23,16.99,17.01,16.389999,16.5,16.5,44100
38,2021-07-26,16.219999,16.290001,15.66,16.0,16.0,65900
39,2021-07-27,15.8,15.8,14.61,15.55,15.55,147200
40,2021-07-28,15.56,15.74,14.45,14.45,14.45,67100
41,2021-07-29,14.64,15.55,12.93,12.93,12.93,1441800
42,2021-07-30,13.03,13.09,12.27,12.48,12.48,187800
43,2021-08-02,12.48,12.88,12.31,12.59,12.59,74600
44,2021-08-03,12.74,12.78,12.08,12.69,12.69,81100
45,2021-08-04,12.8,12.81,12.17,12.17,12.17,55700
