,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-02-18,17.5,17.5,17.5,17.5,17.5,0
1,2021-02-19,17.5,17.5,17.5,17.5,17.5,0
2,2021-02-22,17.5,17.5,17.5,17.5,17.5,0
3,2021-02-23,17.5,17.5,17.5,17.5,17.5,0
4,2021-02-24,17.5,17.5,17.5,17.5,17.5,0
5,2021-02-25,17.5,17.5,17.5,17.5,17.5,0
6,2021-02-26,17.5,17.5,17.5,17.5,17.5,0
7,2021-03-01,17.5,17.5,17.5,17.5,17.5,0
8,2021-03-02,17.5,17.5,17.5,17.5,17.5,0
9,2021-03-03,17.5,17.5,17.5,17.5,17.5,0
10,2021-03-04,17.5,17.5,17.5,17.5,17.5,0
11,2021-03-05,17.5,17.5,17.5,17.5,17.5,0
12,2021-03-08,17.5,17.5,17.5,17.5,17.5,0
13,2021-03-09,17.5,17.5,17.5,17.5,17.5,0
14,2021-03-10,17.5,17.5,17.5,17.5,17.5,0
15,2021-03-11,17.5,17.5,17.5,17.5,17.5,0
16,2021-03-12,17.5,17.5,17.5,17.5,17.5,0
17,2021-03-15,17.5,17.5,17.5,17.5,17.5,0
18,2021-03-16,17.5,17.5,17.5,17.5,17.5,0
19,2021-03-17,17.5,17.5,17.5,17.5,17.5,0
20,2021-03-18,17.5,17.5,17.5,17.5,17.5,0
21,2021-03-19,17.5,17.5,17.5,17.5,17.5,0
22,2021-03-22,17.5,17.5,17.5,17.5,17.5,0
23,2021-03-23,17.5,17.5,17.5,17.5,17.5,0
24,2021-03-24,17.5,17.5,17.5,17.5,17.5,0
25,2021-03-25,17.5,17.5,17.5,17.5,17.5,0
26,2021-03-26,17.5,17.5,17.5,17.5,17.5,0
27,2021-03-29,17.5,17.5,17.5,17.5,17.5,0
28,2021-03-30,17.5,17.5,17.5,17.5,17.5,0
29,2021-03-31,17.5,17.5,17.5,17.5,17.5,0
30,2021-04-01,16.049999,16.4,15.95,16.35,16.35,31400
31,2021-04-05,16.450001,16.51,15.94,16.5,16.5,141000
32,2021-04-06,16.209999,16.959999,16.209999,16.959999,16.959999,146200
33,2021-04-07,16.879999,17.6,16.66,17.1,17.1,327600
34,2021-04-08,17.629999,17.629999,16.9,17.040001,17.040001,233100
35,2021-04-09,17.040001,17.48,16.84,17.049999,17.049999,74400
36,2021-04-12,17.0,17.280001,16.870001,17.129999,17.129999,105000
37,2021-04-13,17.059999,17.6,16.93,17.4,17.4,637400
38,2021-04-14,17.360001,17.6,17.1,17.35,17.35,94700
39,2021-04-15,17.530001,17.700001,17.1,17.690001,17.690001,104900
40,2021-04-16,17.66,17.98,17.33,17.709999,17.709999,202000
41,2021-04-19,17.530001,17.879999,17.469999,17.77,17.77,93700
42,2021-04-20,17.700001,18.299999,17.559999,18.15,18.15,310800
43,2021-04-22,18.07,19.049999,18.07,18.950001,18.950001,230000
44,2021-04-23,18.9,19.1,18.700001,19.1,19.1,192400
45,2021-04-26,19.190001,19.629999,18.85,19.6,19.6,135700
46,2021-04-27,19.700001,19.85,19.33,19.75,19.75,366500
47,2021-04-28,19.75,20.959999,19.280001,20.75,20.75,223300
48,2021-04-29,20.75,21.370001,20.09,20.450001,20.450001,269200
49,2021-04-30,20.43,21.200001,19.58,20.9,20.9,336900
50,2021-05-03,21.049999,21.049999,20.02,20.299999,20.299999,147900
51,2021-05-04,20.190001,20.93,20.040001,20.68,20.68,144800
52,2021-05-05,20.940001,21.139999,19.65,20.0,20.0,309300
53,2021-05-06,19.93,20.0,19.26,20.0,20.0,146700
54,2021-05-07,20.219999,20.65,20.110001,20.5,20.5,107300
55,2021-05-10,20.26,21.0,20.110001,20.85,20.85,259700
56,2021-05-11,20.610001,21.0,20.51,20.98,20.98,90000
57,2021-05-12,20.66,20.969999,18.799999,19.1,19.1,466800
58,2021-05-13,19.24,19.700001,18.459999,19.200001,19.200001,228500
59,2021-05-14,19.1,19.33,18.209999,18.969999,18.969999,327700
60,2021-05-17,18.85,19.27,18.15,19.0,19.0,278100
61,2021-05-18,18.65,19.450001,18.360001,18.469999,18.469999,164500
62,2021-05-19,18.34,18.66,17.549999,17.57,17.57,157500
63,2021-05-20,17.6,18.24,16.719999,16.9,16.9,308700
64,2021-05-21,16.950001,17.030001,16.33,17.0,17.0,122400
