,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,8.3,8.32,8.0,8.0,7.772115,338900.0
1,2016-01-05,8.07,8.35,8.0,8.24,8.005279,658100.0
2,2016-01-06,8.17,8.18,7.85,7.95,7.723539,516900.0
3,2016-01-07,7.81,7.89,7.46,7.68,7.46123,623000.0
4,2016-01-08,7.72,7.77,7.3,7.38,7.169776,552300.0
5,2016-01-11,7.44,7.57,7.32,7.47,7.257212,310100.0
6,2016-01-12,7.57,7.58,7.07,7.19,6.985188,428600.0
7,2016-01-13,7.19,7.29,7.12,7.22,7.014334,477900.0
8,2016-01-14,7.23,7.27,6.81,7.1,6.897752,590600.0
9,2016-01-15,7.07,7.11,6.8,6.9,6.703449,456900.0
10,2016-01-19,6.85,6.99,6.73,6.9,6.703449,256800.0
11,2016-01-20,6.76,6.94,6.6,6.73,6.538292,511800.0
12,2016-01-21,6.77,6.86,6.58,6.59,6.40228,506900.0
13,2016-01-22,6.62,6.71,6.62,6.65,6.460571,205500.0
14,2016-01-25,6.65,6.65,6.65,6.65,6.460571,0.0
15,2016-01-26,6.65,7.19,6.2,7.08,6.878322,642600.0
16,2016-01-27,7.0,7.34,6.91,7.2,6.994904,507400.0
17,2016-01-28,7.24,7.51,7.06,7.4,7.189207,467500.0
18,2016-01-29,7.52,7.94,7.42,7.88,7.655534,537800.0
19,2016-02-01,7.8,8.56,7.76,8.45,8.209296,938000.0
20,2016-02-02,8.34,8.34,7.66,7.7,7.480661,384300.0
21,2016-02-03,7.79,7.93,7.4,7.9,7.674964,519600.0
22,2016-02-04,7.97,8.29,7.81,7.95,7.723539,589300.0
23,2016-02-05,7.95,8.04,7.85,7.85,7.626388,357800.0
24,2016-02-08,7.85,7.85,7.85,7.85,7.626388,0.0
25,2016-02-09,7.85,7.85,7.85,7.85,7.626388,0.0
26,2016-02-10,7.7,7.95,7.66,7.87,7.645818,2222700.0
27,2016-02-11,7.7,7.87,7.24,7.35,7.140631,434700.0
28,2016-02-12,7.45,7.78,7.15,7.75,7.529237,905000.0
29,2016-02-16,7.77,7.98,7.77,7.95,7.723539,252900.0
30,2016-02-17,8.06,10.18,8.02,9.06,8.801921,2971000.0
31,2016-02-18,9.15,9.49,8.71,8.88,8.627048,1449900.0
32,2016-02-19,9.0,9.0,8.25,8.38,8.141291,693100.0
33,2016-02-22,8.54,8.78,8.07,8.07,7.840121,993200.0
34,2016-02-23,7.99,8.19,7.83,8.17,7.937273,963500.0
35,2016-02-24,8.06,8.06,7.5,7.65,7.432086,839200.0
36,2016-02-25,7.63,7.63,7.34,7.45,7.237782,589800.0
37,2016-02-26,7.47,7.55,7.3,7.31,7.10177,312100.0
38,2016-02-29,7.35,7.4,7.2,7.25,7.043479,453400.0
39,2016-03-01,7.41,7.73,7.41,7.55,7.334934,619800.0
40,2016-03-02,7.56,7.65,7.32,7.42,7.208637,873700.0
41,2016-03-03,7.46,7.95,7.45,7.91,7.684679,1047300.0
42,2016-03-04,8.12,8.43,7.54,7.73,7.509806,1250900.0
43,2016-03-07,7.8,8.1,7.7,8.07,7.840121,624600.0
44,2016-03-08,8.12,8.49,8.12,8.35,8.112145,1114100.0
45,2016-03-09,8.52,8.76,8.26,8.65,8.403599,1552700.0
46,2016-03-10,8.76,9.08,8.49,8.96,8.704769,1699200.0
47,2016-03-11,9.0,9.0,8.7,8.87,8.617332,760200.0
48,2016-03-14,8.96,8.96,8.35,8.45,8.209296,617100.0
49,2016-03-15,8.29,8.3,7.73,7.8,7.577813,952200.0
50,2016-03-16,7.73,8.27,7.56,8.25,8.014994,686000.0
51,2016-03-17,8.65,8.81,8.2,8.6,8.355024,650200.0
52,2016-03-18,8.57,8.84,8.4,8.65,8.403599,913000.0
53,2016-03-21,8.7,8.93,8.35,8.46,8.219012,701900.0
54,2016-03-22,8.39,8.56,8.3,8.4,8.160721,799600.0
55,2016-03-23,8.31,8.45,8.24,8.31,8.073285,314200.0
56,2016-03-24,8.26,8.3,8.12,8.2,7.966418,549700.0
57,2016-03-28,8.3,8.51,8.11,8.3,8.06357,583500.0
58,2016-03-29,8.37,8.59,8.24,8.3,8.06357,744800.0
59,2016-03-30,8.34,8.54,8.25,8.36,8.121861,1510800.0
60,2016-03-31,8.28,8.39,7.95,8.06,7.830407,2800.0
61,2016-04-01,7.9,8.23,7.9,8.19,7.956703,500.0
62,2016-04-04,8.17,8.17,7.83,7.86,7.636103,7400.0
63,2016-04-05,7.82,8.03,7.7,7.88,7.655534,1900.0
64,2016-04-06,7.87,7.93,7.63,7.66,7.4418,100.0
65,2016-04-07,7.74,7.77,7.59,7.62,7.40294,200.0
66,2016-04-08,7.78,8.02,7.7,8.02,7.791546,1052800.0
67,2016-04-11,8.1,8.59,8.1,8.44,8.199581,4100.0
68,2016-04-12,8.52,8.73,8.23,8.7,8.452175,8900.0
69,2016-04-13,8.79,9.37,8.78,9.31,9.0448,11600.0
70,2016-04-14,9.36,9.59,8.8,8.94,8.685338,1293400.0
71,2016-04-15,9.03,9.44,9.0,9.35,9.08366,748700.0
72,2016-04-18,9.53,9.73,9.05,9.2,8.937932,826100.0
73,2016-04-19,9.28,9.73,9.26,9.45,9.180811,1100.0
74,2016-04-20,9.45,9.52,9.2,9.4,9.132235,929900.0
75,2016-04-21,9.4,9.4,9.4,9.4,9.132235,0.0
76,2016-04-22,9.35,9.46,8.97,9.09,8.831066,360200.0
77,2016-04-25,9.1,9.3,9.07,9.1,8.840781,924800.0
78,2016-04-26,9.24,9.24,9.01,9.07,8.811635,513900.0
79,2016-04-27,9.11,9.22,9.03,9.19,8.928217,777500.0
80,2016-04-28,9.25,9.45,9.09,9.16,8.899072,1140700.0
81,2016-04-29,9.0,9.13,8.56,8.58,8.58,1094600.0
82,2016-05-02,8.72,8.72,8.29,8.39,8.39,806200.0
83,2016-05-03,8.29,8.31,7.83,8.2,8.2,929200.0
84,2016-05-04,8.15,8.28,8.0,8.09,8.09,740800.0
85,2016-05-05,8.17,8.18,7.91,8.0,8.0,426200.0
86,2016-05-06,7.96,8.11,7.9,7.98,7.98,356000.0
87,2016-05-09,7.97,7.99,7.43,7.77,7.77,830500.0
88,2016-05-10,7.88,8.03,7.78,7.89,7.89,687300.0
89,2016-05-11,8.02,8.25,7.98,8.16,8.16,2074900.0
90,2016-05-12,8.29,8.55,8.2,8.4,8.4,1596700.0
91,2016-05-13,8.49,8.5,8.02,8.11,8.11,599000.0
92,2016-05-16,8.1,8.14,7.59,7.73,7.73,1117900.0
93,2016-05-17,7.7,7.82,7.32,7.32,7.32,1674900.0
94,2016-05-18,7.36,7.57,7.14,7.24,7.24,1117100.0
95,2016-05-19,7.28,7.33,7.06,7.12,7.12,1041800.0
96,2016-05-20,7.2,7.27,6.91,6.91,6.91,1211400.0
97,2016-05-23,6.88,6.92,6.65,6.79,6.79,823200.0
98,2016-05-24,6.82,6.98,6.71,6.72,6.72,815200.0
99,2016-05-25,6.78,6.96,6.7,6.79,6.79,1099400.0
100,2016-05-26,6.79,6.79,6.79,6.79,6.79,0.0
101,2016-05-27,6.8,7.12,6.8,6.95,6.95,700800.0
102,2016-05-31,7.16,7.16,6.77,6.82,6.82,1406400.0
103,2016-06-01,6.81,6.97,6.68,6.72,6.72,896500.0
104,2016-06-02,6.75,6.9,6.74,6.82,6.82,531700.0
105,2016-06-03,6.95,7.03,6.76,6.83,6.83,767500.0
106,2016-06-06,6.83,7.03,6.77,6.99,6.99,925200.0
107,2016-06-07,7.03,7.23,6.93,7.2,7.2,1401300.0
108,2016-06-08,7.22,7.55,7.22,7.47,7.47,705000.0
109,2016-06-09,7.46,7.6,7.25,7.45,7.45,585700.0
110,2016-06-10,7.34,7.34,7.05,7.15,7.15,497400.0
111,2016-06-13,7.04,7.18,6.92,7.01,7.01,549700.0
112,2016-06-14,7.01,7.06,6.78,6.84,6.84,475300.0
113,2016-06-15,6.94,6.94,6.58,6.63,6.63,980800.0
114,2016-06-16,6.69,6.82,6.59,6.63,6.63,735900.0
115,2016-06-17,6.63,6.78,6.63,6.64,6.64,472700.0
116,2016-06-20,6.7,6.87,6.67,6.71,6.71,624400.0
117,2016-06-21,6.68,7.31,6.56,7.31,7.31,1017800.0
118,2016-06-22,7.85,8.03,7.58,7.96,7.96,5186900.0
119,2016-06-23,8.0,8.28,7.93,8.28,8.28,1901200.0
120,2016-06-24,7.8,8.27,7.7,8.1,8.1,1877400.0
121,2016-06-27,8.05,8.23,7.96,8.07,8.07,826400.0
122,2016-06-28,8.2,8.51,8.03,8.32,8.32,1775500.0
123,2016-06-29,8.36,8.53,8.36,8.45,8.45,1198800.0
124,2016-06-30,8.41,8.51,8.29,8.45,8.45,837100.0
125,2016-07-01,8.57,8.61,8.36,8.46,8.46,876500.0
126,2016-07-05,9.2,9.89,9.15,9.73,9.73,1580100.0
127,2016-07-06,9.65,9.85,9.46,9.61,9.61,1728900.0
128,2016-07-07,9.73,9.76,9.18,9.28,9.28,1365900.0
129,2016-07-08,9.31,9.7,9.3,9.63,9.63,1137400.0
130,2016-07-11,9.63,10.58,9.63,10.41,10.41,1999100.0
131,2016-07-12,10.6,11.29,10.54,11.17,11.17,2257300.0
132,2016-07-13,11.15,11.92,11.0,11.28,11.28,2591500.0
133,2016-07-14,11.5,11.95,11.36,11.89,11.89,1794200.0
134,2016-07-15,12.0,12.49,11.66,12.11,12.11,1460900.0
135,2016-07-18,12.05,12.86,11.94,12.74,12.74,1382000.0
136,2016-07-19,12.7,13.15,12.58,13.02,13.02,1405400.0
137,2016-07-20,13.05,13.78,12.97,13.58,13.58,1605000.0
138,2016-07-21,13.6,14.43,13.48,14.3,14.3,999600.0
139,2016-07-22,14.4,14.4,14.05,14.19,14.19,887700.0
140,2016-07-25,14.05,14.17,13.08,13.17,13.17,2845800.0
141,2016-07-26,13.21,13.25,12.12,12.4,12.4,2663900.0
142,2016-07-27,12.35,12.89,12.02,12.19,12.19,2025100.0
143,2016-07-28,12.24,12.6,12.04,12.53,12.53,874600.0
144,2016-07-29,12.55,12.81,12.42,12.57,12.57,817000.0
145,2016-08-01,12.64,12.94,12.16,12.21,12.21,698600.0
146,2016-08-02,12.2,12.2,11.62,11.71,11.71,882700.0
147,2016-08-03,11.7,12.46,11.42,12.3,12.3,1353600.0
148,2016-08-04,12.39,13.8,12.39,13.0,13.0,1350000.0
149,2016-08-05,12.87,13.3,11.84,12.5,12.5,1783600.0
150,2016-08-08,12.5,12.5,11.91,11.95,11.95,735600.0
151,2016-08-09,12.01,12.15,11.84,11.98,11.98,686400.0
152,2016-08-10,11.97,12.15,11.61,11.64,11.64,927700.0
153,2016-08-11,11.64,11.98,11.44,11.98,11.98,1156600.0
154,2016-08-12,12.0,12.32,11.76,11.82,11.82,642000.0
155,2016-08-15,11.81,12.28,11.81,11.94,11.94,999000.0
156,2016-08-16,12.0,12.12,11.7,11.89,11.89,792100.0
157,2016-08-17,11.8,12.02,11.64,11.7,11.7,578800.0
158,2016-08-18,11.72,11.81,11.56,11.57,11.57,615100.0
159,2016-08-19,11.57,11.99,11.5,11.91,11.91,600600.0
160,2016-08-22,12.0,12.01,11.59,11.64,11.64,734000.0
161,2016-08-23,11.61,12.26,11.61,11.7,11.7,811000.0
162,2016-08-24,11.75,11.9,11.51,11.59,11.59,951800.0
163,2016-08-25,11.6,11.6,11.18,11.24,11.24,1585000.0
164,2016-08-26,11.35,12.24,11.29,11.95,11.95,2834600.0
165,2016-08-29,11.76,12.5,11.76,12.3,12.3,1109000.0
166,2016-08-30,12.35,12.5,12.01,12.26,12.26,833900.0
167,2016-08-31,12.36,12.41,11.94,12.3,12.3,1113300.0
168,2016-09-01,12.35,12.5,12.22,12.45,12.45,814800.0
169,2016-09-02,12.52,13.1,12.52,12.8,12.8,1836100.0
170,2016-09-06,12.83,12.95,12.55,12.75,12.75,558900.0
171,2016-09-07,12.75,12.75,12.75,12.75,12.75,0.0
172,2016-09-08,12.75,12.93,12.64,12.68,12.68,327100.0
173,2016-09-09,12.54,12.55,12.11,12.21,12.21,813900.0
174,2016-09-12,12.26,12.26,11.8,12.1,12.1,706700.0
175,2016-09-13,11.98,11.98,11.28,11.28,11.28,1119700.0
176,2016-09-14,11.28,11.37,10.93,10.97,10.97,1465700.0
177,2016-09-15,10.98,11.43,10.9,11.3,11.3,816600.0
178,2016-09-16,11.22,11.3,11.02,11.2,11.2,872900.0
179,2016-09-19,11.2,11.86,11.19,11.6,11.6,1406600.0
180,2016-09-20,11.5,11.51,11.13,11.41,11.41,605400.0
181,2016-09-21,11.35,11.44,10.83,11.0,11.0,1189100.0
182,2016-09-22,11.0,11.22,10.86,11.06,11.06,733000.0
183,2016-09-23,10.99,11.02,10.69,10.82,10.82,806200.0
184,2016-09-26,10.79,10.87,10.6,10.8,10.8,638000.0
185,2016-09-27,10.74,10.78,10.4,10.63,10.63,803500.0
186,2016-09-28,10.63,11.05,10.48,10.94,10.94,800600.0
187,2016-09-29,10.98,11.22,10.48,10.48,10.48,1259900.0
188,2016-09-30,10.5,10.74,10.28,10.61,10.61,786500.0
189,2016-10-03,10.7,10.79,10.5,10.7,10.7,545000.0
190,2016-10-04,10.64,10.74,10.25,10.39,10.39,845000.0
191,2016-10-05,10.32,10.57,10.32,10.46,10.46,679800.0
192,2016-10-06,10.41,10.48,10.29,10.33,10.33,759000.0
193,2016-10-07,10.3,10.81,10.3,10.79,10.79,931800.0
194,2016-10-10,10.77,11.18,10.77,10.87,10.87,738000.0
195,2016-10-11,10.88,10.88,10.44,10.55,10.55,738700.0
196,2016-10-12,10.55,10.55,10.55,10.55,10.55,0.0
197,2016-10-13,10.5,10.53,10.3,10.4,10.4,1275100.0
198,2016-10-14,10.34,10.72,10.34,10.56,10.56,812200.0
199,2016-10-17,10.43,10.71,10.43,10.65,10.65,788300.0
200,2016-10-18,10.59,10.95,10.59,10.79,10.79,873300.0
201,2016-10-19,10.8,11.01,10.51,10.58,10.58,807900.0
202,2016-10-20,10.64,10.73,10.41,10.62,10.62,886700.0
203,2016-10-21,10.54,10.7,10.5,10.63,10.63,578200.0
204,2016-10-24,10.7,10.93,10.7,10.82,10.82,780000.0
205,2016-10-25,10.89,10.9,10.61,10.77,10.77,825500.0
206,2016-10-26,10.72,10.78,10.51,10.55,10.55,919500.0
207,2016-10-27,10.57,10.7,10.51,10.51,10.51,819700.0
208,2016-10-28,10.51,10.72,10.35,10.42,10.42,702900.0
209,2016-10-31,10.46,10.53,10.17,10.35,10.35,1364300.0
210,2016-11-01,10.46,10.5,9.74,9.78,9.78,1691700.0
211,2016-11-02,9.78,9.78,9.78,9.78,9.78,0.0
212,2016-11-03,9.74,9.84,9.34,9.34,9.34,1765600.0
213,2016-11-04,9.34,9.75,9.16,9.51,9.51,1423500.0
214,2016-11-07,9.63,10.12,9.61,10.08,10.08,1009600.0
215,2016-11-08,10.03,10.29,9.91,9.95,9.95,689400.0
216,2016-11-09,9.44,9.84,9.28,9.66,9.66,988200.0
217,2016-11-10,9.66,9.81,8.98,9.01,9.01,1961600.0
218,2016-11-11,9.05,9.13,8.22,8.22,8.22,1676100.0
219,2016-11-14,8.17,8.57,7.95,8.02,8.02,1387500.0
220,2016-11-15,8.02,8.02,8.02,8.02,8.02,0.0
221,2016-11-16,8.18,8.39,7.98,7.99,7.99,1310500.0
222,2016-11-17,8.05,8.19,8.01,8.08,8.08,961500.0
223,2016-11-18,8.78,9.56,8.46,9.56,9.56,2399400.0
224,2016-11-21,9.6,9.8,8.65,8.8,8.8,2899600.0
225,2016-11-22,8.94,9.08,8.5,8.65,8.65,1562400.0
226,2016-11-23,8.66,8.78,8.32,8.75,8.75,997800.0
227,2016-11-25,8.63,8.71,8.4,8.58,8.58,965500.0
228,2016-11-28,8.49,8.67,8.46,8.6,8.6,619200.0
229,2016-11-29,8.61,8.74,8.52,8.59,8.59,634800.0
230,2016-11-30,8.64,8.77,8.55,8.76,8.76,1004400.0
231,2016-12-01,8.73,8.73,8.31,8.44,8.44,1463200.0
232,2016-12-02,8.43,8.46,8.2,8.41,8.41,746400.0
233,2016-12-05,8.35,8.59,8.22,8.25,8.25,1132800.0
234,2016-12-06,8.24,8.28,8.01,8.23,8.23,652500.0
235,2016-12-07,8.22,8.54,8.22,8.45,8.45,908200.0
236,2016-12-08,8.46,8.64,8.29,8.38,8.38,422900.0
237,2016-12-09,8.33,8.9,8.33,8.81,8.81,934500.0
238,2016-12-12,8.79,8.79,8.21,8.21,8.21,909200.0
239,2016-12-13,8.23,8.55,8.21,8.5,8.5,1313800.0
240,2016-12-14,8.58,8.68,8.34,8.5,8.5,1004600.0
241,2016-12-15,8.55,8.75,8.41,8.6,8.6,572100.0
242,2016-12-16,8.6,8.79,8.42,8.48,8.48,443800.0
243,2016-12-19,8.5,8.7,8.41,8.43,8.43,736800.0
244,2016-12-20,8.46,8.57,8.27,8.47,8.47,656600.0
245,2016-12-21,8.59,8.59,8.59,8.59,8.59,283200.0
246,2016-12-22,8.58,8.97,8.58,8.92,8.92,804200.0
247,2016-12-23,9.07,9.26,8.84,9.26,9.26,1097000.0
248,2016-12-27,9.69,10.01,9.51,10.01,10.01,1102100.0
249,2016-12-28,9.95,10.77,9.95,10.77,10.77,1070500.0
250,2016-12-29,10.75,11.32,10.56,11.29,11.29,2645900.0
251,2016-12-30,,,,,,
252,2017-01-03,10.9,10.93,10.49,10.78,10.78,2455800.0
253,2017-01-04,10.75,10.91,10.67,10.73,10.73,1005600.0
254,2017-01-05,10.74,10.92,10.55,10.68,10.68,787800.0
255,2017-01-06,10.67,10.9,10.65,10.89,10.89,1253700.0
256,2017-01-09,10.9,11.09,10.79,11.0,11.0,988000.0
257,2017-01-10,10.95,11.54,10.65,11.53,11.53,2726000.0
258,2017-01-11,11.5,11.7,11.21,11.46,11.46,3558300.0
259,2017-01-12,11.53,12.3,11.53,12.03,12.03,3273000.0
260,2017-01-13,12.0,12.17,11.77,11.95,11.95,808100.0
261,2017-01-17,11.95,12.43,11.95,12.35,12.35,992900.0
262,2017-01-18,12.25,12.55,12.2,12.31,12.31,1582000.0
263,2017-01-19,12.31,12.36,12.0,12.18,12.18,942800.0
264,2017-01-20,12.16,12.27,12.01,12.15,12.15,661400.0
265,2017-01-23,12.11,12.3,11.88,12.3,12.3,1496000.0
266,2017-01-24,12.1,12.29,12.06,12.24,12.24,2116400.0
267,2017-01-25,,,,,,
268,2017-01-26,12.24,12.6,11.99,12.45,12.45,2101500.0
269,2017-01-27,12.47,12.48,11.98,12.15,12.15,1740600.0
270,2017-01-30,12.23,12.23,11.61,11.72,11.72,1502900.0
271,2017-01-31,11.81,11.82,11.62,11.79,11.79,882300.0
272,2017-02-01,11.79,11.94,11.67,11.8,11.8,1315800.0
273,2017-02-02,11.8,11.94,11.66,11.79,11.79,1233800.0
274,2017-02-03,11.79,12.0,11.7,11.85,11.85,1013100.0
275,2017-02-06,11.85,11.88,11.66,11.77,11.77,1031500.0
276,2017-02-07,11.77,11.91,11.75,11.88,11.88,1068900.0
277,2017-02-08,11.89,12.28,11.88,12.28,12.28,1174200.0
278,2017-02-09,12.26,12.42,12.15,12.42,12.42,1280200.0
279,2017-02-10,12.41,12.47,12.32,12.33,12.33,1177000.0
280,2017-02-13,12.4,12.44,12.22,12.37,12.37,847700.0
281,2017-02-14,12.3,12.4,11.95,12.16,12.16,5969600.0
282,2017-02-15,12.16,12.43,12.16,12.41,12.41,1597900.0
283,2017-02-16,12.41,12.49,12.13,12.45,12.45,1766200.0
284,2017-02-17,12.52,12.75,12.33,12.4,12.4,1680300.0
285,2017-02-21,12.36,12.47,12.28,12.41,12.41,1262000.0
286,2017-02-22,12.4,12.45,12.23,12.4,12.4,1000200.0
287,2017-02-23,12.4,12.45,12.02,12.16,12.16,1714900.0
288,2017-02-24,12.3,12.78,12.25,12.53,12.53,3229800.0
289,2017-02-27,,,,,,
290,2017-02-28,,,,,,
