,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,5.8,5.82,5.57,5.57,3.168314,494400.0
1,2016-01-05,5.55,5.66,5.45,5.59,3.17969,765700.0
2,2016-01-06,5.54,5.6,5.37,5.46,3.105743,1210300.0
3,2016-01-07,5.44,5.44,5.3,5.37,3.05455,387800.0
4,2016-01-08,5.34,5.48,5.3,5.42,3.082991,664800.0
5,2016-01-11,5.38,5.54,4.85,4.86,2.764453,1254100.0
6,2016-01-12,4.8,4.88,4.58,4.78,2.718948,1029500.0
7,2016-01-13,4.78,5.08,4.71,4.91,2.792894,1164300.0
8,2016-01-14,4.97,5.12,4.81,4.87,2.770141,306600.0
9,2016-01-15,4.83,4.88,4.52,4.53,2.576744,1181700.0
10,2016-01-18,4.51,4.75,4.33,4.69,2.667754,1542900.0
11,2016-01-19,4.74,4.94,4.26,4.39,2.497109,1426900.0
12,2016-01-20,4.38,4.45,4.12,4.21,2.394722,960900.0
13,2016-01-21,4.21,4.37,4.03,4.2,2.389033,1801500.0
14,2016-01-22,4.25,4.53,4.23,4.35,2.474356,1603900.0
15,2016-01-26,4.29,4.29,3.92,4.1,2.332152,1387300.0
16,2016-01-27,4.03,4.14,3.97,4.09,2.326463,1806600.0
17,2016-01-28,4.07,4.27,3.96,4.1,2.332152,2314400.0
18,2016-01-29,4.15,4.23,3.98,4.17,2.371969,1555000.0
19,2016-02-01,4.2,4.33,4.12,4.26,2.423163,959600.0
20,2016-02-02,4.23,4.34,4.0,4.1,2.332152,1289300.0
21,2016-02-03,4.1,4.1,3.95,4.05,2.303711,709300.0
22,2016-02-04,4.05,4.18,3.96,4.17,2.371969,1342800.0
23,2016-02-05,4.2,4.25,4.0,4.02,2.286646,386300.0
24,2016-02-10,3.98,4.08,3.87,4.07,2.315087,1238400.0
25,2016-02-11,3.98,4.04,3.53,3.62,2.059119,2725000.0
26,2016-02-12,3.71,3.9,3.62,3.82,2.172883,2497000.0
27,2016-02-15,3.82,3.94,3.62,3.79,2.155818,615200.0
28,2016-02-16,3.8,3.84,3.65,3.65,2.076184,965400.0
29,2016-02-17,3.65,4.07,3.63,4.02,2.286646,1190200.0
30,2016-02-18,4.09,4.25,3.88,3.9,2.218388,989000.0
31,2016-02-19,3.95,4.09,3.81,4.08,2.320775,1390400.0
32,2016-02-22,4.11,4.34,4.03,4.24,2.411786,1844800.0
33,2016-02-23,4.23,4.48,4.06,4.18,2.377657,984900.0
34,2016-02-24,4.15,4.15,3.79,3.94,2.241141,1265500.0
35,2016-02-25,3.95,4.11,3.85,4.1,2.332152,778600.0
36,2016-02-26,4.07,4.23,3.97,4.13,2.349216,1279800.0
37,2016-02-29,4.16,4.23,4.02,4.19,2.383345,1465800.0
38,2016-03-01,4.22,4.32,4.12,4.32,2.457292,918000.0
39,2016-03-02,4.27,4.37,4.15,4.37,2.485733,1177000.0
40,2016-03-03,4.63,4.63,4.63,4.63,2.633625,1071100.0
41,2016-03-04,4.63,4.99,4.63,4.81,2.736012,1276900.0
42,2016-03-07,4.84,4.91,4.68,4.83,2.747388,466700.0
43,2016-03-08,4.8,4.91,4.52,4.6,2.61656,901200.0
44,2016-03-09,4.65,4.91,4.49,4.85,2.758765,1122400.0
45,2016-03-10,4.88,4.97,4.45,4.61,2.622249,1108600.0
46,2016-03-11,4.62,4.75,4.53,4.59,2.610872,1161200.0
47,2016-03-14,4.62,4.75,4.47,4.61,2.622249,1255800.0
48,2016-03-15,4.54,4.54,4.03,4.15,2.360593,1805800.0
49,2016-03-16,4.1,4.41,4.01,4.29,2.440227,574400.0
50,2016-03-17,4.51,4.56,4.39,4.45,2.531238,484400.0
51,2016-03-18,4.47,4.64,4.34,4.4,2.502797,1613700.0
