,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,11.684109,11.832009,11.102368,11.112228,8.168422,1622311.0
1,2016-01-05,11.191108,11.802429,11.122088,11.693969,8.59605,1668761.0
2,2016-01-06,11.575648,11.999629,11.477048,11.772849,8.654033,1692087.0
3,2016-01-07,11.693969,11.772849,11.013628,11.043208,8.117685,1603649.0
4,2016-01-08,11.112228,11.516488,11.003768,11.437608,8.407602,1955373.0
5,2016-01-11,11.516488,11.654528,11.358728,11.477048,8.436593,1418964.0
6,2016-01-12,11.585508,11.861589,11.319288,11.417888,8.393106,1656996.0
7,2016-01-13,11.575648,11.624948,11.023488,11.043208,8.117685,1939552.0
8,2016-01-14,10.924888,11.339008,10.905168,11.102368,8.161172,1296550.0
9,2016-01-15,10.954468,11.319288,10.954468,11.112228,8.168422,2934987.0
10,2016-01-18,11.141808,11.279848,10.895308,11.102368,8.161172,1166834.0
11,2016-01-19,11.191108,11.230548,10.658668,10.875588,7.994471,2581133.0
12,2016-01-20,10.796708,10.984048,10.569928,10.737548,7.893,1507605.0
13,2016-01-21,10.776988,10.875588,10.392448,10.392448,7.639323,2423223.0
14,2016-01-22,10.441748,10.954468,10.293847,10.747408,7.900248,2866022.0
15,2016-01-26,10.678388,10.737548,10.461468,10.619228,7.806025,2110140.0
16,2016-01-27,10.776988,11.210828,10.648808,11.062928,8.132182,1472209.0
17,2016-01-28,11.131948,11.260128,10.776988,11.102368,8.161172,1011662.0
18,2016-01-29,11.191108,11.960189,11.151668,11.950329,8.784495,3052228.0
19,2016-02-01,12.719409,12.719409,11.871449,11.979909,8.80624,2054460.0
20,2016-02-02,11.782709,11.901029,11.644668,11.743269,8.632288,1487219.0
21,2016-02-03,11.910889,12.117949,11.654528,11.920749,8.762751,1754461.0
22,2016-02-04,12.117949,12.374309,11.930609,12.019349,8.835232,1238132.0
23,2016-02-05,12.009489,12.502489,12.009489,12.216549,8.980188,1052433.0
24,2016-02-10,12.216549,12.265849,11.822149,12.078509,8.878718,2550910.0
25,2016-02-11,11.979909,12.009489,11.644668,11.930609,8.77,1908112.0
