,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-11-09,9.83,9.83,9.25,9.76,9.76,16280100.0
1,2020-11-10,9.85,9.85,9.5,9.59,9.59,4717400.0
2,2020-11-11,9.62,9.69,9.45,9.5,9.5,1240900.0
3,2020-11-12,9.52,9.54,9.21,9.29,9.29,1084500.0
4,2020-11-13,9.31,9.31,9.01,9.14,9.14,1432900.0
5,2020-11-16,9.14,9.19,8.73,8.85,8.85,1468800.0
6,2020-11-17,8.84,8.98,8.33,8.85,8.85,3347800.0
7,2020-11-18,8.85,8.85,8.35,8.45,8.45,2941600.0
8,2020-11-19,8.46,8.51,8.25,8.35,8.35,2163300.0
9,2020-11-23,8.05,8.14,7.83,7.89,7.89,659400.0
10,2020-11-24,7.9,8.0,7.7,8.0,8.0,1831800.0
11,2020-11-25,8.09,8.57,7.95,8.5,8.5,3457000.0
12,2020-11-26,8.65,9.25,8.65,9.15,9.15,1716200.0
13,2020-11-27,9.34,9.34,8.89,9.27,9.27,992200.0
14,2020-11-30,9.38,9.39,8.98,9.15,9.15,2725700.0
15,2020-12-01,9.32,9.38,8.75,8.87,8.87,817600.0
16,2020-12-02,8.91,9.06,8.91,8.94,8.94,494700.0
17,2020-12-03,9.1,9.28,8.88,9.15,9.15,639700.0
18,2020-12-04,9.24,9.62,9.17,9.52,9.52,460000.0
19,2020-12-07,9.53,9.84,9.52,9.78,9.78,1020700.0
20,2020-12-08,9.84,10.36,9.74,10.2,10.2,786300.0
21,2020-12-09,10.18,10.3,9.93,10.01,10.01,384100.0
22,2020-12-10,9.96,10.24,9.74,9.83,9.83,579100.0
23,2020-12-11,9.7,10.4,9.7,10.1,10.1,589300.0
24,2020-12-14,10.1,10.92,10.1,10.31,10.31,569900.0
25,2020-12-15,10.31,11.21,10.11,10.9,10.9,628100.0
26,2020-12-16,11.0,11.72,10.99,11.25,11.25,1920100.0
27,2020-12-17,11.47,12.45,11.2,11.2,11.2,4193600.0
28,2020-12-18,11.2,12.1,11.19,11.99,11.99,1093900.0
29,2020-12-21,11.51,12.25,11.34,11.99,11.99,981400.0
30,2020-12-22,12.05,12.39,11.69,12.0,12.0,806300.0
31,2020-12-23,12.22,12.45,11.93,12.22,12.22,583200.0
32,2020-12-28,12.3,12.69,12.29,12.29,12.29,1042300.0
33,2020-12-29,12.44,12.54,12.04,12.5,12.5,579500.0
34,2020-12-30,12.49,12.89,12.43,12.75,12.75,1166900.0
35,2021-01-04,12.9,13.09,12.69,12.7,12.7,1341300.0
36,2021-01-05,12.7,13.0,12.34,12.75,12.75,406700.0
37,2021-01-06,12.7,13.0,12.22,12.58,12.58,3611300.0
38,2021-01-07,12.68,12.74,11.71,11.71,11.71,737700.0
39,2021-01-08,12.16,12.5,11.9,12.47,12.47,1667600.0
40,2021-01-11,12.36,12.62,11.9,12.0,12.0,525300.0
41,2021-01-12,12.19,13.59,11.94,13.4,13.4,2753400.0
