,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,6.778,6.83,6.566,6.6,5.874738,10535000.0
1,2016-01-05,6.586,6.92,6.584,6.92,6.159574,7528500.0
2,2016-01-06,6.81,7.048,6.81,6.96,6.195178,6268000.0
3,2016-01-07,6.872,6.97,6.696,6.768,6.024276,8761000.0
4,2016-01-08,6.84,6.942,6.792,6.86,6.106166,6250500.0
5,2016-01-11,6.84,6.984,6.84,6.848,6.095485,8186000.0
6,2016-01-12,6.836,7.004,6.808,6.896,6.138211,9920500.0
7,2016-01-13,6.93,6.986,6.842,6.92,6.159574,4970000.0
8,2016-01-14,6.908,6.976,6.748,6.77,6.026056,5250000.0
9,2016-01-15,6.636,6.764,6.636,6.65,5.919243,7165500.0
10,2016-01-18,6.618,6.812,6.618,6.652,5.921023,6151500.0
11,2016-01-19,6.786,6.86,6.64,6.65,5.919243,3680000.0
12,2016-01-20,6.618,6.784,6.524,6.63,5.901441,5629000.0
13,2016-01-21,6.614,6.8,6.596,6.76,6.017155,5187500.0
14,2016-01-22,6.79,6.954,6.786,6.842,6.090145,6459000.0
15,2016-01-26,6.816,6.88,6.662,6.784,6.038518,5584500.0
16,2016-01-27,6.816,6.992,6.8,6.868,6.113288,6561000.0
17,2016-01-28,6.902,6.974,6.758,6.932,6.170254,4835500.0
18,2016-01-29,6.968,7.326,6.968,7.234,6.439068,9213000.0
19,2016-02-01,7.192,7.372,7.11,7.27,6.471112,5653500.0
20,2016-02-02,7.236,7.312,7.066,7.13,6.346497,4809000.0
21,2016-02-03,7.174,7.258,7.032,7.18,6.391002,6685500.0
22,2016-02-04,7.23,7.322,7.18,7.288,6.487134,6917500.0
23,2016-02-05,7.308,7.38,7.246,7.282,6.481794,3817500.0
24,2016-02-10,7.31,7.37,7.214,7.214,6.421266,3398500.0
25,2016-02-11,7.164,7.294,7.12,7.164,6.37676,6528500.0
26,2016-02-12,7.214,7.264,7.122,7.168,6.380321,5955500.0
27,2016-02-15,7.204,7.268,7.16,7.218,6.424827,3596500.0
28,2016-02-16,7.184,7.272,7.114,7.228,6.433728,3904000.0
29,2016-02-17,7.278,7.474,7.226,7.338,6.531639,6998500.0
30,2016-02-18,7.3,7.478,7.266,7.382,6.570805,4769500.0
31,2016-02-19,7.282,7.466,7.282,7.392,6.579706,4632000.0
32,2016-02-22,7.484,7.726,7.45,7.456,6.636673,6538000.0
33,2016-02-23,7.472,7.52,7.282,7.422,6.60641,7998000.0
34,2016-02-24,7.384,7.482,7.314,7.454,6.634892,3722000.0
35,2016-02-25,7.418,7.612,7.4,7.594,6.759508,7137500.0
36,2016-02-26,7.632,7.742,7.484,7.612,6.77553,5117500.0
37,2016-02-29,7.724,7.74,7.586,7.658,6.816476,7022500.0
38,2016-03-01,7.71,7.728,7.482,7.6,6.764849,6733500.0
39,2016-03-02,7.604,7.63,7.464,7.61,6.77375,5459500.0
40,2016-03-03,7.664,8.0,7.592,7.846,6.983817,9227500.0
41,2016-03-04,7.88,8.148,7.88,7.916,7.046124,13244500.0
42,2016-03-07,8.02,8.024,7.788,7.866,7.001618,6312000.0
43,2016-03-08,7.882,7.974,7.84,7.96,7.085289,8833500.0
44,2016-03-09,8.016,8.088,7.91,7.968,7.09241,4032500.0
45,2016-03-10,8.024,8.21,7.974,8.1,7.209905,5195000.0
46,2016-03-11,8.138,8.146,8.0,8.12,7.227706,13496500.0
47,2016-03-14,8.064,8.158,7.704,7.82,6.960674,10228000.0
48,2016-03-15,7.798,7.82,7.666,7.802,6.944652,3586500.0
49,2016-03-16,7.748,7.89,7.652,7.864,6.999838,6701000.0
50,2016-03-17,8.098,8.158,7.946,7.972,7.095971,8411000.0
51,2016-03-18,8.038,8.128,7.992,8.08,7.192104,8943000.0
52,2016-03-21,8.12,8.168,8.064,8.084,7.195662,4664000.0
53,2016-03-22,8.144,8.238,8.08,8.166,7.268652,4889000.0
54,2016-03-23,8.132,8.182,8.078,8.138,7.243729,4699500.0
55,2016-03-24,8.05,8.154,7.96,8.084,7.195662,3087500.0
56,2016-03-28,8.174,8.268,8.126,8.194,7.293576,3374500.0
57,2016-03-29,8.18,8.308,8.116,8.12,7.227706,7698500.0
58,2016-03-30,8.174,8.296,8.148,8.234,7.32918,3575500.0
59,2016-03-31,8.212,8.212,8.212,8.212,7.309598,9000.0
60,2016-04-01,8.094,8.246,8.066,8.104,7.213466,5723500.0
61,2016-04-04,7.848,7.848,7.848,7.848,6.985597,5000.0
62,2016-04-05,7.828,7.828,7.828,7.828,6.967795,6000.0
63,2016-04-06,7.766,7.766,7.766,7.766,6.912608,7500.0
64,2016-04-07,7.868,7.868,7.868,7.868,7.003399,25000.0
65,2016-04-08,7.932,8.08,7.932,7.96,7.085289,4857000.0
66,2016-04-11,7.896,7.896,7.896,7.896,7.028321,1000.0
67,2016-04-12,8.096,8.096,8.096,8.096,7.206344,5000.0
68,2016-04-13,8.012,8.012,8.012,8.012,7.131576,24000.0
69,2016-04-14,8.162,8.202,7.964,8.036,7.152938,5941500.0
70,2016-04-15,7.95,8.212,7.95,8.056,7.170739,6897000.0
71,2016-04-18,7.972,8.194,7.898,8.09,7.319112,4838500.0
72,2016-04-19,8.378,8.378,8.378,8.378,7.57967,500.0
73,2016-04-20,8.32,8.376,8.188,8.34,7.54529,4918500.0
74,2016-04-22,8.296,8.346,8.214,8.34,7.54529,4713000.0
75,2016-04-25,8.36,8.44,8.182,8.248,7.462058,4274000.0
76,2016-04-26,8.29,8.376,8.27,8.304,7.512721,4591500.0
77,2016-04-27,8.34,8.514,8.284,8.474,7.666523,4680000.0
78,2016-04-28,8.432,8.558,8.432,8.53,7.717186,3784000.0
79,2016-04-29,8.482,8.554,8.386,8.508,7.697283,5772000.0
80,2016-05-02,8.468,8.534,8.394,8.484,7.67557,2805000.0
81,2016-05-03,8.394,8.6,8.366,8.48,7.671949,4960500.0
82,2016-05-04,8.486,8.552,8.38,8.552,7.737089,3375000.0
83,2016-05-05,8.55,8.606,8.49,8.49,7.680997,2958500.0
84,2016-05-06,8.458,8.642,8.458,8.61,7.789563,3996000.0
85,2016-05-09,8.554,8.816,8.554,8.8,7.961458,14674000.0
86,2016-05-10,8.884,8.938,8.678,8.92,8.070024,5463000.0
87,2016-05-11,9.04,9.1,8.912,8.962,8.108022,8458000.0
88,2016-05-12,8.95,9.33,8.942,9.09,8.223825,8638500.0
89,2016-05-13,8.884,9.066,8.754,8.9,8.051929,12110500.0
90,2016-05-16,8.858,9.19,8.85,9.058,8.194873,6700500.0
91,2016-05-17,9.04,9.15,8.882,8.92,8.070024,5570000.0
92,2016-05-18,8.92,9.006,8.83,8.922,8.071833,4819500.0
93,2016-05-19,8.878,9.128,8.856,9.07,8.205729,5841500.0
94,2016-05-20,9.138,9.242,9.09,9.142,8.270869,4544500.0
95,2016-05-23,9.052,9.176,8.982,9.11,8.241918,4856000.0
96,2016-05-24,9.154,9.304,8.982,9.038,8.176781,5384000.0
97,2016-05-25,9.054,9.198,9.012,9.06,8.196682,4254000.0
98,2016-05-27,9.078,9.308,9.016,9.07,8.205729,3505500.0
99,2016-05-30,9.04,9.208,9.04,9.09,8.223825,2756000.0
100,2016-05-31,9.056,9.208,9.028,9.12,8.250964,12799000.0
101,2016-06-01,9.148,9.294,9.088,9.12,8.250964,3799500.0
102,2016-06-02,9.156,9.264,9.1,9.18,8.305248,5714000.0
103,2016-06-03,9.224,9.368,9.156,9.3,8.413815,3357500.0
104,2016-06-06,9.28,9.404,9.156,9.27,8.386672,6199000.0
105,2016-06-07,9.33,9.442,9.214,9.304,8.417433,4345000.0
106,2016-06-08,9.35,9.436,9.316,9.33,8.440955,6888500.0
107,2016-06-09,9.328,9.428,9.258,9.396,8.500667,3998000.0
108,2016-06-10,9.36,9.402,9.246,9.246,8.364958,3777000.0
109,2016-06-13,9.166,9.38,9.154,9.356,8.464477,2706500.0
110,2016-06-14,9.356,9.458,9.086,9.228,8.348674,5297000.0
111,2016-06-15,9.184,9.35,9.142,9.23,8.350484,4421500.0
112,2016-06-16,9.222,9.54,9.174,9.486,8.582089,4178500.0
113,2016-06-17,9.492,9.556,9.452,9.498,8.592948,7221000.0
114,2016-06-20,9.564,9.704,9.534,9.616,8.699702,4690500.0
115,2016-06-21,9.622,9.684,9.34,9.456,8.55495,5636000.0
116,2016-06-22,9.44,9.626,9.324,9.492,8.587518,9254000.0
117,2016-06-23,9.52,9.608,9.462,9.506,8.600183,5800500.0
118,2016-06-24,9.314,9.44,9.218,9.32,8.431907,4807000.0
119,2016-06-27,9.29,9.362,9.092,9.16,8.287154,6571000.0
120,2016-06-28,9.272,9.504,9.242,9.422,8.524187,10039500.0
121,2016-06-29,9.488,9.678,9.488,9.598,8.683416,5524000.0
122,2016-06-30,9.556,9.926,9.552,9.73,8.802837,8068000.0
123,2016-07-01,9.778,9.856,9.65,9.76,8.82998,5548500.0
124,2016-07-04,9.758,9.984,9.676,9.74,8.811886,4725500.0
125,2016-07-05,9.682,9.95,9.63,9.896,8.95302,6393000.0
126,2016-07-06,9.92,9.94,9.696,9.814,8.878836,5404500.0
127,2016-07-07,9.842,9.952,9.72,9.94,8.992828,5956500.0
128,2016-07-08,9.94,10.05,9.9,9.92,8.974734,7505500.0
129,2016-07-11,9.944,10.05,9.88,9.93,8.983782,5165500.0
130,2016-07-12,10.04,10.098,9.938,9.98,9.029016,5350500.0
131,2016-07-13,9.934,10.13,9.932,10.03,9.074251,8115500.0
132,2016-07-14,10.1,10.13,9.788,9.93,8.983782,6885000.0
133,2016-07-15,9.884,9.942,9.774,9.824,8.887882,6485000.0
134,2016-07-18,9.87,10.24,9.76,10.084,9.123107,16911000.0
135,2016-07-19,10.022,10.256,10.022,10.204,9.231672,9032000.0
136,2016-07-20,10.232,10.272,9.946,9.946,8.998258,6459500.0
137,2016-07-21,9.952,10.066,9.866,9.88,8.938545,4959000.0
138,2016-07-22,9.88,10.248,9.88,10.22,9.246146,8332000.0
139,2016-07-25,10.244,10.694,10.224,10.644,9.629746,8455000.0
