,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,9.0,9.0,9.0,9.0,9.0,0.0
1,2016-01-05,8.6,9.2,8.6,8.8,8.8,125.0
2,2016-01-06,8.8,8.8,8.8,8.8,8.8,0.0
3,2016-01-07,8.4,8.8,8.2,8.8,8.8,805.0
4,2016-01-08,9.0,9.2,9.0,9.2,9.2,300.0
5,2016-01-11,9.2,9.2,9.2,9.2,9.2,0.0
6,2016-01-12,9.2,9.2,9.2,9.2,9.2,0.0
7,2016-01-13,9.2,9.2,8.6,9.0,9.0,155.0
8,2016-01-14,8.6,9.2,8.6,8.6,8.6,165.0
9,2016-01-15,8.4,9.0,8.0,8.2,8.2,1335.0
10,2016-01-18,8.2,8.2,8.2,8.2,8.2,0.0
11,2016-01-19,9.2,9.2,9.2,9.2,9.2,15.0
12,2016-01-20,9.2,9.2,9.2,9.2,9.2,0.0
13,2016-01-21,9.2,9.2,9.2,9.2,9.2,10.0
14,2016-01-22,9.2,9.2,9.2,9.2,9.2,0.0
15,2016-01-26,9.2,9.2,9.2,9.2,9.2,0.0
16,2016-01-27,9.2,9.2,9.2,9.2,9.2,0.0
17,2016-01-28,9.2,9.2,9.2,9.2,9.2,20.0
18,2016-01-29,9.2,9.2,9.2,9.2,9.2,0.0
19,2016-02-01,9.2,9.2,9.2,9.2,9.2,0.0
20,2016-02-02,9.2,9.2,9.2,9.2,9.2,100.0
21,2016-02-03,9.2,9.2,9.2,9.2,9.2,0.0
22,2016-02-04,9.2,9.2,9.2,9.2,9.2,0.0
23,2016-02-05,8.6,8.6,8.4,8.6,8.6,1675.0
24,2016-02-10,8.6,8.6,8.6,8.6,8.6,0.0
25,2016-02-11,8.4,8.4,8.4,8.4,8.4,70.0
26,2016-02-12,8.2,8.6,8.2,8.6,8.6,180.0
27,2016-02-15,8.6,8.6,8.6,8.6,8.6,0.0
28,2016-02-16,8.6,8.6,8.6,8.6,8.6,0.0
29,2016-02-17,8.6,9.0,8.6,9.0,9.0,295.0
30,2016-02-18,8.2,8.2,8.2,8.2,8.2,2055.0
31,2016-02-19,8.2,13.6,8.2,11.0,11.0,22555.0
32,2016-02-22,12.0,12.8,10.0,10.8,10.8,8875.0
33,2016-02-23,11.8,11.8,9.6,11.2,11.2,6540.0
34,2016-02-24,10.4,11.4,9.4,10.0,10.0,3355.0
35,2016-02-25,10.4,11.2,10.0,11.2,11.2,2200.0
36,2016-02-26,10.0,11.2,9.6,10.6,10.6,4635.0
37,2016-02-29,10.4,10.4,10.2,10.4,10.4,1310.0
38,2016-03-01,10.4,10.4,9.8,10.4,10.4,1100.0
39,2016-03-02,9.8,10.6,9.8,10.6,10.6,1220.0
40,2016-03-03,10.0,10.4,10.0,10.0,10.0,1715.0
41,2016-03-04,10.0,10.4,10.0,10.4,10.4,40.0
42,2016-03-07,10.4,10.4,9.4,10.4,10.4,2275.0
43,2016-03-08,10.4,10.6,10.4,10.6,10.6,115.0
44,2016-03-09,10.4,11.0,10.4,11.0,11.0,855.0
45,2016-03-10,11.0,11.4,11.0,11.0,11.0,1190.0
46,2016-03-11,11.4,11.4,10.8,11.2,11.2,125.0
47,2016-03-14,11.2,11.2,11.2,11.2,11.2,0.0
48,2016-03-15,10.8,10.8,10.8,10.8,10.8,230.0
49,2016-03-16,10.8,10.8,10.8,10.8,10.8,50.0
50,2016-03-17,10.8,10.8,10.8,10.8,10.8,0.0
51,2016-03-18,10.8,10.8,10.8,10.8,10.8,0.0
52,2016-03-21,10.8,11.2,10.8,11.2,11.2,880.0
53,2016-03-22,11.2,11.2,11.2,11.2,11.2,105.0
54,2016-03-23,11.2,11.2,11.2,11.2,11.2,0.0
55,2016-03-24,11.2,11.2,11.2,11.2,11.2,0.0
56,2016-03-28,10.0,11.0,9.8,11.0,11.0,475.0
57,2016-03-29,10.0,10.8,10.0,10.8,10.8,60.0
58,2016-03-30,10.2,10.6,10.2,10.6,10.6,535.0
59,2016-03-31,10.6,10.6,10.6,10.6,10.6,0.0
60,2016-04-01,9.6,10.8,9.6,10.8,10.8,215.0
61,2016-04-04,10.6,10.8,10.6,10.8,10.8,250.0
62,2016-04-05,10.0,10.8,10.0,10.8,10.8,75.0
63,2016-04-06,10.8,11.0,10.4,11.0,11.0,1665.0
64,2016-04-07,11.0,12.4,10.6,10.6,10.6,2980.0
65,2016-04-08,11.4,11.6,11.4,11.6,11.6,520.0
66,2016-04-11,11.6,11.6,11.6,11.6,11.6,0.0
67,2016-04-12,10.8,11.2,10.8,11.2,11.2,110.0
68,2016-04-13,10.4,10.4,10.2,10.2,10.2,340.0
69,2016-04-14,10.2,10.2,10.2,10.2,10.2,0.0
70,2016-04-15,9.6,10.4,9.4,10.4,10.4,2885.0
71,2016-04-18,10.4,10.6,10.2,10.6,10.6,325.0
72,2016-04-19,10.6,10.6,9.6,10.6,10.6,260.0
73,2016-04-20,10.6,10.6,10.6,10.6,10.6,0.0
74,2016-04-22,10.4,10.4,10.4,10.4,10.4,100.0
75,2016-04-25,10.6,11.2,10.6,11.2,11.2,110.0
76,2016-04-26,11.2,11.2,11.2,11.2,11.2,0.0
77,2016-04-27,11.2,11.2,11.2,11.2,11.2,0.0
78,2016-04-28,11.0,11.0,11.0,11.0,11.0,10.0
79,2016-04-29,10.2,11.0,10.2,11.0,11.0,310.0
80,2016-05-02,10.0,10.0,9.2,9.8,9.8,1585.0
81,2016-05-03,10.0,10.2,9.0,10.2,10.2,4240.0
82,2016-05-04,10.0,10.2,10.0,10.2,10.2,410.0
83,2016-05-05,10.2,10.2,10.2,10.2,10.2,0.0
84,2016-05-06,10.0,10.2,9.4,9.8,9.8,915.0
85,2016-05-09,9.8,9.8,9.8,9.8,9.8,0.0
86,2016-05-10,9.8,9.8,9.8,9.8,9.8,0.0
87,2016-05-11,9.8,9.8,9.8,9.8,9.8,0.0
88,2016-05-12,9.6,10.0,9.4,9.8,9.8,240.0
89,2016-05-13,9.6,10.0,9.4,10.0,10.0,410.0
90,2016-05-16,9.8,9.8,9.8,9.8,9.8,65.0
91,2016-05-17,9.6,9.8,9.6,9.8,9.8,75.0
92,2016-05-18,9.8,9.8,9.8,9.8,9.8,75.0
93,2016-05-19,9.6,9.8,9.4,9.8,9.8,40.0
94,2016-05-20,9.8,9.8,9.8,9.8,9.8,10.0
95,2016-05-23,9.8,9.8,9.8,9.8,9.8,0.0
96,2016-05-24,9.8,9.8,9.2,9.8,9.8,105.0
97,2016-05-25,9.6,9.8,9.6,9.8,9.8,140.0
98,2016-05-27,9.8,9.8,9.8,9.8,9.8,0.0
99,2016-05-30,9.8,9.8,9.8,9.8,9.8,0.0
100,2016-05-31,9.8,9.8,9.8,9.8,9.8,0.0
101,2016-06-01,9.8,9.8,9.8,9.8,9.8,0.0
102,2016-06-02,9.8,9.8,9.8,9.8,9.8,10.0
103,2016-06-03,9.8,9.8,9.8,9.8,9.8,0.0
104,2016-06-06,9.8,9.8,9.8,9.8,9.8,0.0
105,2016-06-07,9.8,9.8,9.8,9.8,9.8,0.0
106,2016-06-08,9.6,10.8,9.6,10.8,10.8,1135.0
107,2016-06-09,10.6,10.6,9.6,10.4,10.4,330.0
108,2016-06-10,10.2,10.2,9.4,10.2,10.2,1290.0
109,2016-06-13,10.0,10.2,10.0,10.2,10.2,255.0
110,2016-06-14,10.2,10.4,10.0,10.2,10.2,380.0
111,2016-06-15,9.8,10.4,9.8,10.4,10.4,90.0
112,2016-06-16,10.4,10.4,10.4,10.4,10.4,0.0
113,2016-06-17,9.8,10.4,9.6,10.2,10.2,385.0
114,2016-06-20,9.4,10.0,9.4,10.0,10.0,160.0
115,2016-06-21,9.8,10.2,9.8,10.2,10.2,100.0
116,2016-06-22,10.4,10.4,9.8,10.4,10.4,850.0
117,2016-06-23,10.2,10.8,10.0,10.8,10.8,1525.0
118,2016-06-24,10.8,11.0,9.8,10.4,10.4,1200.0
119,2016-06-27,10.2,12.0,10.2,11.4,11.4,5005.0
120,2016-06-28,10.4,11.4,10.4,11.4,11.4,1265.0
121,2016-06-29,11.4,11.6,10.0,11.4,11.4,3960.0
122,2016-06-30,10.2,10.8,10.0,10.2,10.2,4020.0
123,2016-07-01,10.4,10.8,9.8,10.2,10.2,9960.0
124,2016-07-04,10.2,10.4,10.0,10.2,10.2,2445.0
125,2016-07-05,10.4,10.4,10.2,10.4,10.4,2670.0
126,2016-07-06,10.6,10.6,10.0,10.0,10.0,1210.0
127,2016-07-07,10.0,10.4,10.0,10.2,10.2,230.0
128,2016-07-08,10.2,10.2,9.4,9.8,9.8,1135.0
129,2016-07-11,9.8,10.2,9.6,10.0,10.0,2290.0
130,2016-07-12,9.6,10.4,9.6,9.8,9.8,8705.0
131,2016-07-13,9.8,10.2,9.8,10.2,10.2,3495.0
132,2016-07-14,9.8,10.2,9.8,10.2,10.2,2620.0
133,2016-07-15,10.0,10.4,10.0,10.0,10.0,4260.0
134,2016-07-18,10.0,11.6,10.0,11.2,11.2,17620.0
135,2016-07-19,11.8,12.8,10.8,11.6,11.6,46070.0
136,2016-07-20,11.2,12.2,10.8,11.0,11.0,8670.0
137,2016-07-21,11.4,11.8,11.0,11.4,11.4,3270.0
