,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,4.1,4.15,4.02,4.03,3.657944,1208500.0
1,2016-01-05,4.09,4.15,4.04,4.1,3.721482,2888800.0
2,2016-01-06,4.07,4.09,4.0,4.0,3.630714,660200.0
3,2016-01-07,3.97,4.05,3.92,4.0,3.630714,1684100.0
4,2016-01-08,4.02,4.09,3.94,4.01,3.639791,292700.0
5,2016-01-11,3.93,4.07,3.93,4.0,3.630714,992800.0
6,2016-01-12,4.01,4.06,3.96,4.01,3.639791,1445800.0
7,2016-01-13,3.98,4.05,3.98,4.03,3.657944,1363800.0
8,2016-01-14,4.05,4.14,4.03,4.03,3.657944,1328400.0
9,2016-01-15,4.04,4.08,3.99,4.04,3.667021,1317500.0
10,2016-01-18,4.04,4.07,4.01,4.07,3.694252,199500.0
11,2016-01-19,4.08,4.26,4.08,4.13,3.748712,1345000.0
12,2016-01-20,4.1,4.19,3.99,4.04,3.667021,1889700.0
13,2016-01-21,4.06,4.08,4.04,4.05,3.676098,1724800.0
14,2016-01-22,4.07,4.1,4.0,4.0,3.630714,836700.0
15,2016-01-26,4.02,4.02,3.8,3.9,3.539946,1869200.0
16,2016-01-27,3.86,4.03,3.82,4.0,3.630714,2047100.0
17,2016-01-28,3.95,4.0,3.89,3.95,3.58533,1173300.0
18,2016-01-29,3.99,4.13,3.99,4.13,3.748712,1183000.0
19,2016-02-01,4.12,4.24,4.1,4.24,3.848556,366600.0
20,2016-02-02,4.23,4.28,4.2,4.2,3.812249,1021500.0
21,2016-02-03,4.24,4.3,4.18,4.29,3.893941,1030000.0
22,2016-02-04,4.27,4.39,4.27,4.28,3.884864,878900.0
23,2016-02-05,4.24,4.3,4.24,4.3,3.903018,999700.0
24,2016-02-10,4.27,4.33,4.26,4.28,3.884864,839000.0
25,2016-02-11,4.22,4.27,4.2,4.23,3.83948,725200.0
26,2016-02-12,4.21,4.29,4.11,4.11,3.730559,1020100.0
27,2016-02-15,4.14,4.22,4.12,4.2,3.812249,577400.0
28,2016-02-16,4.18,4.49,4.18,4.46,4.048246,923700.0
29,2016-02-17,4.51,4.57,4.39,4.43,4.021016,1119400.0
30,2016-02-18,4.43,4.61,4.38,4.52,4.102706,930000.0
31,2016-02-19,4.52,4.7,4.46,4.65,4.220705,1026700.0
32,2016-02-22,4.68,4.74,4.51,4.61,4.184398,1370200.0
33,2016-02-23,4.59,4.62,4.51,4.56,4.139014,832000.0
34,2016-02-24,4.53,4.63,4.43,4.56,4.139014,241700.0
35,2016-02-25,4.53,4.66,4.52,4.63,4.202551,238500.0
36,2016-02-26,4.69,4.69,4.5,4.52,4.102706,395300.0
37,2016-02-29,4.55,4.62,4.5,4.54,4.12086,655000.0
38,2016-03-01,4.57,4.6,4.5,4.52,4.102706,682200.0
39,2016-03-02,4.54,4.56,4.46,4.48,4.0664,1011100.0
40,2016-03-03,4.54,4.8,4.54,4.75,4.311472,1695700.0
41,2016-03-04,4.8,4.99,4.8,4.9,4.447625,1026400.0
42,2016-03-07,4.87,4.9,4.52,4.74,4.302395,666700.0
43,2016-03-08,4.77,4.8,4.62,4.73,4.293319,1322800.0
44,2016-03-09,4.8,4.82,4.74,4.8,4.356857,1038300.0
45,2016-03-10,4.83,4.86,4.71,4.81,4.365933,2032700.0
46,2016-03-11,4.81,4.84,4.74,4.81,4.365933,759800.0
47,2016-03-14,4.77,4.81,4.33,4.48,4.0664,1961400.0
48,2016-03-15,4.41,4.44,4.3,4.35,3.948402,549000.0
49,2016-03-16,4.32,4.53,4.24,4.5,4.084553,846300.0
50,2016-03-17,4.8,4.8,4.57,4.7,4.266088,1089800.0
51,2016-03-18,4.79,4.79,4.58,4.71,4.275166,794200.0
52,2016-03-21,4.74,4.76,4.57,4.6,4.175321,996700.0
53,2016-03-22,4.63,4.66,4.45,4.57,4.148091,1788500.0
54,2016-03-23,4.52,4.52,4.43,4.47,4.057323,679900.0
55,2016-03-24,4.38,4.52,4.27,4.38,3.975632,1238200.0
56,2016-03-28,4.41,4.51,4.34,4.37,3.966555,1052200.0
57,2016-03-29,4.38,4.57,4.33,4.47,4.057323,848600.0
58,2016-03-30,4.5,4.59,4.24,4.25,3.857634,1228400.0
59,2016-03-31,4.16,4.16,4.16,4.16,3.775942,500.0
60,2016-04-01,4.23,4.23,4.23,4.23,3.83948,8800.0
61,2016-04-04,4.11,4.11,4.11,4.11,3.730559,300.0
62,2016-04-05,4.08,4.21,4.05,4.14,3.757789,989200.0
63,2016-04-06,4.12,4.12,4.12,4.12,3.739635,100.0
