,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,7.06,7.14,6.77,7.03,4.913486,54700.0
1,2016-01-05,7.04,7.05,6.91,6.91,4.829615,42800.0
2,2016-01-06,6.91,7.06,6.71,7.06,4.934455,83600.0
3,2016-01-07,7.04,7.12,6.91,6.96,4.864563,66900.0
4,2016-01-08,6.96,7.01,6.93,7.0,4.892518,149500.0
5,2016-01-11,7.05,7.12,6.86,6.9,4.822626,107200.0
6,2016-01-12,6.97,7.0,6.56,6.56,4.584988,231800.0
7,2016-01-13,6.64,6.71,6.53,6.53,4.564021,123600.0
8,2016-01-14,6.58,6.61,6.36,6.38,4.459181,144400.0
9,2016-01-15,6.39,6.45,6.29,6.45,4.508106,65500.0
10,2016-01-18,6.51,6.55,6.37,6.37,4.452192,56100.0
11,2016-01-19,6.5,6.69,6.38,6.4,4.47316,81400.0
12,2016-01-20,6.3,6.4,6.07,6.1,4.26348,107800.0
13,2016-01-21,6.12,6.26,5.99,5.99,4.186597,176700.0
14,2016-01-22,6.04,6.29,5.94,6.0,4.193586,175600.0
15,2016-01-26,6.1,6.15,5.9,5.9,4.123693,357400.0
16,2016-01-27,5.93,6.05,5.91,5.91,4.130683,112100.0
17,2016-01-28,6.02,6.03,5.96,5.97,4.172619,99700.0
18,2016-01-29,5.98,6.15,5.92,6.15,4.298427,734800.0
19,2016-02-01,6.11,6.28,6.01,6.15,4.298427,104500.0
20,2016-02-02,6.15,6.48,6.09,6.28,4.389287,105700.0
21,2016-02-03,6.39,6.65,6.33,6.51,4.550043,108800.0
22,2016-02-04,6.65,6.89,6.53,6.78,4.738753,119900.0
23,2016-02-05,6.9,7.0,6.87,6.95,4.857571,121000.0
24,2016-02-10,6.95,7.02,6.86,6.86,4.794668,33200.0
25,2016-02-11,6.86,6.86,6.52,6.54,4.57101,58700.0
26,2016-02-12,6.78,6.81,6.59,6.59,4.605956,48500.0
27,2016-02-15,6.6,6.73,6.5,6.5,4.543052,77300.0
28,2016-02-16,6.67,6.78,6.63,6.7,4.68284,51600.0
29,2016-02-17,6.79,6.97,6.76,6.85,4.787678,79300.0
30,2016-02-18,6.8,6.93,6.6,6.6,4.612946,50500.0
31,2016-02-19,6.62,7.0,6.61,7.0,4.892518,60000.0
32,2016-02-22,7.06,7.15,6.95,7.15,4.997358,93000.0
33,2016-02-23,6.95,7.09,6.76,6.91,4.829615,137700.0
34,2016-02-24,6.77,6.91,6.73,6.87,4.801658,64000.0
35,2016-02-25,6.77,6.93,6.75,6.75,4.717786,58400.0
36,2016-02-26,6.89,6.98,6.7,6.74,4.710796,95300.0
37,2016-02-29,6.84,6.98,6.75,6.87,4.801658,74100.0
38,2016-03-01,6.98,7.05,6.75,6.99,4.885528,90800.0
39,2016-03-02,7.04,7.14,6.96,7.08,4.948432,84500.0
40,2016-03-03,7.16,7.16,7.16,7.16,5.004347,128400.0
41,2016-03-04,7.26,7.7,6.92,7.12,4.97639,271100.0
42,2016-03-07,7.32,7.45,7.23,7.35,5.137143,134800.0
43,2016-03-08,7.35,7.7,7.15,7.59,5.304888,132700.0
44,2016-03-09,7.6,7.85,7.35,7.7,5.381771,77300.0
45,2016-03-10,7.61,7.7,7.4,7.6,5.311878,132800.0
46,2016-03-11,7.64,7.85,7.61,7.84,5.47962,192600.0
47,2016-03-14,7.8,7.9,7.62,7.71,5.388759,114300.0
48,2016-03-15,7.65,7.65,7.2,7.4,5.172091,138100.0
49,2016-03-16,7.31,7.6,7.26,7.43,5.193057,108900.0
50,2016-03-17,7.67,7.8,7.55,7.68,5.367791,274100.0
51,2016-03-18,7.84,7.89,7.51,7.51,5.248972,208000.0
52,2016-03-21,7.65,7.7,7.5,7.58,5.297899,191000.0
53,2016-03-22,7.7,7.87,7.6,7.87,5.500588,219800.0
54,2016-03-23,7.83,7.84,7.68,7.68,5.367791,111900.0
55,2016-03-24,7.73,7.84,7.52,7.83,5.472631,113500.0
56,2016-03-28,7.91,8.0,7.71,7.73,5.402738,199700.0
57,2016-03-29,7.73,7.8,7.64,7.74,5.409728,237600.0
58,2016-03-30,7.84,7.9,7.73,7.73,5.402738,245900.0
59,2016-03-31,7.78,7.79,7.5,7.5,5.241983,213500.0
60,2016-04-01,7.46,7.61,7.33,7.61,5.318865,208100.0
61,2016-04-04,7.7,7.7,7.46,7.46,5.214025,145700.0
62,2016-04-05,7.57,7.62,7.34,7.62,5.325855,111000.0
63,2016-04-06,7.79,8.15,7.71,7.99,5.58446,548000.0
64,2016-04-07,8.1,8.35,8.1,8.31,5.808119,309000.0
65,2016-04-08,8.37,8.7,8.37,8.59,6.003819,274100.0
66,2016-04-11,8.69,8.97,8.67,8.83,6.171562,204700.0
67,2016-04-12,8.96,9.08,8.45,8.78,6.136615,445700.0
68,2016-04-13,8.9,9.19,8.64,9.1,6.360274,758100.0
69,2016-04-14,9.15,9.2,8.77,8.95,6.255434,214300.0
70,2016-04-15,9.06,9.16,8.88,9.08,6.346294,292700.0
71,2016-04-18,9.19,9.43,8.85,8.85,6.185542,210800.0
72,2016-04-19,8.84,9.35,8.84,9.35,6.535006,282300.0
73,2016-04-20,9.35,9.55,9.12,9.55,6.674794,183300.0
74,2016-04-22,9.53,9.65,9.15,9.15,6.39522,185400.0
75,2016-04-25,9.2,9.25,8.88,8.9,6.220487,190100.0
76,2016-04-26,8.93,9.35,8.84,9.18,6.416189,139500.0
77,2016-04-27,9.19,9.22,8.92,9.2,6.430166,140400.0
78,2016-04-28,9.24,9.35,8.88,8.88,6.206508,100900.0
79,2016-04-29,8.91,9.07,8.6,8.77,6.129627,222600.0
80,2016-05-02,8.9,9.1,8.8,8.91,6.227477,149500.0
81,2016-05-03,8.91,9.16,8.75,8.9,6.220487,155600.0
82,2016-05-04,8.84,9.09,8.75,9.05,6.325326,194600.0
83,2016-05-05,9.1,9.2,9.03,9.04,6.318337,162500.0
84,2016-05-06,8.87,9.09,8.86,9.0,6.29038,80800.0
85,2016-05-09,8.97,8.97,8.35,8.39,5.864032,502000.0
86,2016-05-10,8.66,8.86,8.54,8.76,6.122636,188200.0
87,2016-05-11,8.83,9.05,8.6,8.6,6.010809,162600.0
88,2016-05-12,8.67,8.85,8.57,8.64,6.038766,179400.0
89,2016-05-13,8.64,8.72,8.51,8.58,5.996829,184000.0
90,2016-05-16,8.61,8.86,8.39,8.45,5.905967,115900.0
91,2016-05-17,8.59,8.9,8.56,8.82,6.164573,234100.0
92,2016-05-18,8.82,8.84,8.54,8.54,5.968872,118700.0
93,2016-05-19,8.51,8.51,8.22,8.32,5.815107,149300.0
94,2016-05-20,8.46,8.5,8.19,8.19,5.724247,104800.0
95,2016-05-23,8.15,8.15,8.0,8.06,5.633386,100600.0
96,2016-05-24,8.08,8.39,8.0,8.08,5.647363,114800.0
97,2016-05-25,8.21,8.22,8.0,8.0,5.59145,126900.0
