,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,1.3,1.41,1.3,1.39,1.39,47400.0
1,2016-01-05,1.41,1.41,1.33,1.35,1.35,10500.0
2,2016-01-06,1.3,1.39,1.28,1.38,1.38,27500.0
3,2016-01-07,1.33,1.37,1.3,1.37,1.37,60300.0
4,2016-01-08,1.37,1.37,1.33,1.33,1.33,31200.0
5,2016-01-11,1.35,1.36,1.28,1.28,1.28,49600.0
6,2016-01-12,1.29,1.33,1.27,1.32,1.32,24900.0
7,2016-01-13,1.33,1.38,1.33,1.36,1.36,29600.0
8,2016-01-14,1.36,1.38,1.33,1.36,1.36,17800.0
9,2016-01-15,1.31,1.37,1.3,1.3,1.3,8000.0
10,2016-01-18,1.4,1.56,1.34,1.34,1.34,155200.0
11,2016-01-19,1.4,1.4,1.39,1.39,1.39,700.0
12,2016-01-20,1.35,1.35,1.3,1.3,1.3,25300.0
13,2016-01-21,1.3,1.33,1.29,1.29,1.29,10400.0
14,2016-01-22,1.29,1.29,1.21,1.21,1.21,39700.0
15,2016-01-26,1.19,1.19,1.1,1.14,1.14,157200.0
16,2016-01-27,1.17,1.19,1.14,1.18,1.18,20000.0
17,2016-01-28,1.15,1.15,1.11,1.11,1.11,7300.0
18,2016-01-29,1.13,1.18,1.09,1.09,1.09,67900.0
19,2016-02-01,1.1,1.15,1.07,1.15,1.15,95400.0
20,2016-02-02,1.15,1.48,1.15,1.37,1.37,120800.0
21,2016-02-03,1.44,1.53,1.3,1.4,1.4,95700.0
22,2016-02-04,1.45,1.45,1.25,1.27,1.27,41500.0
23,2016-02-05,1.27,1.38,1.27,1.33,1.33,73000.0
24,2016-02-10,1.34,1.35,1.34,1.35,1.35,5800.0
25,2016-02-11,1.25,1.29,1.19,1.19,1.19,90400.0
26,2016-02-12,1.25,1.27,1.2,1.23,1.23,15600.0
27,2016-02-15,1.32,1.36,1.23,1.23,1.23,85700.0
28,2016-02-16,1.24,1.34,1.22,1.3,1.3,85500.0
29,2016-02-17,1.34,1.37,1.3,1.3,1.3,170300.0
30,2016-02-18,1.27,1.33,1.25,1.27,1.27,48000.0
31,2016-02-19,1.27,1.3,1.26,1.27,1.27,7300.0
32,2016-02-22,1.36,1.38,1.3,1.36,1.36,122300.0
33,2016-02-23,1.33,1.37,1.3,1.37,1.37,41300.0
34,2016-02-24,1.38,1.39,1.32,1.33,1.33,32600.0
35,2016-02-25,1.38,1.39,1.35,1.39,1.39,54200.0
36,2016-02-26,1.36,1.39,1.36,1.39,1.39,7200.0
37,2016-02-29,1.33,1.39,1.33,1.36,1.36,16800.0
38,2016-03-01,1.37,1.48,1.37,1.37,1.37,10900.0
39,2016-03-02,1.41,1.41,1.41,1.41,1.41,20900.0
40,2016-03-03,1.45,1.59,1.45,1.52,1.52,102400.0
41,2016-03-04,1.52,1.64,1.42,1.46,1.46,89800.0
42,2016-03-07,1.44,1.52,1.41,1.43,1.43,60200.0
43,2016-03-08,1.45,1.55,1.45,1.54,1.54,76000.0
44,2016-03-09,1.55,1.77,1.55,1.75,1.75,118300.0
45,2016-03-10,1.81,1.85,1.75,1.81,1.81,97300.0
46,2016-03-11,1.8,1.8,1.6,1.7,1.7,69700.0
47,2016-03-14,1.65,1.68,1.57,1.57,1.57,20900.0
48,2016-03-15,1.57,1.68,1.45,1.49,1.49,69500.0
49,2016-03-16,1.5,1.54,1.48,1.49,1.49,6100.0
50,2016-03-17,1.6,1.65,1.48,1.58,1.58,81500.0
51,2016-03-18,1.58,1.62,1.54,1.56,1.56,67900.0
52,2016-03-21,1.56,1.59,1.52,1.59,1.59,13000.0
53,2016-03-22,1.59,1.6,1.53,1.59,1.59,49300.0
54,2016-03-23,1.57,1.59,1.53,1.55,1.55,63800.0
55,2016-03-24,1.61,1.61,1.61,1.61,1.61,6100.0
56,2016-03-28,1.57,1.59,1.55,1.56,1.56,20300.0
57,2016-03-29,1.6,1.65,1.56,1.56,1.56,57600.0
58,2016-03-30,1.6,1.6,1.55,1.55,1.55,45200.0
59,2016-03-31,1.52,1.59,1.47,1.59,1.59,36100.0
60,2016-04-01,1.59,1.6,1.57,1.58,1.58,21100.0
61,2016-04-04,1.58,1.58,1.55,1.55,1.55,6300.0
62,2016-04-05,1.55,1.55,1.49,1.49,1.49,71200.0
63,2016-04-06,1.5,1.5,1.48,1.49,1.49,29100.0
64,2016-04-07,1.47,1.51,1.45,1.49,1.49,56800.0
65,2016-04-08,1.49,1.5,1.47,1.47,1.47,25800.0
66,2016-04-11,1.47,1.47,1.44,1.44,1.44,10300.0
67,2016-04-12,1.47,1.48,1.46,1.48,1.48,112100.0
68,2016-04-13,1.5,1.56,1.5,1.51,1.51,153500.0
