,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,7.85,7.895,7.58,7.625,6.075479,534600.0
1,2016-01-05,7.71,7.725,7.435,7.715,6.14719,801200.0
2,2016-01-06,7.655,7.78,7.635,7.675,6.115318,503400.0
3,2016-01-07,7.64,7.705,7.505,7.685,6.123287,566000.0
4,2016-01-08,7.695,7.725,7.475,7.715,6.14719,456800.0
5,2016-01-11,7.715,7.765,7.63,7.67,6.111335,206200.0
6,2016-01-12,7.79,7.875,7.51,7.51,5.98385,218200.0
7,2016-01-13,7.55,7.66,7.475,7.525,5.995801,234400.0
8,2016-01-14,7.505,7.65,7.465,7.525,5.995801,201600.0
9,2016-01-15,7.595,7.595,7.5,7.5,5.975881,236800.0
10,2016-01-18,7.52,7.575,7.26,7.26,5.784654,157800.0
11,2016-01-19,7.27,7.5,7.26,7.5,5.975881,305800.0
12,2016-01-20,7.37,7.425,7.265,7.4,5.896203,303600.0
13,2016-01-21,7.265,7.385,7.2,7.27,5.792621,366200.0
14,2016-01-22,7.24,7.27,7.11,7.175,5.716928,396600.0
15,2016-01-26,7.175,7.285,7.0,7.035,5.605377,417000.0
16,2016-01-27,7.055,7.155,7.03,7.125,5.677088,244000.0
17,2016-01-28,7.105,7.195,7.035,7.035,5.605377,227200.0
18,2016-01-29,7.095,7.345,7.095,7.3,5.816525,664800.0
19,2016-02-01,7.295,7.5,7.235,7.47,5.951978,528600.0
20,2016-02-02,7.455,7.53,7.4,7.45,5.936042,125800.0
21,2016-02-03,7.45,7.465,7.255,7.35,5.856363,298600.0
22,2016-02-04,7.33,7.42,7.185,7.185,5.724894,251200.0
23,2016-02-05,7.25,7.445,7.205,7.325,5.836444,314600.0
24,2016-02-10,7.2,7.455,7.17,7.21,5.744814,449600.0
25,2016-02-11,7.2,7.245,7.1,7.17,5.712943,229000.0
26,2016-02-12,7.2,7.25,7.1,7.25,5.776685,59400.0
27,2016-02-15,7.25,7.495,7.205,7.495,5.971898,363200.0
28,2016-02-16,7.475,7.605,7.35,7.605,6.059544,538800.0
29,2016-02-17,7.53,7.625,7.52,7.55,6.015721,238400.0
30,2016-02-18,7.555,7.625,7.48,7.56,6.023689,303400.0
31,2016-02-19,7.57,7.655,7.555,7.625,6.075479,437600.0
32,2016-02-22,7.75,7.85,7.695,7.695,6.131254,446400.0
33,2016-02-23,7.7,7.78,7.665,7.73,6.159143,295200.0
34,2016-02-24,7.66,7.775,7.45,7.725,6.155159,145000.0
35,2016-02-25,7.6,8.05,7.465,7.955,6.338419,702400.0
36,2016-02-26,8.0,8.05,7.95,7.95,6.334435,185600.0
37,2016-02-29,7.995,8.15,7.96,8.15,6.493791,326400.0
38,2016-03-01,8.17,8.17,8.005,8.06,6.422081,1668000.0
39,2016-03-02,8.1,8.54,8.02,8.525,6.792586,894800.0
40,2016-03-03,8.43,8.75,8.43,8.75,6.971862,434400.0
41,2016-03-04,8.755,9.225,8.755,9.0,7.171058,1494200.0
42,2016-03-07,9.135,9.185,8.995,9.025,7.190977,633400.0
43,2016-03-08,9.03,9.265,8.95,9.225,7.350334,1036000.0
44,2016-03-09,9.27,9.395,9.21,9.395,7.485787,794000.0
45,2016-03-10,9.47,9.83,9.41,9.725,7.748726,576200.0
46,2016-03-11,9.765,9.96,9.585,9.825,7.828405,495000.0
47,2016-03-14,10.095,10.29,9.86,9.95,7.928003,478800.0
48,2016-03-15,9.8,9.97,9.685,9.875,7.868244,957200.0
49,2016-03-16,9.875,9.96,9.55,9.74,7.760677,792600.0
50,2016-03-17,10.055,10.27,9.63,9.655,7.692949,548400.0
51,2016-03-18,9.74,9.835,9.45,9.725,7.748726,658600.0
52,2016-03-21,9.98,10.16,9.655,10.005,7.971827,604000.0
53,2016-03-22,10.05,10.45,10.015,10.32,8.222814,638400.0
54,2016-03-23,10.205,10.575,10.065,10.5,8.366236,1234400.0
55,2016-03-24,10.485,10.485,10.2,10.285,8.194925,763800.0
56,2016-03-28,10.39,10.755,10.25,10.365,8.258671,724600.0
57,2016-03-29,10.38,10.675,10.295,10.35,8.246716,1086000.0
58,2016-03-30,10.45,11.28,10.31,10.85,8.645109,1242600.0
59,2016-03-31,10.75,11.005,10.49,10.775,8.585349,785400.0
60,2016-04-01,10.65,10.89,10.435,10.515,8.378186,592600.0
61,2016-04-04,10.35,10.87,10.33,10.715,8.53754,1540400.0
62,2016-04-05,10.76,11.19,10.66,11.12,8.860241,494800.0
63,2016-04-06,11.175,11.175,10.865,10.95,8.724787,569800.0
64,2016-04-07,10.82,11.375,10.82,11.15,8.884145,572200.0
65,2016-04-08,11.255,11.385,11.075,11.3,9.00366,640400.0
66,2016-04-11,11.3,11.455,10.92,10.95,8.777871,659800.0
67,2016-04-12,11.005,11.1,10.865,11.0,8.817952,432800.0
68,2016-04-13,11.06,11.13,10.66,10.78,8.641594,807600.0
69,2016-04-14,10.72,10.845,10.305,10.6,8.497301,1480200.0
70,2016-04-15,10.46,11.33,10.365,10.965,8.789894,1484800.0
71,2016-04-18,10.885,11.22,10.79,11.17,8.95423,1334400.0
72,2016-04-19,11.105,11.82,10.95,11.59,9.290915,910800.0
73,2016-04-20,11.585,11.925,11.29,11.57,9.274882,606000.0
74,2016-04-22,11.63,11.86,11.125,11.7,9.379094,616000.0
75,2016-04-25,11.49,11.685,11.265,11.425,9.158647,769800.0
76,2016-04-26,11.425,11.585,10.835,11.15,8.938198,1139200.0
77,2016-04-27,11.25,11.59,11.01,11.25,9.01836,789200.0
78,2016-04-28,11.26,11.87,11.19,11.75,9.419177,1624000.0
79,2016-04-29,11.75,12.49,11.475,12.49,10.012384,1409000.0
80,2016-05-02,12.365,12.835,12.225,12.835,10.288949,1351200.0
81,2016-05-03,12.655,12.655,12.385,12.44,9.972302,2460600.0
82,2016-05-04,12.425,12.425,11.82,12.17,9.755863,1144400.0
83,2016-05-05,12.295,12.295,11.935,12.06,9.667683,601200.0
84,2016-05-06,11.885,12.1,11.885,12.08,9.683715,1351800.0
85,2016-05-09,12.255,12.255,11.75,12.0,9.619585,814000.0
86,2016-05-10,12.0,12.675,11.94,12.505,10.02441,2432400.0
87,2016-05-11,12.6,12.75,12.39,12.5,10.020402,1027200.0
88,2016-05-12,12.655,12.67,12.32,12.545,10.056474,1075400.0
89,2016-05-13,12.7,12.7,12.33,12.5,10.020402,2009600.0
90,2016-05-16,12.45,12.765,12.415,12.715,10.192751,1188400.0
91,2016-05-17,12.79,12.925,12.605,12.745,10.216801,1080400.0
92,2016-05-18,12.745,13.345,12.58,13.05,10.461297,1034200.0
93,2016-05-19,13.04,13.245,12.855,12.95,10.381135,996600.0
94,2016-05-20,13.015,13.18,13.01,13.18,10.565512,906400.0
95,2016-05-23,13.05,13.455,12.56,13.35,10.701788,1050600.0
96,2016-05-24,13.43,13.43,13.115,13.25,10.621625,2102400.0
97,2016-05-25,13.195,13.525,13.08,13.4,10.74187,950400.0
98,2016-05-27,13.47,13.49,13.205,13.25,10.621625,492000.0
99,2016-05-30,13.275,13.325,12.925,12.925,10.361094,673800.0
100,2016-05-31,12.84,13.105,12.81,12.975,10.401176,1113000.0
101,2016-06-01,12.875,13.105,12.855,13.005,10.425225,1067600.0
102,2016-06-02,13.02,13.175,12.96,13.15,10.541463,986800.0
103,2016-06-03,13.335,13.49,13.205,13.455,10.785961,909600.0
104,2016-06-06,13.55,13.735,13.44,13.545,10.858105,958800.0
105,2016-06-07,13.535,13.75,13.475,13.625,10.922237,609800.0
106,2016-06-08,13.72,13.74,13.545,13.675,10.962318,868800.0
107,2016-06-09,13.55,13.65,13.475,13.62,10.918227,407000.0
108,2016-06-10,13.5,13.5,13.29,13.475,10.801991,508800.0
109,2016-06-13,13.425,13.535,13.31,13.45,10.781953,496000.0
110,2016-06-14,13.39,13.425,13.215,13.265,10.63365,886600.0
111,2016-06-15,13.325,13.325,13.11,13.225,10.601584,705200.0
112,2016-06-16,13.18,13.25,12.96,13.2,10.581542,1106400.0
113,2016-06-17,13.1,13.39,13.1,13.355,10.705796,1125600.0
114,2016-06-20,13.41,13.525,13.08,13.125,10.52142,901400.0
115,2016-06-21,13.12,13.255,13.01,13.13,10.525429,1081000.0
116,2016-06-22,13.175,13.305,13.1,13.15,10.541463,629000.0
117,2016-06-23,13.25,13.59,13.16,13.29,10.65369,717000.0
118,2016-06-24,12.97,13.235,12.905,13.195,10.577537,499800.0
119,2016-06-27,13.16,13.495,13.1,13.285,10.649682,439400.0
120,2016-06-28,13.39,13.75,13.275,13.45,10.781953,1102200.0
121,2016-06-29,13.355,13.675,13.355,13.505,10.826042,1201600.0
122,2016-06-30,13.585,13.82,13.44,13.75,11.022442,1211800.0
123,2016-07-01,13.675,13.715,13.195,13.3,10.661708,1994800.0
124,2016-07-04,13.325,13.39,13.05,13.15,10.541463,2961200.0
125,2016-07-05,13.01,13.18,12.93,13.09,10.493366,825600.0
126,2016-07-06,13.09,13.325,12.95,13.11,10.509396,682400.0
127,2016-07-07,13.11,13.32,12.915,13.02,10.43725,2394800.0
128,2016-07-08,13.02,13.745,13.02,13.455,10.785961,1265800.0
129,2016-07-11,13.605,13.99,13.445,13.935,11.170742,1793000.0
130,2016-07-12,14.0,15.205,14.0,14.55,11.663747,2466800.0
131,2016-07-13,14.61,15.07,14.44,15.07,12.080595,2101000.0
132,2016-07-14,15.195,15.58,15.015,15.365,12.317077,1200400.0
133,2016-07-15,15.365,15.5,15.2,15.355,12.30906,1323000.0
134,2016-07-18,15.595,15.595,15.195,15.295,12.260964,1571200.0
135,2016-07-19,15.23,15.95,15.225,15.675,12.565583,2220200.0
136,2016-07-20,15.895,15.905,15.105,15.135,12.132704,1784600.0
137,2016-07-21,15.245,15.375,15.015,15.1,12.104647,1616200.0
