,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,3.8,3.8,3.55,3.55,2.813532,4300.0
1,2016-01-05,3.8,3.84,3.65,3.65,2.892787,8300.0
2,2016-01-06,3.75,3.8,3.75,3.8,3.011668,3000.0
3,2016-01-07,3.85,3.9,3.85,3.85,3.051295,15000.0
4,2016-01-08,3.8,3.8,3.77,3.77,2.987892,21400.0
5,2016-01-11,3.74,3.77,3.74,3.77,2.987892,8000.0
6,2016-01-12,3.61,3.77,3.6,3.77,2.987892,7800.0
7,2016-01-13,3.8,3.85,3.8,3.85,3.051295,7100.0
8,2016-01-14,3.57,3.74,3.53,3.74,2.964115,185900.0
9,2016-01-15,3.59,3.65,3.5,3.5,2.773905,9700.0
10,2016-01-18,3.44,3.53,3.43,3.53,2.797681,19700.0
11,2016-01-19,3.5,3.57,3.38,3.43,2.718426,3400.0
12,2016-01-20,3.3,3.3,3.26,3.26,2.583694,1600.0
13,2016-01-21,3.32,3.32,3.29,3.29,2.60747,900.0
14,2016-01-22,3.2,3.2,3.2,3.2,2.536141,900.0
15,2016-01-26,3.19,3.19,3.19,3.19,2.528216,100.0
16,2016-01-27,3.28,3.29,3.19,3.19,2.528216,8200.0
17,2016-01-28,3.27,3.39,3.14,3.22,2.551992,5800.0
18,2016-01-29,3.27,3.33,3.27,3.3,2.615396,3800.0
19,2016-02-01,3.3,3.3,3.3,3.3,2.615396,500.0
20,2016-02-02,3.3,3.3,3.3,3.3,2.615396,1000.0
21,2016-02-03,3.5,3.73,3.5,3.73,2.95619,1300.0
22,2016-02-04,3.76,3.95,3.61,3.79,3.003742,5900.0
23,2016-02-05,3.55,3.72,3.55,3.71,2.940339,34000.0
24,2016-02-10,3.7,3.7,3.7,3.7,2.932413,3200.0
25,2016-02-11,3.69,3.69,3.69,3.69,2.924488,1700.0
26,2016-02-12,3.64,3.7,3.64,3.7,2.932413,1200.0
27,2016-02-15,3.65,3.65,3.48,3.48,2.758053,2100.0
28,2016-02-16,3.74,3.97,3.5,3.97,3.1464,2400.0
29,2016-02-17,3.59,3.59,3.59,3.59,2.845234,400.0
30,2016-02-18,3.53,3.6,3.41,3.6,2.853159,23800.0
31,2016-02-19,3.49,3.49,3.49,3.49,2.765979,4400.0
32,2016-02-22,3.49,3.49,3.49,3.49,2.765979,0.0
33,2016-02-23,3.49,3.49,3.49,3.49,2.765979,0.0
34,2016-02-24,3.47,3.57,3.45,3.45,2.734277,116500.0
35,2016-02-25,3.5,3.5,3.5,3.5,2.773905,15000.0
36,2016-02-26,3.5,3.5,3.5,3.5,2.773905,0.0
37,2016-02-29,3.5,3.93,3.5,3.88,3.075072,12000.0
38,2016-03-01,3.84,3.95,3.84,3.95,3.13055,700.0
39,2016-03-02,3.75,3.94,3.75,3.94,3.122624,2100.0
40,2016-03-03,3.94,3.94,3.94,3.94,3.122624,0.0
41,2016-03-04,3.94,3.94,3.94,3.94,3.122624,5000.0
42,2016-03-07,3.6,3.75,3.5,3.75,2.972041,5800.0
43,2016-03-08,3.85,3.85,3.51,3.59,2.845234,27600.0
44,2016-03-09,3.52,3.68,3.5,3.68,2.916563,9700.0
45,2016-03-10,3.5,3.68,3.5,3.68,2.916563,65500.0
46,2016-03-11,3.68,3.78,3.65,3.71,2.940339,10800.0
47,2016-03-14,3.53,3.85,3.53,3.85,3.051295,11500.0
48,2016-03-15,3.57,3.83,3.51,3.83,3.035445,10100.0
49,2016-03-16,3.65,3.8,3.65,3.8,3.011668,1100.0
50,2016-03-17,3.85,3.92,3.85,3.92,3.106773,3500.0
51,2016-03-18,3.92,3.92,3.92,3.92,3.106773,0.0
52,2016-03-21,3.94,3.94,3.94,3.94,3.122624,2300.0
53,2016-03-22,3.81,3.94,3.81,3.94,3.122624,800.0
54,2016-03-23,3.94,3.94,3.94,3.94,3.122624,0.0
55,2016-03-24,3.85,3.87,3.85,3.87,3.067146,300.0
56,2016-03-28,3.75,3.88,3.65,3.65,2.892787,11800.0
57,2016-03-29,3.73,3.8,3.51,3.51,2.78183,10700.0
58,2016-03-30,3.65,3.7,3.65,3.69,2.924488,9000.0
59,2016-03-31,3.7,3.7,3.69,3.69,2.924488,3400.0
60,2016-04-01,3.69,3.79,3.69,3.7,2.932413,35700.0
61,2016-04-04,3.85,3.95,3.85,3.9,3.090923,28100.0
62,2016-04-05,3.79,3.94,3.78,3.93,3.114699,2900.0
63,2016-04-06,3.79,3.89,3.76,3.89,3.082997,12600.0
64,2016-04-07,3.8,3.88,3.71,3.71,2.940339,5000.0
65,2016-04-08,3.72,3.86,3.71,3.86,3.05922,6200.0
66,2016-04-11,3.5,3.5,3.34,3.39,2.709948,192000.0
67,2016-04-12,3.4,3.41,3.35,3.38,2.701954,179800.0
68,2016-04-13,3.4,3.56,3.37,3.5,2.797881,230300.0
69,2016-04-14,3.48,3.48,3.34,3.39,2.709948,125100.0
70,2016-04-15,3.39,3.5,3.38,3.5,2.797881,120000.0
71,2016-04-18,3.49,3.5,3.41,3.46,2.765905,16800.0
72,2016-04-19,3.49,3.7,3.49,3.7,2.95776,60900.0
73,2016-04-20,3.6,3.69,3.6,3.69,2.949766,17500.0
74,2016-04-22,3.73,3.81,3.69,3.75,2.99773,62900.0
75,2016-04-25,3.69,3.69,3.33,3.33,2.661984,13800.0
76,2016-04-26,3.38,3.69,3.37,3.69,2.949766,69000.0
77,2016-04-27,3.65,3.7,3.59,3.7,2.95776,33900.0
78,2016-04-28,3.7,3.86,3.7,3.83,3.061681,39800.0
79,2016-04-29,3.7,3.86,3.7,3.71,2.965754,91600.0
80,2016-05-02,3.7,3.7,3.6,3.7,2.95776,59000.0
81,2016-05-03,3.75,3.75,3.65,3.67,2.933778,18400.0
82,2016-05-04,3.67,3.67,3.52,3.52,2.813869,1800.0
83,2016-05-05,3.6,3.69,3.56,3.58,2.861832,9900.0
84,2016-05-06,3.56,3.69,3.56,3.69,2.949766,13300.0
85,2016-05-09,3.51,3.75,3.51,3.62,2.893808,15400.0
86,2016-05-10,3.66,3.8,3.66,3.7,2.95776,57300.0
87,2016-05-11,3.83,3.83,3.65,3.74,2.989736,117900.0
88,2016-05-12,3.7,3.76,3.69,3.7,2.95776,161400.0
89,2016-05-13,3.75,3.82,3.66,3.75,2.99773,187500.0
90,2016-05-16,3.73,3.75,3.73,3.75,2.99773,80000.0
91,2016-05-17,3.74,3.82,3.62,3.82,3.053687,252200.0
92,2016-05-18,3.82,3.82,3.7,3.8,3.037699,355500.0
93,2016-05-19,3.71,3.75,3.62,3.75,2.99773,14500.0
94,2016-05-20,3.75,3.75,3.65,3.74,2.989736,12900.0
95,2016-05-23,3.71,3.71,3.6,3.69,2.949766,38700.0
96,2016-05-24,3.64,3.7,3.59,3.59,2.869827,96900.0
97,2016-05-25,3.6,3.64,3.5,3.5,2.797881,154200.0
98,2016-05-27,3.51,3.56,3.4,3.55,2.837851,134200.0
99,2016-05-30,3.68,3.68,3.4,3.4,2.717942,7200.0
100,2016-05-31,3.56,3.56,3.41,3.41,2.725935,1600.0
101,2016-06-01,3.43,3.5,3.43,3.46,2.765905,5500.0
102,2016-06-02,3.48,3.65,3.47,3.47,2.773899,1200.0
103,2016-06-03,3.5,3.5,3.41,3.41,2.725935,19200.0
104,2016-06-06,3.5,3.6,3.45,3.6,2.87782,30500.0
105,2016-06-07,3.59,3.65,3.59,3.64,2.909797,22000.0
106,2016-06-08,3.65,3.68,3.6,3.63,2.901802,18800.0
107,2016-06-09,3.61,3.7,3.61,3.7,2.95776,6400.0
108,2016-06-10,3.6,3.7,3.59,3.7,2.95776,43300.0
109,2016-06-13,3.7,3.7,3.7,3.7,2.95776,0.0
110,2016-06-14,3.59,3.59,3.59,3.59,2.869827,500.0
111,2016-06-15,3.59,3.59,3.59,3.59,2.869827,200.0
112,2016-06-16,3.52,3.69,3.5,3.69,2.949766,21700.0
113,2016-06-17,3.6,3.6,3.51,3.51,2.805875,4900.0
114,2016-06-20,3.54,3.6,3.51,3.59,2.869827,41600.0
115,2016-06-21,3.51,3.54,3.4,3.54,2.829857,50500.0
116,2016-06-22,3.46,3.57,3.42,3.42,2.733929,10400.0
117,2016-06-23,3.5,3.5,3.5,3.5,2.797881,1100.0
118,2016-06-24,3.44,3.5,3.44,3.5,2.797881,8800.0
119,2016-06-27,3.42,3.44,3.37,3.37,2.69396,14000.0
120,2016-06-28,3.37,3.45,3.36,3.36,2.685966,5300.0
121,2016-06-29,3.38,3.4,3.36,3.36,2.685966,8800.0
122,2016-06-30,3.4,3.4,3.36,3.36,2.685966,4500.0
123,2016-07-01,3.4,3.4,3.32,3.32,2.65399,7000.0
124,2016-07-04,3.48,3.48,3.37,3.4,2.717942,7300.0
125,2016-07-05,3.46,3.46,3.32,3.32,2.65399,5900.0
126,2016-07-06,3.33,3.45,3.33,3.41,2.725935,5900.0
127,2016-07-07,3.41,3.41,3.38,3.38,2.701954,298900.0
128,2016-07-08,3.38,3.47,3.38,3.38,2.701954,35300.0
129,2016-07-11,3.38,3.4,3.3,3.3,2.638002,217400.0
130,2016-07-12,3.38,3.43,3.38,3.43,2.741923,11000.0
131,2016-07-13,3.44,3.44,3.44,3.44,2.749917,100.0
132,2016-07-14,3.44,3.44,3.36,3.38,2.701954,5100.0
133,2016-07-15,3.41,3.41,3.4,3.4,2.717942,154000.0
134,2016-07-18,3.36,3.6,3.36,3.6,2.914622,95400.0
135,2016-07-19,3.62,3.62,3.45,3.45,2.793179,7700.0
136,2016-07-20,3.62,3.69,3.52,3.6,2.914622,24000.0
137,2016-07-21,3.64,3.65,3.6,3.65,2.955103,245900.0
138,2016-07-22,3.71,3.77,3.71,3.75,3.036064,38300.0
139,2016-07-25,3.78,3.78,3.64,3.64,2.947007,1200.0
140,2016-07-26,3.64,3.65,3.55,3.56,2.882237,67800.0
141,2016-07-27,3.56,3.64,3.56,3.62,2.930814,10200.0
142,2016-07-28,3.93,4.45,3.85,3.98,3.222276,782700.0
143,2016-07-29,4.24,4.45,4.18,4.26,3.448969,544600.0
144,2016-08-01,4.34,4.55,4.34,4.34,3.513739,284800.0
145,2016-08-02,4.35,4.45,4.0,4.08,3.303238,135800.0
146,2016-08-03,4.08,4.3,4.05,4.18,3.3842,116300.0
147,2016-08-04,4.2,4.21,4.04,4.04,3.270854,88200.0
148,2016-08-05,4.04,4.09,3.92,3.98,3.222276,73700.0
149,2016-08-08,4.0,4.02,3.78,3.8,3.076545,107700.0
150,2016-08-09,3.88,3.99,3.85,3.98,3.222276,34100.0
151,2016-08-10,3.98,4.08,3.85,3.89,3.149411,35200.0
152,2016-08-11,4.0,4.17,3.8,4.12,3.335622,90100.0
153,2016-08-12,4.16,4.19,4.01,4.18,3.3842,34500.0
154,2016-08-15,4.19,4.2,4.1,4.16,3.368007,93200.0
155,2016-08-16,4.16,4.2,4.05,4.05,3.27895,85500.0
156,2016-08-17,4.17,4.29,4.16,4.18,3.3842,100900.0
157,2016-08-18,4.2,4.4,4.2,4.39,3.554219,114800.0
158,2016-08-19,4.39,4.39,4.32,4.34,3.513739,11500.0
159,2016-08-22,4.4,4.4,4.29,4.35,3.521834,127500.0
160,2016-08-23,4.39,4.4,4.24,4.3,3.481353,29300.0
161,2016-08-24,5.0,5.29,4.76,4.89,3.959027,1442200.0
162,2016-08-25,5.06,5.13,4.86,4.88,3.950932,559300.0
163,2016-08-26,4.98,5.04,4.87,4.91,3.97522,253800.0
164,2016-08-29,4.96,5.01,4.9,4.9,3.967124,144300.0
165,2016-08-30,5.0,5.01,4.85,4.9,3.967124,100300.0
166,2016-08-31,4.97,5.0,4.82,4.99,4.039989,133900.0
167,2016-09-01,5.0,5.0,4.73,4.73,3.829489,151700.0
168,2016-09-02,4.78,4.9,4.77,4.9,3.967124,212100.0
169,2016-09-05,4.95,4.95,4.73,4.77,3.861873,86000.0
170,2016-09-06,4.81,4.81,4.67,4.77,3.861873,77900.0
171,2016-09-08,4.8,4.8,4.65,4.68,3.789008,107800.0
172,2016-09-09,4.7,4.71,4.57,4.62,3.740431,116000.0
173,2016-09-12,4.62,4.7,4.54,4.54,3.675663,58100.0
174,2016-09-13,4.57,4.58,4.4,4.46,3.610892,100900.0
175,2016-09-14,4.48,4.53,4.41,4.53,3.667566,74600.0
176,2016-09-15,4.54,4.54,4.41,4.41,3.570412,58400.0
177,2016-09-16,4.4,4.42,4.35,4.42,3.578508,69800.0
178,2016-09-19,4.55,4.55,4.38,4.38,3.546123,45600.0
179,2016-09-20,4.38,4.44,4.2,4.28,3.465161,87300.0
180,2016-09-21,4.24,4.53,4.2,4.53,3.667566,74100.0
181,2016-09-22,4.58,4.75,4.58,4.69,3.797104,43200.0
182,2016-09-23,4.71,4.71,4.55,4.55,3.683758,16600.0
183,2016-09-26,4.56,4.6,4.48,4.48,3.627085,21600.0
184,2016-09-27,4.55,4.59,4.43,4.55,3.683758,17500.0
185,2016-09-28,4.55,4.64,4.55,4.63,3.748527,63000.0
186,2016-09-29,4.68,4.79,4.55,4.63,3.748527,59600.0
187,2016-09-30,4.63,4.76,4.54,4.63,3.748527,33900.0
188,2016-10-03,4.72,4.77,4.52,4.52,3.659469,53700.0
189,2016-10-04,4.53,4.68,4.53,4.68,3.789008,15100.0
190,2016-10-05,4.68,4.72,4.64,4.66,3.772816,18300.0
191,2016-10-06,4.68,4.71,4.66,4.68,3.789008,19200.0
192,2016-10-07,4.72,4.79,4.71,4.76,3.853778,41000.0
193,2016-10-10,4.79,4.85,4.75,4.79,3.878066,60300.0
194,2016-10-11,4.8,4.8,4.71,4.76,3.853778,18300.0
195,2016-10-13,4.78,4.79,4.7,4.75,3.845681,49700.0
196,2016-10-14,4.79,4.79,4.6,4.7,3.805201,44400.0
197,2016-10-17,4.73,4.83,4.58,4.64,3.756624,77900.0
198,2016-10-18,4.66,4.7,4.62,4.65,3.764719,62300.0
199,2016-10-19,4.74,4.75,4.55,4.59,3.716143,249700.0
200,2016-10-20,4.65,4.68,4.58,4.68,3.789008,58300.0
201,2016-10-21,4.71,4.71,4.65,4.7,3.805201,43900.0
202,2016-10-24,4.71,4.73,4.57,4.71,3.813296,49200.0
203,2016-10-25,4.7,4.7,4.62,4.63,3.748527,10700.0
204,2016-10-26,4.61,4.63,4.5,4.62,3.740431,35100.0
205,2016-10-27,4.61,4.63,4.48,4.48,3.627085,37700.0
206,2016-10-28,4.48,4.55,4.4,4.41,3.570412,45000.0
207,2016-10-31,4.45,4.45,4.34,4.38,3.546123,52900.0
208,2016-11-01,4.38,4.42,4.34,4.39,3.554219,23400.0
209,2016-11-03,4.4,4.5,4.4,4.42,3.578508,35600.0
210,2016-11-04,4.45,4.51,4.32,4.35,3.521834,25800.0
211,2016-11-07,4.37,4.45,4.33,4.33,3.505642,35100.0
212,2016-11-08,4.33,4.39,4.31,4.31,3.48945,42300.0
213,2016-11-09,4.2,4.28,3.99,4.25,3.440873,67000.0
214,2016-11-10,4.39,4.39,4.15,4.26,3.448969,35900.0
215,2016-11-11,4.33,4.33,3.95,4.0,3.238469,316500.0
216,2016-11-14,4.0,4.04,3.95,4.0,3.238469,60600.0
217,2016-11-16,4.1,4.1,3.99,4.07,3.295142,217100.0
218,2016-11-17,4.08,4.1,4.04,4.05,3.27895,452300.0
219,2016-11-18,4.07,4.07,4.01,4.05,3.27895,52300.0
220,2016-11-21,4.04,4.1,4.03,4.08,3.303238,92200.0
221,2016-11-22,4.18,4.2,4.06,4.07,3.295142,18300.0
222,2016-11-23,4.19,4.19,4.04,4.06,3.287045,434500.0
223,2016-11-24,4.18,4.18,4.12,4.17,3.376104,10100.0
224,2016-11-25,4.12,4.15,4.06,4.09,3.311334,17100.0
225,2016-11-28,4.12,4.16,4.05,4.05,3.27895,29900.0
226,2016-11-29,4.15,4.15,4.05,4.07,3.295142,22200.0
227,2016-11-30,4.08,4.13,4.04,4.05,3.27895,116600.0
228,2016-12-01,4.05,4.14,4.02,4.03,3.262757,92100.0
229,2016-12-02,4.09,4.1,4.0,4.1,3.31943,81300.0
230,2016-12-05,4.15,4.15,4.0,4.03,3.262757,22800.0
231,2016-12-06,4.05,4.07,4.0,4.0,3.238469,59600.0
232,2016-12-07,4.09,4.12,4.0,4.0,3.238469,34500.0
233,2016-12-08,4.01,4.11,4.01,4.04,3.270854,20200.0
234,2016-12-09,4.11,4.11,4.0,4.01,3.246565,15600.0
235,2016-12-12,4.08,4.08,4.0,4.0,3.238469,26500.0
236,2016-12-13,4.0,4.09,4.0,4.05,3.27895,14500.0
237,2016-12-14,4.05,4.05,4.0,4.0,3.238469,26800.0
238,2016-12-15,4.04,4.08,3.99,4.0,3.238469,35400.0
239,2016-12-16,4.01,4.08,4.01,4.05,3.27895,421300.0
240,2016-12-19,4.08,4.08,4.01,4.07,3.295142,65200.0
241,2016-12-20,4.09,4.13,4.05,4.11,3.353597,12500.0
242,2016-12-21,4.21,4.21,4.21,4.21,3.435192,27800.0
243,2016-12-22,4.25,4.25,4.2,4.24,3.459671,18300.0
244,2016-12-23,4.28,4.28,4.22,4.25,3.467831,7600.0
245,2016-12-26,4.27,4.27,4.2,4.23,3.451511,22700.0
246,2016-12-27,4.28,4.47,4.25,4.3,3.508628,41800.0
247,2016-12-28,4.34,4.35,4.26,4.35,3.549427,26100.0
248,2016-12-29,4.35,4.36,4.32,4.32,3.524948,31300.0
249,2017-01-02,4.4,4.47,4.29,4.3,3.508628,22700.0
250,2017-01-03,4.34,4.48,4.32,4.32,3.524948,27000.0
251,2017-01-04,4.35,4.4,4.3,4.33,3.533107,12600.0
252,2017-01-05,4.39,4.44,4.36,4.44,3.622863,10300.0
253,2017-01-06,4.44,4.47,4.25,4.39,3.582065,32200.0
254,2017-01-09,4.39,4.48,4.38,4.4,3.590225,8300.0
255,2017-01-10,4.4,4.47,4.38,4.38,3.573905,10900.0
256,2017-01-11,4.45,4.47,4.34,4.36,3.557587,2174800.0
257,2017-01-12,4.4,4.49,4.4,4.4,3.590225,27500.0
258,2017-01-13,4.45,4.45,4.38,4.38,3.573905,18100.0
259,2017-01-16,4.38,4.48,4.38,4.4,3.590225,26200.0
260,2017-01-17,4.42,4.45,4.4,4.41,3.598384,22200.0
261,2017-01-18,4.4,4.48,4.4,4.45,3.631022,30500.0
262,2017-01-19,4.47,4.5,4.45,4.5,3.671821,42200.0
263,2017-01-20,4.5,4.6,4.4,4.45,3.631022,66700.0
264,2017-01-23,4.5,4.51,4.47,4.48,3.655502,46200.0
265,2017-01-24,4.5,4.55,4.47,4.55,3.712619,69400.0
266,2017-01-26,4.59,4.87,4.59,4.65,3.794214,194400.0
267,2017-01-27,4.77,4.78,4.72,4.75,3.875811,96000.0
268,2017-01-30,4.82,4.95,4.75,4.79,3.90845,91700.0
269,2017-01-31,4.79,4.8,4.69,4.71,3.843172,57400.0
270,2017-02-01,4.8,4.83,4.56,4.56,3.720778,71900.0
271,2017-02-02,4.56,4.75,4.49,4.53,3.696299,118000.0
272,2017-02-03,4.6,4.61,4.47,4.5,3.671821,109100.0
273,2017-02-06,4.51,4.54,4.39,4.39,3.582065,51200.0
274,2017-02-07,4.45,4.47,4.31,4.39,3.582065,29400.0
275,2017-02-08,4.45,4.45,4.35,4.35,3.549427,33500.0
276,2017-02-09,4.41,4.45,4.36,4.36,3.557587,100000.0
277,2017-02-10,4.38,4.5,4.38,4.4,3.590225,111300.0
278,2017-02-13,4.44,4.6,4.41,4.41,3.598384,107100.0
279,2017-02-14,4.5,4.54,4.37,4.37,3.565746,136800.0
280,2017-02-15,4.44,4.54,4.44,4.5,3.671821,58900.0
281,2017-02-16,4.48,4.53,4.3,4.44,3.622863,118100.0
282,2017-02-17,4.48,4.52,4.46,4.52,3.68814,59800.0
283,2017-02-20,4.54,4.54,4.45,4.48,3.655502,92500.0
284,2017-02-21,4.46,4.57,4.42,4.43,3.614703,77600.0
285,2017-02-22,4.43,4.44,4.31,4.37,3.565746,57500.0
286,2017-02-23,4.48,4.54,4.47,4.52,3.68814,310700.0
287,2017-02-24,4.52,4.53,4.49,4.53,3.696299,251100.0
288,2017-03-01,4.57,4.72,4.57,4.68,3.818693,104000.0
289,2017-03-02,4.69,4.69,4.66,4.67,3.810534,145600.0
290,2017-03-03,4.67,4.67,4.57,4.62,3.769736,159900.0
291,2017-03-06,4.65,4.65,4.51,4.52,3.68814,216000.0
292,2017-03-07,4.59,4.6,4.53,4.56,3.720778,270200.0
293,2017-03-08,4.59,4.59,4.52,4.52,3.68814,95600.0
294,2017-03-09,4.52,4.52,4.4,4.5,3.671821,72300.0
295,2017-03-10,4.55,4.58,4.43,4.5,3.671821,54500.0
296,2017-03-13,4.57,4.57,4.51,4.54,3.70446,46300.0
297,2017-03-14,4.55,4.55,4.5,4.52,3.68814,29200.0
298,2017-03-15,4.54,4.54,4.43,4.43,3.614703,39300.0
299,2017-03-16,4.45,4.54,4.45,4.5,3.671821,33100.0
300,2017-03-17,4.57,4.57,4.45,4.49,3.663661,42400.0
301,2017-03-20,4.5,4.53,4.46,4.51,3.67998,71000.0
302,2017-03-21,4.51,4.57,4.4,4.44,3.622863,28300.0
303,2017-03-22,4.44,4.47,4.4,4.45,3.631022,33300.0
304,2017-03-23,4.44,4.44,4.3,4.33,3.533107,59100.0
305,2017-03-24,4.42,4.45,4.34,4.34,3.541268,203400.0
306,2017-03-27,4.34,4.45,4.34,4.42,3.606544,29600.0
307,2017-03-28,4.45,4.45,4.4,4.44,3.622863,32300.0
308,2017-03-29,4.43,4.45,4.41,4.44,3.622863,32500.0
309,2017-03-30,4.44,4.45,4.4,4.44,3.622863,50700.0
310,2017-03-31,4.44,4.45,4.32,4.44,3.622863,47000.0
311,2017-04-03,4.44,4.6,4.37,4.41,3.598384,114300.0
312,2017-04-04,4.45,4.48,4.4,4.41,3.598384,46700.0
313,2017-04-05,4.48,4.52,4.45,4.49,3.663661,30200.0
314,2017-04-06,4.51,4.56,4.5,4.51,3.67998,32100.0
315,2017-04-07,4.57,4.58,4.44,4.49,3.663661,46900.0
316,2017-04-10,4.5,4.58,4.46,4.58,3.737097,29100.0
317,2017-04-11,4.58,4.6,4.45,4.5,3.671821,65400.0
318,2017-04-12,4.51,4.58,4.45,4.56,3.720778,21200.0
319,2017-04-13,4.57,4.59,4.51,4.57,3.728939,20900.0
320,2017-04-17,4.58,4.7,4.51,4.56,3.720778,31300.0
321,2017-04-18,4.59,4.59,4.45,4.5,3.671821,86100.0
322,2017-04-19,4.49,4.53,4.45,4.45,3.631022,139000.0
323,2017-04-20,4.5,4.56,4.45,4.54,3.70446,49500.0
324,2017-04-24,4.57,4.67,4.54,4.6,3.753418,55800.0
325,2017-04-25,4.6,4.69,4.6,4.65,3.794214,42300.0
326,2017-04-26,4.65,4.65,4.56,4.59,3.745257,109700.0
327,2017-04-27,4.63,4.65,4.57,4.62,3.769736,16700.0
328,2017-04-28,4.65,4.65,4.56,4.56,3.720778,46500.0
329,2017-05-02,4.67,4.7,4.61,4.64,3.786056,79100.0
330,2017-05-03,4.67,4.69,4.5,4.59,3.745257,102000.0
331,2017-05-04,4.59,4.68,4.54,4.66,3.802374,27300.0
332,2017-05-05,4.65,4.75,4.61,4.73,3.90196,36300.0
333,2017-05-08,4.75,4.95,4.73,4.79,3.951457,113900.0
334,2017-05-09,4.78,4.9,4.75,4.8,3.959707,108800.0
335,2017-05-10,4.75,4.87,4.63,4.67,3.852464,193500.0
336,2017-05-11,4.7,4.75,4.69,4.74,3.910209,79300.0
337,2017-05-12,4.75,4.84,4.59,4.65,3.835965,289500.0
338,2017-05-15,4.74,4.74,4.65,4.67,3.852464,66300.0
339,2017-05-16,4.78,4.8,4.68,4.74,3.910209,61000.0
340,2017-05-17,4.75,4.79,4.6,4.63,3.819466,51600.0
341,2017-05-18,4.2,4.51,4.1,4.44,3.662728,273200.0
342,2017-05-19,4.44,4.62,4.44,4.48,3.695726,67600.0
343,2017-05-22,4.48,4.48,4.23,4.35,3.588484,115000.0
344,2017-05-23,4.36,4.5,4.27,4.43,3.654479,33600.0
345,2017-05-24,4.43,4.51,4.42,4.46,3.679227,38500.0
346,2017-05-25,4.47,4.55,4.47,4.5,3.712224,28500.0
347,2017-05-26,4.52,4.54,4.51,4.52,3.728723,28200.0
348,2017-05-29,4.52,4.52,4.52,4.52,3.728723,0.0
349,2017-05-30,4.5,4.56,4.5,4.56,3.761721,29100.0
350,2017-05-31,4.56,4.56,4.48,4.5,3.712224,16800.0
351,2017-06-01,4.5,4.6,4.5,4.57,3.76997,53100.0
352,2017-06-02,4.62,4.62,4.57,4.58,3.778219,27800.0
353,2017-06-05,4.6,4.61,4.52,4.52,3.728723,24200.0
354,2017-06-06,4.52,4.61,4.52,4.59,3.786469,29200.0
355,2017-06-07,4.6,4.63,4.57,4.59,3.786469,44400.0
356,2017-06-08,4.62,4.62,4.57,4.6,3.794719,27500.0
