,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,3.36,3.44,3.33,3.33,2.666011,311600.0
1,2016-01-05,3.36,3.36,3.14,3.19,2.553926,185600.0
2,2016-01-06,3.09,3.09,2.86,2.9,2.321752,620500.0
3,2016-01-07,2.8,2.84,2.7,2.81,2.249697,717100.0
4,2016-01-08,2.93,2.95,2.8,2.83,2.265709,542900.0
5,2016-01-11,2.9,2.95,2.76,2.84,2.273715,1582800.0
6,2016-01-12,2.78,2.84,2.68,2.8,2.241691,1338200.0
7,2016-01-13,2.8,2.85,2.63,2.68,2.145618,529100.0
8,2016-01-14,2.7,2.71,2.58,2.68,2.145618,241800.0
9,2016-01-15,2.64,2.69,2.47,2.55,2.041539,409200.0
10,2016-01-18,2.61,2.66,2.54,2.58,2.065558,128600.0
11,2016-01-19,2.64,2.74,2.6,2.64,2.113595,81700.0
12,2016-01-20,2.58,2.6,2.43,2.48,1.985498,648300.0
13,2016-01-21,2.53,2.61,2.46,2.54,2.033534,90000.0
14,2016-01-22,2.57,2.64,2.52,2.52,2.017522,473900.0
15,2016-01-26,2.52,2.55,2.49,2.5,2.00151,536600.0
16,2016-01-27,2.54,2.59,2.49,2.54,2.033534,628100.0
17,2016-01-28,2.59,2.65,2.47,2.52,2.017522,656500.0
18,2016-01-29,2.56,2.75,2.54,2.6,2.08157,358800.0
19,2016-02-01,2.66,2.8,2.6,2.8,2.241691,223300.0
20,2016-02-02,2.76,3.03,2.76,2.85,2.281721,242800.0
21,2016-02-03,2.9,2.93,2.77,2.89,2.313745,82300.0
22,2016-02-04,2.92,3.2,2.92,3.2,2.561933,118400.0
23,2016-02-05,3.21,3.37,3.2,3.28,2.625981,315000.0
24,2016-02-10,3.2,3.29,3.07,3.29,2.633986,76300.0
25,2016-02-11,3.29,3.3,2.82,2.84,2.273715,168900.0
26,2016-02-12,2.93,2.96,2.86,2.92,2.337764,185900.0
27,2016-02-15,3.09,3.09,2.92,2.95,2.361781,93900.0
28,2016-02-16,2.94,3.13,2.94,3.08,2.46586,127300.0
29,2016-02-17,3.17,3.29,3.12,3.2,2.561933,330200.0
30,2016-02-18,3.2,3.22,3.03,3.05,2.441842,302700.0
31,2016-02-19,3.06,3.14,2.98,3.14,2.513896,80800.0
32,2016-02-22,3.28,3.28,3.11,3.13,2.505891,381500.0
33,2016-02-23,3.18,3.18,2.98,2.99,2.393805,158100.0
34,2016-02-24,2.96,2.96,2.8,2.95,2.361781,192200.0
35,2016-02-25,2.65,2.78,2.62,2.75,2.201661,343400.0
36,2016-02-26,2.88,2.88,2.65,2.7,2.16163,91700.0
37,2016-02-29,2.71,2.76,2.66,2.76,2.209667,327100.0
38,2016-03-01,2.8,2.85,2.75,2.76,2.209667,314700.0
39,2016-03-02,2.78,2.92,2.77,2.9,2.321752,299400.0
